第2層,第3層,第4層,第4層(技術参与清書),UID,H28対応項目,H28表記,修正提案(20220302),査読コメント(20220302),"チームからの返信
（原案どおりなら１、修正案に賛成なら２）",チームからのコメント（あれば）,メモ,#VALUE!,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,査読への返答,A,B,C,D,E,F,G,H,Unnamed: 33,Unnamed: 34
社会保障,地域保健,削除：学校医、学校感染症、学校保健安全法等、学校保健を説明できる,,JkxoNtE,B-01-06-na-04,,,注釈要,,,補足説明にする,,,,,,,,,,,,,,,,,,,,,,,
社会保障,地域保健,削除:特定健康診査・特定保健指導、高齢者の医療の確保に関する法律（高齢者医療確保法）等、成人及び高齢者保健施策（介護予防含む）を説明できる。,,JkxoNtI,,,,注釈要,,,補足説明にする,,,,,,,,,,,,,,新規になる理由はわかりますが、地域保健で8項目・・・もう少しまとめられないでしょうか,,,,,,,,,
社会保障,地域保健,削除：がん対策基本法、がん登録等の推進に関する法律等、がん対策を説明できる。,,JkxoNtM,B-01-05-na-02,,,注釈要,,,補足説明にする,,,,,,,,,,,,,,,,,,,,,,,
社会保障,地域保健,削除:自殺対策基本法、精神保健福祉法等、精神衛生・心の健康に関する施策を説明できる。,,JkxoNtQ,"D-15-01-na-03,A-07-01-na-03,B-01-08-na-13",,,注釈要,,,補足説明にする,,,,,,,,,,,,,,,,,,,,,,,
社会保障,地域保健,削除:8020、フッ化物の利用、全身の健康との関連等、歯科保健施策を説明できる。,,JkxoNtU,"B-01-08-na-13,D-14-04-01-09",,,注釈要,,,補足説明にする,,,,,,,,,,,,,"B-01-08-na-13は　障害者福祉・精神保健医療福祉。
D-14-04-01-09　歯科疾患（う蝕、歯周病等）とその全身への影響や口腔機能管理を概説できる　を追加。",,,,,,,8020「運動」でしょうか。,,,
社会保障,産業保健・環境保健,産業保健の意義、労働衛生の3管理など、産業保健の基本的な考え方を説明できる。,産業保健の意義、労働衛生の3管理等、産業保健の基本的な考え方を説明できる。,JkxoNtY,"B-01-06-na-04,B-01-08-na-04",,産業保健の意義、労働衛生の3管理等、産業保健の基本的な考え方を理解している。,理解しているに変更,,,,,,,,,,,,,,,,,,,,,,,,,,
社会保障,産業保健・環境保健,産業保健・環境保健に関連する基本的な制度や法律を説明できる。,産業保健・環境保健に関連する基本的な制度や法律を説明できる。,JkxoNtc,B-01-08-na-04,,産業保健・環境保健に関連する基本的な制度や法律を理解している。,理解しているに変更,,,産業医の選任義務、労働安全衛生法、労働基準法等、産業保健の基本的な法令を説明できる。,,,,,,,,,,,,,,,,,,,,,,,
社会保障,産業保健・環境保健,労働災害及び職業性疾病とのその対策を説明できる。,労働災害及び職業性疾病とのその対策を説明できる。,JkxoNtg,B-01-06-na-03,,労働災害及び職業性疾病とのその対策を理解している。,理解しているに変更,,,,,,,,,,,,,,,,,,,,,,,,,,
社会保障,産業保健・環境保健,有害物質による産業中毒とその対策を説明できる。,有害物質による産業中毒とその対策を説明できる。,JkxoNtk,"E-05-03-01-02,E-05-03-01-03,E-05-03-01-04",,有害物質による産業中毒とその対策を理解している。,理解しているに変更,,,,,,,,,,,,,,,,,,,,,,,,,,
社会保障,産業保健・環境保健,削除:水道、建築物における衛生的環境の確保に関する法律（建築物衛生法）、住宅環境等、生活環境衛生施策を説明できる。,,JkxoNto,,,,注釈要,,,,,,,,,,,,,,,,「産業保健・環境保健に関連する基本的な制度や法律を説明できる。」の補足説明に記載します。,"新設する理由はなんでしょうか？
 国試出題基準にも出てきますが、本当に法律を「説明できる」能力が必要なのか疑問です",,,,,,,,,
社会保障,産業保健・環境保健,削除:環境基本法、公害、廃棄物の処理及び清掃に関する法律（廃棄物処理法）等、環境保全施策を説明できる。,,JkxoNts,B-01-06-na-03,,,注釈要,,,同上。,,,,,,,,,,,,,,医学生が細かい個別の法律を説明できる・・・は、外科の手術術式を選択できるや白血病の抗がん剤3種併用療法を述べられる、などと同様コアカリからも国試出題基準からも削除してはどうかと思います,,,,,,,,,
社会保障,健康危機管理,健康危機の概念と種類、それらへの対応(リスクコミュニケーションを含む）を説明できる,健康危機の概念と種類、それらへの対応（リスクコミュニケーションを含む）を説明できる。,JkxoNtw,,,健康危機の概念と種類、それらへの対応（リスクコミュニケーションを含む）について理解している。,理解しているに変更,,,新規,,,,,,,,,,,,,H28年版E-06-03-na-01「放射線リスクコミュニケーション」が今回は削除されており、こちらで触れることにしました。,,,句点,,,,,,,
社会保障,健康危機管理,削除：健康危機時のリスクコミュニケーションを説明できる。,,JkxoNt0,,,,,,,新規,,,,,,,,,,,,,,"健康危機時のリスクコミュニケーションの意味が読み手に通じるでしょうか？
健康危機に関する上の項目まではよしとして、その際のコミュニケーションを学生に求めるのはいかがか（しかも説明できる・・・はナンセンス）",,,,,,,23と違いはありますでしょうか？,,
社会保障,健康危機管理,健康危機管理（食品感染症、放射線事故、災害などさまざまな有事）に関連する基本的な制度や法律を説明できる。,健康危機管理（食品感染症、放射線事故、災害等さまざまな有事）に関連する基本的な制度や法律を説明できる。,JkxoNt4,B-01-08-na-11,,健康危機管理（食品感染症、放射線事故、災害等さまざまな有事）に関連する基本的な制度や法律を理解している。,理解しているに変更,,,,,,,,,,,,,,,,法律関係（食品衛生法、食品営業、食中毒の状況等、食品衛生施策）は補足説明に記載します。,,,,,,,,,,
社会保障,健康危機管理,削除：感染症の予防及び感染症の患者に対する医療に関する法律（感染症法）、検疫法、予防接種法、新型インフルエンザ等対策特別措置法等、感染症対策を説明できる,,JkxoNt8,"B-01-08-na-11,C-03-01-02-02,E-02-02-na-07,E-02-02-na-08,E-02-01-na-07",,,注釈要,,,,,,,,,,,,,,,,補足説明で付記します。,"旧Eの感染症領域との相談はされているでしょうか
社会チームは法律に特化して、その他は関係ないということと理解しました",,句点,,,,,,,
社会保障,健康危機管理,削除：災害対策基本法、災害救助法等、自然災害の対応を説明できる。,,JkxoNuA,"A-07-01-na-06,G-04-01-07-06",,,注釈要,,,,,,,,,,,,,,,,補足説明で付記します。,法律を知っておくのが重要で、自然災害の対応の説明は二の次という意味ですね,,,,,,,,,
社会保障,健康危機管理,災害拠点病院、種々の活動チーム等、災害保健医療の意義を理解できる。,災害拠点病院、種々の活動チーム等、災害保健医療の意義を理解できる。,JkxoNuE,"G-04-01-07-06,B-01-07-na-06",,災害拠点病院、種々の活動チーム等、災害保健医療の意義を理解している。,理解しているに変更,,,,,,,,,,,,,,,,意義を理解できる、という表現に変更しました。,"多くの卒業生は医師となり災害専門家ではないと思われるのですが、そういう卒業生にとっても災害時の医療で担う責務は大きいと思います。
６年間で災害医療（すぐに経験するかもしれない）について何を学ぶべきかというメッセージを投げてほしいです",,,,,,,,,
社会保障,健康危機管理,削除：放射線事故、テロリズム、国民保護法の適用事象等、種々の健康危機の種類別の対応を説明できる。,,JkxoNuI,"E-06-04-na-02,E-02-01-na-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疫学・医学統計,保健統計,主な人口統計（人口静態と人口動態）、疾病・障害の分類・統計（ICD等）を説明できる。,主な人口統計（人口静態と人口動態）、疾病・障害の分類・統計（ICD等）を説明できる。,JkxoNuM,B-01-04-na-01,,主な人口統計（人口静態と人口動態）、疾病・障害の分類・統計（ICD等）を理解している。,理解しているに変更,,,ICDの略語を削除,,,,,,,,,,,,,,,,,,,,ICDの和名は不要ではないでしょうか（略語集にも記載予定とのこと）。,,,
疫学・医学統計,保健統計,平均寿命、健康寿命を説明できる。,平均寿命、健康寿命を説明できる。,JkxoNuQ,B-01-04-na-02,,平均寿命、健康寿命について説明できる。,日本語の微修正,,,,,,,,,,,,,,,,ICDは略語集に記載します。,"なぜこの二つだけ特別に挙げられるのでしょうか？
保健統計は大きな視野で2つの第四層くらいにまとめられませんか？",,,,,,,,,
疫学・医学統計,保健統計,削除：e-Stat（政府統計の窓口）を利用できる。,,JkxoNuU,,,,,,,方略に送る,,,,,,,,,,,,,方略に移します。,"二つ上の項目と統合できると思います
利用できる・・・は到達目標なのか方略なのかも含めてご検討ください",,,,e-Statをとりあげるのであれば、せめてOECDのデータ利用も追記したい。あるいは全削除で良いのでは？,,,,,
疫学・医学統計,疫学,疫学の役割を公衆衛生と臨床の視点で説明できる。,疫学の役割を公衆衛生と臨床の視点で説明できる。,JkxoNuY,,,公衆衛生と臨床の視点から見た疫学の役割を理解している。,理解しているに変更,,,新規,,,,,,,,,,,,,,,,,,,,,,,
疫学・医学統計,疫学,割合・比・率の違いを理解し、代表的な疫学指標（有病割合、リスク比、罹患率等）を説明できる。,割合・比・率の違いを理解し、代表的な疫学指標（有病割合、リスク比、罹患率等）を説明できる。,JkxoNuc,B-01-04-na-03,,割合・比・率の違いおよび代表的な疫学指標（有病割合、リスク比、罹患率等）を理解している。,理解しているに変更,,,,,,,,,,,,,,,,,,,,,,,,,,
疫学・医学統計,疫学,主なバイアス・交絡を（例をあげて）説明できる。,主なバイアス・交絡を例示できる。,JkxoNug,B-01-04-na-04,,主なバイアス・交絡を例示できる。,例示できるに変更,,,,,,,,,,,,,,,,,,,,,,,,,,
疫学・医学統計,疫学,年齢調整における直接法と間接法の違いを説明できる。,年齢調整における直接法と間接法の違いを説明できる。,JkxoNuk,B-01-04-na-04,,年齢調整における直接法と間接法の違いを説明できる。,ママ,,,,,,,,,,,,,,,,,,,,,,,,,,
疫学・医学統計,疫学,主な疫学の研究デザイン（観察研究［記述研究、横断研究、症例対照研究、コホート研究］、介入研究（ランダム化比較試験等）を説明できる。,主な疫学の研究デザイン（観察研究［記述研究、横断研究、症例対照研究、コホート研究］、介入研究（ランダム化比較試験等）を説明できる。,JkxoNuo,"B-01-03-na-03,F-02-02-na-03",,主な疫学の研究デザインとして、観察研究（記述研究、横断研究、症例対照研究、コホート研究）および介入研究（ランダム化比較試験等）を理解している。,理解しているに変更,,,,,,,,,,,,,,,,,,,,,,,,,,【宮地】かっこの記載のみ訂正が必要？：（観察研究[...、コホート研究]、介入研究[ランダム化比較試験等]）を理解している。
疫学・医学統計,疫学,急性感染症に特異的な疫学的アプローチを説明できる。,急性感染症に特異的な疫学的アプローチを説明できる。,JkxoNus,,,急性感染症に特異的な疫学的アプローチを理解している。,理解しているに変更,,,新規,,,,,,,,,,,,,衛生学公衆衛生学教育協議会との協議の結果でしたが、「慢性疾患との対比」を削除しました。,"この項目のレベル感
旧性感染症と慢性疾患？ はたして第四層に入れるべきものか？",,,,各論知識で絶対必要とまでは言えないので割愛で良いのでは？,,,,,
疫学・医学統計,疫学,エビデンスの限界を踏まえて、集団に影響する意思決定の重要性を説明できる。,エビデンスの限界を踏まえて、集団に影響する意思決定の重要性を説明できる。,JkxoNuw,,,エビデンスの限界を踏まえながら、集団に影響する意思決定を支援できる。,"日本語がわかりにくいので修正
支援できるに修正→学生にはレベルが高いか？",,,新規,,,,,,,,,,,,,不確実性を含む限られた情報を評価し、人間の生命や健康を守る意思決定につなげていくには何が必要か考えることが重要と考え、修正しました,"何をしてよいかわからず、禅問答のようでもあり、分野別認証に出てくる意味不明な小項目（将来起こるべき云々）と似ています
達成可能な具体的記述のほうが望ましいです。
情報チームの記載に任せては？",,やや漠然としていて、カリキュラム開発者が具体的にどのような学習機会を設けるべきかに結びつきにくいと思います。「得られる情報の不確実性や制限の中で、生命や健康を守るための意思決定に必要な対応策を挙げることができる」という意味でしょうか？,,重要だが、疫学、統計学で教えられるのか疑問∴割愛または他所へ統合で良いのでは？,,,,,
疫学・医学統計,データ解析と統計手法,尺度（間隔、比、順序、名義）を説明できる。,尺度（間隔、比、順序、名義）を説明できる。,JkxoNu0,,,尺度（間隔、比、順序、名義）について説明できる。,を→について,,,新規,,,,,,,,,,,,,衛生学公衆衛生学教育協議会との協議の結果として採用しました。,"データ解析と統計手法の第三層は、個別に5つの方法を書くのがよいのでしょうか？別表化も一案です
別にするなら、学生が到達すべきレベルを動詞で明示したいところです",,EBMでの「批判的吟味」「患者への適用」で適用するレベルが求められていますが、「説明できる」でよい？「〜の知識を適用できる」にする？,,,,,,,
疫学・医学統計,データ解析と統計手法,データの分布（欠損値を含む）を記述できる。,データの分布（欠損値を含む）を記述できる。,JkxoNu4,B-01-01-na-01,,データの分布（欠損値を含む）について説明できる。,説明できるに変更（なぜ記述できる、だったのでしょうか？）,,,,,,,,,,,,,,,,衛生学公衆衛生学教育協議会との協議の結果として採用しました。,同上,,,,,,,,,【宮地】記述できるレベルでなくてよいか？
疫学・医学統計,データ解析と統計手法,正規分布の母平均の信頼区間を説明できる。,正規分布の母平均の信頼区間を説明できる。,JkxoNu8,B-01-01-na-03,,正規分布の母平均の信頼区間について説明できる。,ママ,,,,,,,,,,,,,,,,衛生学公衆衛生学教育協議会との協議の結果として採用しました。,同上,,EBMでの「批判的吟味」「患者への適用」で適用するレベルが求められていますが、「説明できる」でよい？「〜の知識を適用できる」にする？,,,,,,,
疫学・医学統計,データ解析と統計手法,相関分析、平均値と割合の検定等を実施できる。,相関分析、平均値と割合の検定等を実施できる。,JkxoNvA,"B-01-02-na-01,B-01-02-na-02,B-01-02-na-03,B-01-02-na-04,B-01-02-na-05,B-01-02-na-06",,相関分析、平均値と割合の検定等を実施できる。,ママ,,,,,,,,,,,,,,,,衛生学公衆衛生学教育協議会との協議の結果として採用しました。,同上,,,,,,,,,
疫学・医学統計,データ解析と統計手法,多変量解析の意義を説明できる。,多変量解析の意義を説明できる。,JkxoNvE,B-01-02-na-06,,多変量解析の意義を理解している。,理解しているに変更,,,,,,,,,,,,,,,,衛生学公衆衛生学教育協議会との協議の結果として採用しました。,同上,,EBMでの「批判的吟味」「患者への適用」で適用するレベルが求められていますが、「説明できる」でよい？「〜の知識を適用できる」にする？,,,,,,,
法医学,死と法,植物状態、脳死、心臓死及び脳死判定を説明できる。,植物状態、脳死、心臓死及び脳死判定を説明できる。,JkxoNvI,"B-02-01-na-01,B-02-01-na-01",,植物状態、脳死、心臓死及び脳死判定について理解している。,理解しているに変更,,,,,,,,,,,,,,,,,,,,,,,,,,
法医学,死と法,異状死・異状死体の取扱いと死体検案を説明できる。,異状死・異状死体の取扱いと死体検案を説明できる。,JkxoNvM,"B-02-01-na-02,B-02-01-na-02",,異状死・異状死体の取扱いと死体検案について理解している。,理解しているに変更,,,,,,,,,,,,,,,,,,,,,,,,,,
法医学,死と法,死亡診断書と死体検案書を作成できる。,死亡診断書と死体検案書を作成できる。,JkxoNvQ,"B-02-01-na-03,B-02-01-na-03",,死亡診断書と死体検案書を作成できる。,ママ,,,,,,,,,,,,,,,,すべての医行為は指導医とともに行う前提であると考えられますので、方略などで記載します。」,死亡診断書/死体検案書は、厚労省医行為検討部会でも、学生単独では発行できないことになっているので、作成できるレベルは修正が必要です,,指導医とともに作成できる,,,,,,,
法医学,死と法,個人識別の方法を説明できる。,個人識別の方法を説明できる。,JkxoNvU,"B-02-01-na-04,B-02-01-na-04",,個人識別の方法を理解している。,理解しているに変更,,,,,,,,,,,,,,,,,,,,,,,,,,
法医学,死と法,病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）を説明できる。,病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）を説明できる。,JkxoNvY,"B-02-01-na-05,B-01-04-na-02",,病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）について理解している。,とは何かということを理解している、に変更,,,,,,,,,,,,,,,,,,,,,,,,,,【宮地】「説明できる」必要のある内容については、「〜とは何か」だけでなく、手続きや家族への説明と同意なども含まれると思うので、代案は「....（承諾解剖）について理解している」
社会の構造や変化から捉える医療,社会格差と医療,削除：社会的弱者の立場にある患者の代弁者となることができる,,JkxoNvc,,,,,,,新規,,,,,,,,,,,,,総合にも「健康の社会的決定要因とアドボカシーについて説明できる。」があるので削除しました。,"他チーム（総合など）と類似があるかどうか検討をお願いします
代弁者となることができる、は卒業時のレベルとして適切でしょうか",,,,,漠然としていて、できるの評価が困難∴割愛,,,,
社会の構造や変化から捉える医療,社会格差と医療,社会格差を解消するために社会に対して行動できる,社会格差を解消するために社会に対して行動できる。,JkxoNvg,,,社会格差を解消するために社会に対して行動できる。,ママ,,,新規,,,,,,,,,,,,,「30年後」を見据えた場合必要と考えました。,"他チーム（総合など）と類似があるかどうか検討をお願いします
社会に対して行動できる、は卒業時のレベルとして適切でしょうか",,,,,漠然としていて、できるの評価が困難∴割愛,,,,
社会の構造や変化から捉える医療,健康と医療,健康寿命を延ばすために生活者への積極的な働きかけを行うことができる,健康寿命を延ばすために生活者への積極的な働きかけを行うことができる。,JkxoNvk,"B-01-04-na-02,C-05-08-na-01",,健康寿命を延ばすために働きかけを行うことができる。,査読者Aのコメント受けて「生活者への」「積極的な」を削除,,,,,,,,,,,,,,,,,生活者への積極的な働きかけをおこなうことができる・・・方略と評価は？,上記の「健康の概念」と重なる,,,,,,,,
社会の構造や変化から捉える医療,健康と医療,バリアフリーなどの障害と社会環境に関連する概念を理解した行動をとることができる,バリアフリー等の障害と社会環境に関連する概念を理解した行動をとることができる。,JkxoNvo,B-01-06-na-01,,バリアフリー等の障害と社会環境に関連する概念を理解した行動をとることができる。,,,,「バリアフリー」の方が馴染みがある用語でしょうか。（鋪野）,,,,,,,,,,,,,,"バリヤ？バリア？
文節の切れがよくないので、バリアフリーなどの障害と読める",,バリアフリーのほうが適切かと思います。https://www8.cao.go.jp/souki/barrier-free/link/bfsyoutyou.html,,,,,,,
社会の構造や変化から捉える医療,ジェンダーと医療,,,,,,ジェンダーの形成並びに性的指向及び性自認への配慮方法を理解している,下記参照,,,,,,,,,,,,,,,,,,,,,,,,,,
社会の構造や変化から捉える医療,ジェンダーと医療,女性やLGBTQに対する差別などのジェンダー不平等をなくすために積極的な行動をとることができる,女性やLGBTQに対する差別等のジェンダー不平等をなくすために積極的な行動をとることができる。,JkxoNvs,B-04-01-na-06,,女性やLGBTQに対する差別等のジェンダー不平等をなくすために積極的な行動をとることができる。,査読者Cの指摘を受けて「ジェンダーの形成並びに性的指向及び性自認への配慮方法を理解している。」の新設（上に記載）を提案します。,,,,,,,,,,,,,,,,「30年後」を見据えた場合必要と考えました。,"積極的な行動をとる、は学生レベルの到達目標ではありません
LGBTQでしょうか？ 性的マイノリティとどちらの表現がいい？",,H28年度版 C-05-06-05 「ジェンダーの形成並びに性的指向及び性自認への配慮方法を説明できる。」はR4年度版のどこからも消えています。ジェンダー不平等をなくすためにはこれらの知識は必要だと思うので、あえて消したのでなければ別立てにして残してもよいのでは。,,,,,,,
社会の構造や変化から捉える医療,気候変動と医療,気候変動と医療との関係性を理解できる,気候変動と医療との関係性を理解できる。,JkxoNvw,,,気候変動と医療との関係性を理解し、患者が抱える健康に関する課題と気候変動との関係を想像できる。,"査読者A, E, Fのコメントを受けて55と旧56を統合",,,新規,,,,,,,,,,,,,「30年後」を見据えた場合必要と考えました。,"気候変動で3つの項目を作るのは論外です
国試出題基準にもなくすべて削除でよいと思います",,,,,,,,,
社会の構造や変化から捉える医療,気候変動と医療,患者が抱える健康に関する課題と気候変動との関係を想像できる,患者が抱える健康に関する課題と気候変動との関係を想像できる。,JkxoNv0,,,自然災害（新興感染症を含む）が起きた際に必要とされる医師の役割を理解している。,総合から引越し,,,新規,,,,,,,,,,,,,「30年後」を見据えた場合必要と考えました。,"気候変動で3つの項目を作るのは論外です
国試出題基準にもなくすべて削除でよいと思います",,アウトカムとしての表現を意識するなら、「〜に関する課題を説明しうる仮説として、気候変動の影響を想起できる」,,55に統合、または割愛で良いのでは？,,,,,
社会の構造や変化から捉える医療,気候変動と医療,地球環境が抱える諸課題を認識し、その解決のために行動できる,地球環境が抱える諸課題を認識し、その解決のために行動できる。,JkxoNv4,,,地球環境が抱える諸課題を認識し、その解決のために行動できる。,ママ,,,新規,,,,,,,,,,,,,「30年後」を見据えた場合必要と考えました。,"気候変動で3つの項目を作るのは論外です
国試出題基準にもなくすべて削除でよいと思います",,医学生・医師としての能力という意味を明確にしたほうが良いように思います。「〜を認識し、医療の中でその解決のために行動できる」,,,５５，５６と５７は、統合できそうです。,,,,
社会の構造や変化から捉える医療,哲学・倫理と医療,現代思想・哲学の語彙を概説することができる,現代思想・哲学の語彙を概説することができる。,JkxoNv8,G-04-03-na-06,,現代思想・哲学の語彙を概説することができる。,ママ。教養教育の1項目。,,,,,,,,,,,,,,,,教養教育の内容を組み込んでいます。,学生の到達の確認が非常に困難ですが,,あまりにもひろいので、「医学・医療に関連した現代思想・哲学の語彙を概説できる」。この項目の文中か、どこか他に具体的に何が含まれるかがまとまっていないと、カリキュラム策定に利用しにくい。,,問が漠然としているので削除で良いのでは？,,,,,【宮地】そのまま残すのであれば、現代思想・哲学に具体的にどのようなものが含まれるのかをどこかで注釈として記載してほしいです。また、個人的には、現代思想・哲学の語彙を概説できることがどうして必要な能力なのかが伝わりやすい表現にできたらと思います（これは教養教育に関する項目全体への共通コメント）
社会の構造や変化から捉える医療,哲学・倫理と医療,"診療現場における倫理的問題について倫理学の考え方に依拠し分析し考えを述べることができる。
","診療現場における倫理的問題について倫理学の考え方に依拠し分析し考えを述べることができる。
",JkxoNwA,"A-01-01-na-02,A-01-01-na-03,A-01-01-na-02",,"診療現場における倫理的問題について、倫理学の考え方に依拠し、分析した上で、自身の考えを述べることができる。
",日本語の修正,,,,,,,,,,,,,,,,コメントに対しては補足説明、方略での記載を検討します。,,,カリキュラムに反映させるならもう少し具体的なほうがよいですし、倫理的問題について医学生に対応できるレベルを求めるのは現実的ではないと思うので、「〜倫理的問題について、Jonsenの四分割法などの臨床倫理アプローチを用いて分析し、対応を説明できる」,,,何科に進んでも大切な各科特有の倫理課題を確実に触れていただく必要がありますので、　　各科診療現場　　　としてもよいかもしれません。,,,,
社会の構造や変化から捉える医療,歴史と医学・医療,医学・医療の歴史的変遷を踏まえ現代の医学的問題を相対化できる,医学・医療の歴史的変遷を踏まえ現代の医学的問題を相対化できる。,,,,医学・医療の歴史的変遷を踏まえ現代の医学的問題を相対化できる。,ママ。医学概論（教養教育）のイメージです,,,,,,,,,,,,,,,,６１、６２を統合,,,,,,,,,,
