58,"新規,補足事項）医療資源の過不足によって、診療が影響を受けることは避けられないため、その制約下で診療を行うことは全医師に求められる能力資質といえます。離島・へき地や医師不足地域等では人的資源、物的資源などの医療資源不足が起こりやすく、地域医療体制などの地域における健康課題や医療施設の役割を理解し、臨床的に妥当な初期検査などを用いた柔軟な診療対応を行う必要があります。また、対比的には医療資源が充足している場合であっても、資源を有効的に用いることが求められており（例 ：極めて高薬価な薬剤を処方する際に、医療保障費への影響を考慮する、患者個人の経済的負荷を考慮する）、総合的な診療能力の教育的観点で医療資源への配慮は必須の観点であると考えたため、項目を追加した。"
59,"新規,補足事項）医療資源の過不足によって、診療が影響を受けることは避けられないため、その制約下で診療を行うことは全医師に求められる能力資質といえます。離島・へき地や医師不足地域等では人的資源、物的資源などの医療資源不足が起こりやすく、地域医療体制などの地域における健康課題や医療施設の役割を理解し、臨床的に妥当な初期検査などを用いた柔軟な診療対応を行う必要があります。また、対比的には医療資源が充足している場合であっても、資源を有効的に用いることが求められており（例 ：極めて高薬価な薬剤を処方する際に、医療保障費への影響を考慮する、患者個人の経済的負荷を考慮する）、総合的な診療能力の教育的観点で医療資源への配慮は必須の観点であると考えたため、項目を追加した。"
60,"修正,「ライフサイクル(胎児期・幼児期・小児期・思春期・青年期・老年期・終末期)」→「ライフサイクル(胎児期・新生児期・乳幼児期・学童期・思春期・青年期・老年期・終末期)」に修正ました。（遠藤）"
61,修正
62,修正
63,"修正,第3層の文言修正しました（遠藤）"
64,"修正,第3層の文言修正しました（遠藤）"
65,"修正,第3層の文言修正しました（遠藤）"
66,"修正,第3層の文言修正しました（遠藤）"
67,"修正,第3層の文言修正しました（遠藤）"
68,"修正,第3層の文言修正しました（遠藤）"
69,修正
70,"修正,第3層の文言修正しました（遠藤）"
71,"修正,第3層の文言修正しました（遠藤）"
72,"修正,第3層の文言修正しました（遠藤）"
73,修正
74,修正
75,修正
76,修正
77,修正
78,修正
79,修正
80,修正
81,修正
82,修正
83,修正
84,新規
85,修正
86,修正
87,"修正,下の項目と一部重複しているので、一部修正しました。"
88,修正
89,"修正,家族に限らないので、家族ケアは修正してみましたがいかがでしょうか？（春田）"
90,修正
91,新規
92,修正
93,修正
94,修正
95,修正
96,修正
97,修正
98,修正
99,修正
100,ヒューマンファクターズ 90分 講義
101,インシデントレポート、M＆Mカンファ、2 challenge rule
102,オープンディスクロージャー ロールプレイ90分
103,薬剤の誤投与のビデオ→分析 90×2時間
104,
105,
106,新規
107,睡眠、過重労働、生活習慣とリスク
108,
109,長時間労働の医師の健康管理
110,
111,
112,H28「「臨床実習で経験したことを省察し、自己の課題を明確にする。」を改変
113,
114,
115,新規
116,新規
117,新規
118,新規
119,新設
120,新設
121,新設
122,
123,新設
124,新設
125,新設
126,新設
127,
128,
129,
130,
131,
132,
133,新設
134,
135,新設
136,
137,
138,
139,
140,「細胞の観察ができる」のみでもよいか？(MY)
141,
142,修正済み・ワードファイルでは「外」細胞骨格の外を消しているように見えます（KY）
143,
144,
145,
146,
147,
148,
149,修正済み・ワードファイルでは「説明できる」になっています。(KY)
150,新設
151,
152,
153,修正済み・ワードファイルでは「説明できる」になっています。(KY)
154,
155,修正済み・ワードファイルでは「説明できる」になっています。(KY)
156,
157,
158,
159,新設
160,
161,新設
162,
163,
164,
165,
166,
167,
168,
169,編集あり
170,「個体の」と謳っているが、細胞の話からスタートして違和感があるので、冒頭の項目をC-2-1）に移動しました。(大場)
171,
172,
173,
174,
175,これらは生理学等でも学修します。しかし特に運動整理学は、Dで各系の機能を理解して初めて理解できる『全身に及ぶ生理的変化』すなわちEに適した項目と考えます。(大場)
176,
177,
178,
179,修正済み・ワードファイルでは「説明できる」になっています。（KY）
180,追記(MY)、修正済み・ワードファイルでは「説明できる」になっています。（KY）
181,新設
182,
183,
184,
185,
186,
187,編集あり
188,
189,編集あり
190,新設
191,新設
192,新設
193,
194,新設
195,
196,
197,
198,新設
199,
200,
201,編集あり
202,
203,新設
204,
205,"C-03-01-05-05は感染症に移動を検討,C-03-01-05-04,C-03-01-05-05は感染症に移動を検討"
206,新設
207,新設
208,新設・↓ここから先は、E2領域に含むべき内容なのですが、今のところ入っていないのでとりあえず入れておきます。
209,新設
210,
211,
212,新設
213,
214,
215,
216,新設
217,新設
218,新設
219,
220,修正済み・ワードファイルでは「説明できる」になっています。(KY)
221,修正済み・ワードファイルでは「説明できる」になっています。(KY)
222,修正済み・ワードファイルでは「説明できる」になっています。(KY)
223,修正済み・ワードファイルでは「説明できる」になっています。(KY)
224,新設
225,
226,
227,新設
228,新設
229,新設
230,
231,
232,
233,修正済み・ワードファイルでは「説明できる」になっています。(KY)
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,E-5で取り扱うことも検討できるのではと思います。(野村理)
244,
245,
246,
247,
248,修正済み・ワードファイルでは「説明できる」になっています。(KY)
249,新設
250,
251,
252,
253,修正済み・ワードファイルでは「説明できる」になっています。(KY)
254,「個別の癌は漢字で、それ以外はかなで記載。例）大腸癌、がん検診」とご意見を頂いております。（鋪野）
255,修正済み・ワードファイルでは「説明できる」になっています。(KY)
256,
257,新設・癌免疫、ゲノム診断は入れるべきと思います。(Michiyuki)
258,新設
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
342,"編集あり,E-02-01-na-02は4項目に分割(校正者)"
343,"編集あり,E-02-01-na-02は4項目に分割(校正者)"
344,編集あり
345,編集あり
346,"編集あり,E-02-01-na-05?(校正者)"
347,"編集あり,E-02-01-na-02は4項目に分割(校正者)"
348,"編集あり,E-02-01-na-02は4項目に分割(校正者)"
349,"新設,E-02-01-na-01と関連?(校正者)"
350,編集あり
351,"編集あり,E-02-02-na-01は2項目に分割(校正者)"
352,"編集あり,E-02-02-na-01は2項目に分割(校正者)"
353,新設
354,"新設,E-02-02-na-06と関連?(校正者)"
355,"新設,E-02-02-na-06と関連?(校正者)"
356,"新設,E-02-02-na-06と関連?(校正者)"
357,編集あり
358,E-02-04-05-02は分割(校正者)
359,E-02-04-05-02は分割(校正者)
360,症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）
361,編集あり
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,編集あり
378,
379,
380,
381,編集あり
382,
383,新設
384,編集あり　講義で現状でも教えられている内容です(校正者)
385,"新設,編集あり(校正者)"
386,"新設,編集あり(校正者)"
387,"編集あり,編集あり(校正者)"
388,"編集あり,編集あり(校正者)"
389,"編集あり,編集あり(校正者)"
390,"編集あり,編集あり　グレードを削除(校正者)"
391,"新設, 症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）→まとめました。サルコペニアを加えました。悪液質は他を包含するので加えませんでした。(校正者),まとめました。サルコペニアを加えました。悪液質は他を包含するので加えませんでした。(校正者)"
392,"～について説明できる」と記載, 誤字、真正→真性では？（KY）,編集あり(校正者)"
393,"～について説明できる」と記載,頻度の高い腫瘍追加(校正者)"
394,～について説明できる」と記載
395,"～について説明できる」と記載,腫瘍追加(校正者)"
396,～について説明できる」と記載
397,"～について説明できる」と記載,癌種は色々ですがこのままにしました。(校正者)"
398,～について説明できる」と記載
399,"～について説明できる」と記載,名称を変えたのみで以前と同様です。(校正者)"
400,～について説明できる」と記載
401,"～について説明できる」と記載,癌以外の疾患も必要との意見でした。(校正者)"
402,"～について説明できる」と記載,腫瘍追加(校正者)"
403,"～について説明できる」と記載,編集あり(校正者)"
404,～について説明できる」と記載
405,"新設,重要と考えられる追加記載をしました。(校正者)"
406,重要と考えられる例を挙げました。(校正者)
407,他で包含される部分もありますが残しました。(校正者)
408,"新設,追加しました。(校正者)"
409,"新設,追加しました。(校正者)"
410,"編集あり,編集あり(校正者)"
411,"編集あり,チェックポイント阻害剤以外も包含(校正者)"
412,編集あり(校正者)
413,身体的状況は症候に含まれる(校正者)
414,自己抗体はだいぶ狭い内容です。免疫血清学検査としました。（YM）(校正者)
415,症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）
416,
417,
418,（そもそもチームにも提案したいのですが）発疹は一過性の皮疹の総称ですから、皮疹とされてはいかがでしょうか。(校正者)
419,
420,
421,息切れ削除
422,
423,（そもそもチームの作業で「血尿」のみとなりました。
424,
425,総論的な内容ですが、これでいかがでしょうか。　アナフィラキシーショックのことや最近の分子標的治療薬のことを踏まえると、総論的な免疫系作用薬の学習は必要かと思いますがいかがでしょうか。(校正者)
426,卒業時の到達目標ですからリストアップされる疾患名は必然的に増えるかと思われます。関節リウマチとその他と別立てにしてみました。(校正者)
427,"新設,卒業時の到達目標ですからリストアップされる疾患名は必然的に増えるかと思われます。関節リウマチとその他と別立てにしてみました。(校正者)"
428,
429,（そもそもチームへの提案）SLEは何でも起こしますからそもそも本領域でE-4-2の症候を立てる意義があるのかが悩ましいところです（YM）　SLEの合併症　中枢神経ループスとしました。　あと「など」も付けました。(校正者)
430,
431,
432,これが「概説」だけでよいのか悩みました。(校正者)
433,これが「概説」だけでよいのか悩みました。(校正者)
434,全身性血管炎を血管炎症候群として、医師国家試験出題基準と照合させて、とくに重要なものをピックアップしました。(校正者)
435,
436,"ワードファイルには「主要な全身性アレルギー性疾患の分類と特徴、アナフィラキシー、食物アレルギーの症候、診断と治療を説明できる。」とありました。（KY）,診断と治療は医学生卒業時に必須ではないでしょうか（とくにアナフィラキシーショックを意識）。(校正者)"
437,
438,"新設,AIDSは感染症で(校正者)"
439,"新設,痛風、偽痛風は11他のリウマチ疾患に含めてはいかがでしょうか。(校正者)"
440,新設
441,"E-05-02-na-02,E-05-02-na-04,E-05-02-na-05,E-05-02-na-06,E-05-02-na-07,E-05-02-na-12,E-05-02-na-14は削除(校正者)"
442,
443,新設
444,
445,新設
446,
447,
448,
449,
450,技能チームと議論しF/Gのショックの内容を引き取り
451,
452,技能チームと議論しF/Gの心停止の内容を引き取り
453,
454,修正
455,修正
456,統合
457,
458,
459,振動と騒音について、産業医学領域と協議中(校正者)
460,
461,"このまま残す,3層を「放射線の生体影響と適切な利用と放射線障害」に変更する方がいいと思います(校正者)"
462,このまま残す
463,このまま残す
464,このまま残す
465,このまま残す
466,このまま残す
467,このまま残す
468,放射線を用いる画像検査（X線写真、CT、血管造影インターベンショナルラジオロジー、Ｘ線透視等）の被ばく軽減の原則を知り、それを実行できる。
469,このまま残す
470,このまま残す
471,このまま残す
472,
473,新設
474,新設
475,新設
476,
477,新設
478,新設
479,新設
480,新設
481,新設
482,
483,新設
484,新設
485,新設
486,
487,
488,
489,
490,
491,
492,
493,
494,
495,
496,
497,
498,
499,
500,
501,
502,
503,
504,
505,
506,
507,
508,
509,
510,
511,
512,
513,
514,実施できる→実演できるでは?(近藤)
515,実施できる→実演できるでは?(近藤)
516,
517,
518,
519,
520,
521,
522,
523,
524,
525,"以下から統合(脳神経外科,泌尿器科,麻酔科,リハビリテーション科,眼科,歯科口腔外科,皮膚科,病理診断科,臨床検査科,放射線科,耳鼻咽喉科,形成外科,整形外科,その他)(近藤)"
526,
527,
528,新設、第2層「情報収集」に存在した第3層「検査結果」及び「治療経過」は過去の資料の収集を意図したものであったため、「カルテ記載」に移動した(近藤)
529,病態生理
530,診断の要点と、鑑別診断を統合
531,
532,具体的に何を示すか不明、削除も検討(近藤)
533,
534,
535,"以下から統合小児科,脳神経外科,,臨床検査科,耳鼻咽喉科,産婦人科,皮膚科,形成外科,整形外科,小児の診察,その他,泌尿器科,麻酔科,歯科口腔外科,眼科,病理診断科,放射線科,精神科,内科"
536,"以下から統合、小児科,脳神経外科,臨床検査科,耳鼻咽喉科,産婦人科,皮膚科,形成外科,整形外科,小児の診察,その他,泌尿器科,麻酔科,歯科口腔外科,眼科,病理診断科,リハビリテーション科,放射線科,精神科,内科"
537,
538,
539,
540,
541,
542,
543,
544,身体所見と検査結果の2要素ありそう（小松）
545,第3層を検査の計画、分析、評価でまとめてしまうか。
546,
547,
548,
549,
550,計画と解釈両方を含んでいる(近藤)
551,
552,
553,
554,
555,
556,
557,
558,内視鏡検査の適応を説明できるに修正を提案(近藤)
559,超音波検査の適応を説明できるに修正を提案(近藤)
560,
561,
562,
563,計画と解釈両方を含んでいる(近藤)
564,計画と解釈両方を含んでいる(近藤)
565,経皮的酸素飽和度モニターについては身体所見に移動を(近藤)
566,計画と解釈両方を含んでいる(近藤)
567,計画と解釈両方を含んでいる(近藤)
568,
569,
570,検査計画も
571,治療の要点とあったが、まだ「症候」の状態であり初期対応に変更。また初期対応を説明→初期対応を計画とした(Doesに近づけるため)(近藤)
572,
573,
574,
575,
576,内視鏡治療の適応を説明できるに修正を提案(近藤)
577,
578,
579,
580,
581,
582,
583,
584,
585,
586,
587,
588,
589,
590,
591,
592,
593,
594,
595,
596,
597,
598,
599,
600,
601,
602,
603,
604,
605,
606,
607,
608,
609,
610,
611,
612,
613,
614,
615,
616,
617,
618,
619,
620,
621,
622,
623,
624,
625,
626,
627,
628,
629,
630,
631,
632,
633,
634,
635,
636,
637,
638,
639,
640,
641,
642,
643,
644,治療手技も
645,方略となっている要検討(近藤)
646,方略となっている要検討(近藤)
647,方略となっている要検討(近藤)
648,総合に委託を検討する(近藤)
649,総合に委託を検討する(近藤)
650,総合に委託を検討する(近藤)
651,"以下から統合、小児科,内科,泌尿器科,脳神経外科,麻酔科,リハビリテーション科,眼科,歯科口腔外科,皮膚科,病理診断科,臨床検査科,放射線科,耳鼻咽喉科,形成外科,整形外科,小児の診察,その他"
652,
653,教育計画は学生のレベルとしては高いので第3層から削除→学生でも実現可能と思われるものを新設してみました
654,教育計画は学生のレベルとしては高いので第3層から削除→学生でも実現可能と思われるものを新設してみました
655,
656,
657,初期対応への分類とどちらが良いか？（小松）
658,初期対応への分類とどちらが良いか？（小松）
659,
660,二次救命処置を含む緊急性の高い患者の初期対応に可能な範囲で参加する。から実演できるに変更(近藤)
661,
662,
663,この鑑別診断の部分は統合しても良い(近藤)
664,変更案-作成を見学する→下書きを作成する(近藤)
665,変更案-作成を見学する→実演できる(近藤)
666,治療計画?(近藤)→カルテ記載としてみました(近藤)
667,
668,
669,
670,
671,
672,
673,
674,"分かる→説明できるに。以下から統合。小児科,脳神経外科,臨床検査科,耳鼻咽喉科,産婦人科,皮膚科,形成外科,整形外科,小児の診察,その他,泌尿器科,麻酔科,歯科口腔外科,眼科,病理診断科,外科,リハビリテーション科,放射線科,精神科,内科"
675,
676,
677,
678,
679,
680,
681,
682,
683,
684,
685,（≒プレゼンテーションスキル、小松）
686,新設
687,（≒プレゼンテーションスキル、小松）
688,多職種カンファレンスに入れてしまう（もしくは患者安全の方？）。Ｍ＆Ｍを第4層でもよい。→第4層としてみました。文言はこれで良いでしょうか?(近藤)
689,医師カンファレンスに入れてしまう。ＣＰＣを第4層にでもよい。→第4層の場合医師カンファレンスが第3層でしょうか? CPCは治療を含む対応の実施では内転が気にかかります(近藤)
690,
691,
692,
693,重複となるが、病歴・身体所見の部分にも入れてもいいかも（小松）
694,
695,
696,
697,
698,
699,
700,F-03-05-01-03　C-7と統合してC-6を残す
701,A-04-02-00-07
702,F-03-02-00-02
703,A-04-01-00-01
704,A-04-01-00-02
705,C-05-07-00-06
706,C-05-07-00-01
707,
708,F-03-05-01-01
709,A-04-02-00-01
710,E-06-03-00-01
711,A-04-01-00-03（重複確認(技術参与)）
712,A-04-02-00-02 LGBTQの用語を入れる予定
713,E-06-03-00-02
714,C-05-08-00-01 行動科学と重複かも
715,C-05-08-00-05　説明できる、に戻した
716,F-02-01-00-04：技能チーム？
717,G-01-01-03-11
718,F-02-01-00-07
719,E-09-01-00-07
720,A-04-02-00-03
721,"F-03-05-08-04,G-04-01-03-04 技能チーム？"
722,F-02-01-00-02
723,G-04-01-07-04：多職種？
724,A-04-02-00-05
725,A-04-01-na-03（重複確認）
726,新設
727,新設（情報分野か？）
728,新規
729,新規
730,新規
731,新規
732,新規
733,新規
734,新規
735,新規
736,新規
737,新規
738,新規
739,新規
740,新規
741,新規
742,新規
743,新規
744,修正：左記の学修目標では、保健、医療、福祉と介護のチーム連携における医師の役割を説明できると記載されていたが、患者やセッティングに応じて優先する職種が異なることもあるため、細かい文脈は方略に記載することを提案する。
745,新規
746,修正：左記の学修目標の後半には、連携・責任体制を説明できるとなっており、学生に求める目標としては高いため、削除した。他職種も医療チームの構成や各構成員（医師、歯科医師、薬剤師、看護師、その他の医療職）と保健、医療、福祉と介護のチーム連携が別に分かれていたため、ここは統合し、他職種とし方略に記載することを提案する。
747,新規
748,新規
749,新規
750,
751,新規
752,新規
753,
754,新規
755,B-01-08-na-13　追加
756,
757,B-01-05-na-02　追加
758,
759,
760,新規
761,B-01-05-na-02は栄養・食育・食生活なので、新規扱いで可
762,
763,"B-01-08-na-13は　障害者福祉・精神保健医療福祉。
D-14-04-01-09　歯科疾患（う蝕、歯周病等）とその全身への影響や口腔機能管理を概説できる　を追加。"
764,
765,
766,
767,
768,新規
769,
770,新規
771,新規
772,
773,
774,
775,
776,
777,
778,
779,新規
780,新規
781,
782,
783,
784,
785,新規
786,新規
787,新規
788,
789,
790,
791,
792,
793,
794,
795,
796,
797,新規
798,新規
799,
800,「バリアフリー」の方が馴染みがある用語でしょうか。（鋪野）
801,
802,新規
803,新規
804,新規
805,
806,
807,
808,
809,
810,
811,
812,
813,新設
814,
815,
816,
817,
818,部会からの提案を一部修正した案を採用（春田）
819,部会からの提案を一部修正した案を採用（春田）
820,部会からの提案を一部修正した案を採用（春田）
