"タブ名","第1層イニシャル","第1層","第1層説明","編集用シート","第2層","第2層説明","第2層メモ","第3層","UID","第4層","メモ","H28対応項目","H28の記述","査読への返答","A","B","C","D","E","F","G","H","I","情報チーム"
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","他者理解と自己理解","JkxiJVU","他者を理解するためにはどのようなことを知る必要があるか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","A-01-02-na-01,A-01-03-na-02","リスボン宣言等に示された患者の基本的権利を説明できる。,患者やその家族のもつ価値観や社会的背景が多様であり得ることを認識し、そのいずれにも柔軟に対応できる。","A: そもそも「他者理解」とは何か？という問いに変換しました。他者は理解できない、という前提があり、どこまで理解できるのだろうか、理解できるとはどういう状態なのだろうか、といったことを考えてほしいと意図を込めております。他者を理解しようとし続けることが、人（病める人）との関係を構築していく上で医療専門家には求められることだと思われます。C:自己理解については、総合の「省察」と、プロフェッショナリズムの5「自己の限界」と13「自分と自集団の持つ偏見」とで扱っています。E:漠然とした問いで、哲学的ではあるのですが、医療を実践する上では非常に重要な問いなのではないかと思っております。問いについては、全体会議を受けて平叙文としています。","一般論としての他者理解と自己理解は第３層ならOKですが、第４層は具体的な記載が必要
プロフェッショナリズムの１項目として何が求められるのでしょうか","","5で自己の限界しか触れないのであれば、ここは「自己と他者」を対象とするほうがいいのではないでしょうか。「自己と他者を理解するにはどうすればよいか？","","漠とした問なので割愛","","","","",""
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","他者理解と自己理解","JkxiJVY","他者を適切に理解するための妨げとなる自分や自集団の偏見とはどのようなものか？","プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","A-01-03-na-02, A-01-02-na-01","患者やその家族のもつ価値観や社会的背景が多様であり得ることを認識し、そのいずれにも柔軟に対応できる。,リスボン宣言等に示された患者の基本的権利を説明できる。","C:自分たちの持つ価値観（いわゆるpositiveな方向性を持つもの）ではなく、偏見(negativeは方向性を持ち、見えないもの）に自覚的であることは非常に難しいと考えたため、この問いとしました。この偏見は、見えないがために他者を理解する上で気づかない障壁になっている可能性があるのではないか、と考えております。（これは「社会的公正教育」において指摘されていることで、例えば差別の問題、ジェンダーの問題などは、この「偏見」（あるいは「特権」）に自覚的でなければなかなか乗り越えることができない、と言われております。）","","","自分や自集団の偏見は妨げになることが多いですが、自分や自集団の持つ価値観を知ることは他者を適切に理解するために必要なことだと考えると、「他者を理解する上で影響しうる自分や自集団の価値観はどのようなものか？」","","","","","","",""
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","品格・礼儀","JkxiJVc","礼儀正しく振る舞うにはどのように行動すればよいか？","新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","","","E:「一見無礼でも患者思い」は、外からみて「無礼」であっても患者さんと医師の関係性において適切な「礼節」であるという意味でしょうか？そうであればそれも「礼儀正しさ」であるといえるのかもしれない、と考えました。ここで記載した「礼儀」で想定していたのは「挨拶」を含む、非常に基本的な、関係を構築する上で必要な、相手を不快にさせない（相手に誤解させない）ような立ち居振る舞いについて、でした。","","","","","礼儀正しく振る舞うのが絶対の善という価値観は疑問、一見無礼でも患者思いの名医は存在しうる∴割愛","","","","",""
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","思いやり","品格と礼儀を持って、他者を適切に理解し、思いやりを持って接する","","品格・礼儀","JkxiJVg","医師に求められる品格とは何か？","新設, プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","","","C:入れ替えました。H:文頭に「以下について考え続けそして適切に行動できる」を付記しました。評価は難しいと思います。ここでは、「考え続け、それに基づき行動しようとすること」を重視しており、何が品格か定義し、評価することはあまり想定しておりません。","","","第３層が品格・礼儀の順なので、上記と入れ替え？","","","","","具体的な方略や評価が難しいように思います。「議論できる」くらいならいいと思いました。","",""
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","社会正義","社会的公正を実現する","","医療資源の公平な分配","JkxiJVk","医療資源を公平に分配するにはどのように行動すればよいか？（保留）","新設,プロフェッショナリズムという概念は多義的であるが、医学教育モデル・コア・カリキュラムでは「医療専門職としての倫理的態度」に焦点をあてて記述している","","","C:医療資源の公平な分配とはどういうことなのか？についてまず考える必要があると考え改訂しました。H:社会制度・医療制度とは関連がありますが、それら制度についてだけでなく、社会状況、人々の言説、医療現場の状況、自分の経験や価値観などを含め、多角的に「公平性」について考える必要があるのではないか、と考えこの問いを設定してみました。＞問いを平叙文にしましたが「考える」要素は残しました。","","","「医療資源の公平な分配を妨げる行動とはなにか。」","","","","","医療保険制度や社会制度と関連しますでしょうか","保留中。",""
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","社会正義","社会的公正を実現する","","社会的弱者への配慮","JkxiJVo","社会的弱者とはどのような人たちを指すのか？","新設","","","SDHについては総合・社会的弱者については社会の中にあるため、こちらは削除しています。患者が弱者であると理解することについては「他者理解」に含まれていると考えております。","患者は社会的な弱者とは限らないと思います。（患者＝すでに弱者です）
患者が弱者であることを理解し、医師（医学生）として配慮することができる","","その人固有に備わった性質によってだけでなく、構造や関係性の中で弱者となりうることに目を向けることが、弱者に対するアドヴォケートの役割として必要だと思うので、「どのような社会構造や関係性の中で、どのような特性を持つ人たちが社会的弱者となりうるか？」はどうでしょうか。","","18に統合（定義は割愛）","","","17と１８はまとめてもいいように思います","",""
"プロ","PR","プロフェッショナリズム","人の命に深く関わり健康を守るという医師の職責を十分に自覚し、多様性・人間性を尊重し、利他的な態度で診療にあたりながら、医師としての道を究めていく。","https://docs.google.com/spreadsheets/d/1So2CGTlwhn7b7q9fVkpC2AiB1YhkY94u-PGCE-_6X4A/edit?usp=sharing","社会正義","社会的公正を実現する","","社会的弱者への配慮","JkxiJVs","社会的弱者の健康問題を解決するためにどのように行動すればよいか？","新設","","","同上","繰り返しますが、社会正義のなかには社会的弱者しか入らないのでしょうか","","","","","１７か１８どちらかにまとめてよいのではと思います。","","","",""
"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","https://docs.google.com/spreadsheets/d/1OdRPC2zVybWtHPqjAvArtX3qW_pB5S9XCBlQzCA2Q7k/edit?usp=sharing","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。","","臓器横断的な診療","JkxpsrE","臓器横断的に医学的課題を捉えることができる。","新規","","Loading...","","","","","","","","","","",""
"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","https://docs.google.com/spreadsheets/d/1OdRPC2zVybWtHPqjAvArtX3qW_pB5S9XCBlQzCA2Q7k/edit?usp=sharing","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。","","臓器横断的な診療","JkxpsrI","適切な医療機関や診療科につなぐ重要性について概説できる。","新規","","","","","","","","","","","","",""
"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","https://docs.google.com/spreadsheets/d/1OdRPC2zVybWtHPqjAvArtX3qW_pB5S9XCBlQzCA2Q7k/edit?usp=sharing","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。","","臓器横断的な診療","JkxpsrM","臨床推論の基本的なフレームワークを概説できる。","修正","F-02-01-na-02,F-02-01-na-03,F-02-01-na-04","","（変更あり）ご指摘の通り、フレームワークについては。普遍的に用いられている項目（査読者にご指摘頂いた事例など）を追記させて頂きました。","基本的なフレームワークという言葉で誰もが同じものを想像できるでしょうか","「基本的なフレームワーク」がわかりにくい","カリキュラム作成者に対する情報としては「基本的なフレームワーク」に何が含まれるかがより具体的なほうがよいと思いました。「〜の基本的なフレームワーク（診断仮説、鑑別診断、二重課程理論（dual process theory）など）を概説できる」https://www.tandfonline.com/doi/full/10.1080/0142159X.2020.1842343","","","","","概説できる、でいいのでしょうか。","フレームワークの例がないと確かにイメージしにくいと思います。例としてキーワードとしてここに記載するか、方略で記載するか。",""
"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","https://docs.google.com/spreadsheets/d/1OdRPC2zVybWtHPqjAvArtX3qW_pB5S9XCBlQzCA2Q7k/edit?usp=sharing","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。","","臓器横断的な診療","JkxpsrQ","主訴に応じて必要な医療面接・身体診察をすることができる。","修正, 矢野先生からのコメント「共用試験では問診→医療面接に統一」とありましたので、合わせて医療面接に修正しました。（鋪野）→はい、よいと思います（春田）","A-03-01-na-02,G-01-01-03-01,G-04-01-06-01","","（変更なし）H28の項目についてスリム化を目的とし統合、その上で本項目を作成しております。技能チームと重複する可能性が場合、検討させて頂けますと幸いです。","検査計画、治療計画までは不要ということでいいですね（確認）","","","","","","","","",""
"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","https://docs.google.com/spreadsheets/d/1OdRPC2zVybWtHPqjAvArtX3qW_pB5S9XCBlQzCA2Q7k/edit?usp=sharing","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。","","臓器横断的な診療","JkxpsrU","未分化で多様かつ複雑な健康問題を概説できる。","新規","","","（変更あり）ご指摘の通り、「未分化で多様かつ複雑」という表現は曖昧であると判断しました。そのため、より具体的な用語（臓器に特定されない健康問題など）に変更を行なっております。また、概説のレベルから、これらの問題に対するアプローチを説明できるというレベルに変更を行い対応させて頂きました。","未分化で多様かつ複雑という表現が誰もに通じるかどうかご検討ください。
しかも「概説できる」なので","","","","","","","言葉が少し難しいのですが、具体例をしめすことはできますでしょうか。","",""
"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","https://docs.google.com/spreadsheets/d/1OdRPC2zVybWtHPqjAvArtX3qW_pB5S9XCBlQzCA2Q7k/edit?usp=sharing","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。","","臓器横断的な診療","JkxpsrY","多疾患併存や複数臓器にまたがる疾患のパターンや介入方法を概説できる。","新規","","","（変更あり）ご指摘の通り、パターンの部分は曖昧であったため、削除することで対応しております。","パターンという限りは一定の法則があるように聞こえますがそうですか？","","","","","","","パターン、というよりは、問題点やその介入方法、でしょうか","",""
"総合","GE","総合的に患者・生活者をみる姿勢","患者の抱える問題を臓器横断的に捉えた上で、心理社会的背景も踏まえ、ニーズに応じて柔軟に自身の専門領域にとどまらずに診療を行い、個人と社会のウェルビーイングを実現する。","https://docs.google.com/spreadsheets/d/1OdRPC2zVybWtHPqjAvArtX3qW_pB5S9XCBlQzCA2Q7k/edit?usp=sharing","全人的な視点とアプローチ","患者の抱える問題を臓器横断的だけでなく心理・社会的視点で捉え、専門領域にとどまらない姿勢で責任をもって診療に関わり、最善の意思決定や行動科学に基づく臨床実践に関与できる。","","臓器横断的な診療","Jkxpsrc","ポリファーマシーのパターンや介入方法を概説できる。","修正","E-08-01-na-09,F-02-08-na-14","","（変更あり）ご指摘の通り、パターンの部分は曖昧であったため、削除することで対応しております。","パターンについて同上です
H28に比べて具体的にわかりにくくならないように","","","","","","","","",""
