第1層,第2層,第3層,第4層,H28ID
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,他のリウマチ性疾患（強直性脊椎炎・反応性関節炎・乾癬性関節炎・掌蹠膿疱症性関節炎・結晶誘発性関節炎・変形性関節症・リウマチ性多発筋痛症・線維筋痛症・IgG4関連疾患・再発性多発軟骨炎・リウマチ熱）の病態生理、症候、診断、治療とリハビリテーションを説明でき、節外症状を説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,二次性免疫不全症（悪性腫瘍・医原性・自己免疫疾患による）の病態、診断と治療を概説できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,自己炎症性疾患の病態、診断、治療を説明できる。,
情報・科学技術を活かす能力,情報・科学技術に向き合うための倫理観とルール,情報・科学技術に向き合うための準備,情報・科学技術を医療に活用することの重要性と社会的意義を説明できる。,
情報・科学技術を活かす能力,情報・科学技術に向き合うための倫理観とルール,情報・科学技術に向き合うための準備,医療における情報・科学技術に関連する規制（法律・ガイドラインを含む）を説明できる。,
情報・科学技術を活かす能力,情報・科学技術に向き合うための倫理観とルール,情報・科学技術に向き合うための準備,デジタルデバイドによる医療格差など、情報・科学技術の医療への活用で起こりうる倫理的問題を議論できる。,
情報・科学技術を活かす能力,情報・科学技術に向き合うための倫理観とルール,情報・科学技術利用にあたっての倫理観とルール,ソーシャルメディア（インターネット、SNSなど）の利用における医療者として相応しい情報発信のあり方を理解し、実践できる。,
情報・科学技術を活かす能力,医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術を活用した医療,情報端末（コンピューター、スマートフォンなど）によるインターネットやアプリ等の医療への活用方法を説明できる。,
情報・科学技術を活かす能力,医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術を活用した医療,情報・科学技術を用いて収集した情報およびデータを基に問題解決を図る。,
情報・科学技術を活かす能力,医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術の先端知識,医療に関連する情報・科学技術（医療情報システム、ウェアラブルデバイス、アプリ、人工知能、遠隔医療技術、Internet of Things （IoT）など）を理解し、応用の可能性を議論できる。,
情報・科学技術を活かす能力,医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術の先端知識,情報・科学技術の専門家とともに、技術を医療へ応用する際に、医療者に求められる役割を理解する。,
情報・科学技術を活かす能力,医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術の先端知識,削除：新たに開発される情報・科学技術に順応し、それらを自身の学び及び医療に活用する習慣を身につける。,
情報・科学技術を活かす能力,診療現場における情報・科学技術の活用,情報・科学技術を活用したコミュニケーションスキル,遠隔コミュニケーションの目的に応じて適切なツール（電子メール、テレビ会議システム、SNSなど）を選択できる。,
情報・科学技術を活かす能力,診療現場における情報・科学技術の活用,情報・科学技術を活用した学習スキル,自己学習や協同学習の場に適切なInformation and Communication Technology (ICT)（eラーニング、モバイル技術など）を活用できる。,
情報・科学技術を活かす能力,診療現場における情報・科学技術の活用,情報・科学技術を活用した学習スキル,削除：既存の医療関連デジタル技術（医療情報システム、モバイルアプリ、ウェアラブルデバイス、人工知能、遠隔医療技術など）の理解を基盤とし、新たに登場する情報・科学技術について探索的に学ぶ。,
情報・科学技術を活かす能力,診療現場における情報・科学技術の活用,情報・科学技術を活用した学習スキル,新たに登場する情報・科学技術を自身の学びおよび医療に活用する柔軟性を有する。,
患者ケアのための診療技能,患者の情報収集,身体所見,脳神経系の診察ができる（眼底検査を含む）。,
患者ケアのための診療技能,患者情報の統合、分析と評価、診療計画,カルテ記載,過去の診療経過をまとめて診療録に記載できる,
患者ケアのための診療技能,患者情報の統合、分析と評価、診療計画,教育計画,代表的な疾患における患者指導が計画できる,
患者ケアのための診療技能,治療を含む対応の実施,書類の作成,各種同意書を用いた説明を実演できる,
患者ケアのための診療技能,治療を含む対応の実施,診療計画カンファレンス,多職種カンファレンスに参加し発言することができる。,
患者ケアのための診療技能,診療経過の振り返りと改善,振り返りカンファレンス,M&Mカンファレンスに参加し発言することができる,
患者ケアのための診療技能,診療経過の振り返りと改善,振り返りカンファレンス,CPCカンファレンスに参加し発言することができる,
コミュニケーション能力,患者や家族のニーズの把握と配慮,患者や家族の視点から、心理・社会的背景に配慮した診療を行うことができる,不確実な状況や医学的に説明困難な症状に配慮した対応がを説明できる。,
コミュニケーション能力,患者や家族のニーズの把握と配慮,患者や家族の視点から、心理・社会的背景に配慮した診療を行うことができる,削除：遠隔診療におけるコミュニケーションと対面コミュニケーションの違いについて概説できる。,
社会における医療の役割の理解,社会保障,公衆衛生,公衆衛生（地域共生社会含む）の概念を説明できる。,
社会における医療の役割の理解,社会保障,公衆衛生,公衆衛生活動（健診、健康づくりイベントなど）の意義を理解し、役割の一部を担うことができる。,
社会における医療の役割の理解,社会保障,社会保険、公的扶助、社会福祉,生存権などの健康に関する基本的人権と社会保障（社会保険、社会福祉、公的扶助）を説明できる。,
社会における医療の役割の理解,社会保障,社会保険、公的扶助、社会福祉,国民皆保険としての医療保険、介護保険、年金保険を含む社会保険を説明できる。,
社会における医療の役割の理解,社会保障,地域保健,削除:特定健康診査・特定保健指導、高齢者の医療の確保に関する法律（高齢者医療確保法）等、成人及び高齢者保健施策（介護予防含む）を説明できる。,
社会における医療の役割の理解,社会保障,産業保健・環境保健,削除:水道、建築物における衛生的環境の確保に関する法律（建築物衛生法）、住宅環境等、生活環境衛生施策を説明できる。,
社会における医療の役割の理解,社会保障,健康危機管理,健康危機の概念と種類、それらへの対応(リスクコミュニケーションを含む）を説明できる,
社会における医療の役割の理解,社会保障,健康危機管理,削除：健康危機時のリスクコミュニケーションを説明できる。,
社会における医療の役割の理解,疫学・医学統計,保健統計,削除：e-Stat（政府統計の窓口）を利用できる。,
社会における医療の役割の理解,疫学・医学統計,疫学,疫学の役割を公衆衛生と臨床の視点で説明できる。,
社会における医療の役割の理解,疫学・医学統計,疫学,急性感染症に特異的な疫学的アプローチを説明できる。,
社会における医療の役割の理解,疫学・医学統計,疫学,エビデンスの限界を踏まえて、集団に影響する意思決定の重要性を説明できる。,
社会における医療の役割の理解,疫学・医学統計,データ解析と統計手法,尺度（間隔、比、順序、名義）を説明できる。,
社会における医療の役割の理解,社会の構造や変化から捉える医療,社会格差と医療,削除：社会的弱者の立場にある患者の代弁者となることができる,
社会における医療の役割の理解,社会の構造や変化から捉える医療,社会格差と医療,社会格差を解消するために社会に対して行動できる,
社会における医療の役割の理解,社会の構造や変化から捉える医療,気候変動と医療,気候変動と医療との関係性を理解できる,
社会における医療の役割の理解,社会の構造や変化から捉える医療,気候変動と医療,患者が抱える健康に関する課題と気候変動との関係を想像できる,
社会における医療の役割の理解,社会の構造や変化から捉える医療,気候変動と医療,地球環境が抱える諸課題を認識し、その解決のために行動できる,
社会における医療の役割の理解,社会の構造や変化から捉える医療,歴史と医学・医療,医学・医療の歴史的変遷を踏まえ現代の医学的問題を相対化できる,
社会における医療の役割の理解,国内外の視点から捉える医療,国内の医療職の役割や医療体制,地域医療提供体制に関する諸課題の相互関連性を構造的に説明できる。,
社会における医療の役割の理解,国内外の視点から捉える医療,国内の医療職の役割や医療体制,医療提供体制と医師の働き方について考え方を述べることができる。,
社会における医療の役割の理解,国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,国際的に取り組む必要のある医療・健康課題を歴史・社会的背景を踏まえて、説明できる。,
