診療科,H28対応項目,メモ,H28の記載,項目,検査項目,UID,Unnamed: 3,修正提案(20220302),査読コメント(20220302),チームからの返信（原案どおりなら１、修正案に賛成なら２）,チームからのコメント（あれば）,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,臓器,分類,項目名,H28表記,項目名(202004113)作業用,項目名(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),チームからの修正提案(20220317),チームからのコメント(20220317),医学教育課修正案(20220317),医学教育課からのコメント(20220317),項目名(20220302査読直前),削除項目,追加項目,査読への返答,A,B,C,D,E,F,G,H,I,カテゴリ,サブカテゴリ,疾患,修正案(20220318),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス,基本的臨床手技,目標レベル,診察項目,医学教育課修正案(20220327),医学教育課からのコメント(20220327),Unnamed: 7,検査項目(20220302査読直前),Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,主要症候,検討すべき鑑別疾患,錦織
耳鼻咽喉科,"G-04-02-04-01,G-04-02-04-02,G-04-02-04-03,G-04-02-04-04,G-04-02-04-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泌尿器科,"G-04-02-05-01,G-04-02-05-02,G-04-02-05-03,G-04-02-05-04,G-04-02-05-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脳神経外科,"G-04-02-06-01,G-04-02-06-02,G-04-02-06-03,G-04-02-06-04,G-04-02-06-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
放射線科,"G-04-02-07-01,G-04-02-07-02,G-04-02-07-03,G-04-02-07-04,G-04-02-07-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麻酔科,"G-04-02-08-01,G-04-02-08-02,G-04-02-08-03,G-04-02-08-04,G-04-02-08-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
病理診断科,"G-04-02-09-01,G-04-02-09-02,G-04-02-09-03,G-04-02-09-04,G-04-02-09-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臨床検査科,"G-04-02-10-01,G-04-02-10-02,G-04-02-10-03,G-04-02-10-04,G-04-02-10-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
形成外科,"G-04-02-11-01,G-04-02-11-02,G-04-02-11-03,G-04-02-11-04,G-04-02-11-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
リハビリテーション科,"G-04-02-13-01,G-04-02-13-02,G-04-02-13-03,G-04-02-13-04",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
歯科口腔外科,"G-04-02-14-01,G-04-02-14-02,G-04-02-14-03,G-04-02-14-04,G-04-02-14-05",,"主訴からの診断推論を組み立てる、又はたどる。,疾患の病態や疫学を理解する。,該当診療科の治療に可能な範囲で参加する。,該当診療科の基本的な診察技能について学ぶ。,どのように該当診療科にコンサルテーションすればよいかわかる。",[別表]基本的診療科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-08,,,[別表]主要な臨床検査,血算、凝固・線溶検査、尿・糞便検査、生化学検査,JkxirwY,説明→理解,血算,,,,,技能で審議しこのままとしました,61列に項目を記載すればここで個別は不要,61-63が「臨床検査」となっているのに、ここで具体的な血液検査の項目が出てくると、レイヤーの異なりが目立つ,,,他所で行うので削除で良いのでは？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-08,,,[別表]主要な臨床検査,,,,生化学検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-08,,,[別表]主要な臨床検査,,,,凝固・線溶検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-11,,,[別表]主要な臨床検査,,,,免疫血清学検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-08,,,[別表]主要な臨床検査,,,,尿検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-08,,,[別表]主要な臨床検査,,,,便検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-11,,,[別表]主要な臨床検査,免疫血清学検査、輸血検査,Jkxirwc,説明→理解,削除,,,,計画と解釈両方を含んでいる(近藤),技能で審議しこのままとしました,61列に項目を記載すればここで個別は不要,,,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-13-na-02,,,[別表]主要な臨床検査,血液型（ABO、RhD）検査、血液交差適合（クロスマッチ）試験、不規則抗体検査,Jkxir08,動詞を変更,血液型（ABO、RhD）検査、血液交差適合（クロスマッチ）試験、不規則抗体検査,,,,,技能で審議しこのままとしました,,,実習で行っており、学生の医行為にも入っているので、「実施できる」でよいのでは。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-14,,,[別表]主要な臨床検査,動脈血ガス分析,JkxirxY,説明→理解,動脈血ガス分析,,,,経皮的酸素飽和度モニターについては身体所見に移動を(近藤),技能で審議しこのままとしました,,,,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？で良いのでは？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G-03-02-na-04,,,[別表]主要な臨床検査,妊娠反応検査,Jkxiryk,後半の動詞を変更,妊娠反応検査,,,,治療計画から移動(近藤)(2022/2/14),技能で審議しこのままとしました,・・説明でき、実演できる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-13,,,[別表]主要な臨床検査,細菌学検査（細菌の塗抹、培養、同定、薬剤感受性試験）,JkxirxU,説明→理解,細菌学検査（細菌の塗抹、培養、同定、薬剤感受性試験）,,,,計画と解釈両方を含んでいる(近藤),技能で審議しこのままとしました,,「結果を解釈できる」はしっくりきます,,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-15,,,[別表]主要な臨床検査,脳脊髄液・胸水・腹水検査,Jkxirxc,説明→理解,脳脊髄液,,,,計画と解釈両方を含んでいる(近藤),技能で審議しこのままとしました,,,,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-15,,,[別表]主要な臨床検査,,,,胸水検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-15,,,[別表]主要な臨床検査,,,,腹水検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-02-03-na-10,F-02-04-na-03,F-02-04-na-04",,,[別表]主要な臨床検査,病理組織検査や細胞診検査（術中迅速診断を含む）,Jkxirwk,説明→理解,病理組織検査や細胞診検査（術中迅速診断を含む）,,,,フローサイトメトリーは知識への移行を考慮(近藤)(2022/2/14),フローサイトメトリーは削除し、技能で審議しこのままとしました,"61列に項目を記載すればここで個別は不要
フローサイトメトリーをわざわざ書く理由がない（恐らく昭和コアカリの遺物）",「説明できる」でよいか？,,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-04-na-01,,,[別表]主要な臨床検査,病理診断、細胞診,Jkxirxg,説明→理解,,Jkxirwkに統合,,,計画と解釈両方を含んでいる(近藤),技能で審議しこのままとしました,,,,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-09,,,[別表]主要な臨床検査,染色体・遺伝子検査,Jkxirwg,説明→理解,染色体・遺伝子検査,,,,,技能で審議しこのままとしました,61列に項目を記載すればここで個別は不要,,,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-12,,,[別表]主要な臨床検査,生体機能検査（心電図、心臓機能検査、呼吸機能検査、超音波検査、内分泌・代謝機能検査、脳波検査、針筋電図検査、末梢神経伝導検査）,JkxirxQ,説明→理解,心電図,,,,計画と解釈両方を含んでいる(近藤),技能で審議しこのままとしました,上の７５と統合,,,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-12,,,[別表]主要な臨床検査,,,,呼吸機能検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]主要な臨床検査,,,,内分泌・代謝機能検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-03-na-12,,,[別表]主要な臨床検査,,,,脳波検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-02-07-na-01,F-02-07-na-02,F-02-07-na-05",,,[別表]主要な臨床検査,超音波検査,JkxirxA,説明→理解,超音波検査,ママ,,,超音波検査の適応を説明できるに修正を提案(近藤),技能で審議しこのままとしました,読影も,「説明できる」でよいか？,79に統合、削除,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？,,,適応を述べるだけなら知識ではないでしょうか,エコーか超音波か、コアカリ全体で統一。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-05-na-01,,,[別表]主要な臨床検査,エックス線撮影、CT、MRIと核医学検査,Jkxirw4,説明→理解,X線撮影,24-27に分離,,,原理→適応に修正(近藤)(2022/2/14),技能で審議しこのままとしました,原理の説明だけでなく、一定レベルまでの読影まで求めて（主要疾患のCT/MRIの読影ができる・・・等）下の84との統合しては,「説明できる」でよいか？,84と統合して削除？,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？,,,原理だけなら知識でしょうか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]主要な臨床検査,,,,CT検査,24-27に分離,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[別表]主要な臨床検査,,,,MRI検査,24-27に分離,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-02-05-na-02,,,[別表]主要な臨床検査,エックス線撮影、CT、MRIと核医学検査,Jkxirxk,ママ,核医学検査,24-27に分離,,,読影が説明できる→基本的な読影ができる(近藤)(2022/2/14),読影できるとしました,「主要な疾患において読影できる（あるいは解釈できる）」まで求めてもいいと思います,,73と統合して「〜の原理、目的と適応を説明し、読影できる」としては？,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？,,,73と統合でどうでしょうか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"F-02-06-na-01,F-02-06-na-02",,,[別表]主要な臨床検査,内視鏡検査,Jkxirw8,ママ,内視鏡検査,,,,内視鏡検査の適応を説明できるに修正を提案(近藤),技能で審議しこのままとしました,読影も,「説明できる」でよいか？,他とあわせて「〜の適応を説明し、結果を解釈できる」としては？,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？,,,適応を述べるだけなら知識ではないでしょうか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-01-01-na-01,,,[別表]知識,,JlAKpVg,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,構造と機能,骨髄の構造,骨髄の構造を説明できる。,骨髄の構造,骨髄の構造,,,,,,,骨髄の構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-01-01-na-02,,,[別表]知識,,JlAKpVk,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,構造と機能,造血幹細胞から各血球への分化と成熟の過程,造血幹細胞から各血球への分化と成熟の過程を説明できる。,造血幹細胞から各血球への分化と成熟の過程,造血幹細胞から各血球への分化と成熟の過程,,,,,,,造血幹細胞から各血球への分化と成熟の過程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-01-01-na-03,,,[別表]知識,,JlAKpVo,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,構造と機能,主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子（G-CSF）、トロンボポエチン）,主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子(granulocyte-colony stimulating factor <G-CSF>)、トロンボポエチン）を説明できる。,主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子（G-CSF）、トロンボポエチン）,主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子（G-CSF）、トロンボポエチン）,,,,,,,主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子（G-CSF）、トロンボポエチン）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-01-01-na-04,,,[別表]知識,,JlAKpVs,,脾臓、胸腺、リンパ節、扁桃とパイエル板の構造と機能,,,,,,,,,,,,,,,血液・造血器・リンパ系,構造と機能,脾臓、胸腺、リンパ節、扁桃とPeyer板の構造と機能,脾臓、胸腺、リンパ節、扁桃とPeyer板の構造と機能を説明できる。,脾臓、胸腺、リンパ節、扁桃とPeyer板の構造と機能,脾臓、胸腺、リンパ節、扁桃とPeyer板の構造と機能,,,,,,,脾臓、胸腺、リンパ節、扁桃とPeyer板の構造と機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-01-01-na-05,,,[別表]知識,,JlAKpVw,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,構造と機能,血漿タンパク質の種類と機能,血漿タンパク質の種類と機能を説明できる。,血漿タンパク質の種類と機能,血漿タンパク質の種類と機能,,,,,,,血漿タンパク質の種類と機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-01-01-na-06,,,[別表]知識,,JlAKpV0,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,構造と機能,赤血球とヘモグロビンの構造と機能,赤血球とヘモグロビンの構造と機能を説明できる。,赤血球とヘモグロビンの構造と機能,赤血球とヘモグロビンの構造と機能,,,,,,,赤血球とヘモグロビンの構造と機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-01-01-na-07,,,[別表]知識,,JlAKpV4,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,構造と機能,白血球の種類と機能,白血球の種類と機能を説明できる。,白血球の種類と機能,白血球の種類と機能,,,,,,,白血球の種類と機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-01-01-na-08,,,[別表]知識,,JlAKpV8,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,構造と機能,血小板の機能と止血や凝固・線溶の機序,血小板の機能と止血や凝固・線溶の機序を説明できる。,血小板の機能と止血や凝固・線溶の機序,血小板の機能と止血や凝固・線溶の機序,,,,,,,血小板の機能と止血や凝固・線溶の機序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,",,,[別表]知識,,JlAKpWA,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,症候,発熱,"発熱,全身倦怠感,黄疸,貧血,出血傾向,リンパ節腫脹,{not found: }",発熱,発熱,,,,,,,発熱,"D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,",,,[別表]知識,,JlAKpWE,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,症候,全身倦怠感,"発熱,全身倦怠感,黄疸,貧血,出血傾向,リンパ節腫脹,{not found: }",全身倦怠感,全身倦怠感,,,,,,,全身倦怠感,"D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,",,,[別表]知識,,JlAKpWI,,,,,,,,,,,,,,,,,血液・造血器・リンパ系,症候,黄疸,"発熱,全身倦怠感,黄疸,貧血,出血傾向,リンパ節腫脹,{not found: }",黄疸,黄疸,,,,,,,黄疸,"D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
