"","第1層","第2層","第3層","第4層"
20,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 臓器横断的な診療","未分化で多様かつ複雑な健康問題を概説できる。"
21,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 臓器横断的な診療","多疾患併存や複数臓器にまたがる疾患のパターンや介入方法を概説できる。"
22,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 臓器横断的な診療","ポリファーマシーのパターンや介入方法を概説できる。"
23,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ","生物・心理・社会的な問題への包括的な視点","身体・心理・社会の問題を統合したアプローチについて概説できる。"
24,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ","生物・心理・社会的な問題への包括的な視点","個人・家族の双方への影響を踏まえたアプローチについて概説できる。"
25,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ","生物・心理・社会的な問題への包括的な視点","性別、国籍、障害、宗教など多様な背景を持つ患者の価値観を尊重できる。"
26,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ","生物・心理・社会的な問題への包括的な視点","トラウマ・インフォームドケアの対応について概説できる。"
27,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ","患者中心の医療","個々の患者の医療への期待、解釈モデル、健康観を聞き出すことができる。"
28,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ","患者中心の医療","患者の社会的背景（経済的・制度的側面など）が個々の病いに及ぼす影響を概説できる。"
29,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ","患者中心の医療","医療者と患者が共通の理解基盤を築くための方法を概説できる。"
30,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ","患者中心の医療","患者中心性が医療の質に及ぼす影響を概説できる。"
31,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ","患者中心の医療","医療の継続性を概説できる。"
32,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 根拠に基づいた医療<EBM>","根拠に基づいた医療<EBM>の5つのステップを列挙できる。"
33,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 根拠に基づいた医療<EBM>","Patient, population, problem, intervention (exposure), comparison, outcome <PICO (PECO)>を用いた問題の定式化ができる。"
34,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 根拠に基づいた医療<EBM>","データベースや二次文献からのエビデンス、診療ガイドラインを検索することができる。"
35,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 根拠に基づいた医療<EBM>","得られたエビデンスの批判的吟味ができる。"
36,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 根拠に基づいた医療<EBM>","診療ガイドラインの種類と使用上の注意を列挙できる。"
37,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 根拠に基づいた医療<EBM>","診療ガイドラインの推奨の強さについて違いを説明できる。"
38,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 根拠に基づいた医療<EBM>","得られたエビデンスを目の前の患者に適用できる。"
39,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 行動科学","行動に関する知識や理論、面接法を予防医療(0 次-3 次予防)、診断、治療、ケアに適用することができる。"
40,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 行動科学","適切な環境調整や心身医学療法も含めた包括的な心身への治療、支援を提案し、実践することができる。"
41,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 行動科学","行動変容の原則を理解し、動機付けや行動変容を促す面接を行うことができる。"
42,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 行動科学","医療者や患者・生活者のバイアスの存在を踏まえ、医療行動経済学の視点からバイアスを考慮したコミュニケーションをとることができる。"
43,"総合的に患者・生活者をみる姿勢","全人的な視点とアプローチ"," 行動科学","人々の行動予測を踏まえ、医療行動経済学の視点から望ましい選択肢を選びやすくなるような仕組みを提案できる。"
44,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","プライマリ・ケアにおける基本概念","地域の健康格差を理解し、医療へのアクセス障害等の医療システム上の課題を適切に判断しながら診療を行うことができる。"
45,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","プライマリ・ケアにおける基本概念","地域の健康問題の文化的背景を理解し、言語や文化の障壁を乗り越えた診療対応について説明できる。"
46,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","プライマリ・ケアにおける基本概念","患者の診療において、患者の所属する地域、背景集団に対するケアの視点を取り入れた診療を行うことができる。"
47,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","地域におけるプライマリ・ケア","地域(都会・郊外・へき地・離島を含む)の実情に応じた医療の状況について概説できる。"
48,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","地域におけるプライマリ・ケア","地域の医療提供体制に基づき、診療機関の規模・役割に応じた柔軟な医療を提供する。"
49,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","地域におけるプライマリ・ケア","患者の居住する地域の頻度の高い疾病(コモンディジーズ)について罹患率、有病率などの指標を用いて概説できる。"
50,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","地域におけるプライマリ・ケア","患者の居住する地域について医療以外も含めた客観的指標や観察を通して、地域の健康課題を特定し、地域社会のリソースを活用しながらその改善計画を提示できる。"
51,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","地域におけるプライマリ・ケア","地域の住民や専門職と協働して、地域住民に対する健康増進活動を計画・実践することができる。"
52,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","地域におけるプライマリ・ケア","患者の居住する地域の頻度で高い疾病(コモンディジーズ)についてプライマリ・ケアの対応を説明できる。"
53,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","地域におけるプライマリ・ケア","新型コロナウイルス感染症など地域全体の医療問題が起きた際に、専門領域を超えて地域医療で必要な医療を提供できる。"
54,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","医療資源に応じたプライマリ・ケア","医療を提供する上で必要となる、様々な専門職や医療保険・介護保険施設など地域の資源を説明できる。"
55,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","医療資源に応じたプライマリ・ケア","人的・物的資源を利活用して医療・サービスを提供できる。"
56,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","医療資源に応じたプライマリ・ケア","離島・へき地や医師不足地域等の医療医療資源が限られた状況での医療提供体制及び介護・保健・福祉の体制を説明できる。"
57,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","医療資源に応じたプライマリ・ケア","離島・へき地や医師不足地域等の医療資源が限られた状況で有効な Point-of-Care 検査等の医療提供方法を状況に応じて創意工夫して対応することができる。"
58,"総合的に患者・生活者をみる姿勢","地域の視点とアプローチ","医療資源に応じたプライマリ・ケア","離島・へき地や医師不足地域等の医療資源が限られた状況での医療に積極的に貢献することができる。"
59,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 人生のプロセス","ライフサイクル(胎児期・幼児期・小児期・思春期・青年期・老年期・終末期)の視点で、個別の事例を分析できる。"
60,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 人生のプロセス","ライフステージ(進学や結婚、出産によって、家計や家族構成が変わること)やライフイベント(就職、結婚、出産、退職など、人生の中で重要な出来事)の視点で、個別の事例についての健康管理(食生 活、運動など)と環境・生活習慣改善(環境レベル、知識レベル、行動レベルと行動変容)を分析できる。"
61,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 人生のプロセス","家族ライフサイクル(新婚夫婦、乳児・学童・思春期の子供を育てる時期、巣立ち、老年など)・家族成員間関係・家族システム(家族のストレス、住居や経済的な問題、親子の孤立など)の視点で、患者の 課題や家族間の虐待・ネグレクト等を説明できる。"
62,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ","胎児・幼児期","胎児の循環・呼吸の生理的特徴と出生時の変化の知識を活用して、個別の事例を分析できる。"
63,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ","胎児・幼児期","新生児・乳幼児の生理的特徴の知識を活用して、個別の事例を分析できる。"
64,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ","胎児・幼児期","正常児・早産低出生体重児・病児の管理の基本の知識を活用して、個別の事例を分析できる。"
65,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 小児期","小児期の生理機能の発達の知識を活用して、個別の事例を分析できる。"
66,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 小児期","小児期の正常な精神運動発達の知識を活用して、個別の事例を分析できる。"
67,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 小児期","小児期の愛着形成や保育法・栄養法の基本の知識を活用して、個別の事例を分析できる。"
68,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 小児期","小児期の栄養面での特性や食育の基本の知識を活用して、個別の事例を分析できる。"
69,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 小児期","小児期の免疫発達と感染症の関係の知識を活用して、個別の事例を分析できる。"
70,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 小児期","小児保健における予防接種の意義と内容を説明できる。"
71,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 小児期","児童虐待・ネグレクトの知識を活用して、個別の事例を分析できる。"
72,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ","思春期・青年期","思春期発現の機序と性徴の知識を活用して、個別の事例を分析できる。"
73,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ","思春期・青年期","思春期と関連する課題(学業、友達などに関わる課題)の知識を活用して、個別の事例を分析できる。"
74,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ","思春期・青年期","青年期と関連する課題(生殖、いのちなどに関わる課題)の知識を活用して、個別の事例を分析できる。"
75,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ","思春期・青年期","成人期と関連する課題(メンタルヘルス、仕事、不妊などに関わる課題)の知識を活用して、個別の事例を分析できる。"
76,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ","思春期・青年期","小児期から成人期への医療の移行について、現状と課題を説明できる。"
77,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 老年期","加齢に伴う臓器や身体機能の変化、それに伴う生理的変化の知識を活用して、個別の事例を分析できる。"
78,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 老年期","高齢者総合機能評価(comprehensive geriatric assessment <CGA>)の視点で、個別の事例を評価できる。"
79,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 老年期","老年症候群(歩行障害・転倒、認知機能障害、排泄障害、栄養障害、摂食・嚥下障害等)の視点で、個別の事例を分析できる。"
80,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 老年期","フレイル、サルコペニア、ロコモティブ・シンドロームの概念、その対処法、予防の知識を使って、個別の事例を分析できる。"
81,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 老年期","リハビリテーションの視点で、CGA をもとにした ICF（International Classification of Functioning, Disability and Health） の知識を活用して、個別の事例を分析できる。"
82,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 老年期","高齢者の栄養マネジメントの視点で、個別の事例を分析できる。"
83,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 老年期","加齢に伴う薬物動態の変化、高齢者に対する薬物療法の注意点を踏まえ、適切な介入が実施できる。"
84,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 老年期","高齢者の退院支援をするために必要な介護保険制度のサービスを説明できる。"
85,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 終末期","死に至る身体と心の過程の知識を活用して、個別の事例を分析できる。"
86,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 終末期","死に至る患者や家族の個別の事例における身体と心の変化、死生観に配慮できる。"
87,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 終末期","人生の最終段階における医療（エンド・オブ・ライフ・ケア）での患者とのコミュニケーション、頻度の高い苦痛とその対処法・ケアの知識を活用して、個人の事例を分析できる。"
88,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 終末期","水・補液、栄養管理を含む人生の最終段階における医療（エンド・オブ・ライフ・ケア）と小児の特殊性の知識を活用して、個別の事例を分析できる。"
89,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 終末期","人生の最終段階における医療（エンド・オブ・ライフ・ケア）での意思決定(Advance care planning（ACP))、事前指示(Advanced directive （AD))、延命治療、Do not attempt resuscitation <DNAR>、尊厳死と安楽死、治療の中止と差し控えの概念の知識を活用して、個別の事例を分析できる。"
90,"総合的に患者・生活者をみる姿勢","人生の視点とアプローチ"," 終末期","患者の死後の家族ケア（悲観のケア（グリーフケア））の知識を活用して、個別の事例を分析できる。"
91,"総合的に患者・生活者をみる姿勢","社会の視点とアプローチ","医学的・文化的・社会的文脈における健康","健康の定義、健康に関わる要因、健康寿命、健康生成論(サルトジェネシス)、ウェルビーイング、障害と疾病の概念と社会環境(機能障害、活動制限、参加制約、生活の質<QOL>、ノーマライゼーション、バリアフリー、ユニバー サルデザイン等)を説明できる。"
92,"総合的に患者・生活者をみる姿勢","社会の視点とアプローチ","医学的・文化的・社会的文脈における健康","患者が受療に至るまでにどのような過程があるかを生活者の視点から説明できる。"
93,"総合的に患者・生活者をみる姿勢","社会の視点とアプローチ","医学的・文化的・社会的文脈における健康","栄養素、エネルギー代謝、食事摂取基準と栄養状態の評価（日本人の食事摂取基準、食事調査、身体計測）、食生活と健康増進（国民健康・栄養調査、食生活指針、食事バランスガイド）を説明できる。"
94,"総合的に患者・生活者をみる姿勢","社会の視点とアプローチ","医学的・文化的・社会的文脈における健康","身体活動・運動の定義、効果とその機序、評価法・指導法（種類・強度・頻度・時間）、国民の現状と推進対策（国民健康・栄養調査など、国内外の身体活動ガイドライン）を説明できる。"
95,"総合的に患者・生活者をみる姿勢","社会の視点とアプローチ","医学的・文化的・社会的文脈における健康","休養・心の健康（睡眠の量と質、睡眠不足・睡眠時無呼吸・交代勤務等と生活習慣病、不眠、健康づくりのための睡眠指針、休養の心身への効果、ストレス対策、過重労働対策、自殺対策）を説明できる。"
96,"総合的に患者・生活者をみる姿勢","社会の視点とアプローチ","医学的・文化的・社会的文脈における健康","喫煙（能動喫煙及び受動喫煙の状況、有害性、健康影響、受動喫煙防止、ニコチン依存症と禁煙支援）、飲酒（飲酒の状況、有害性、健康影響、アルコール依存症からの回復支援）を説明できる。"
97,"総合的に患者・生活者をみる姿勢","社会の視点とアプローチ","医学的・文化的・社会的文脈における健康","健康の社会的決定要因とアドボカシーについて説明できる。"
98,"総合的に患者・生活者をみる姿勢","社会の視点とアプローチ","社会科学","人の言動の意味をその人の人生史・生活史や社会関係の文脈の中において検討することができる。"
99,"総合的に患者・生活者をみる姿勢","社会の視点とアプローチ","社会科学","患者やその家族、生活環境、地域社会、そして病院等の組織等について理解し共有するために、 エスノグラフィ等の質的記述的研究の基本的な視点や方法(参与観察やインタビュー)を用いることができる。"
100,"総合的に患者・生活者をみる姿勢","社会の視点とアプローチ","社会科学","病人役割等の理論や概念を用いて、患者の行動や医療に関する社会的な諸事象を説明することができる。"
101,"生涯にわたって共に学ぶ姿勢","医療の質と患者安全","患者安全","患者安全のための個人および組織におけるリスク管理の重要性を理解する。"
102,"生涯にわたって共に学ぶ姿勢","医療の質と患者安全","患者安全","医療現場における報告・連絡・相談を実践し、記録の重要性を理解する。"
103,"生涯にわたって共に学ぶ姿勢","医療の質と患者安全","患者安全","患者や介護者と協働するための情報共有を理解できる"
104,"生涯にわたって共に学ぶ姿勢","医療の質と患者安全","患者安全","医療の安全性に関する情報（薬剤等の副作用、薬害、医療過誤、やってはいけないこと、優れた取組事例等）を共有し、事後に役立てるための分析の重要性を説明できる。"
105,"生涯にわたって共に学ぶ姿勢","医療の質と患者安全","患者安全","患者安全のための管理体制と各々の役割（リスクマネージャー、医療安全管理委員会等）を概説できる"
106,"生涯にわたって共に学ぶ姿勢","医療の質と患者安全","患者安全","医療関連感染症の原因と対策（院内感染対策委員会、院内感染サーベイランス、院内感染対策チーム(infection control team <ICT>)、感染対策マニュアル等)を概説できる。"
107,"生涯にわたって共に学ぶ姿勢","医療の質と患者安全","医療の質","品質改善の手法を用いて医療を改善する"
108,"生涯にわたって共に学ぶ姿勢","医療の質と患者安全","医療従事者の健康管理","医療従事者の健康管理（予防接種を含む）の重要性を説明できる。"
109,"生涯にわたって共に学ぶ姿勢","医療の質と患者安全","医療従事者の健康管理","標準予防策(standard precautions)の必要性を説明し、実行できる。"
110,"生涯にわたって共に学ぶ姿勢","医療の質と患者安全","医療従事者の健康管理","医療現場における労働環境の改善の必要性を説明できる。"
111,"生涯にわたって共に学ぶ姿勢","生涯学習","生涯学習の意義と方略","生涯学習の重要性を説明できる。"
112,"生涯にわたって共に学ぶ姿勢","生涯学習","生涯学習の意義と方略","生涯にわたる継続的学習に必要な情報を収集できる。"
113,"生涯にわたって共に学ぶ姿勢","生涯学習","キャリア開発","キャリア開発能力を獲得する。"
114,"生涯にわたって共に学ぶ姿勢","生涯学習","キャリア開発","キャリアステージにより求められる能力に異なるニーズがあることを理解する。"
115,"生涯にわたって共に学ぶ姿勢","医療者教育","医療者教育の意義と方略","個人として、チームとして成長するための協働学習を経験する"
116,"生涯にわたって共に学ぶ姿勢","医療者教育","医療者教育の意義と方略","インストラクショナルデザインの基本的な枠組みを理解し、それを実践できる"
117,"生涯にわたって共に学ぶ姿勢","医療者教育","医療者教育の意義と方略","フィードバックについての基本的な枠組みを理解し、それを実践できる"
118,"生涯にわたって共に学ぶ姿勢","医療者教育","医療者教育の意義と方略","成人学習理論の基本的な枠組みを理解し、それを意識した教育を提供できる"
119,"科学的探究","リサーチマインド","探究心","常識を疑う"
120,"科学的探究","リサーチマインド","探究心","何事にも知的好奇心を持って取り組む"
121,"科学的探究","リサーチマインド","探究心","最先端の研究に刺激を受ける"
122,"科学的探究","リサーチマインド","探究心","研究者としての生き方に触れる"
123,"科学的探究","既知の知","医学と医療","これまでの医学研究の蓄積によって現在の医療が成り立っていることを体感する"
124,"科学的探究","既知の知","医学と医療","基礎医学・臨床医学・社会医学のそれぞれの特徴を理解できる"
125,"科学的探究","既知の知","論文読解","医学論文を読んである程度内容を理解できる"
126,"科学的探究","既知の知","論文読解","英語の論文を読むことに抵抗がなくなる"
127,"科学的探究","既知の知","論文読解","批判的吟味を試みる"
128,"科学的探究","既知の知","情報検索","学術情報の中から適切に論文を検索できる"
129,"科学的探究","研究の実施","問い","自身の関心を問いにすることができる"
130,"科学的探究","研究の実施","研究計画","研究計画の素案を作ることができる"
131,"科学的探究","研究の実施","研究手法","医学研究の基本的な研究手法（実験手技など）を体験する"
132,"科学的探究","研究の実施","研究結果","研究データを適切に管理することができる"
133,"科学的探究","研究の発信","研究発表","自身の行った研究内容を論文や報告書・学会発表などの形にまとめる"
134,"科学的探究","研究の発信","研究発表","発表の場に応じて読者・聴衆にわかりやすく研究内容を説明できる"
135,"科学的探究","研究の発信","研究発表","他の研究者の発表に対して質問や意見を述べることができる"
136,"科学的探究","研究倫理","研究者倫理","研究者の行動規範を遵守し、研究不正（捏造、改ざん、盗用など）をしない"
137,"科学的探究","研究倫理","対象者の保護","人を対象とした研究に関する公的な研究倫理指針の概要を理解する"
138,"科学的探究","研究倫理","対象者の保護","動物実験や遺伝子組み換え実験などの研究倫理指針の概要を理解する"
139,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","細胞の観察法を説明できる。"
140,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","細胞の全体像を図示できる。"
141,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","核とリボソーム、小胞体、ゴルジ体、リソソーム等の細胞内膜系、ミトコンドリア、葉緑体、外細胞骨格の種類とその構造と機能を説明できる。"
142,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","細胞膜の構造と機能、細胞同士の接着と結合様式を説明できる。"
143,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","原核細胞と真核細胞の特徴を説明できる。"
144,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","Mendelの法則、ミトコンドリア遺伝、インプリンティング及び多因子遺伝を説明できる。"
145,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","遺伝型と表現型の関係を説明できる。"
146,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","染色体の構造を概説し、ゲノムと染色体及び遺伝子の構造と関係性、体細胞分裂及び減数分裂における染色体の挙動を説明できる。"
147,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","デオキシリボ核酸(deoxyribonucleic acid <DNA>)の複製と修復、デオキシリボ核酸<DNA>からリボ核酸(ribonucleic acid <RNA>)への転写、タンパク質合成に至る翻訳を含む遺伝情報の発現及び調節（セントラルドグマ）を説明できる。"
148,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","染色体分析・DNA配列決定を含むゲノム解析技術を概説できる。"
149,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","ゲノム編集技術 (CRISPR-Cas 9)とその応用について説明できる。"
150,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","進化の基本的な考え方を説明できる。"
151,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","生物種とその系統関係を概説できる。"
152,"専門知識に基づいた問題解決能力","医学一般","生命現象の科学","アミノ酸配列や塩基配列の比較による分子系統樹を概説できる。"
153,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","細胞内液・外液のイオン組成、浸透圧と静止(膜)電位を説明できる。"
154,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","膜のイオンチャネル、ポンプ、受容体と酵素の機能を概説できる。"
155,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","細胞膜を介する物質の能動・受動輸送過程、細胞膜を介する分泌と吸収の過程を説明できる。"
156,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","細胞骨格を構成するタンパク質とその機能、アクチンフィラメント系による細胞運動を説明できる。"
157,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","細胞内輸送システム、微小管の役割や機能を説明できる。"
158,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","上皮組織と腺の構造と機能を説明できる。"
159,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","支持組織を構成する細胞と細胞間質（線維成分と基質）を説明できる。"
160,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","血管とリンパ管の微細構造と機能を説明できる。"
161,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","神経組織の微細構造を説明できる。"
162,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","筋組織について、骨格筋、心筋、平滑筋の構造と機能を対比して説明できる。"
163,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","組織の再生の機序を説明できる。"
164,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","位置関係を方向用語（上下、前後、内・外側、浅深、頭・尾側、背・腹側、近位・遠位、内転・外転）で説明できる"
165,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","情報伝達の種類と機能を説明できる。"
166,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","受容体による情報伝達の機序を説明できる。"
167,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","細胞内シグナル伝達過程を説明できる。"
168,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","活動電位の発生機構と伝導、シナプス（神経筋接合部を含む）の形態とシナプス伝達の機能（興奮性、抑制性）と可塑性を説明できる。"
169,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","軸索輸送、軸索の変性と再生を説明できる。"
170,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","刺激に対する感覚受容の種類と機序を説明できる。"
171,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","反射を説明できる。"
172,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","生体の非特異的防御機構、特異的防御機構である免疫系の役割を説明できる。"
173,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","体液性と細胞性免疫応答を説明できる。"
174,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","生体の恒常性維持と適応、恒常性維持のための調節機構（ネガティブフィードバック調節）を説明できる。"
175,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","生体機能や体内環境のリズム性変化を説明できる。"
176,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","生体の恒常性維持における常在菌・腸内細菌と宿主との相互作用の重要性を説明できる。"
177,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","運動生理学など、身体活動時の神経・骨格筋、循環器、代謝系の変化を説明できる。"
178,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","配偶子の形成から出生に至る一連の経過と胚形成の全体像、胚内体腔の形成過程を説明できる。"
179,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","体節の形成と分化、鰓弓・鰓嚢の分化と頭・頸部と顔面・口腔の形成過程を説明できる。"
180,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","体幹と四肢の骨格と筋、心血管系、泌尿生殖器系各器官の形成過程を説明できる。"
181,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","消化・呼吸器系各器官の形成過程を概説できる。"
182,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","神経管の分化と脳、脊髄、視覚器、平衡聴覚器と自律神経系、皮膚の形成過程を概説できる。"
183,"専門知識に基づいた問題解決能力","医学一般","個体の構成と機能","酵素の機能と調節を説明できる"
