H28ID,削除コメント,タブ名,学修項目,記述,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,第4層,山脇コメント,削除担当,行き先
B-01-06-na-05,総合へ,社会,スポーツ医学を説明できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,
B-01-07-na-07,総合へ,社会,,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,
B-01-08-na-05,生涯にわたって共に学ぶ姿勢へ,社会,医療の質の確保（病院機能評価、国際標準化機構(International Organization for Standardization <ISO>)、医療の質に関する評価指標、患者満足度、患者説明文書、同意書、同意撤回書、クリニカルパス等）を説明できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,
B-01-08-na-08,？,社会,"医療における費用対効果分析を説明できる。
",,,,,,,,,,,,,,,,,,社会における医療の役割の理解,
B-02-02-na-04,情報・科学技術を活かす能力へ,社会,電子化された診療情報の作成ができ、管理を説明できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,情報・科学技術を活かす能力/診療現場における情報・科学技術の活用/情報・科学技術を活用したコミュニケーションスキル
B-03-01-na-01,科学的探究へ,社会,医学研究と倫理（それぞれの研究に対応した倫理指針と法律）を説明できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,科学的探究/研究倫理/適切な研究遂行
B-03-01-na-01,科学的探究へ,社会,医学研究と倫理（それぞれの研究に対応した倫理指針と法律）を説明できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,科学的探究/研究倫理/対象者の保護
B-03-01-na-02,？,社会,臨床研究、臨床試験、治験と市販後臨床試験の違いを概説できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,
B-03-01-na-03,？,社会,臨床試験・治験と倫理性（ヘルシンキ宣言、第Ⅰ・Ⅱ・Ⅲ・Ⅳ相試験、医薬品の臨床試験の実施の基準(Good Clinical Practice <GCP>)、治験審査委員会・倫理審査委員会(institutional review board <IRB>)）を説明できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,科学的探究/研究倫理/対象者の保護
B-03-01-na-03,？,社会,臨床試験・治験と倫理性（ヘルシンキ宣言、第Ⅰ・Ⅱ・Ⅲ・Ⅳ相試験、医薬品の臨床試験の実施の基準(Good Clinical Practice <GCP>)、治験審査委員会・倫理審査委員会(institutional review board <IRB>)）を説明できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,科学的探究/研究倫理/対象者の保護
B-03-01-na-04,？,社会,薬物に関する法令を概説し、医薬品の適正使用に関する事項を列挙できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,
B-03-01-na-05,？,社会,副作用と有害事象の違い、報告の意義（医薬品・医療機器等安全性情報報告制度等）を説明できる。,,,,,,,,,,,,,,,,,,社会における医療の役割の理解,
F-03-05-08-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
F-03-05-08-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
F-03-05-08-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-01-01-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-01-01-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-01-01-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-01-03-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-01-03-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-01-03-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-01-03-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-01-04-03,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-01-04-03,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-01-04-03,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-01-05-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-01-05-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-01-05-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-01-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-01-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-02-01-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-02-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-02-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-02-02-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-03-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-03-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-02-03-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-04-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-04-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-02-04-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-05-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-05-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-02-05-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-06-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-06-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-02-06-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-07-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-07-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-02-07-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-08-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-08-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-02-08-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-09-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-09-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-02-09-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-10-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-10-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-02-10-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-11-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-11-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-02-11-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-12-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-14-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
G-04-02-14-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]基本的診療科
G-04-02-14-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]主要診療科
G-04-02-15-01,技能へ,総合,,主訴に応じて適切な鑑別疾患を挙げることができる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,患者ケアのための診療技能/患者情報の統合、分析と評価、診療計画/臨床推論
E-07-03-na-04,「知識」の「成長発達」部分と内容が重複しているため削除しました（遠藤）,総合,,小児保健における予防接種の意義と内容を説明できる。,,,,,,,,,,,,,,,,,総合的に患者・生活者をみる姿勢,[別表]知識
削除：A-09-01-na-05,削除：（生涯学習のテーマとやや離れるため）技能もしくはガイドラインで触れる,生涯,,,削除：臨床実習で経験したことを省察し、自己の課題を明確にする。,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,
E-09-01-na-05,診療関連死を1項目として取り上げる必要性がない,生涯,,,診療関連死を説明できる。,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,
A-06-01-na-01,多職種へ送る,生涯,,,実際の医療には、多職種が多段階の医療業務内容に関与していることを具体的に説明できる。,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,
A-06-01-na-05,患者安全の項としては不要,生涯,,,医療の安全性確保のため、職種・段階に応じた能力向上の必要性を説明できる。,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,
A-06-01-na-08,技能に復活,生涯,,,真摯に疑義に応じることができる。,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,患者ケアのための診療技能/医療の質と患者安全/患者安全の実践
A-06-02-na-01,A-06-02-na-02にまとめる,生涯,,,医療上の事故等（インシデントを含む）と合併症の違いを説明できる。,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,患者ケアのための診療技能/医療の質と患者安全/患者安全の実践
A-06-02-na-02,技能に復活,生涯,,,医療上の事故等（インシデントを含む）が発生したときの緊急処置や記録、報告を説明し、実践できる。,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,患者ケアのための診療技能/医療の質と患者安全/患者安全の実践
A-06-02-na-03,必要かどうか,生涯,,,医療過誤に関連した刑事・民事責任や医師法に基づく行政処分を説明できる。,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,患者ケアのための診療技能/医療の質と患者安全/安全管理体制
A-06-02-na-04,技能に復活,生涯,,,基本的予防策（ダブルチェック、チェックリスト法、薬品名称の改善、フェイルセイフ・フールプルーフの考え方等）を概説し、指導医の指導の下に実践できる。,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,患者ケアのための診療技能/医療の質と患者安全/患者安全の配慮と促進
A-06-03-na-03,不要,生涯,,,患者隔離の必要な場合を説明できる。,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,
A-06-03-na-04,技能に復活,生涯,,,針刺し事故（針刺切創）等に遭遇した際の対処の仕方を説明できる。,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,患者ケアのための診療技能/医療の質と患者安全/感染制御
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,プロフェッショナリズム/信頼/省察
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,プロフェッショナリズム/思いやり/思いやり
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,プロフェッショナリズム/思いやり/品格・礼儀
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,プロフェッショナリズム/思いやり/品格・礼儀
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,プロフェッショナリズム/社会正義/医療資源の公平な分配
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,プロフェッショナリズム/教養/教養
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,プロフェッショナリズム/教養/教養
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/臓器横断的な診療
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/臓器横断的な診療
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/臓器横断的な診療
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/臓器横断的な診療
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/生物・心理・社会的な問題への包括的な視点
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/患者中心の医療
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/根拠に基づいた医療<EBM>
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/行動科学
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/全人的な視点とアプローチ/緩和ケア
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/地域の視点とアプローチ/プライマリ・ケアにおける基本概念
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/地域の視点とアプローチ/プライマリ・ケアにおける基本概念
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/地域の視点とアプローチ/地域におけるプライマリ・ケア
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/地域の視点とアプローチ/地域におけるプライマリ・ケア
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/地域の視点とアプローチ/地域におけるプライマリ・ケア
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/地域の視点とアプローチ/医療資源に応じたプライマリ・ケア
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/人生の視点とアプローチ/壮年期・老年期
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,総合的に患者・生活者をみる姿勢/社会の視点とアプローチ/医学的・文化的・社会的文脈における健康
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,生涯にわたって共に学ぶ姿勢/医療者教育/医療者教育の実践
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,生涯にわたって共に学ぶ姿勢/医療者教育/医療者教育の実践
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,生涯にわたって共に学ぶ姿勢/医療者教育/医療者教育の実践
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,科学的探究/リサーチマインド/能動的姿勢 
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,科学的探究/リサーチマインド/能動的姿勢
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,科学的探究/リサーチマインド/探究心
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,科学的探究/既知の知/医学と医療
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,科学的探究/既知の知/論文読解
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,科学的探究/研究の実施/研究結果
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,科学的探究/研究の発信/研究発表
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/生命現象の科学
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の構成と機能
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の構成と機能
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の構成と機能
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の構成と機能
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/個体の反応
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/病因と病態
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/基礎医学/病因と病態
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/人体各器官の正常構造と機能、病態、診断、治療/生殖機能
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/人体各器官の正常構造と機能、病態、診断、治療/小児
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/人体各器官の正常構造と機能、病態、診断、治療/小児
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/人体各器官の正常構造と機能、病態、診断、治療/小児
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/人体各器官の正常構造と機能、病態、診断、治療/小児
,,生涯,,,,,,,,,,,,,,,,,,,生涯にわたって共に学ぶ姿勢,専門知識に基づいた問題解決能力/人体各器官の正常構造と機能、病態、診断、治療/乳房
