,門田ﾚﾎﾟｰﾄ分類,門田ﾚﾎﾟｰﾄ必須/推奨,"門田ﾚﾎﾟｰﾄ
 項目","コアカリH28版
 （F/G領域）","コアカリR4版
 診療技能第2-第3層"
19,一般手技,必須,末梢静脈確保※2,G-03-01-na-06,◎対応実施-一般手技(表）
20,一般手技,必須,胃管挿入※2,G-03-01-na-10,◎対応実施-一般手技(表）
21,一般手技,必須,尿道カテーテル挿入・抜去※2,G-03-01-na-11,◎対応実施-一般手技(表）
22,一般手技,必須,注射（皮下・皮内・筋肉・ 静脈内）,G-03-01-na-13,◎対応実施-一般手技(表）
23,一般手技,必須,予防接種,×,※要検討（判断難しい）
24,一般手技,推奨,ギプス巻き,×,×
25,一般手技,推奨,小児からの採血,×,×
26,一般手技,推奨,カニューレ交換,×,×
27,一般手技,推奨,浣腸,×,×
28,外科手技,必須,清潔操作,G-03-03-na-01,◎対応実施-外科手技(表）
29,外科手技,必須,手指消毒（手術前の手洗い ）,G-03-03-na-02,◎対応実施-外科手技(表）
30,外科手技,必須,ガウンテクニック,"F-02-09-01-03,F-03-06-03-03,F-03-06-03-03",◎対応実施-外科手技(表）
31,外科手技,必須,皮膚縫合,G-03-03-na-03,◎対応実施-外科手技(表）
32,外科手技,必須,消毒・ガーゼ交換,G-03-03-na-05,検討の結果削除
33,外科手技,必須,抜糸,G-03-03-na-04,◎対応実施-外科手技(表）
34,外科手技,必須,止血処置,×,※医学生には無理では？
35,外科手技,必須,手術助手,G-04-01-02-04,※治療手技に統合
36,外科手技,推奨,膿瘍切開、排膿,×,×
37,外科手技,推奨,嚢胞・膿瘍穿刺（体表）,×,×
38,外科手技,推奨,創傷処置,×,×
39,外科手技,推奨,熱傷処置,×,×
40,検査手技,必須,尿検査,G-03-02-na-01,○情報の統合-治療<解釈＞
41,検査手技,必須,血液塗抹標本の作成と観察,G-03-02-na-02,△情報の統合-治療<解釈＞
42,検査手技,必須,微生物学的検査（Gram 染色含む）,G-03-02-na-03,◎対応の実施-検査(表）
43,検査手技,必須,妊娠反応検査,G-03-02-na-04,○情報の統合-治療<説明＞
44,検査手技,必須,超音波検査（心血管）,G-03-02-na-10,◎対応の実施-検査(表）
45,検査手技,必須,超音波検査（腹部）,G-03-02-na-10,◎対応の実施-検査(表）
46,検査手技,必須,心電図検査,G-03-02-na-07,◎対応の実施-検査(表）
47,検査手技,必須,経皮的酸素飽和度モニタリング,F-02-03-na-14,◎情報収集-身体診察
48,検査手技,必須,病原体抗原の迅速検査,×,※新規追加検討すべきか？
49,検査手技,必須,簡易血糖測定,×,※新規追加検討すべきか？
50,検査手技,推奨,血液型判定,G-03-02-na-05,○情報の統合-治療<説明＞
51,検査手技,推奨,交差適合試験,G-03-02-na-05,○情報の統合-治療<説明＞
52,検査手技,推奨,アレルギー検査（塗布）,×,×
53,検査手技,推奨,発達テスト、知能テスト、心理テスト,×,×
54,救急※3,必須,一次救命処置,"G-03-04-na-02,F-03-06-04-02",◎対応実施-救急/初期対応
55,救急※3,必須,気道確保,F-02-10-na-05,○対応実施-救急/初期対応
56,救急※3,必須,胸骨圧迫,"G-03-04-na-02,F-03-06-04-02",○対応実施-救急/初期対応
57,救急※3,必須,バックバルブマスクによる換気,"G-03-04-na-02,F-03-06-04-02",○対応実施-救急/初期対応
58,救急※3,必須,ＡＥＤ※2,"G-03-04-na-02,F-03-06-04-02",○対応実施-救急/初期対応
59,救急※3,推奨,電気ショック,G-03-04-na-03,◎対応実施-救急/初期対応
60,救急※3,推奨,気管挿管,×,◎対応実施-救急/初期対応
61,救急※3,推奨,固定など整形外科的保存療法,×,×
62,治療※4,必須,処方薬（内服薬、注射、点滴など）のオーダー,F-02-08-na-11,△情報の統合-治療<解釈＞
63,治療※4,必須,食事指示,×,※医学生には難しいか？
64,治療※4,必須,安静度指示,×,※医学生には難しいか？
65,治療※4,必須,定型的な術前・術後管理の指示,×,○情報の統合-治療<説明＞
66,治療※4,必須,酸素投与量の調整※5,×,※医学生には難しいか？
67,治療※4,必須,診療計画の作成,×,○情報の統合-治療<説明＞
68,治療※4,推奨,健康教育,×,◎情報の統合-教育計画
69,,,,,
70,※１：診療参加型臨床実習実施ガイドライン「学生による診療録記載と文章作成について」を参考に記載,,,,
71,※２：特にシミュレータによる修得ののちに行うべき,,,,
72,※３：実施機会がない場合には、 シミュレータによる修得も可である,,,,
73,※４：指導医等の確認後に実行される必要がある,,,,
74,※５：酸素投与を実施している患者が対象,,,,
