H28ID,第4層,理由・コメント
F-01-26-na-02,貧血をきたす疾患(群)を列挙し、診断の要点を説明できる。,貧血が症候から外れたため(臓器別に移動を検討)(近藤)
F-01-26-na-03,貧血がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,貧血が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-26-na-01,鉄欠乏性貧血：消化性潰瘍,貧血が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-26-na-02,鉄欠乏性貧血：痔核,貧血が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-26-na-03,鉄欠乏性貧血：子宮筋腫,貧血が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-26-na-04,造血器腫瘍：白血病,貧血が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-26-na-05,造血器腫瘍：骨髄腫,貧血が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-26-na-06,二次性貧血：肝硬変,貧血が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-26-na-07,二次性貧血：慢性腎臓病,貧血が症候から外れたため(臓器別に移動を検討)(近藤)
G-02-26-na-08,二次性貧血：アルコール依存症,貧血が症候から外れたため(臓器別に移動を検討)(近藤)
G-04-02-15-01,主訴からの診断推論を組み立てる、又はたどる。,診療科のその他を削除(近藤)
G-04-02-15-02,疾患の病態や疫学を理解する。,診療科のその他を削除(近藤)
G-04-02-15-03,該当診療科の治療に可能な範囲で参加する。,診療科のその他を削除(近藤)
G-04-02-15-04,該当診療科の基本的な診察技能について学ぶ。,診療科のその他を削除(近藤)
G-04-02-15-05,どのように該当診療科にコンサルテーションすればよいかわかる。,診療科のその他を削除(近藤)
G-03-03-na-05,創の消毒やガーゼ交換ができる。,包帯交換をしなくなったため(近藤)
G-03-01-na-03,外用薬の貼付・塗布,医行為とはいえない(近藤)
G-03-01-na-07,中心静脈カテーテル挿入,学生レベルではない(近藤)
G-03-01-na-12,ドレーンの挿入と抜去,外科専門医のレベルなので削除(近藤)
G-03-01-na-14,全身麻酔、局所麻酔、輸血を見学し、介助する。,学生に求める手技ではない(近藤)
G-03-01-na-15,眼球に直接触れる治療を見学し、介助する。,学生に求める手技ではない(近藤)
G-03-02-na-01,尿検査（尿沈渣を含む）を実施できる。,医師が行う機会がなくなってきたため、計画・解釈は別目標として立てた(近藤)
G-03-02-na-02,末梢血塗抹標本を作成し、観察できる。,医師が行う機会がなくなってきたため、計画・解釈は別目標として立てた(近藤)
G-03-02-na-05,血液型判定を実施できる。,医師が行う機会がなくなってきたため、計画・解釈は別目標として立てた(近藤)
G-03-02-na-08,脳波検査の記録ができる。,学生に求める手技ではない(近藤)
G-03-02-na-09,眼球に直接触れる検査を見学し、介助する。,学生に求める手技ではない(近藤)
G-03-02-na-12,エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、核医学検査、内視鏡検査を見学し、介助する。,学生に求める手技ではない(近藤)
G-03-03-na-06,手術、術前・術中・術後管理を見学し、介助する。,学生に求める手技ではない(近藤)
F-02-01-na-01,問題の同定から治療やマネジメントに至るプロセスを列挙できる。,具体的に何を示すか不明、削除も検討(近藤)
G-04-04-na-03,状況に応じて意思決定を行うことができる,方略であったため削除(近藤)
F-02-07-na-06,超音波造影法を説明できる。,専門医のレベルなので削除(近藤)
