第2層,第3層,第4層,UID,H28対応項目,メモ,H28の記述,査読への返答,A,B,C,D,E,F,G,H,I
社会保障,地域保健,学校医、学校感染症、学校保健安全法等、学校保健を説明できる,JkxoNtE,B-01-06-na-04,,各ライフステージの健康問題（母子保健、学校保健、産業保健、成人・高齢者保健）を説明できる。,,,,,,,,,,
社会保障,地域保健,特定健康診査・特定保健指導、高齢者の医療の確保に関する法律（高齢者医療確保法）等、成人及び高齢者保健施策（介護予防含む）を説明できる。,JkxoNtI,,新規,,,新規になる理由はわかりますが、地域保健で8項目・・・もう少しまとめられないでしょうか,,,,,,,,
社会保障,地域保健,がん対策基本法、がん登録等の推進に関する法律等、がん対策を説明できる。,JkxoNtM,B-01-05-na-02,B-01-05-na-02は栄養・食育・食生活なので、新規扱いで可,栄養、食育、食生活を説明できる。,,,,,,,,,,
社会保障,地域保健,自殺対策基本法、精神保健福祉法等、精神衛生・心の健康に関する施策を説明できる。,JkxoNtQ,"D-15-01-na-03,A-07-01-na-03,B-01-08-na-13",,"精神科医療の法と倫理に関する必須項目（精神保健及び精神障害者福祉に関する法律、心神喪失者等医療観察法、インフォームド・コンセント）を説明できる。,地域包括ケアシステムの概念を理解し、地域における保健（母子保健、学校保健、成人・高齢者保健、地域保健、精神保健）・医療・福祉・介護の分野間及び多職種間（行政を含む）の連携の必要性を説明できる。,障害者福祉・精神保健医療福祉の現状と制度を説明できる。",,,,,,,,,,
社会保障,地域保健,8020、フッ化物の利用、全身の健康との関連等、歯科保健施策を説明できる。,JkxoNtU,"B-01-08-na-13,D-14-04-01-09","B-01-08-na-13は　障害者福祉・精神保健医療福祉。
D-14-04-01-09　歯科疾患（う蝕、歯周病等）とその全身への影響や口腔機能管理を概説できる　を追加。","障害者福祉・精神保健医療福祉の現状と制度を説明できる。,歯科疾患（う蝕、歯周病等）とその全身への影響や口腔機能管理を概説できる。",,,,,,,,8020「運動」でしょうか。,,
社会保障,産業保健・環境保健,産業保健の意義、労働衛生の3管理など、産業保健の基本的な考え方を説明できる。,JkxoNtY,"B-01-06-na-04,B-01-08-na-04",,"各ライフステージの健康問題（母子保健、学校保健、産業保健、成人・高齢者保健）を説明できる。,産業保健（労働基準法等の労働関連法規を含む）を概説できる。",,,,,,,,,,
社会保障,産業保健・環境保健,産業医の選任義務、労働安全衛生法、労働基準法等、産業保健の基本的な法令を説明できる。,JkxoNtc,B-01-08-na-04,,産業保健（労働基準法等の労働関連法規を含む）を概説できる。,,,,,,,,,,
社会保障,産業保健・環境保健,労働災害及び職業性疾病とのその対策を説明できる。,JkxoNtg,B-01-06-na-03,,仕事と健康、環境と適応、生体環境系、病因と保健行動、環境基準と環境影響評価、公害と環境保全が健康と生活に与える影響を概説できる。,,,,,,,,,,
社会保障,産業保健・環境保健,有害物質による産業中毒とその対策を説明できる。,JkxoNtk,"E-05-03-01-02,E-05-03-01-03,E-05-03-01-04",,"一酸化炭素中毒の発生機序、症候、診断と治療法を説明できる。,有機リン剤、有機塩素剤と有機溶剤による中毒の機序、診断と治療を説明できる。,重金属、青酸、ヒ素、パラコート、自然毒による中毒を概説できる。",,,,,,,,,,
社会保障,産業保健・環境保健,水道、建築物における衛生的環境の確保に関する法律（建築物衛生法）、住宅環境等、生活環境衛生施策を説明できる。,JkxoNto,,新規,,,"新設する理由はなんでしょうか？
 国試出題基準にも出てきますが、本当に法律を「説明できる」能力が必要なのか疑問です",,,,,,,,
社会保障,産業保健・環境保健,環境基本法、公害、廃棄物の処理及び清掃に関する法律（廃棄物処理法）等、環境保全施策を説明できる。,JkxoNts,B-01-06-na-03,,仕事と健康、環境と適応、生体環境系、病因と保健行動、環境基準と環境影響評価、公害と環境保全が健康と生活に与える影響を概説できる。,,医学生が細かい個別の法律を説明できる・・・は、外科の手術術式を選択できるや白血病の抗がん剤3種併用療法を述べられる、などと同様コアカリからも国試出題基準からも削除してはどうかと思います,,,,,,,,
社会保障,健康危機管理,健康危機の概念と種類、それらへの対応を説明できる,JkxoNtw,,新規,,,,,句点,,,,,,
社会保障,健康危機管理,健康危機時のリスクコミュニケーションを説明できる。,JkxoNt0,,新規,,,"健康危機時のリスクコミュニケーションの意味が読み手に通じるでしょうか？
健康危機に関する上の項目まではよしとして、その際のコミュニケーションを学生に求めるのはいかがか（しかも説明できる・・・はナンセンス）",,,,,,,23と違いはありますでしょうか？,
社会保障,健康危機管理,食品衛生法、食品営業、食中毒の状況等、食品衛生施策を説明できる。,JkxoNt4,B-01-08-na-11,,感染症法・食品衛生法の概要と届出義務を説明できる。,,,,,,,,,,
社会保障,健康危機管理,感染症の予防及び感染症の患者に対する医療に関する法律（感染症法）、検疫法、予防接種法、新型インフルエンザ等対策特別措置法等、感染症対策を説明できる,JkxoNt8,"B-01-08-na-11,C-03-01-02-02,E-02-02-na-07,E-02-02-na-08,E-02-01-na-07",,"感染症法・食品衛生法の概要と届出義務を説明できる。,ワクチンによるウイルス感染症予防の原理を説明できる。,予防接種について、適応と意義、種類とそれぞれの投与方法を説明できる。,感染症法を概説できる。,新興・再興感染症（中東呼吸器症候群(Middle East respiratory syndrome <MERS>)、ジカ熱、劇症型A群レンサ球菌感染症等）、人獣共通感染症、バイオテロに関連する感染症を列挙できる。",,"旧Eの感染症領域との相談はされているでしょうか
社会チームは法律に特化して、その他は関係ないということと理解しました",,句点,,,,,,
社会保障,健康危機管理,災害対策基本法、災害救助法等、自然災害の対応を説明できる。,JkxoNuA,"A-07-01-na-06,G-04-01-07-06",,"災害医療（災害時保健医療、医療救護班、災害派遣医療チーム(Disaster Medical Assistance Team <DMAT>)、災害派遣精神医療チーム(Disaster Psychiatric Assistance Team <DPAT>)、日本医師会災害医療チーム(Japan Medical Association Team <JMAT>)、災害拠点病院、トリアージ等）を説明できる。,地域の災害医療体制について学ぶ。",,法律を知っておくのが重要で、自然災害の対応の説明は二の次という意味ですね,,,,,,,,
社会保障,健康危機管理,災害拠点病院、種々の活動チーム等、災害保健医療 を説明できる。,JkxoNuE,"G-04-01-07-06,B-01-07-na-06",,"地域の災害医療体制について学ぶ。,災害医療（災害時保健医療、医療救護班、災害派遣医療チーム<DMAT>、災害派遣精神医療チーム<DPAT>、日本医師会災害医療チーム<JMAT>、災害拠点病院、トリアージ等）を説明できる。",,"多くの卒業生は医師となり災害専門家ではないと思われるのですが、そういう卒業生にとっても災害時の医療で担う責務は大きいと思います。
６年間で災害医療（すぐに経験するかもしれない）について何を学ぶべきかというメッセージを投げてほしいです",,,,,,,,「を説明できる」の前の半角スペース削除。
社会保障,健康危機管理,放射線事故、テロリズム、国民保護法の適用事象等、種々の健康危機の種類別の対応を説明できる。,JkxoNuI,"E-06-04-na-02,E-02-01-na-07",,"放射線災害・原子力災害でのメンタルヘルスを説明できる。,新興・再興感染症（中東呼吸器症候群(Middle East respiratory syndrome <MERS>)、ジカ熱、劇症型A群レンサ球菌感染症等）、人獣共通感染症、バイオテロに関連する感染症を列挙できる。",,,,,,,,,,
疫学・医学統計,保健統計,主な人口統計（人口静態と人口動態）、疾病・障害の分類・統計（疾病及び関連保健問題の国際統計分類：International Statistical Classification of Diseases and Related Health Problems〈ICD〉等）を説明できる。,JkxoNuM,B-01-04-na-01,,人口統計（人口静態と人口動態）、疾病・障害の分類・統計（国際疾病分類(International Classification of Diseases <ICD>)等）を説明できる。,,,,,,,,ICDの和名は不要ではないでしょうか（略語集にも記載予定とのこと）。,,
疫学・医学統計,保健統計,平均寿命、健康寿命を説明できる。,JkxoNuQ,B-01-04-na-02,,平均寿命、健康寿命を説明できる。,,"なぜこの二つだけ特別に挙げられるのでしょうか？
保健統計は大きな視野で2つの第四層くらいにまとめられませんか？",,,,,,,,
疫学・医学統計,保健統計,e-Stat（政府統計の窓口）を利用できる。,JkxoNuU,,新規,,,"二つ上の項目と統合できると思います
利用できる・・・は到達目標なのか方略なのかも含めてご検討ください",,,,e-Statをとりあげるのであれば、せめてOECDのデータ利用も追記したい。あるいは全削除で良いのでは？,,,,
疫学・医学統計,疫学,疫学の役割を公衆衛生と臨床の視点で説明できる。,JkxoNuY,,新規,,,,,,,,,,,
疫学・医学統計,疫学,割合・比・率の違いを理解し、代表的な疫学指標（有病割合、リスク比、罹患率等）を説明できる。,JkxoNuc,B-01-04-na-03,,罹患率と発生割合の違いを説明できる。,,,,,,,,,,
疫学・医学統計,疫学,主なバイアス・交絡を（例をあげて）説明できる。,JkxoNug,B-01-04-na-04,,疫学とその応用（疫学の概念、疫学指標（リスク比、リスク差、オッズ比）とその比較（年齢調整率、標準化死亡比(standardized mortality ratio <SMR>)）、バイアス、交絡）を説明できる。,,,,,,,,,,
疫学・医学統計,疫学,年齢調整における直接法と間接法の違いを説明できる。,JkxoNuk,B-01-04-na-04,,疫学とその応用（疫学の概念、疫学指標（リスク比、リスク差、オッズ比）とその比較（年齢調整率、標準化死亡比(standardized mortality ratio <SMR>)）、バイアス、交絡）を説明できる。,,,,,,,,,,
疫学・医学統計,疫学,主な疫学の研究デザイン（観察研究［記述研究、横断研究、症例対照研究、コホート研究］、介入研究（ランダム化比較試験等）を説明できる。,JkxoNuo,"B-01-03-na-03,F-02-02-na-03",,"研究デザイン（観察研究（記述研究、横断研究、症例対照研究、コホート研究）、介入研究（臨床研究、ランダム化比較試験）、システマティックレビュー、メタ分析（メタアナリシス））を概説できる。,研究デザイン（観察研究（記述研究、横断研究、症例対照研究、コホート研究）、介入研究（臨床研究、ランダム化比較試験）、システマティックレビュー、メタ分析（メタアナリシス）を概説できる。",,,,,,,,,,
疫学・医学統計,疫学,急性感染症と慢性疾患の疫学的アプローチの違いを説明できる。,JkxoNus,,新規,,,"この項目のレベル感
旧性感染症と慢性疾患？ はたして第四層に入れるべきものか？",,,,各論知識で絶対必要とまでは言えないので割愛で良いのでは？,,,,
疫学・医学統計,疫学,不確実性を含む、限られた情報を評価し、人間の生命や健康を守る意思決定につなげていくには何が必要か考えることができる。,JkxoNuw,,新規,,,"何をしてよいかわからず、禅問答のようでもあり、分野別認証に出てくる意味不明な小項目（将来起こるべき云々）と似ています
達成可能な具体的記述のほうが望ましいです。
情報チームの記載に任せては？",,やや漠然としていて、カリキュラム開発者が具体的にどのような学習機会を設けるべきかに結びつきにくいと思います。「得られる情報の不確実性や制限の中で、生命や健康を守るための意思決定に必要な対応策を挙げることができる」という意味でしょうか？,,重要だが、疫学、統計学で教えられるのか疑問∴割愛または他所へ統合で良いのでは？,,,,
疫学・医学統計,データ解析と統計手法,尺度（間隔、比、順序、名義）を説明できる。,JkxoNu0,,新規,,,"データ解析と統計手法の第三層は、個別に5つの方法を書くのがよいのでしょうか？別表化も一案です
別にするなら、学生が到達すべきレベルを動詞で明示したいところです",,EBMでの「批判的吟味」「患者への適用」で適用するレベルが求められていますが、「説明できる」でよい？「〜の知識を適用できる」にする？,,,,,,
疫学・医学統計,データ解析と統計手法,データの分布（欠損値を含む）を記述できる。,JkxoNu4,B-01-01-na-01,,データの記述と要約（記述統計を含む）ができる。,,同上,,,,,,,,
疫学・医学統計,データ解析と統計手法,正規分布の母平均の信頼区間を説明できる。,JkxoNu8,B-01-01-na-03,,正規分布の母平均の信頼区間を計算できる。,,同上,,EBMでの「批判的吟味」「患者への適用」で適用するレベルが求められていますが、「説明できる」でよい？「〜の知識を適用できる」にする？,,,,,,
疫学・医学統計,データ解析と統計手法,相関分析、平均値と割合の検定等を実施できる。,JkxoNvA,"B-01-02-na-01,B-01-02-na-02,B-01-02-na-03,B-01-02-na-04,B-01-02-na-05,B-01-02-na-06",,"２群間の平均値の差を検定できる（群間の対応のあり、なしを含む）。,パラメトリック検定とノンパラメトリック検定の違いを説明できる。,カイ２乗検定法を実施できる。,一元配置分散分析を利用できる。,２変量の散布図を描き、回帰と相関の違いを説明できる。,線形重回帰分析、多重ロジスティック回帰分析と交絡調整を概説できる。",,同上,,,,,,,,
疫学・医学統計,データ解析と統計手法,多変量解析の意義を説明できる。,JkxoNvE,B-01-02-na-06,,線形重回帰分析、多重ロジスティック回帰分析と交絡調整を概説できる。,,同上,,EBMでの「批判的吟味」「患者への適用」で適用するレベルが求められていますが、「説明できる」でよい？「〜の知識を適用できる」にする？,,,,,,
法医学,死と法,植物状態、脳死、心臓死及び脳死判定を説明できる。,JkxoNvI,"B-02-01-na-01,B-02-01-na-01",,"植物状態、脳死、心臓死及び脳死判定を説明できる。,植物状態、脳死、心臓死及び脳死判定を説明できる。",,,,,,,,,,
法医学,死と法,異状死・異状死体の取扱いと死体検案を説明できる。,JkxoNvM,"B-02-01-na-02,B-02-01-na-02",,"異状死・異状死体の取扱いと死体検案を説明できる。,異状死・異状死体の取扱いと死体検案を説明できる。",,,,,,,,,,
法医学,死と法,死亡診断書と死体検案書を作成できる。,JkxoNvQ,"B-02-01-na-03,B-02-01-na-03",,"死亡診断書と死体検案書を作成できる。,死亡診断書と死体検案書を作成できる。",,死亡診断書/死体検案書は、厚労省医行為検討部会でも、学生単独では発行できないことになっているので、作成できるレベルは修正が必要です,,指導医とともに作成できる,,,,,,記載方法を説明できる
法医学,死と法,個人識別の方法を説明できる。,JkxoNvU,"B-02-01-na-04,B-02-01-na-04",,"個人識別の方法を説明できる。,個人識別の方法を説明できる。",,,,,,,,,,
法医学,死と法,病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）を説明できる。,JkxoNvY,"B-02-01-na-05,B-01-04-na-02",,"病理解剖、法医解剖（司法解剖、行政解剖、死因・身元調査法解剖、承諾解剖）を説明できる。,平均寿命、健康寿命を説明できる。",,,,,,,,,,
社会の構造や変化から捉える医療,社会格差と医療,社会的弱者の立場にある患者の代弁者となることができる,JkxoNvc,,新規,,,"他チーム（総合など）と類似があるかどうか検討をお願いします
代弁者となることができる、は卒業時のレベルとして適切でしょうか",,,,,漠然としていて、できるの評価が困難∴割愛,,,句点
社会の構造や変化から捉える医療,社会格差と医療,社会格差を解消するために社会に対して行動できる,JkxoNvg,,新規,,,"他チーム（総合など）と類似があるかどうか検討をお願いします
社会に対して行動できる、は卒業時のレベルとして適切でしょうか",,,,,漠然としていて、できるの評価が困難∴割愛,,,句点
社会の構造や変化から捉える医療,健康と医療,健康寿命を延ばすために生活者への積極的な働きかけを行うことができる,JkxoNvk,"B-01-04-na-02,C-05-08-na-01",,"平均寿命、健康寿命を説明できる。,健康行動や行動変容を行う動機付けを概説できる。",,生活者への積極的な働きかけをおこなうことができる・・・方略と評価は？,上記の「健康の概念」と重なる,,,,,,,句点
社会の構造や変化から捉える医療,健康と医療,バリヤフリーなどの障害と社会環境に関連する概念を理解した行動をとることができる,JkxoNvo,B-01-06-na-01,「バリアフリー」の方が馴染みがある用語でしょうか。（鋪野）,健康（健康の定義）、障害と疾病の概念と社会環境（機能障害、活動制限、参加制約、生活の質<QOL>、ノーマライゼーション、バリアフリー、ユニバーサルデザイン等）を説明できる。,,"バリヤ？バリア？
文節の切れがよくないので、バリアフリーなどの障害と読める",,バリアフリーのほうが適切かと思います。https://www8.cao.go.jp/souki/barrier-free/link/bfsyoutyou.html,,,,,,句点
社会の構造や変化から捉える医療,ジェンダーと医療,女性やLGBTに対する差別などのジェンダー不平等をなくすために積極的な行動をとることができる,JkxoNvs,B-04-01-na-06,,文化・ジェンダーと医療の関係を考えることができる。,,"積極的な行動をとる、は学生レベルの到達目標ではありません
LGBTQでしょうか？ 性的マイノリティとどちらの表現がいい？",,H28年度版 C-05-06-05 「ジェンダーの形成並びに性的指向及び性自認への配慮方法を説明できる。」はR4年度版のどこからも消えています。ジェンダー不平等をなくすためにはこれらの知識は必要だと思うので、あえて消したのでなければ別立てにして残してもよいのでは。,,,,,,句点
社会の構造や変化から捉える医療,気候変動と医療,気候変動と医療との関係性を理解できる,JkxoNvw,,新規,,,"気候変動で3つの項目を作るのは論外です
国試出題基準にもなくすべて削除でよいと思います",,,,,,,,句点
社会の構造や変化から捉える医療,気候変動と医療,患者が抱える健康に関する課題と気候変動との関係を想像できる,JkxoNv0,,新規,,,"気候変動で3つの項目を作るのは論外です
国試出題基準にもなくすべて削除でよいと思います",,アウトカムとしての表現を意識するなら、「〜に関する課題を説明しうる仮説として、気候変動の影響を想起できる」,,55に統合、または割愛で良いのでは？,,,,句点
社会の構造や変化から捉える医療,気候変動と医療,地球環境が抱える諸課題を認識し、その解決のために行動できる,JkxoNv4,,新規,,,"気候変動で3つの項目を作るのは論外です
国試出題基準にもなくすべて削除でよいと思います",,医学生・医師としての能力という意味を明確にしたほうが良いように思います。「〜を認識し、医療の中でその解決のために行動できる」,,,５５，５６と５７は、統合できそうです。,,,句点
社会の構造や変化から捉える医療,哲学・倫理と医療,現代思想・哲学の語彙を概説することができる,JkxoNv8,G-04-03-na-06,,人類学・社会学・心理学・哲学・教育学等と連携し、行動科学・社会科学的（主に質的）な視点から地域における生活の中での医療を知り体験する学習機会を作る。,,"この項目で、学修目標となるかどうか疑問
もともとH28年版から無理があったのではないか",,あまりにもひろいので、「医学・医療に関連した現代思想・哲学の語彙を概説できる」。この項目の文中か、どこか他に具体的に何が含まれるかがまとまっていないと、カリキュラム策定に利用しにくい。,,問が漠然としているので削除で良いのでは？,,,,句点
社会の構造や変化から捉える医療,哲学・倫理と医療,診療現場における倫理的問題について適切に考えて対応できる。,JkxoNwA,"A-01-01-na-02,A-01-01-na-03,A-01-01-na-02",,"臨床倫理や生と死に関わる倫理的問題を概説できる。,ヒポクラテスの誓い、ジュネーブ宣言、医師の職業倫理指針、医師憲章等医療の倫理に関する規範を概説できる。,臨床倫理や生と死に関わる倫理的問題を概説できる。",,学生の到達の確認が非常に困難ですが,,カリキュラムに反映させるならもう少し具体的なほうがよいですし、倫理的問題について医学生に対応できるレベルを求めるのは現実的ではないと思うので、「〜倫理的問題について、Jonsenの四分割法などの臨床倫理アプローチを用いて分析し、対応を説明できる」,,,何科に進んでも大切な各科特有の倫理課題を確実に触れていただく必要がありますので、　　各科診療現場　　　としてもよいかもしれません。,,,
社会の構造や変化から捉える医療,歴史と医学・医療,医学・医療の歴史的変遷を概説できる。,JkxoNwE,"A-01-01-na-01,A-01-01-na-01",,"医学・医療の歴史的な流れとその意味を概説できる。,医学・医療の歴史的な流れとその意味を概説できる。",,下の項目と統合,,,,,,,,
社会の構造や変化から捉える医療,歴史と医学・医療,現代の医学的問題を過去の歴史を用いて相対化できる。,JkxoNwI,"A-01-01-na-01,A-01-01-na-01",,"医学・医療の歴史的な流れとその意味を概説できる。,医学・医療の歴史的な流れとその意味を概説できる。",,上の項目と統合,,,,,,,,
国内外の視点から捉える医療,国内の医療職の役割や医療体制,医師法が定める医師の職権と義務を説明できる。,JkxoNwM,"B-01-08-na-07,B-01-08-na-06",,"医療関連法規に定められた医師の義務を列挙できる。,医師法、医療法等の医療関連法規を概説できる。",,,,,,,,,,
国内外の視点から捉える医療,国内の医療職の役割や医療体制,医療職を規定する法律・制度を概説できる。,JkxoNwQ,"B-01-08-na-06,新規",,"医師法、医療法等の医療関連法規を概説できる。,{not found: 新規}",,,,,,,,,,
国内外の視点から捉える医療,国内の医療職の役割や医療体制,医療法が定める医療施設を概説できる。,JkxoNwU,"B-01-07-na-02,B-01-08-na-06,B-01-08-na-06",,"医療計画（医療圏、基準病床数、地域医療支援病院、病診連携、病病連携、病院・診療所・薬局の連携等）及び地域医療構想を説明できる。,医師法、医療法等の医療関連法規を概説できる。,医師法、医療法等の医療関連法規を概説できる。",,,,,,,,,,
国内外の視点から捉える医療,国内の医療職の役割や医療体制,地域医療計画を説明できる。,JkxoNwY,"B-01-07-na-02,B-01-08-na-06,A-07-01-na-02,A-07-01-na-02,B-01-07-na-02",,"医療計画（医療圏、基準病床数、地域医療支援病院、病診連携、病病連携、病院・診療所・薬局の連携等）及び地域医療構想を説明できる。,医師法、医療法等の医療関連法規を概説できる。,医療計画（医療圏、基準病床数、地域医療支援病院、病診連携、病病連携、病院・診療所・薬局の連携等）及び地域医療構想を説明できる。,医療計画（医療圏、基準病床数、地域医療支援病院、病診連携、病病連携、病院・診療所・薬局の連携等）及び地域医療構想を説明できる。,医療計画（医療圏、基準病床数、地域医療支援病院、病診連携、病病連携、病院・診療所・薬局の連携等）及び地域医療構想を説明できる。",,,,,,,,「地域医療計画」という用語はなく（ローカルにそのような名称の都道府県はあるかもしれませんが）、全国的には「医療計画」です,,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,国際的に援助が必要とされる医療・健康課題の歴史・社会的背景を知る。,JkxoNwc,,新設,,,"新設する意義はなんでしょうか？
下の項目と統合可能かと思います",,アウトカムとしての表現を意識するなら、「〜医療・健康課題について、歴史・社会的背景を踏まえて分析できる」,,,,,,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,グローバルヘルス領域での母子に関わる医療・健康問題を挙げることができる。,JkxoNwg,"B-01-09-na-01, D-10-03-na-07,B-01-09-na-01,D-10-03-na-07",,"世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。,母子保健の意義を医学的に説明できる。,世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。,母子保健の意義を医学的に説明できる。",,"詳細は別表とすることも可能かと思います
その際、どれを削除するのかを専門家以外が考えるべきです",,,,,,,,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,国際的に問題となっている感染症・非感染性疾患とその対策を概説できる。,JkxoNwk,"B-01-09-na-01,B-01-09-na-01",,"世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。,世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。",,,,,,,,,,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,UHC(Universal health coverage)とは何かを概説し、各国の医療制度が抱える問題を例示できる。,JkxoNwo,"B-01-09-na-01,B-01-09-na-01",,"世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。,世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。",,"H２８版からUHCだけをことさら選んだ理由が知りたいです
他の項目はどのように扱うのでしょうか",,日本語（英語<略語>」に統一するなら「ユニバーサル・ヘルス・カバレッジ(Universal Health Coverage :<UHC>)　https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000158223_00002.html,UHC〈Universal health coverage〉と記載,,,,,
国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,保健関連SDGや国際援助組織を概説できる。,JkxoNws,"B-01-09-na-01,B-01-09-na-01",,"世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。,世界の保健・医療問題（母子保健、感染症、非感染性疾患(non-communicable diseases <NCD>) 、UHC (Universal Health Coverage)、保健システム（医療制度）、保健関連SDG (Sustainable Development Goals)）を概説できる。",,"H２８版からSDGsだけをことさら選んだ理由が知りたいです
他の項目はどのように扱うのでしょうか",,保健関連の持続可能な開発目標（Sustainable Development Goals <SDGs>）」,,,,SDGsは2030年で終了（一方、このコアカリは2036年まで使われる）。「国際援助組織」も何を指すかわかりづらい。もしWHO等国連機関を指すなら、まとめて、「保健関連の国連開発目標や国際機関を概説できる」としたほうがいいと思います。,67と合わせて、SDGｓの言葉は少しぼやかしてはいかがでしょうか,
