                                                                                                                                                                                                ,第3層,第4層仮番号,第4層,H28対応項目,メモ,参考,校正者コメント
基礎医学,個体の構成と機能,2,支持組織を構成する細胞と細胞間質（線維成分と基質）を説明できる。,C-02-02-01-02,,組織・各臓器の構成、機能と位置関係,
基礎医学,個体の構成と機能,3,血管とリンパ管の微細構造と機能を説明できる。,C-02-02-01-03,,組織・各臓器の構成、機能と位置関係,
基礎医学,個体の構成と機能,4,神経組織の微細構造を説明できる。,C-02-02-01-04,,組織・各臓器の構成、機能と位置関係,
基礎医学,個体の構成と機能,5,筋組織について、骨格筋、心筋、平滑筋の構造と機能を対比して説明できる。,C-02-02-01-05,,組織・各臓器の構成、機能と位置関係,
基礎医学,個体の構成と機能,6,組織の再生の機序を説明できる。,C-02-02-01-06,,組織・各臓器の構成、機能と位置関係,
基礎医学,個体の構成と機能,7,位置関係を方向用語（上下、前後、内・外側、浅深、頭・尾側、背・腹側、近位・遠位、内転・外転）で説明できる。,C-02-02-02-01,編集あり,組織・各臓器の構成、機能と位置関係,
基礎医学,個体の構成と機能,1,刺激に対する感覚受容の種類と機序を説明できる。,C-02-03-02-04,「個体の」と謳っているが、細胞の話からスタートして違和感があるので、冒頭の項目をC-2-1）に移動しました。(大場),個体の調節機構とホメオスタシス,
基礎医学,個体の構成と機能,2,反射を説明できる。,C-02-03-02-05,,個体の調節機構とホメオスタシス,
基礎医学,個体の構成と機能,3,生体の恒常性維持と適応、恒常性維持のための調節機構（フィードバック調節）を説明できる。,"C-02-03-04-01,C-02-03-04-02",,個体の調節機構とホメオスタシス,
基礎医学,個体の構成と機能,4,生体機能や体内環境のリズム性変化を説明できる。,C-02-03-04-03,,個体の調節機構とホメオスタシス,
基礎医学,個体の構成と機能,5,生体の恒常性維持における常在菌・腸内細菌と宿主との相互作用の重要性を説明できる。,C-02-03-04-04,,個体の調節機構とホメオスタシス,
基礎医学,個体の構成と機能,6,運動生理学など、身体活動時の神経・骨格筋、循環器、呼吸器、代謝系の変化を説明できる。,C-02-03-04-05,これらは生理学等でも学修します。しかし特に運動整理学は、Dで各系の機能を理解して初めて理解できる『全身に及ぶ生理的変化』すなわちEに適した項目と考えます。(大場),個体の調節機構とホメオスタシス,
基礎医学,個体の構成と機能,1,配偶子の形成から出生に至る一連の経過と胚形成の全体像、胚内体腔の形成過程を説明できる。,"C-02-04-na-01,C-02-04-na-07",,個体の発生,
基礎医学,個体の構成と機能,2,体節の形成と分化、鰓弓・鰓嚢の分化と頭・頸部と顔面・口腔の形成過程を説明できる。,"C-02-04-na-02,C-02-04-na-08",,個体の発生,
基礎医学,個体の構成と機能,3,体幹と四肢の骨格と筋、心血管系、泌尿生殖器系各器官の形成過程を説明できる。,"C-02-04-na-03,C-02-04-na-05,C-02-04-na-06",,個体の発生,
基礎医学,個体の構成と機能,4,消化・呼吸器系各器官の形成過程を説明できる。,C-02-04-na-04,修正済み・ワードファイルでは「説明できる」になっています。（KY）,個体の発生,
基礎医学,個体の構成と機能,5,神経管の分化と脳、脊髄、視覚器、平衡聴覚器と自律神経系、皮膚の形成過程を説明できる。,C-02-04-na-09,追記(MY)、修正済み・ワードファイルでは「説明できる」になっています。（KY）,個体の発生,
基礎医学,個体の構成と機能,1,酵素の機能と調節を説明できる。,,新設,生体物質の代謝,
基礎医学,個体の構成と機能,2,糖質の構造、代謝と調節、生理的意義を説明できる。（解糖、クエン酸回路、電子伝達系と酸化的リン酸化、グリコーゲン代謝、糖新生、五炭糖リン酸回路）,"C-02-05-na-01,C-02-05-na-02,C-02-05-na-03,C-02-05-na-04,C-02-05-na-05,C-02-05-na-06,C-02-05-na-07",,生体物質の代謝,
基礎医学,個体の構成と機能,3,タンパク質の構造、代謝と調節、生理的意義、ならびに主要なアミノ酸の代謝と尿素回路を説明できる。,"C-02-05-na-10,C-02-05-na-11",,生体物質の代謝,
基礎医学,個体の構成と機能,4,脂質の構造、代謝と調節、生理的意義、ならびに脂質の輸送を説明できる（リポタンパク質）。,"C-02-05-na-08,C-02-05-na-09",,生体物質の代謝,
基礎医学,個体の構成と機能,5,ヘム・ポルフィリンの代謝を説明できる。,C-02-05-na-12,,生体物質の代謝,
基礎医学,個体の構成と機能,6,ヌクレオチドの合成・異化・再利用経路を説明できる。,C-02-05-na-13,,生体物質の代謝,
基礎医学,個体の構成と機能,7,酸化ストレス（フリーラジカル、活性酸素）を説明できる。,C-02-05-na-14,編集あり,生体物質の代謝,
基礎医学,個体の構成と機能,8,ビタミン、微量元素の種類と作用を説明できる。,C-02-05-na-15,,生体物質の代謝,
基礎医学,個体の構成と機能,9,栄養素の相互変換とエネルギー代謝（エネルギーの定義、食品中のエネルギー値、エネルギー消費量、推定エネルギー必要量）を説明できる。,C-02-05-na-16,編集あり,生体物質の代謝,
基礎医学,個体の構成と機能,10,空腹（飢餓）時、食後（過食時）と運動時における代謝を説明できる。,,新設,生体物質の代謝,
基礎医学,個体の構成と機能,11,複合糖質、複合脂質について概説できる。,,新設,生体物質の代謝,
基礎医学,個体の反応,,ウイルス粒子の構造を図示し、各部の機能を説明できる。,C-03-01-01-01,,生体と微生物,
基礎医学,個体の反応,8,ウイルス粒子の構造と性状によりウイルスを分類できる。,C-03-01-01-02,,生体と微生物,
基礎医学,個体の反応,9,ウイルス感染の種特異性、組織特異性と吸着、侵入、複製、成熟と放出の各過程、ウイルス感染細胞に起こる変化を説明できる。,"C-03-01-01-04,C-03-01-01-05,C-03-01-01-06,C-03-01-01-07",,生体と微生物,
基礎医学,個体の反応,,ウイルスに対する中和反応と細胞性免疫、ワクチンによるウイルス感染症予防の原理、ワクチンの種類と問題点を説明できる。,"C-03-01-02-01,C-03-01-02-02,C-03-01-02-03",,生体と微生物,
基礎医学,個体の反応,10,"主なDNAウイルス（2本鎖DNA, 1本鎖DNA、不完全1本鎖DNAウイルス）の特徴、リスク因子、感染経路と病態を説明し、これらのウイルスが引き起こす疾患名を列挙できる。",C-03-01-03-01,編集あり,生体と微生物,
基礎医学,個体の反応,11,"主なRNAウイルス（2本鎖RNA, 1本鎖(+)RNA, 1本鎖(-)RNAウイルス）の特徴、リスク因子、感染経路と病態を説明し、これらのウイルスが引き起こす疾患名を列挙できる。",C-03-01-03-02,,生体と微生物,
基礎医学,個体の反応,,レトロウイルス(ヒト免疫不全ウイルス(human immunodeficiency virus <HIV>)の特性と一般ゲノム構造を説明し、分類できる。,C-03-01-03-03,,生体と微生物,
基礎医学,個体の反応,,細菌の構造を図示し、形態とGram染色により分類できる。,C-03-01-04-01,編集あり,生体と微生物,
基礎医学,個体の反応,2,細菌の感染経路を分類し、細菌が疾病を引き起こす機序を説明できる。,"C-03-01-04-02,C-03-01-04-03",,生体と微生物,
基礎医学,個体の反応,4,主なGram陽性球菌、Gram陽性桿菌、Gram陰性球菌、Gram陰性桿菌の細菌学的特徴、リスク因子、感染経路と病態を説明し、それが引き起こす疾患を列挙できる。,"C-03-01-04-04,C-03-01-04-06",,生体と微生物,
基礎医学,個体の反応,,"Gram陰性桿菌
腸内細菌科　大腸菌、クレブシエラ、プロテウスなど
インフルエンザ菌、百日咳菌
細菌性腸炎の原因菌 サルモネラ、赤痢菌、カンピロバクター
レジオネラ
緑膿菌
　Gram陰性らせん菌  ピロリ菌  などのリスク因子、感染経路と病態を説明し、これらが引き起こす疾患を列挙できる。
（大腸菌、赤痢菌、サルモネラ菌、百日咳菌、緑膿菌、レジオネラ、インフルエンザ菌）、Gram陰性菌 (Helicobacter pylori)の細菌学的特徴、リスク因子、感染経路と病態を説明しそれが引き起こす疾患を列挙できる。
","C-03-01-04-05,C-03-01-04-07,C-03-01-04-08",1項目の内容が多くなりすぎており要検討(近藤),生体と微生物,
基礎医学,個体の反応,5,抗酸菌の細菌学的特徴、リスク因子、感染経路と病態を説明し、それが引き起こす疾患を列挙できる。,C-03-01-04-09,,生体と微生物,
基礎医学,個体の反応,,真菌（酵母のカンジダ、クリプトコックス、ニューモシスティス、菌糸のアスペルギルス、ムーコル（ムコール））の微生物学的特徴、リスク因子、感染経路と病態を説明し、それが引き起こす疾患を列挙できる。,C-03-01-04-10,,生体と微生物,
基礎医学,個体の反応,6,らせん状細菌、マイコプラズマ、リケッチア、クラミジアの微生物学的特徴とそれが引き起こす疾患を列挙できる。,C-03-01-04-11,,生体と微生物,
基礎医学,個体の反応,,原虫類・蠕虫類の分類及び形態学的特徴を説明できる。,C-03-01-05-01,C-03-01-05-05は感染症に移動を検討,生体と微生物,
基礎医学,個体の反応,,寄生虫の生活史、リスク因子、感染経路と病態、感染疫学的意義、寄生虫感染宿主の生体防御の特徴を説明できる。,"C-03-01-05-02,C-03-01-05-03","C-03-01-05-04,C-03-01-05-05は感染症に移動を検討",生体と微生物,
基礎医学,個体の反応,,生体防御機構における免疫系の特徴（特異性、多様性、寛容、記憶）を説明できる。,C-03-02-01-01,,免疫と生体防御,
基礎医学,個体の反応,,免疫反応に関わる組織と細胞を説明できる。,C-03-02-01-02,,免疫と生体防御,
基礎医学,個体の反応,,免疫学的自己の確立と破綻、自然免疫と獲得免疫の違いを説明できる。,"C-03-02-01-03,C-03-02-01-04",,免疫と生体防御,
基礎医学,個体の反応,,主要組織適合遺伝子複合体(major histocompatibility complex <MHC>)クラスIとクラスIIの基本構造、抗原提示経路の違いを説明できる。,C-03-02-02-01,,免疫と生体防御,
基礎医学,個体の反応,,免疫グロブリンとT細胞抗原レセプターの構造と反応様式、免疫グロブリンとT細胞抗原レセプター遺伝子の構造と遺伝子再構成に基づき、多様性獲得の機構を説明できる。,"C-03-02-02-02,C-03-02-02-03",,免疫と生体防御,
基礎医学,個体の反応,,抗原レセプターからのシグナルを増強あるいは減弱する調節機構を概説できる。,C-03-02-03-01,ワードファイルでは「説明できる」になっています。(KY),免疫と生体防御,
基礎医学,個体の反応,,代表的なサイトカイン・ケモカインの特徴を説明できる。,C-03-02-03-02,,免疫と生体防御,
基礎医学,個体の反応,,ヘルパーT細胞(Th1 cell、Th2 cell、Th17 cell)、細胞傷害性T細胞(cytotoxic T lymphocyte <CTL>)、制御性T細胞(regulatory T cell <Treg>)それぞれが担当する生体防御反応を説明できる。,C-03-02-03-03,,免疫と生体防御,
基礎医学,個体の反応,,ウイルス、細菌、真菌と寄生虫に対する免疫応答の特徴を説明できる。,C-03-02-04-01,,免疫と生体防御,
基礎医学,個体の反応,,原発性免疫不全症と後天性免疫不全症候群<AIDS>を概説できる。,C-03-02-04-02,ワードファイルでは「説明できる」になっています。(KY),免疫と生体防御,
基礎医学,個体の反応,,免疫寛容の維持機構とその破綻による自己免疫疾患の発症を概説できる。,"C-03-02-04-03,C-03-02-02-04",ワードファイルでは「説明できる」になっています。(KY),免疫と生体防御,
基礎医学,個体の反応,,アレルギー発症の機序（Coombs分類）を概説できる。,C-03-02-04-04,ワードファイルでは「説明できる」になっています。(KY),免疫と生体防御,
基礎医学,個体の反応,,癌免疫に関わる細胞性機序を概説できる。,C-03-02-04-05,ワードファイルでは「説明できる」になっています。(KY),免疫と生体防御,
基礎医学,個体の反応,,薬物・毒物の濃度反応曲線を描き、その決定因子を説明できる。,C-03-03-01-01,,生体と薬物,
基礎医学,個体の反応,,薬物の受容体結合と薬理作用との定量的関連性及び活性薬・拮抗薬と分子標的薬を説明できる。,C-03-03-01-02,,生体と薬物,
基礎医学,個体の反応,,薬物・毒物の用量反応曲線を描き、有効量・中毒量・致死量の関係を説明できる。,C-03-03-01-03,,生体と薬物,
基礎医学,個体の反応,,薬物・毒物の吸収、分布、代謝と排泄を説明できる。,C-03-03-02-01,,生体と薬物,
基礎医学,個体の反応,,薬物の生体膜通過に影響する因子を説明できる。,C-03-03-02-02,,生体と薬物,
基礎医学,個体の反応,,薬物投与方法（経口、舌下、皮膚、粘膜、直腸、注射、吸入、点眼、点鼻等）を列挙し、それぞれの薬物動態を説明できる。,C-03-03-02-03,他の文言と揃え「皮膚」⇒「経皮」、「直腸」 ⇒「経直腸」でしょうか。（資料「医学教育指導者のためのWSの事前アンケートで出た意見まとめ」より引用）（鋪野）,生体と薬物,
基礎医学,個体の反応,,薬物の評価におけるプラセボ効果の意義を説明できる。,C-03-03-03-01,,生体と薬物,
基礎医学,病因と病態,1,ゲノムの多様性に基づく個体の多様性を説明できる。,C-04-01-na-01,,遺伝的多様性と疾患,
基礎医学,病因と病態,2,単一遺伝子疾患、染色体異常による疾患、ミトコンドリア遺伝子の変異による疾患を挙げ、遺伝様式を含め説明できる。,"C-04-01-na-02,C-04-01-na-03,C-04-01-na-04",,遺伝的多様性と疾患,
基礎医学,病因と病態,3,エピゲノムの機序及び関連する疾患、多因子疾患における遺伝要因と環境要因の関係を説明できる。,"C-04-01-na-05,C-04-01-na-06",,遺伝的多様性と疾患,
基礎医学,病因と病態,4,薬剤の有効性や安全性とゲノムの多様性との関係を概説できる。,C-04-01-na-07,ワードファイルでは「説明できる」になっています。(KY),遺伝的多様性と疾患,
基礎医学,病因と病態,1,ネクローシスとアポトーシスの違いを含め、細胞傷害・変性と細胞死の多様性、病因と意義を説明できる。,"C-04-02-na-01,C-04-02-na-03",,細胞傷害・変性と細胞死,
基礎医学,病因と病態,2,細胞傷害・変性と細胞死の細胞と組織の形態的変化の特徴を説明できる。,C-04-02-na-02,,細胞傷害・変性と細胞死,
基礎医学,病因と病態,1,糖代謝異常の病態を説明できる。,C-04-03-na-01,,代謝障害,
基礎医学,病因と病態,2,タンパク質・アミノ酸代謝異常の病態を説明できる。,C-04-03-na-02,,代謝障害,
基礎医学,病因と病態,3,脂質代謝異常の病態を説明できる。,C-04-03-na-03,,代謝障害,
基礎医学,病因と病態,4,核酸・ヌクレオチド代謝異常の病態を説明できる。,C-04-03-na-04,,代謝障害,
基礎医学,病因と病態,5,ビタミン、微量元素の代謝異常の病態を説明できる。,C-04-03-na-05,,代謝障害,
基礎医学,病因と病態,6,肥満に起因する代謝障害の病態を説明できる。,C-04-03-na-06,,代謝障害,
基礎医学,病因と病態,1,血行障害（阻血、虚血、充血、うっ血、出血）の違いとそれぞれの病因と病態、梗塞（血栓、塞栓）の種類と病態を説明できる。,"C-04-04-na-01,C-04-04-na-02",,循環障害、臓器不全,
基礎医学,病因と病態,2,ショック（血流分布異常性ショック（アナフィラキシー、感染性（敗血症性）、神経原性）、循環血液量減少性ショック（出血性、体液喪失）、心原性ショック（心筋性、機械性、不整脈）、閉塞性ショック（心タンポナーデ、肺塞栓症、緊張性気胸））を説明できる。,C-04-04-na-03,E-5で取り扱うことも検討できるのではと思います。(野村理),循環障害、臓器不全,
基礎医学,病因と病態,3,血圧異常（高血圧、低血圧）を説明できる。,C-04-04-na-04,,循環障害、臓器不全,
基礎医学,病因と病態,4,臓器不全（多臓器不全、多臓器障害(multiple organ dysfunction syndrome <MODS>)）を説明できる。,C-04-04-na-05,,循環障害、臓器不全,
基礎医学,病因と病態,1,炎症の定義を説明できる。,C-04-05-na-01,,炎症と創傷治癒,
基礎医学,病因と病態,2,炎症の分類、組織形態学的変化と経時的変化（局所的変化と全身的変化）を説明できる。,C-04-05-na-02,,炎症と創傷治癒,
基礎医学,病因と病態,3,感染症による炎症性変化を説明できる。,C-04-05-na-03,,炎症と創傷治癒,
基礎医学,病因と病態,4,創傷の治癒過程を概説できる。,C-04-05-na-04,ワードファイルでは「説明できる」になっています。(KY),炎症と創傷治癒,
基礎医学,病因と病態,1,自律性の増殖と、良性腫瘍と悪性腫瘍の違いを説明できる。,C-04-06-na-01,,腫瘍,
基礎医学,病因と病態,2,癌の原因や遺伝子変化を説明できる。,C-04-06-na-02,,腫瘍,
基礎医学,病因と病態,3,腫瘍の分類、分化度、グレード、ステージを概説できる。,C-04-06-na-03,ワードファイルでは「説明できる」になっています。(KY),腫瘍,
基礎医学,病因と病態,4,用語（異形成、上皮内癌、進行癌、早期癌、異型性、多形性等）を説明できる。,C-04-06-na-04,「個別の癌は漢字で、それ以外はかなで記載。例）大腸癌、がん検診」とご意見を頂いております。（鋪野）,腫瘍,
基礎医学,病因と病態,5,癌の診断と治療を概説できる。,C-04-06-na-05,ワードファイルでは「説明できる」になっています。(KY),腫瘍,
基礎医学,病因と病態,6,癌の転移を説明できる。,C-04-06-na-06,,腫瘍,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,1,血液・造血器・リンパ系の構造と機能について基本的事項を説明できる。,D-01-01-na-01,,構造と機能,
,,,,,,,
全身に及ぶ生理的変化、病態、診断、治療,遺伝医療・ゲノム医療,1,集団遺伝学の基礎としてHardy-Weinbergの法則を概説できる。,E-01-01-na-01,,遺伝医療・ゲノム医療と情報の特性,
全身に及ぶ生理的変化、病態、診断、治療,遺伝医療・ゲノム医療,2,家系図を作成、評価（Bayesの定理、リスク評価）できる。,E-01-01-na-02,,遺伝医療・ゲノム医療と情報の特性,
全身に及ぶ生理的変化、病態、診断、治療,遺伝医療・ゲノム医療,3,生殖細胞系列変異と体細胞変異の違いを説明でき、遺伝学的検査の目的と意義を概説できる。,E-01-01-na-03,,遺伝医療・ゲノム医療と情報の特性,
全身に及ぶ生理的変化、病態、診断、治療,遺伝医療・ゲノム医療,4,遺伝情報の特性（不変性、予見性、共有性）を説明できる。,E-01-01-na-04,,遺伝医療・ゲノム医療と情報の特性,
全身に及ぶ生理的変化、病態、診断、治療,遺伝医療・ゲノム医療,5,遺伝カウンセリングの意義と方法を説明できる。,E-01-01-na-05,,遺伝医療・ゲノム医療と情報の特性,
全身に及ぶ生理的変化、病態、診断、治療,遺伝医療・ゲノム医療,6,遺伝医療における倫理的・法的・社会的配慮を説明できる。,E-01-01-na-06,,遺伝医療・ゲノム医療と情報の特性,
全身に及ぶ生理的変化、病態、診断、治療,遺伝医療・ゲノム医療,7,遺伝医学関連情報にアクセスすることができる。,E-01-01-na-07,,遺伝医療・ゲノム医療と情報の特性,
全身に及ぶ生理的変化、病態、診断、治療,遺伝医療・ゲノム医療,8,遺伝情報に基づく治療や予防をはじめとする適切な対処法を概説できる。,E-01-01-na-08,,遺伝医療・ゲノム医療と情報の特性,
全身に及ぶ生理的変化、病態、診断、治療,感染症,1,代表的な市中感染症の原因微生物を理解し説明できる。例 髄膜脳炎、咽頭炎、中耳炎、血流感染・感染性心内膜炎、肺炎、腹腔内感染、膀胱炎・腎盂腎炎、皮膚軟部組織感染、関節炎　など,E-02-01-na-02,編集あり,疫学,E-02-01-na-02は4項目に分割
全身に及ぶ生理的変化、病態、診断、治療,感染症,2,代表的な医療関連感染（血管留置カテーテル関連感染、尿路カテーテル感染、医療関連肺炎・人工呼吸器関連肺炎、手術部位感染、クロストリディオイデス・ディフィシル感染）の原因微生物を理解し説明できる。,"E-02-01-na-02,E-02-01-na-03",編集あり,疫学,E-02-01-na-02は4項目に分割
全身に及ぶ生理的変化、病態、診断、治療,感染症,3,"代表的な免疫不全（糖尿病、腎臓病、肝臓病、がん・血液疾患、好中球減少、免疫抑制薬使用中、HIV/AIDS, 臓器移植等）患者の罹患しやすい微生物について理解し、説明できる。",E-02-01-na-06,編集あり,疫学,
全身に及ぶ生理的変化、病態、診断、治療,感染症,4,薬剤耐性 (AMR)の現状と代表的な薬剤耐性菌について理解し、抗菌薬適正使用などの予防策を説明できる。例 メチシリン耐性黄色ブドウ球菌(MRSA),E-02-01-na-04,編集あり,疫学,
全身に及ぶ生理的変化、病態、診断、治療,感染症,1,患者（宿主）、感染臓器・部位、原因微生物の関係を理解し説明できる。,E-02-01-na-05,編集あり,病態,E-02-01-na-05?
全身に及ぶ生理的変化、病態、診断、治療,感染症,2,代表的な市中感染症のリスク因子、感染経路・侵入門戸、病態生理を理解し説明できる。例 髄膜脳炎、咽頭炎、中耳炎、血流感染・感染性心内膜炎、肺炎、腹腔内感染、膀胱炎・腎盂腎炎、皮膚軟部組織感染、関節炎　など,E-02-01-na-02,編集あり,病態,E-02-01-na-02は4項目に分割
全身に及ぶ生理的変化、病態、診断、治療,感染症,3,代表的な医療関連感染（血管留置カテーテル関連感染、尿路カテーテル感染、医療関連肺炎・人工呼吸器関連肺炎、手術部位感染、クロストリディオイデス・ディフィシル感染）のリスク因子、感染経路・侵入門戸、病態生理を理解し説明できる。,"E-02-01-na-02,E-02-01-na-03",編集あり,病態,E-02-01-na-02は4項目に分割
全身に及ぶ生理的変化、病態、診断、治療,感染症,4,敗血症（sepsis）と血流感染の相違を理解し、病態を説明できる。,,新設,病態,E-02-01-na-01と関連?
全身に及ぶ生理的変化、病態、診断、治療,感染症,5,新興感染症についてその感染経路を理解し、必要な感染対策について説明できる。,E-02-01-na-07,編集あり,病態,
全身に及ぶ生理的変化、病態、診断、治療,感染症,1,医療面接（病歴）と身体所見から感染臓器と原因微生物を想定し説明できる。,E-02-02-na-01,編集あり,診断・検査の基本,E-02-02-na-01は2項目に分割
全身に及ぶ生理的変化、病態、診断、治療,感染症,2,医療面接と身体診察から想定した原因微生物の診断方法を理解し説明できる。,E-02-02-na-01,編集あり,診断・検査の基本,E-02-02-na-01は2項目に分割
全身に及ぶ生理的変化、病態、診断、治療,感染症,3,発熱患者への基本検査（血液培養2セット、尿検査・尿培養、胸部X線）を理解し説明できる。,,新設,診断・検査の基本,
全身に及ぶ生理的変化、病態、診断、治療,感染症,1,抗菌薬投与の原則（抗菌薬投与前に培養検体を提出する、微生物と臓器による標準薬を選択し投与期間を設定する）を理解し説明できる。,,新設,治療,E-02-02-na-06と関連?
全身に及ぶ生理的変化、病態、診断、治療,感染症,2,抗菌薬の初期治療（エンピリック治療）について理解し説明できる。,,新設,治療,E-02-02-na-06と関連?
全身に及ぶ生理的変化、病態、診断、治療,感染症,3,抗菌薬の最適治療（標的治療）について理解し説明できる。,,新設,治療,E-02-02-na-06と関連?
全身に及ぶ生理的変化、病態、診断、治療,感染症,1,ワクチン予防可能な疾患について理解し説明できる。例　麻疹、風疹、ムンプス、水痘、B型肝炎、インフルエンザ菌、肺炎球菌、破傷風ジフテリア、インフルエンザ、新型コロナウイルスなど,E-02-02-na-07,編集あり,感染対策と予防,
全身に及ぶ生理的変化、病態、診断、治療,感染症,2,職業感染対策(ワクチン接種、針刺切創・体液曝露、結核曝露等)について理解し説明できる。,E-02-04-05-02,,感染対策と予防,E-02-04-05-02は分割
全身に及ぶ生理的変化、病態、診断、治療,感染症,3,標準予防策(standard precautions)、感染経路別予防策（飛沫感染予防策、接触感染予防策や空気感染予防策等）が必要となる病原微生物、患者から医療従事者への病原微生物曝露を防ぐための個人防護具、予防接種等、医療従事者の体液曝露後の感染予防策を説明できる。,"E-02-04-05-01,E-02-04-05-02,E-02-04-05-03",,感染対策と予防,E-02-04-05-02は分割
全身に及ぶ生理的変化、病態、診断、治療,感染症,1,ショック,E-02-03-na-01,症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,2,発熱・高体温,E-02-03-na-02,編集あり,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,3,けいれん,E-02-03-na-03,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,4,意識障害・失神,E-02-03-na-04,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,5,脱水,E-02-03-na-05,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,6,全身倦怠感,E-02-03-na-06,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,7,黄疸,E-02-03-na-07,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,8,発疹,E-02-03-na-08,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,9,リンパ節腫脹,E-02-03-na-09,,症候,
全身に及ぶ生理的変化、病態、診断、治療,感染症,10,浮腫,E-02-03-na-10,,症候,
