,臓器,分類,項目名,blank,H28対応項目,削除項目,追加項目,メモ
22,造血系,検査方法,その他（赤沈、貧血・溶血に関する検査）,,なし,,,新規
23,造血系,特異的治療法,輸血,,なし,,,新規
24,造血系,特異的治療法,造血幹細胞移植,,なし,,,新規
25,造血系,疾患・病態,"（１）貧血：　
貧血を分類し、鑑別に有用な検査を列挙
鉄欠乏性貧血、二次性貧血（慢性疾患に伴う貧血）
造血不全症（発作性夜間ヘモグロビン尿症、再生不良性貧血、赤芽球癆、骨髄異形成症候群）
溶血性貧血、出血性貧血、腎性貧血
巨赤芽球性貧血
遺伝性貧血（サラセミア、遺伝性球状赤血球症、鎌状赤血球症）",,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05",D-01-04-01-01,"
D-01-04-01-03は造血不全症（発作性夜間ヘモグロビン尿症、再生不良性貧血、赤芽球癆、骨髄異形成症候群）とする。
D-01-04-01-06：遺伝性貧血（サラセミア、遺伝性球状赤血球症、鎌状赤血球症）","疾患名は医師国家試験出題基準に準拠。
"
26,造血系,疾患・病態,"（２）出血傾向・紫斑：
出血傾向の病因、病態、症候と診断二次性血小板減少症（脾機能亢進症、薬剤性）
免疫性特発性血小板減少性紫斑病<ITP>
血友病、後天性血友病
播種性血管内凝固<DIC>
溶血性尿毒症症候群<HUS>
IgA 血管炎(Schönlein-Henoch 紫斑病)
血栓性血小板減少性紫斑病<TTP>、
遺伝性出血性末梢血管拡張症〈Osler病）
ビタミンK欠乏症",,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07",D-01-04-02-01,新D-01-04-02-01はD-01-04-02-02のITPと順番を入れ替えてもよいです。,"紫斑そのものはD3皮膚系へ
IgA血管炎はE4免疫・アレルギーに
疾患名は医師国家試験出題基準に準拠

Osler病やビタミンK欠乏症は他のカテゴリーに含めてもよいかもです。"
27,造血系,疾患・病態,"（３）血栓傾向：
プロテインC・プロテインS・アンチトロンビン欠乏症
抗リン脂質抗体症候群
TTP、HUS、DIC",,なし,,D-01-04-03,脾腫の代わりに新設されてはいかがでしょうか。出血傾向と重複するTTP、HUS、DICをどうするか。
28,造血系,疾患・病態,脾臓疾患：脾腫をきたす疾患を列挙し、鑑別の要点を説明できる。,,D-01-04-03,D-01-04-03,,削除で
29,造血系,疾患・病態,"（４）腫瘍性疾患：
急性骨髄性白血病、急性リンパ性白血病、・骨髄増殖性疾患（慢性骨髄性白血病、真性赤血球増加症、本態性血小板血症、原発性骨髄線維症）、MDS（貧血へ）慢性リンパ性白血病、リンパ増殖性疾患、成人T 細胞白血病、悪性リンパ腫（Hodgkinリンパ腫、濾胞性リンパ腫、びまん性大細胞型B細胞リンパ腫、Burkittリンパ腫、MALTリンパ腫）、多発性骨髄腫、マクログロブリン血症、意義不明の単クローン性免疫グロブリン症〈MGUS〉、",,"D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","D-01-04-04-02, D-01-04-04-04, D-01-04-04-06","D-01-04-04-02, D-01-04-04-04, D-01-04-04-06","D-01-04-04-01は骨髄性、リンパ性で-01と-02とに分割
D-01-04-04-03と-07は骨髄増殖性疾患で統合
D-01-04-04-04　MDSは貧血へ。その代わり慢性リンパ性白血病、リンパ増殖性疾患を追加
D-01-04-04-08 悪性リンパ腫は学生時代に覚えておくべきものをリストアップ
D-01-04-04-09 に2疾患追加"
30,造血系,疾患・病態,（５）その他の重要な造血系疾患：無顆粒球症、血球貪食症候群（血球貪食性リンパ組織球症）、移植片対宿主病,,なし,,新設されては？,医師国家試験出題基準からチョイスしました。
31,神経系,構造と機能,中枢神経系と末梢神経系の構成,,D-02-01-01-01,,,
32,神経系,構造と機能,脳の血管支配と血液脳関門,,D-02-01-01-02,,,
33,神経系,構造と機能,脳のエネルギー代謝の特徴,,D-02-01-01-03,,,
34,神経系,構造と機能,主な脳内神経伝達物質（アセチルコリン、ドパミン、ノルアドレナリン）とその作用,,D-02-01-01-04,,,
35,神経系,構造と機能,髄膜・脳室系の構造と脳脊髄液の産生と循環,,D-02-01-01-05,,,
36,神経系,構造と機能,脊髄の構造、機能局在と伝導路,,D-02-01-02-01,,,
37,神経系,構造と機能,脊髄反射（伸張反射、屈筋反射）と筋の相反神経支配,,D-02-01-02-02,,,
38,神経系,構造と機能,脊髄神経と神経叢（頸、腕、腰仙骨）の構成および主な骨格筋支配と皮膚分布（デルマトーム）,,D-02-01-02-03,,,
39,神経系,構造と機能,脳幹の構造と機能、および伝導路,,"D-02-01-03-01, D-02-01-03-03",,,D-02-01-03-01と統合
40,神経系,構造と機能,脳神経の名称、核の局在、走行・分布と機能,,D-02-01-03-02,,,
41,神経系,構造と機能,脳幹の機能,,D-02-01-03-03,,,
42,神経系,構造と機能,大脳の構造と大脳皮質の機能局在（運動野・感覚野・言語野）,,"D-02-01-04-01,D-02-01-04-02",,,
43,神経系,構造と機能,大脳皮質の機能局在（運動野・感覚野・言語野）,,D-02-01-04-02,,,D-02-01-04-01と統合
44,神経系,構造と機能,辺縁系の構造と記憶・学習の機序との関連,,D-02-01-04-03,,,
45,神経系,構造と機能,錐体路を中心とした随意運動の発現機構,,D-02-01-05-01,,,
46,神経系,構造と機能,小脳の構造と機能,,D-02-01-05-02,,,
47,神経系,構造と機能,大脳基底核（線条体、淡蒼球、黒質）の線維結合と機能,,D-02-01-05-03,,,
48,神経系,構造と機能,痛覚、温度覚、触覚と深部感覚の受容機序と伝導路,,D-02-01-06-01,,,
49,神経系,構造と機能,視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路,,D-02-01-06-02,,,
50,神経系,構造と機能,交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質,,D-02-01-07-01,,,
51,神経系,構造と機能,内分泌および自律機能と関連づけた視床下部の構造と機能,,D-02-01-07-02,,,
52,神経系,構造と機能,ストレス反応と本能・情動行動の発現機序,,D-02-01-07-03,,,
53,神経系,症状・症候,けいれん,,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,そもそもチーム提案に対応
54,神経系,症状・症候,意識障害,,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,そもそもチーム提案に対応
55,神経系,症状・症候,めまい,,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,そもそもチーム提案に対応
56,神経系,症状・症候,頭痛,,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,そもそもチーム提案に対応
57,神経系,症状・症候,運動麻痺・筋力低下,,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,そもそもチーム提案に対応
58,神経系,症状・症候,歩行障害,,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,そもそもチーム提案に対応
59,神経系,症状・症候,感覚障害,,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,そもそもチーム提案に対応
60,神経系,症状・症候,小脳性・前庭性・感覚性運動失調障害の鑑別,,D-02-03-01-01,,,
61,神経系,症状・症候,振戦,,D-02-03-01-02,,,
62,神経系,症状・症候,不随意運動（ミオクローヌス,,D-02-03-01-03,,,
63,神経系,症状・症候,舞踏運動,,D-02-03-01-03,,,
64,神経系,症状・症候,ジストニア,,D-02-03-01-03,,,
65,神経系,症状・症候,固定姿勢保持困難(asterixis),,D-02-03-01-03,,,
66,神経系,症状・症候,アテトーシス,,D-02-03-01-03,,,
67,神経系,症状・症候,チック）,,D-02-03-01-03,,,
68,神経系,症状・症候,失語症・構音障害,,D-02-03-03-01,,,
69,神経系,症状・症候,脳浮腫,,D-02-03-04-01,D-02-03-04-01,,
70,神経系,症状・症候,頭蓋内圧亢進（急性・慢性）の症候および脳ヘルニアの分類と症候,,"D-02-03-04-02, D-02-03-04-03",,,
71,神経系,症状・症候,脳ヘルニアの種類と症候,,D-02-03-04-03,,,D-02-03-04-02と統合
72,神経系,検査方法,脳・脊髄のコンピューター断層撮影(computed tomography <CT>)・磁気共鳴画像法(magnetic resonance imaging<MRI>),,D-02-02-na-01,,,略語の統一
73,神経系,検査方法,神経系の電気生理学的検査(脳波検査、針筋電図検査、末梢神経伝導検査）,,D-02-02-na-02,,,
74,神経系,特異的治療法,脳血管障害の治療とリハビリテーション医療,,D-02-04-01-02,,,
75,神経系,疾患・病態,脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作,,D-02-04-01-01,,,
76,神経系,疾患・病態,感染性・炎症性疾患・脱髄性疾患：脳炎・髄膜炎、脳症、多発性硬化症,,"D-02-04-03-01,D-02-04-03-02",,,
77,神経系,疾患・病態,神経変性・代謝性・脱髄疾患：認知症（Alzheimer型、Lewy小体型、脳血管性）、Parkinson病、筋萎縮性側索硬化症、多系統萎縮症,,"D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05",,,
78,神経系,疾患・病態,末梢神経・神経 筋接合部・筋疾患：ニューロパチー（栄養障害、中毒、遺伝性）、Guillain-Barré症候群、Bell麻痺、主な神経痛（三叉・坐骨神経痛）、重症筋無力症、進行性筋ジストロフィー、周期性四肢麻痺,,"D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03",,,
79,神経系,疾患・病態,発作性・機能性・自律神経系疾患：全般てんかん、局在関連てんかん、慢性頭痛（片頭痛、緊張型頭痛）,,"D-02-04-07-01,D-02-04-08-01",,,
80,神経系,疾患・病態,頭部外傷：脳挫傷、脳震盪、びまん性軸索損傷、急性硬膜外血腫、急性硬膜下血腫、頭部外傷後の高次機能障害,,"D-02-04-04-02,D-02-04-04-03",D-02-04-04-01,脳挫傷、脳震盪、びまん性軸索損傷,
81,神経系,疾患・病態,"小児領域：熱性けいれん, 脳性麻痺、水頭症",,"D-02-04-09-01,D-02-04-09-02",,熱性けいれん,
82,神経系,疾患・病態,腫瘍性疾患：　※腫瘍の項目を参照,,D-02-04-10-01,,,
83,皮膚系,構造と機能,皮膚の組織構造,,,,,
84,皮膚系,構造と機能,皮膚の細胞動態と角化の機構,,,,,
85,皮膚系,構造と機能,皮膚の免疫防御能,,,,,
86,皮膚系,症状・症候,発疹　皮疹（紅斑,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
87,皮膚系,症状・症候,紫斑,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
88,皮膚系,症状・症候,色素斑,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
89,皮膚系,症状・症候,丘疹,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
90,皮膚系,症状・症候,結節,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
91,皮膚系,症状・症候,腫瘤,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
92,皮膚系,症状・症候,水疱,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
93,皮膚系,症状・症候,膿疱,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
94,皮膚系,症状・症候,嚢腫,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
95,皮膚系,症状・症候,びらん,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
96,皮膚系,症状・症候,潰瘍,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
97,皮膚系,症状・症候,毛細血管拡張,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
98,皮膚系,症状・症候,硬化,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
99,皮膚系,症状・症候,瘢痕,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
100,皮膚系,症状・症候,萎縮,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
101,皮膚系,症状・症候,鱗屑,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
102,皮膚系,症状・症候,痂皮,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
103,皮膚系,症状・症候,苔癬化,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
104,皮膚系,症状・症候,壊疽）,,,,,発疹（rash）とは一過性の皮疹を総称する用語である。
105,皮膚系,症状・症候,そう痒,,,,,
106,皮膚系,症状・症候,粘膜疹,,,,,
107,皮膚系,症状・症候,脱毛,,,,,
108,皮膚系,検査方法,皮膚検査法（硝子圧法、皮膚描記法(Darier 徴候)、Nikolsky 現象、Tzanck 試験、光線テスト）,,,,,
109,皮膚系,検査方法,皮膚アレルギー検査法（プリックテスト、皮内テスト、パッチテスト）,,,,,
110,皮膚系,検査方法,微生物検査法（検体採取法、苛性カリ<KOH>直接検鏡法）,,,,,
111,皮膚系,検査方法,ダーモスコピー,,,,,
112,皮膚系,特異的治療法,光線療法（PUVA療法）、凍結療法,,,,,
113,皮膚系,疾患・病態,湿疹・皮膚炎：接触皮膚炎、アトピー性皮膚炎、脂漏性皮膚炎、貨幣状湿疹、皮脂欠乏性湿疹、自家感作性皮膚炎、うっ滞性皮膚炎,,,,,
114,皮膚系,疾患・病態,蕁麻疹、紅斑症、紅皮症と皮膚そう痒症：蕁麻疹、血管性浮腫、多形滲出性紅斑、結節性紅斑、環状紅斑、紅皮症、皮膚そう痒症,,,,,
115,皮膚系,疾患・病態,紫斑・皮膚血流障害と血管炎：老人性紫斑、皮膚血流障害、血管炎,,,,,血管炎はE-4免疫・アレルギーに
116,皮膚系,疾患・病態,薬疹・薬物障害：薬疹（固定薬疹、Stevens-Johnson症候群、中毒性表皮壊死症（TEN）、薬剤性過敏症症候群（DIHS）、薬物障害（薬疹を起こしやすい主な薬物の列挙）,,,,,
117,皮膚系,疾患・病態,水疱症と膿疱：自己免疫性水疱症（天疱瘡、水疱性類天疱瘡）、膿疱症（膿疱性乾癬、掌蹠膿疱症）　（水疱症鑑別のための検査法）,,,,,
118,皮膚系,疾患・病態,乾癬と角化症：尋常性乾癬、扁平苔癬、Gibert 薔薇色粃糠疹、魚鱗癬,,,,,
119,皮膚系,疾患・病態,皮膚感染症：伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）、壊死性筋膜炎、皮膚真菌症<表在性、深在性>、皮膚結核病抗酸菌症、梅毒、皮膚ウィルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘、伝染性紅斑、手足口病）、後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫など）、疥癬,,,,,
120,皮膚系,疾患・病態,母斑性皮膚疾患：母斑、母斑症（神経線維腫症1型、結節性硬化症）,,,,,
121,皮膚系,疾患・病態,その他：尋常性痤瘡、酒皶様皮膚炎、円形脱毛症、尋常性白斑、壊疽性膿皮症、痒疹、紅皮症,,,,,
122,皮膚系,疾患・病態,腫瘍性疾患：※腫瘍の項目を参照,,,,,
123,皮膚系,疾患・病態,褥瘡、皮膚外傷どうしますか？,,,,,
124,運動器系,構造と機能,骨・軟骨・関節・靱帯の構成と機能,,,,,
125,運動器系,構造と機能,頭頸部の構成,,,,,
126,運動器系,構造と機能,脊柱の構成と機能,,,,,
127,運動器系,構造と機能,四肢の骨格、主要筋群の運動と神経支配,,,,,
128,運動器系,構造と機能,骨盤の構成と性差,,,,,
129,運動器系,構造と機能,骨の成長と骨形成・吸収の機序,,,,,
130,運動器系,構造と機能,姿勢と体幹の運動にかかわる筋群,,,,,
131,運動器系,構造と機能,抗重力筋,,,,,
132,運動器系,症状・症候,運動麻痺・筋力低下,,,,※歩行障害、感覚障害を追加下さい（宮地先生報告書より）,
133,運動器系,症状・症候,関節痛・関節腫脹,,,,※歩行障害、感覚障害を追加下さい（宮地先生報告書より）,
134,運動器系,症状・症候,腰背部痛,,,,※歩行障害、感覚障害を追加下さい（宮地先生報告書より）,
135,運動器系,症状・症候,歩行障害,,,,※歩行障害、感覚障害を追加下さい（宮地先生報告書より）,
136,運動器系,症状・症候,感覚障害,,,,※歩行障害、感覚障害を追加下さい（宮地先生報告書より）,
137,運動器系,症状・症候,※現時点ではなし,,,,,
138,運動器系,検査方法,筋骨格系の病態に即した徒手検査（四肢・脊柱の可動域検査、神経学的検査等）,,,,,
139,運動器系,検査方法,筋骨格系画像診断（エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、超音波検査、骨塩定量）,,,,,
140,運動器系,検査方法,関節液検査,,,,,
141,運動器系,特異的治療法,運動器疾患のリハビリテーション,,,,,
142,運動器系,特異的治療法,捻挫・骨折・脱臼の治療・処置,,,,,
143,運動器系,疾患・病態,四肢・脊椎外傷,,,,,
144,運動器系,疾患・病態,関節の脱臼、肘内障、靱帯損傷、腱断裂、腱板断裂,,,,,
145,運動器系,疾患・病態,骨折,,,,,
146,運動器系,疾患・病態,コンパートメント症候群,,,,,
147,運動器系,疾患・病態,代謝性骨疾患（骨粗鬆症、くる病、骨軟化症）,,,,,
148,運動器系,疾患・病態,関節炎、腱鞘炎,,,,,
149,運動器系,疾患・病態,関節症（変形性関節症、神経病性関節症、外反母趾）,,,,,
150,運動器系,疾患・病態,絞扼性末梢神経障害（胸郭出口症候群、手根管症候群、肘部管症候群等）,,,,,
151,運動器系,疾患・病態,頸椎症性脊髄症（脊柱靭帯骨化症を含む）・頸椎症性神経根症,,,,,
152,運動器系,疾患・病態,脊髄損傷,,,,,
153,運動器系,疾患・病態,腰椎脊椎椎間板ヘルニア,,,,,
154,運動器系,疾患・病態,腰部脊柱管狭窄症,,,,,
155,運動器系,疾患・病態,腰椎脊椎分離・すべり症,,,,,
156,運動器系,疾患・病態,運動器慢性疼痛（腰背部痛、頸部痛、肩こり、肩関節周囲炎）,,,,,
157,運動器系,疾患・病態,感染性疾患：化膿性関節炎、椎間板炎、化膿性脊椎炎、脊椎カリエス,,,,,
158,運動器系,疾患・病態,先天性疾患（斜頸、側弯症、骨形成不全症、先天性股関節脱臼）,,,,,
159,運動器系,疾患・病態,骨壊死・骨端症（特発性大腿骨頭壊死症、Perthes病、Osgood-Schlatter病）,,,,,
160,運動器系,疾患・病態,腫瘍性疾患：※腫瘍の項目を参照,,,,,
161,循環器,構造と構造,心臓の構造と分布する血管・神経、冠動脈の特長とその分布域,,,,,
162,循環器,構造と構造,心筋細胞の微細構造と機能,,,,,
163,循環器,構造と構造,心筋細胞の電気現象と心臓の興奮（刺激）伝導系,,,,,
164,循環器,構造と構造,興奮収縮連関,,,,,
165,循環器,構造と構造,体循環、肺循環と胎児・胎盤循環,,,,,
166,循環器,構造と構造,大動脈と主な分枝（頭頸部、上肢、胸部、腹部、下肢）を図示し、分布域,,,,,
167,循環器,構造と構造,主な静脈、門脈系と上・下大静脈系,,,,,
168,循環器,構造と構造,毛細血管における物質・水分交換,,,,,
169,循環器,構造と構造,胸管を経由するリンパの流れ,,,,,
170,循環器,構造と構造,心周期にともなう血行動態,,,,,
171,循環器,構造と構造,心機能曲線と心拍出量の調節機序,,,,,
172,循環器,構造と構造,主な臓器（脳、心臓、肺、腎臓）の循環調節,,,,,
173,循環器,構造と構造,血圧調節の機序,,,,,
174,循環器,構造と構造,体位や運動に伴う循環反応とその機序,,,,,
175,循環器,症状・症候,体重増加,,,①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛,,
176,循環器,症状・症候,意識障害・失神,,,①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛,,
177,循環器,症状・症候,浮腫,,,①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛,,
178,循環器,症状・症候,咳・痰,,,①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛,,
179,循環器,症状・症候,呼吸困難,,,①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛,,
180,循環器,症状・症候,胸痛,,,①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛,,
181,循環器,症状・症候,動悸,,,①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛,,
182,循環器,症状・症候,胸水,,,①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛,,
183,循環器,症状・症候,腰背部痛,,,①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛,,
184,循環器,症状・症候,,,,①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛,,
185,循環器,症状・症候,ショック,,,,,野村E-5（救急領域）を担当しておりますが、そちらで引き取っても良いでしょうか？
186,循環器,症状・症候,心肺停止,,,,,野村E-5（救急領域）を担当しておりますが、そちらで引き取っても良いでしょうか？
187,循環器,検査方法,胸部単純エックス線撮影写真、心電図,,,,,
188,循環器,検査方法,心臓超音波検査,,,,,
189,循環器,検査方法,運動負荷心電図、ホルタ―心電図,,,,,
190,循環器,検査方法,心臓シンチグラフィ－,,,,,
191,循環器,検査方法,冠動脈造影、冠動脈コンピュータ断層撮影<CT>及び心臓磁気共鳴画像法<MRI>,,,,,
192,循環器,検査方法,心カテーテル検査（心内圧、心機能、シャント率の測定）,,,,,
193,循環器,特異的治療法,虚血性心疾患に対する血行再建術：経皮的冠動脈形成術、ステント留置術、冠動脈バイパス術,,,④他疾患（脳血管疾患、心疾患、腎疾患、糖尿病）を合併する場合の血圧管理,,
194,循環器,特異的治療法,不整脈に対する非薬物療法（カテーテルアブレーション、電気的除細動、ペースメーカー植え込み、植え込み型除細動器）、,,,,,
195,循環器,特異的治療法,各種降圧薬の作用機序による分類、適応、禁忌、副作用、,,,,,
196,循環器,疾患・病態,心不全：心不全（左心・右心、急性・慢性）,,,,,
197,循環器,疾患・病態,虚血性心疾患：狭心症(労作性、冠攣縮性）、急性冠症候群（不安定狭心症、急性心筋梗塞）,,,非ST上昇型心筋梗塞およびST上昇型、Q波心筋梗塞、非Q波心筋梗塞、陳旧性心筋梗塞,,表記方法をかなり整理した
198,循環器,疾患・病態,不整脈：徐脈性不整脈（洞不全症候群、房室ブロック）、上室性頻脈性不整脈（心房細動、心房粗動、発作性上室性頻拍症）、心室性頻脈性不整脈（心室頻拍、多源性心室頻拍（torsades de pointes)）、心室細動、期外収縮（上室性、心室性）,,,洞性頻脈、致死性不整脈,,表記方法をかなり整理した
199,循環器,疾患・病態,弁膜症：僧帽弁疾患、大動脈弁疾患,,,,,
200,循環器,疾患・病態,心筋・心膜疾患：特発性心筋症（肥大型、拡張型、拘束型）、二次性心筋疾患、急性心筋炎、感染性心内膜炎、急性心膜炎、収縮性心膜炎、心タンポナーデ,,,,,
201,循環器,疾患・病態,先天性心疾患：心房中隔欠損症、心室中隔欠損症、動脈管開存、Fallot 四徴症,,,,,
202,循環器,疾患・病態,動脈疾患：動脈硬化症、急性大動脈解離、大動脈瘤（破裂）、閉塞性動脈硬化症、Buerger病、高安動脈炎(大動脈炎症候群),,,,,
