臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
循環器系,症状・症候,意識障害,"D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18",,,,,,,,,,,,
循環器系,症状・症候,失神,"D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18",,,,,,,,,,,,
循環器系,症状・症候,胸水,,,,①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛,,,,,,,,,,
循環器系,検査方法,胸部単純エックス線撮影,D-05-02-na-01,,,E-5に移動,,,,,胸部単純エックス線撮影の単純は削除,,,,,
循環器系,検査方法,心電図（安静時・運動負荷心電図・ホルタ―心電図）,D-05-02-na-03,,,心電図として一つにまとめた,,,,,ホルタ―心電図はHolter心電図と記載する,,,,,
循環器系,検査方法,心臓超音波検査,D-05-02-na-02,,,,,,,,心臓超音波検査は心エコー検査と記載する,,,,,
循環器系,検査方法,心臓シンチグラフィ－,D-05-02-na-04,,,,,,,,心臓シンチグラフィ－は心臓シンチグラフィと記載,,,,,
循環器系,検査方法,冠動脈造影、冠動脈CT、MRI,D-05-02-na-05,,,,,,,,,,,,,
循環器系,検査方法,心カテーテル検査（心内圧・心機能・シャント率の測定）,D-05-02-na-06,,,,,,,,,,"特異的な治療法として　　大動脈弁狭窄症に対するカテーテル治療（TAVI　経カテーテル大動脈弁留置術）や、肥大型心筋症に対する経皮的中隔心筋焼灼術などが、一般的にかなり行われてきておりますが、学生時代から知っておくべき特異的治療法として、追記なしでもよろしいでしょうか？　不要かもしれませんが、経皮的冠動脈形成術やカテーテルアブレーションが記載されているので、確認でした。
",,,
循環器系,特異的治療法,虚血性心疾患に対する血行再建術（経皮的冠動脈形成術・ステント留置術・冠動脈バイパス術）,D-05-04-02-06,D-05-04-09-05,,④他疾患（脳血管疾患、心疾患、腎疾患、糖尿病）を合併する場合の血圧管理,,,,,,,,,,
循環器系,特異的治療法,不整脈に対する非薬物療法（カテーテルアブレーション・電気的除細動・ペースメーカー植え込み・植え込み型除細動器）,D-05-04-03-05,,,,,,,,,,,,,
循環器系,特異的治療法,心臓リハビリテーションなどの疾病管理プログラム,"D-05-04-01-04, D-05-04-02-06",D-05-04-09-03,,加えてみました（野村）,,,,,,,,,,
循環器系,疾患・病態,心不全：心不全（左心・右心・急性・慢性）,"D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05",,,統合、表記方法の整理,,,,,,,,,,
循環器系,疾患・病態,虚血性心疾患：狭心症(労作性・冠攣縮性）、急性冠症候群（不安定狭心症・急性心筋梗塞）,"D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06",,,急性冠症候群の（）の中を削除（非ST上昇型心筋梗塞およびST上昇型、Q波心筋梗塞、非Q波心筋梗塞、陳旧性心筋梗塞）,"STEMI, NSTEMIはなくてよいか？",,,,,,,,,
循環器系,疾患・病態,不整脈：徐脈性不整脈（洞不全症候群・房室ブロック）、上室性頻脈性不整脈（心房細動・心房粗動・発作性上室性頻拍症）、心室性頻脈性不整脈（心室頻拍・多源性心室頻拍（torsades de pointes)）、心室細動、期外収縮（上室性・心室性）、WPW症候群、Brugada症候群,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06",,,上室性頻脈の（）の中を削除（洞性頻脈、致死性不整脈）,QT延長症候群、甲状腺機能亢進症、PIはなくてよいか？,,,,,,,,,
循環器系,疾患・病態,弁膜症：僧帽弁疾患（狭窄・閉鎖不全）、大動脈弁疾患（狭窄・閉鎖不全）、三尖弁閉鎖不全,D-05-04-04-01,,,狭窄・閉鎖不全の表記追加,,,,,,,,,,
循環器系,疾患・病態,心筋・心膜疾患：特発性心筋症（肥大型・拡張型・拘束型）、二次性心筋疾患、急性心筋炎、感染性心内膜炎、急性心膜炎、収縮性心膜炎、心タンポナーデ,"D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06",,,,心筋疾患と心膜疾患を分離したほうがよいのでは。,,,,,,,,,
循環器系,疾患・病態,先天性心疾患：心房中隔欠損症、心室中隔欠損症、動脈管開存、Fallot 四徴症,D-05-04-06-01,,,,,,,,,,,,,
循環器系,疾患・病態,動脈疾患：動脈硬化症、急性大動脈解離、大動脈瘤（胸部・腹部）、閉塞性動脈硬化症、Buerger病、高安動脈炎(大動脈炎症候群),"D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05",,,破裂を削除し、胸部・腹部を表記追加,,,,,,,,,,
循環器系,疾患・病態,静脈・リンパ管疾患：深部静脈血栓症、血栓性静脈炎、上大静脈症候群、下肢静脈瘤、リンパ浮腫,"D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04",,,,,,,,,,,,,
循環器系,疾患・病態,高血圧症：高血圧症（本態性・二次性）、高血圧緊急症,"D-05-04-09-01,D-05-04-09-02,D-05-04-09-04",D-05-04-09-06,,高齢者の高血圧の特徴と治療の注意点を説明できる。は、老年医学で対応検討,,,,,,,,,,
循環器系,疾患・病態,低血圧症：起立性低血圧、神経失調性失神,D-05-04-10-02,D-05-04-10-01,,低血圧の原因疾患、病態生理、症候、診断、予後、治療を説明できる。,,,,,神経失調性失神は（反射性失神）と記載,,,,,
循環器系,疾患・病態,腫瘍性疾患：　※腫瘍の項目を参照,D-05-04-11-01,D-05-04-11-01,,,,,,,,,,,,
