臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
皮膚系,検査方法,ダーモスコピー,,,新設,,,,,,,,,,,
皮膚系,特異的治療法,外用療法,,,新設,,,,,,,,,,,
皮膚系,特異的治療法,凍結療法,,,新設,,,,,,,,,,,
皮膚系,特異的治療法,光線療法（PUVA療法）,,,新設,,,,,,,,,,,
皮膚系,疾患・病態,湿疹・皮膚炎：湿疹反応（湿疹三角）、接触皮膚炎、アトピー性皮膚炎、脂漏性皮膚炎、貨幣状湿疹、皮脂欠乏性湿疹、自家感作性皮膚炎、うっ滞性皮膚炎）,"D-03-04-01-01, ,D-03-04-01-02",,D-03-04-01-02にうっ滞性皮膚炎を加える,医師国家試験ガイドラインに沿う,,,,,,,,,,
皮膚系,疾患・病態,蕁麻疹、紅斑症、紅皮症と皮膚そう痒症：蕁麻疹、血管性浮腫、多形滲出性紅斑、結節性紅斑、環状紅斑、紅皮症、皮膚そう痒症,"D-03-04-02-01,,D-03-04-02-02,,D-03-04-02-03.,",,"D-03-04-02-01に血管性浮腫を加える。,D-03-04-02-02に結節性紅斑を加える。",医師国家試験ガイドラインに沿う,,,,,,紅斑症は割愛（結節性紅斑などの各疾患でカバーできる）,,,,
皮膚系,疾患・病態,紫斑・皮膚血流障害：紫斑（単純性・老人性）、皮膚血流障害（血栓性静脈炎・網状皮斑）,D-03-04-03-01,,"D-03-04-03-02として皮膚血流障害を分けることを推奨したい。,単純性紫斑・老人性紫斑を加える。,皮膚血流障害（網状皮斑・血栓性静脈炎）と追記。","血管炎はE-4免疫・アレルギーに,D-01-04-02やE-04-03-05も参照と注釈を加えても良い。",,,,,,,,,,
皮膚系,疾患・病態,薬疹・薬物障害：固定薬疹、Stevens-Johnson症候群、中毒性表皮壊死症（TEN）、薬剤性過敏症症候群（DIHS）,"D-03-04-04-01, D-03-04-04-02",D-03-04-04-02,D-03-04-04-01に具体的な疾患名を追記しました。,,,,,,中毒性表皮壊死症〈TEN〉、薬剤性過敏症症候群〈DIHS〉,,,,,
皮膚系,疾患・病態,水疱症と膿疱：自己免疫性水疱症（天疱瘡・水疱性類天疱瘡）、膿疱症（掌蹠膿疱症・膿疱性乾癬）,"D-03-04-05-01, D-03-04-05-02, D-03-04-05-03",D-03-04-05-03,,,,,,,,,,,,
皮膚系,疾患・病態,乾癬と角化症：尋常性乾癬、扁平苔癬、Gibert 薔薇色粃糠疹、魚鱗癬脂漏性角化症,"D-03-04-06-01,D-03-04-06-02,",,D-03-04-06-03新設,,,,,,,,,,,
皮膚系,疾患・病態,皮膚感染症：伝染性膿痂疹、せつ・癰、毛嚢炎、ひょう疽、丹毒、ブドウ球菌性熱傷様皮膚症候群、蜂窩織炎、壊死性筋膜炎、皮膚真菌症（表在性・深在性）、皮膚抗酸菌症、疥癬、皮膚ウィルス感染症（単純ヘルペス・帯状疱疹・尋常性疣贅・伝染性軟属腫・麻疹・風疹・水痘・伝染性紅斑・手足口病）、後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒・難治性ヘルペス・伝染性軟属腫・カポジ肉腫など）,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06",D-03-04-07-04,"D-03-04-07-01にひょう疽、蜂窩織炎、壊死性筋膜炎を加えました。,D-03-04-07-03は皮膚非結核性抗酸菌症も含めました。,D-03-04-07-05のウイルス疾患に3疾患追加しました。,D-03-04-07-06を新たに加えました。",梅毒は感染症E-2に含めることは可能でしょうか。,,,,,,,,,,
皮膚系,疾患・病態,母斑性皮膚疾患：母斑、母斑症（神経線維腫症1型・結節性硬化症）,D-03-04-08-01,,D-03-04-08-01を2つに分けましたがいかがでしょうか。,,,,,,,,,,,
皮膚系,疾患・病態,付属器疾患：毛の疾患（円形脱毛症・男性型脱毛症）、爪の疾患（匙状爪・嵌入爪）、汗腺の疾患（汗疹・多汗症・無汗症）,"D-03-04-09-01, D-03-04-09-02",,"D-03-04-09-01と-02に、具体的記述を追加しました。,D-03-04-09-03汗腺の疾患を追記しました。",,,,,,,,,,,
皮膚系,疾患・病態,その他：尋常性痤瘡、酒皶様皮膚炎、褥瘡、ケロイド、粉瘤、尋常性白斑、壊疽性膿皮症、痒疹、色素性乾皮症,,,新設,伴研究を参照し、common disease、内臓疾患との関連、基礎医学との関連を考慮してチョイス,,,,,壊疽性膿皮症は好中球性皮膚症（Sweet病、壊疽性膿皮症）とまとめる,,,,,
皮膚系,疾患・病態,腫瘍性疾患：※腫瘍の項目を参照,,,,母斑性皮膚疾患と腫瘍性疾患とを分けましたが、いかがでしょうか。,,,,,,,,,,
皮膚系,疾患・病態,凍傷・電撃傷を別カテゴリーで設けてください。,,,,,,,,,,,,,,
