臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
呼吸器系,特異的治療法,酸素療法,,,新設,,,,,,,,,,,
呼吸器系,特異的治療法,人工換気,,,新設,,,,,,,,,,,
呼吸器系,疾患・病態,呼吸不全：低酸素血症と高二酸化炭素血症,"D-06-04-01-01, D-06-04-01-02","D-06-04-01-01, D-06-04-01-02",,症候に含めましたが一長一短あり。,,,,,,,,,,
呼吸器系,疾患・病態,呼吸器感染症：急性上気道感染症（かぜ症候群）、扁桃炎・急性喉頭蓋炎、気管支炎、細気管支炎、肺炎（定型・非定型）、肺結核症、非結核性（非定型）抗酸菌症、肺真菌症、嚥下性肺疾患、肺化膿症・膿胸、クループ症候群,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07",,"D-06-04-02-05の用語変更,,D-06-04-02-03とD-06-04-02-04の一部入れ替え","嚥下性肺疾患（医師国家試験ガイドラインの記載に準拠）,,肺結核症、肺非結核性（非定型）抗酸菌症のペアではいかがでしょうか。,,急性喉頭蓋炎は耳鼻科領域とも重複のままで良い気がします。",正式な用語としては「嚥下性肺炎」でこちらが頻用されていると思います,,,,,,,,,
呼吸器系,疾患・病態,閉塞性換気障害・拘束性換気障害：慢性閉塞性肺疾患(chronic obstructive pulmonary disease <COPD>)、気腫性嚢胞（ブレブ・ブラ）、気管支喘息（咳喘息を含む）、間質性肺炎（特発性・膠原病及び血管炎関連性）、びまん性汎細気管支炎、➅放射線肺炎、じん肺症（珪肺・石綿肺）,"D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07","D-06-04-03-01, D-06-04-03-02","D-06-04-03-01に統合,かわりに新D-06-07-03-02気腫性嚢胞（ブレブ・ブラ）追加",D-06-04-03-03の小児喘息は咳喘息のほうがよいのではないでしょうか（年齢に関わらず学ぶのは当然ゆえ）,,,,,,,,,,
呼吸器系,疾患・病態,肺循環障害：肺性心、急性呼吸促(窮)迫症候群(acute respiratory distress syndrome <ARDS>)、肺血栓塞栓症、肺高血圧症（原発性・二次性）、肺動静脈瘻,"D-06-04-04-01, D-06-04-04-02, D-06-04-04-03, D-06-04-04-04,",,D-06-04-04-05（新設）,D-06-04-04-04には（原発性、二次性と記した方がよいのでは？）,,,,,,,,,,急性呼吸窮迫症候群
呼吸器系,疾患・病態,免疫学的機序による肺疾患：過敏性肺炎、サルコイドーシス、好酸球性肺炎、薬剤性肺炎、アレルギー性気管支肺アスペルギルス症,"D-06-04-05-01, D-06-04-05-02, D-06-04-05-03, D-06-04-05-04,",,D-06-04-04-05（新設）,,,,,,,,,,,
呼吸器系,疾患・病態,異常呼吸：過換気症候群、睡眠時無呼吸症候群、肺胞低換気症候群,"D-06-04-06-01, D-06-04-06-02, D-06-04-06-03",,,,,,,,,,,,,
呼吸器系,疾患・病態,その他の機序による肺疾患：気管支拡張症、無気肺、新生児呼吸促迫症候群、肺リンパ脈管筋腫症、肺胞タンパク症、➅癌性リンパ管症,"D-06-04-07-01, D-06-04-07-02, D-06-04-07-03, D-06-04-07-04, D-06-04-07-05",,D-06-04-07-06,領域題目名変更希望,,,,,,肺リンパ脈管筋腫症、肺胞タンパク症は稀な疾患∴割愛,,,,➅癌性リンパ管症のタイポ
呼吸器系,疾患・病態,胸膜・縦隔疾患・横隔膜：胸膜炎、気胸（自然・緊張性・外傷性）、縦隔気腫、血胸、乳び胸、➅縦隔炎、胸郭変形（漏斗胸）、横隔神経麻痺、横隔膜ヘルニア,"D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,",D-06-04-08-04,"D-06-04-08-04（入れ替え）, D-06-04-08-05（新設）, D-06-04-08-06（新設）, D-06-04-03-07（新設）, D-06-04-03-08（新設）、,D-06-04-03-09（新設）","領域題目名に・横隔膜追加です。,胸膜生検は検査へ移動",,,,,,,,,,
呼吸器系,疾患・病態,腫瘍性疾患：　※腫瘍の項目を参照,,,,縦隔腫瘍を忘れないでほしいです。,,,,,,,,,,
