臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
神経系,構造と機能,内分泌および自律機能と関連づけた視床下部の構造と機能,D-02-01-07-02,,,,,,,,,,,,,
神経系,構造と機能,ストレス反応と本能・情動行動の発現機序,D-02-01-07-03,,,,,,,,,,,,,
神経系,症状・症候,頭痛,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,
神経系,症状・症候,めまい,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,
神経系,症状・症候,けいれん,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,
神経系,症状・症候,意識障害,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,
神経系,症状・症候,運動麻痺・筋力低下,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,
神経系,症状・症候,歩行障害,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,
神経系,症状・症候,感覚障害,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,
神経系,症状・症候,認知障害,"D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05",,⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害,,,,,,,,,,,
神経系,症状・症候,失語症・構音障害,"D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03",D-02-03-04-01,,,,,,,,,,言語障害（失語症・構音障害）にするのはいかがでしょうか。,,
神経系,症状・症候,振戦,"D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03",D-02-03-04-01,,,,,,,,,,,,
神経系,症状・症候,小脳性・前庭性・感覚性運動失調障害,"D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03",D-02-03-04-01,,,,,,,,,,,,
神経系,症状・症候,不随意運動（ミオクローヌス・舞踏運動・ジストニア・固定姿勢保持困難・アテトーシス・チック）,"D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03",D-02-03-04-01,,,,,,,,,,,,
神経系,症状・症候,頭蓋内圧亢進（急性・慢性）,"D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03",D-02-03-04-01,,,,,,,,,,,,
神経系,症状・症候,脳ヘルニア,"D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03",D-02-03-04-01,,,,,,,,,,,,
神経系,検査方法,脳・脊髄の画像検査（CT・MRI）,D-02-02-na-01,,,"CT, MRIのフルスペルを削除し簡略化",,,,,,,,,,
神経系,検査方法,神経系の電気生理学的検査(脳波検査、針筋電図検査、末梢神経伝導検査）,D-02-02-na-02,,,,,,,,,,,,,
神経系,特異的治療法,脳血管障害の急性期治療とリハビリテーション医療,D-02-04-01-02,,,,,,,,,,,,,
神経系,疾患・病態,脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作、脳動脈瘤、脳動静脈奇形、もやもや病,D-02-04-01-01,,脳動脈瘤、脳動静脈奇形、もやもや病を追加,,,,,,,,,,,
神経系,疾患・病態,感染性・炎症性疾患・脱髄性疾患：脳炎・髄膜炎、脳症、脳膿瘍、多発性硬化症,"D-02-04-03-01,D-02-04-03-02",,脳膿瘍を追加,,感染性疾患、脳症、脱髄性疾患はそれぞれ分離すべき,,,,,,,,,
神経系,疾患・病態,認知症と変性疾患：認知症（Alzheimer型・Lewy小体型・脳血管性）、Parkinson病、筋萎縮性側索硬化症、多系統萎縮症,"D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05",,,,認知症と変性疾患は分離すべき,,,,,,,,,
神経系,疾患・病態,末梢神経・神経 筋接合部・筋疾患：ニューロパチー（栄養障害・中毒・遺伝性）、Guillain-Barré症候群、顔面神経麻痺（Bell麻痺を含む）、反回神経麻痺、主な神経痛（三叉・坐骨神経痛）、重症筋無力症、進行性筋ジストロフィー、周期性四肢麻痺,"D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03",,,,末梢神経、神経筋接合部、筋疾患はそれぞれ分離すべき,,,,,,,,,
神経系,疾患・病態,発作性・機能性・自律神経系疾患：全般てんかん、局在関連てんかん、慢性頭痛（片頭痛・緊張型頭痛）,"D-02-04-07-01,D-02-04-08-01",,,,「自律神経系」は医学用語として適切でない,,,,,,,,,
神経系,疾患・病態,頭部外傷：脳挫傷、脳震盪、びまん性軸索損傷、急性硬膜外血腫、硬膜下血腫（急性・慢性）、頭蓋骨骨折、頭部外傷後の高次機能障害,"D-02-04-04-02,D-02-04-04-03",D-02-04-04-01,脳挫傷、脳震盪、びまん性軸索損傷、頭蓋骨骨折,,,,,,,,,,,
神経系,疾患・病態,小児領域：熱性けいれん、脳性麻痺、水頭症,"D-02-04-09-01,D-02-04-09-02",,熱性けいれん,,水頭症は小児のみでないので分離すべき,,,,,,,,,
神経系,疾患・病態,腫瘍性疾患：　※腫瘍の項目を参照,D-02-04-10-01,,,,,,,,,,,,,
