第2層,第3層,第4層,UID,H28対応項目,H28表記,「概要を理解している」で良い場合には●(20220410),第4層(202004113)作業用,第4層(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),医学教育課修正案(20220327),医学教育課からのコメント(20220327),チームからの修正提案(20220317),チームからのコメント(20220317),第4層(技術参与清書),第4層(20220302査読直前),修正提案(20220302),査読コメント(20220302),"チームからの返信
（原案どおりなら１、修正案に賛成なら２）",チームからのコメント（あれば）,第4層(計算列),メモ,Unnamed: 23,#VALUE!,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,全体編集メモ
患者の意思決定の支援とそのための情報収集・わかりやすい説明,患者の意思決定の支援,患者の自己決定を阻害する問題点を理解する。,JmiwFHw,,,,患者の自己決定を阻害する問題点を理解する。,患者の自己決定を阻害する問題点を理解する。,,,,,,,,,,,,,,,,,,,,,,,,,,
患者の意思決定の支援とそのための情報収集・わかりやすい説明,患者の意思決定の支援,患者の経験を尊重し、価値観を明確にできるように傾聴することができる。,JmiwFH8,,,,患者の経験を尊重し、価値観を明確にできるように傾聴することができる。,患者の経験を尊重し、価値観を明確にできるように傾聴することができる。,,,,,,,,,,,,,,,,,,,,,,,,,,
患者の意思決定の支援とそのための情報収集・わかりやすい説明,患者の意思決定の支援,患者の意思決定支援のために、最善のエビデンスをできるだけ専門用語を使わずに、わかりやすく説明することができる。,JmiwFIA,,,,患者の意思決定支援のために、最善のエビデンスをできるだけ専門用語を使わずに、わかりやすく説明することができる。,患者の意思決定支援のために、最善のエビデンスをできるだけ専門用語を使わずに、わかりやすく説明することができる。,,,,,,,,,,,,,,,,,,,,,,,,,,
患者の意思決定の支援とそのための情報収集・わかりやすい説明,患者の意思決定の支援,患者の価値観に沿った目標に基づいた治療方針を計画することができる。,JmiwFII,,,,患者の価値観に沿った目標に基づいた治療方針を計画することができる。,患者の価値観に沿った目標に基づいた治療方針を計画することができる。,,,,,,,,,,,,,,,,,,,,,,,,,,
患者や家族のニーズの把握と配慮,患者・家族の課題の把握と必要な情報の取得,患者の心理的及び社会的背景や自立した生活を送るためのニーズを把握することができる。,JmiwmlM,,,,患者の心理的及び社会的背景や自立した生活を送るためのニーズを把握することができる。,患者の心理的及び社会的背景や自立した生活を送るためのニーズを把握することができる。,3.0,コミュニケーションチームに確認中です,第3層が名詞になっていませんので、修正をお願いします。,,,,,,,,,,,,,,,,,,,,,,,
患者や家族のニーズの把握と配慮,患者・家族の課題の把握と必要な情報の取得,患者が抱える課題、問題点を抽出・整理できる。,JmiwmlQ,,,,患者が抱える課題、問題点を抽出・整理できる。,患者が抱える課題、問題点を抽出・整理できる。,,,,,,,,,,,,,,,,,,,,,,,,,,
患者や家族のニーズの把握と配慮,患者・家族の課題の把握と必要な情報の取得,患者自身から情報が得られない場合、代理人や保護者等から必要な情報を得ることができる。,JmiwmlU,,,,患者自身から情報が得られない場合、代理人や保護者等から必要な情報を得ることができる。,患者自身から情報が得られない場合、代理人や保護者等から必要な情報を得ることができる。,,,,,,,,,,,,,,,,,,,,,,,,,,
患者や家族のニーズの把握と配慮,患者・家族の心理・社会的背景に配慮した診療,家族や地域といった視点をもちながら、コミュニケーションをとることができる。,JmiwtUk,,,,家族や地域といった視点をもちながら、コミュニケーションをとることができる。,家族や地域といった視点をもちながら、コミュニケーションをとることができる。,,,,,,,,,,,,,,,,,,,,,,,,,,
患者や家族のニーズの把握と配慮,患者・家族の心理・社会的背景に配慮した診療,心理・社会的背景に配慮した診療に可能な範囲で参加することができる。,JmiwtUo,,,,心理・社会的背景に配慮した診療に可能な範囲で参加することができる。,心理・社会的背景に配慮した診療に可能な範囲で参加することができる。,,,,,,,,,,,,,,,,,,,,,,,,,,
患者や家族のニーズの把握と配慮,患者・家族の心理・社会的背景に配慮した診療,医療の不確実性を理解した上で適切な行動や態度をとることができる。,JkxhhXA,,,,医療の不確実性を理解した上で適切な行動や態度をとることができる。,医療の不確実性を理解した上で適切な行動や態度がとれる。,1.0,,医療の不確実性を理解した上で適切な行動や態度をとることができる。,「。」を追記しました。語尾の修正。第3層が名詞になっていませんので、修正をお願いします。,,,不確実な状況や医学的に説明困難な症状に配慮した対応を説明できる。,不確実な状況や医学的に説明困難な症状に配慮した対応がを説明できる。,不確実な状況に配慮した行動や態度がとれる,"査読者C, Eの意見を反映",,医療の不確実性を理解した上で適切な行動や態度がとれる,,新設,,,,,,,,,,,,
