"臓器","分類","項目名","blank","H28対応項目","削除項目","追加項目","メモ"
"神経系","構造と機能","辺縁系の構造と記憶・学習の機序との関連","","D-02-01-04-03","","",""
"神経系","構造と機能","錐体路を中心とした随意運動の発現機構","","D-02-01-05-01","","",""
"神経系","構造と機能","小脳の構造と機能","","D-02-01-05-02","","",""
"神経系","構造と機能","大脳基底核（線条体、淡蒼球、黒質）の線維結合と機能","","D-02-01-05-03","","",""
"神経系","構造と機能","痛覚、温度覚、触覚と深部感覚の受容機序と伝導路","","D-02-01-06-01","","",""
"神経系","構造と機能","視覚、聴覚・平衡覚、嗅覚、味覚の受容機序と伝導路","","D-02-01-06-02","","",""
"神経系","構造と機能","交感神経系と副交感神経系の中枢内局在、末梢分布、機能と伝達物質","","D-02-01-07-01","","",""
"神経系","構造と機能","内分泌および自律機能と関連づけた視床下部の構造と機能","","D-02-01-07-02","","",""
"神経系","構造と機能","ストレス反応と本能・情動行動の発現機序","","D-02-01-07-03","","",""
"神経系","症状・症候","けいれん","","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","そもそもチーム提案に対応"
"神経系","症状・症候","意識障害","","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","そもそもチーム提案に対応"
"神経系","症状・症候","めまい","","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","そもそもチーム提案に対応"
"神経系","症状・症候","頭痛","","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","そもそもチーム提案に対応"
"神経系","症状・症候","運動麻痺・筋力低下","","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","そもそもチーム提案に対応"
"神経系","症状・症候","歩行障害","","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","そもそもチーム提案に対応"
"神経系","症状・症候","感覚障害","","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害","そもそもチーム提案に対応"
"神経系","症状・症候","小脳性・前庭性・感覚性運動失調障害の鑑別","","D-02-03-01-01","","",""
"神経系","症状・症候","振戦","","D-02-03-01-02","","",""
"神経系","症状・症候","不随意運動（ミオクローヌス","","D-02-03-01-03","","",""
"神経系","症状・症候","舞踏運動","","D-02-03-01-03","","",""
"神経系","症状・症候","ジストニア","","D-02-03-01-03","","",""
"神経系","症状・症候","固定姿勢保持困難(asterixis)","","D-02-03-01-03","","",""
"神経系","症状・症候","アテトーシス","","D-02-03-01-03","","",""
"神経系","症状・症候","チック）","","D-02-03-01-03","","",""
"神経系","症状・症候","失語症・構音障害","","D-02-03-03-01","","",""
"神経系","症状・症候","脳浮腫","","D-02-03-04-01","D-02-03-04-01","",""
"神経系","症状・症候","頭蓋内圧亢進（急性・慢性）の症候および脳ヘルニアの分類と症候","","D-02-03-04-02, D-02-03-04-03","","",""
"神経系","症状・症候","脳ヘルニアの種類と症候","","D-02-03-04-03","","","D-02-03-04-02と統合"
"神経系","検査方法","脳・脊髄のコンピューター断層撮影(computed tomography <CT>)・磁気共鳴画像法(magnetic resonance imaging<MRI>)","","D-02-02-na-01","","","略語の統一"
"神経系","検査方法","神経系の電気生理学的検査(脳波検査、針筋電図検査、末梢神経伝導検査）","","D-02-02-na-02","","",""
"神経系","特異的治療法","脳血管障害の治療とリハビリテーション医療","","D-02-04-01-02","","",""
"神経系","疾患・病態","脳血管障害：脳出血、くも膜下出血、頭蓋内血腫、脳梗塞、一過性脳虚血発作","","D-02-04-01-01","","",""
"神経系","疾患・病態","感染性・炎症性疾患・脱髄性疾患：脳炎・髄膜炎、脳症、多発性硬化症","","D-02-04-03-01,D-02-04-03-02","","",""
"神経系","疾患・病態","神経変性・代謝性・脱髄疾患：認知症（Alzheimer型、Lewy小体型、脳血管性）、Parkinson病、筋萎縮性側索硬化症、多系統萎縮症","","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患：ニューロパチー（栄養障害、中毒、遺伝性）、Guillain-Barré症候群、Bell麻痺、主な神経痛（三叉・坐骨神経痛）、重症筋無力症、進行性筋ジストロフィー、周期性四肢麻痺","","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","",""
"神経系","疾患・病態","発作性・機能性・自律神経系疾患：全般てんかん、局在関連てんかん、慢性頭痛（片頭痛、緊張型頭痛）","","D-02-04-07-01,D-02-04-08-01","","",""
"神経系","疾患・病態","頭部外傷：脳挫傷、脳震盪、びまん性軸索損傷、急性硬膜外血腫、急性硬膜下血腫、頭部外傷後の高次機能障害","","D-02-04-04-02,D-02-04-04-03","D-02-04-04-01","脳挫傷、脳震盪、びまん性軸索損傷",""
"神経系","疾患・病態","小児領域：熱性けいれん, 脳性麻痺、水頭症","","D-02-04-09-01,D-02-04-09-02","","熱性けいれん",""
"神経系","疾患・病態","腫瘍性疾患：　※腫瘍の項目を参照","","D-02-04-10-01","","",""
"皮膚系","構造と機能","皮膚の組織構造","","","","",""
"皮膚系","構造と機能","皮膚の細胞動態と角化の機構","","","","",""
"皮膚系","構造と機能","皮膚の免疫防御能","","","","",""
"皮膚系","症状・症候","発疹　皮疹（紅斑","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","紫斑","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","色素斑","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","丘疹","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","結節","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","腫瘤","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","水疱","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","膿疱","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","嚢腫","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","びらん","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","潰瘍","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","毛細血管拡張","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","硬化","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","瘢痕","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","萎縮","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","鱗屑","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","痂皮","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","苔癬化","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","壊疽）","","","","","発疹（rash）とは一過性の皮疹を総称する用語である。"
"皮膚系","症状・症候","そう痒","","","","",""
"皮膚系","症状・症候","粘膜疹","","","","",""
"皮膚系","症状・症候","脱毛","","","","",""
"皮膚系","検査方法","皮膚検査法（硝子圧法、皮膚描記法(Darier 徴候)、Nikolsky 現象、Tzanck 試験、光線テスト）","","","","",""
"皮膚系","検査方法","皮膚アレルギー検査法（プリックテスト、皮内テスト、パッチテスト）","","","","",""
"皮膚系","検査方法","微生物検査法（検体採取法、苛性カリ<KOH>直接検鏡法）","","","","",""
"皮膚系","検査方法","ダーモスコピー","","","","",""
"皮膚系","特異的治療法","光線療法（PUVA療法）、凍結療法","","","","",""
"皮膚系","疾患・病態","湿疹・皮膚炎：接触皮膚炎、アトピー性皮膚炎、脂漏性皮膚炎、貨幣状湿疹、皮脂欠乏性湿疹、自家感作性皮膚炎、うっ滞性皮膚炎","","","","",""
"皮膚系","疾患・病態","蕁麻疹、紅斑症、紅皮症と皮膚そう痒症：蕁麻疹、血管性浮腫、多形滲出性紅斑、結節性紅斑、環状紅斑、紅皮症、皮膚そう痒症","","","","",""
"皮膚系","疾患・病態","紫斑・皮膚血流障害と血管炎：老人性紫斑、皮膚血流障害、血管炎","","","","","血管炎はE-4免疫・アレルギーに"
"皮膚系","疾患・病態","薬疹・薬物障害：薬疹（固定薬疹、Stevens-Johnson症候群、中毒性表皮壊死症（TEN）、薬剤性過敏症症候群（DIHS）、薬物障害（薬疹を起こしやすい主な薬物の列挙）","","","","",""
"皮膚系","疾患・病態","水疱症と膿疱：自己免疫性水疱症（天疱瘡、水疱性類天疱瘡）、膿疱症（膿疱性乾癬、掌蹠膿疱症）　（水疱症鑑別のための検査法）","","","","",""
"皮膚系","疾患・病態","乾癬と角化症：尋常性乾癬、扁平苔癬、Gibert 薔薇色粃糠疹、魚鱗癬","","","","",""
"皮膚系","疾患・病態","皮膚感染症：伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）、壊死性筋膜炎、皮膚真菌症<表在性、深在性>、皮膚結核病抗酸菌症、梅毒、皮膚ウィルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘、伝染性紅斑、手足口病）、後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫など）、疥癬","","","","",""
"皮膚系","疾患・病態","母斑性皮膚疾患：母斑、母斑症（神経線維腫症1型、結節性硬化症）","","","","",""
"皮膚系","疾患・病態","その他：尋常性痤瘡、酒皶様皮膚炎、円形脱毛症、尋常性白斑、壊疽性膿皮症、痒疹、紅皮症","","","","",""
"皮膚系","疾患・病態","腫瘍性疾患：※腫瘍の項目を参照","","","","",""
"皮膚系","疾患・病態","褥瘡、皮膚外傷どうしますか？","","","","",""
"運動器系","構造と機能","骨・軟骨・関節・靱帯の構成と機能","","","","",""
"運動器系","構造と機能","頭頸部の構成","","","","",""
"運動器系","構造と機能","脊柱の構成と機能","","","","",""
"運動器系","構造と機能","四肢の骨格、主要筋群の運動と神経支配","","","","",""
"運動器系","構造と機能","骨盤の構成と性差","","","","",""
"運動器系","構造と機能","骨の成長と骨形成・吸収の機序","","","","",""
"運動器系","構造と機能","姿勢と体幹の運動にかかわる筋群","","","","",""
"運動器系","構造と機能","抗重力筋","","","","",""
"運動器系","症状・症候","運動麻痺・筋力低下","","","","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）",""
"運動器系","症状・症候","関節痛・関節腫脹","","","","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）",""
"運動器系","症状・症候","腰背部痛","","","","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）",""
"運動器系","症状・症候","歩行障害","","","","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）",""
"運動器系","症状・症候","感覚障害","","","","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）",""
"運動器系","症状・症候","※現時点ではなし","","","","",""
"運動器系","検査方法","筋骨格系の病態に即した徒手検査（四肢・脊柱の可動域検査、神経学的検査等）","","","","",""
"運動器系","検査方法","筋骨格系画像診断（エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、超音波検査、骨塩定量）","","","","",""
"運動器系","検査方法","関節液検査","","","","",""
"運動器系","特異的治療法","運動器疾患のリハビリテーション","","","","",""
"運動器系","特異的治療法","捻挫・骨折・脱臼の治療・処置","","","","",""
"運動器系","疾患・病態","四肢・脊椎外傷","","","","",""
"運動器系","疾患・病態","関節の脱臼、肘内障、靱帯損傷、腱断裂、腱板断裂","","","","",""
"運動器系","疾患・病態","骨折","","","","",""
"運動器系","疾患・病態","コンパートメント症候群","","","","",""
"運動器系","疾患・病態","代謝性骨疾患（骨粗鬆症、くる病、骨軟化症）","","","","",""
"運動器系","疾患・病態","関節炎、腱鞘炎","","","","",""
"運動器系","疾患・病態","関節症（変形性関節症、神経病性関節症、外反母趾）","","","","",""
"運動器系","疾患・病態","絞扼性末梢神経障害（胸郭出口症候群、手根管症候群、肘部管症候群等）","","","","",""
"運動器系","疾患・病態","頸椎症性脊髄症（脊柱靭帯骨化症を含む）・頸椎症性神経根症","","","","",""
"運動器系","疾患・病態","脊髄損傷","","","","",""
"運動器系","疾患・病態","腰椎脊椎椎間板ヘルニア","","","","",""
"運動器系","疾患・病態","腰部脊柱管狭窄症","","","","",""
"運動器系","疾患・病態","腰椎脊椎分離・すべり症","","","","",""
"運動器系","疾患・病態","運動器慢性疼痛（腰背部痛、頸部痛、肩こり、肩関節周囲炎）","","","","",""
"運動器系","疾患・病態","感染性疾患：化膿性関節炎、椎間板炎、化膿性脊椎炎、脊椎カリエス","","","","",""
"運動器系","疾患・病態","先天性疾患（斜頸、側弯症、骨形成不全症、先天性股関節脱臼）","","","","",""
"運動器系","疾患・病態","骨壊死・骨端症（特発性大腿骨頭壊死症、Perthes病、Osgood-Schlatter病）","","","","",""
"運動器系","疾患・病態","腫瘍性疾患：※腫瘍の項目を参照","","","","",""
"循環器","構造と構造","心臓の構造と分布する血管・神経、冠動脈の特長とその分布域","","","","",""
"循環器","構造と構造","心筋細胞の微細構造と機能","","","","",""
"循環器","構造と構造","心筋細胞の電気現象と心臓の興奮（刺激）伝導系","","","","",""
"循環器","構造と構造","興奮収縮連関","","","","",""
"循環器","構造と構造","体循環、肺循環と胎児・胎盤循環","","","","",""
"循環器","構造と構造","大動脈と主な分枝（頭頸部、上肢、胸部、腹部、下肢）を図示し、分布域","","","","",""
"循環器","構造と構造","主な静脈、門脈系と上・下大静脈系","","","","",""
"循環器","構造と構造","毛細血管における物質・水分交換","","","","",""
"循環器","構造と構造","胸管を経由するリンパの流れ","","","","",""
"循環器","構造と構造","心周期にともなう血行動態","","","","",""
"循環器","構造と構造","心機能曲線と心拍出量の調節機序","","","","",""
"循環器","構造と構造","主な臓器（脳、心臓、肺、腎臓）の循環調節","","","","",""
"循環器","構造と構造","血圧調節の機序","","","","",""
"循環器","構造と構造","体位や運動に伴う循環反応とその機序","","","","",""
"循環器","症状・症候","体重増加","","","①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛","",""
"循環器","症状・症候","意識障害・失神","","","①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛","",""
"循環器","症状・症候","浮腫","","","①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛","",""
"循環器","症状・症候","咳・痰","","","①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛","",""
"循環器","症状・症候","呼吸困難","","","①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛","",""
"循環器","症状・症候","胸痛","","","①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛","",""
"循環器","症状・症候","動悸","","","①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛","",""
"循環器","症状・症候","胸水","","","①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛","",""
"循環器","症状・症候","腰背部痛","","","①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛","",""
"循環器","症状・症候","","","","①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛","",""
"循環器","症状・症候","ショック","","","","","野村E-5（救急領域）を担当しておりますが、そちらで引き取っても良いでしょうか？"
"循環器","症状・症候","心肺停止","","","","","野村E-5（救急領域）を担当しておりますが、そちらで引き取っても良いでしょうか？"
"循環器","検査方法","胸部単純エックス線撮影写真、心電図","","","","",""
"循環器","検査方法","心臓超音波検査","","","","",""
"循環器","検査方法","運動負荷心電図、ホルタ―心電図","","","","",""
"循環器","検査方法","心臓シンチグラフィ－","","","","",""
"循環器","検査方法","冠動脈造影、冠動脈コンピュータ断層撮影<CT>及び心臓磁気共鳴画像法<MRI>","","","","",""
"循環器","検査方法","心カテーテル検査（心内圧、心機能、シャント率の測定）","","","","",""
"循環器","特異的治療法","虚血性心疾患に対する血行再建術：経皮的冠動脈形成術、ステント留置術、冠動脈バイパス術","","","④他疾患（脳血管疾患、心疾患、腎疾患、糖尿病）を合併する場合の血圧管理","",""
"循環器","特異的治療法","不整脈に対する非薬物療法（カテーテルアブレーション、電気的除細動、ペースメーカー植え込み、植え込み型除細動器）、","","","","",""
"循環器","特異的治療法","各種降圧薬の作用機序による分類、適応、禁忌、副作用、","","","","",""
"循環器","疾患・病態","心不全：心不全（左心・右心、急性・慢性）","","","","",""
"循環器","疾患・病態","虚血性心疾患：狭心症(労作性、冠攣縮性）、急性冠症候群（不安定狭心症、急性心筋梗塞）","","","非ST上昇型心筋梗塞およびST上昇型、Q波心筋梗塞、非Q波心筋梗塞、陳旧性心筋梗塞","","表記方法をかなり整理した"
"循環器","疾患・病態","不整脈：徐脈性不整脈（洞不全症候群、房室ブロック）、上室性頻脈性不整脈（心房細動、心房粗動、発作性上室性頻拍症）、心室性頻脈性不整脈（心室頻拍、多源性心室頻拍（torsades de pointes)）、心室細動、期外収縮（上室性、心室性）","","","洞性頻脈、致死性不整脈","","表記方法をかなり整理した"
"循環器","疾患・病態","弁膜症：僧帽弁疾患、大動脈弁疾患","","","","",""
"循環器","疾患・病態","心筋・心膜疾患：特発性心筋症（肥大型、拡張型、拘束型）、二次性心筋疾患、急性心筋炎、感染性心内膜炎、急性心膜炎、収縮性心膜炎、心タンポナーデ","","","","",""
"循環器","疾患・病態","先天性心疾患：心房中隔欠損症、心室中隔欠損症、動脈管開存、Fallot 四徴症","","","","",""
"循環器","疾患・病態","動脈疾患：動脈硬化症、急性大動脈解離、大動脈瘤（破裂）、閉塞性動脈硬化症、Buerger病、高安動脈炎(大動脈炎症候群) ","","","","",""
