臓器,分類,項目名,UID,H28対応項目
神経系,疾患・病態,頭部外傷：脳挫傷、脳震盪、びまん性軸索損傷、急性硬膜外血腫、硬膜下血腫（急性・慢性）、頭蓋骨骨折、頭部外傷後の高次機能障害,JlAKpaA,"D-02-04-04-02,D-02-04-04-03"
神経系,疾患・病態,小児領域：熱性けいれん、脳性麻痺、水頭症,JlAKpaE,"D-02-04-09-01,D-02-04-09-02"
神経系,疾患・病態,腫瘍性疾患：　※腫瘍の項目を参照,JlAKpaI,D-02-04-10-01
皮膚系,疾患・病態,湿疹・皮膚炎：湿疹反応（湿疹三角）、接触皮膚炎、アトピー性皮膚炎、脂漏性皮膚炎、貨幣状湿疹、皮脂欠乏性湿疹、自家感作性皮膚炎、うっ滞性皮膚炎）,JlAKpbE,"D-03-04-01-01, ,D-03-04-01-02"
皮膚系,疾患・病態,蕁麻疹、紅斑症、紅皮症と皮膚そう痒症：蕁麻疹、血管性浮腫、多形滲出性紅斑、結節性紅斑、環状紅斑、紅皮症、皮膚そう痒症,JlAKpbI,"D-03-04-02-01,,D-03-04-02-02,,D-03-04-02-03.,"
皮膚系,疾患・病態,紫斑・皮膚血流障害：紫斑（単純性・老人性）、皮膚血流障害（血栓性静脈炎・網状皮斑）,JlAKpbM,D-03-04-03-01
皮膚系,疾患・病態,薬疹・薬物障害：固定薬疹、Stevens-Johnson症候群、中毒性表皮壊死症（TEN）、薬剤性過敏症症候群（DIHS）,JlAKpbQ,"D-03-04-04-01, D-03-04-04-02"
皮膚系,疾患・病態,水疱症と膿疱：自己免疫性水疱症（天疱瘡・水疱性類天疱瘡）、膿疱症（掌蹠膿疱症・膿疱性乾癬）,JlAKpbU,"D-03-04-05-01, D-03-04-05-02, D-03-04-05-03"
皮膚系,疾患・病態,乾癬と角化症：尋常性乾癬、扁平苔癬、Gibert 薔薇色粃糠疹、魚鱗癬脂漏性角化症,JlAKpbY,"D-03-04-06-01,D-03-04-06-02,"
皮膚系,疾患・病態,皮膚感染症：伝染性膿痂疹、せつ・癰、毛嚢炎、ひょう疽、丹毒、ブドウ球菌性熱傷様皮膚症候群、蜂窩織炎、壊死性筋膜炎、皮膚真菌症（表在性・深在性）、皮膚抗酸菌症、疥癬、皮膚ウィルス感染症（単純ヘルペス・帯状疱疹・尋常性疣贅・伝染性軟属腫・麻疹・風疹・水痘・伝染性紅斑・手足口病）、後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒・難治性ヘルペス・伝染性軟属腫・カポジ肉腫など）,JlAKpbc,"D-03-04-07-01,D-03-04-07-02,D-03-04-07-03,D-03-04-07-04,D-03-04-07-05, D-03-04-07-06"
皮膚系,疾患・病態,母斑性皮膚疾患：母斑、母斑症（神経線維腫症1型・結節性硬化症）,JlAKpbg,D-03-04-08-01
皮膚系,疾患・病態,付属器疾患：毛の疾患（円形脱毛症・男性型脱毛症）、爪の疾患（匙状爪・嵌入爪）、汗腺の疾患（汗疹・多汗症・無汗症）,JlAKpbk,"D-03-04-09-01, D-03-04-09-02"
皮膚系,疾患・病態,その他：尋常性痤瘡、酒皶様皮膚炎、褥瘡、ケロイド、粉瘤、尋常性白斑、壊疽性膿皮症、痒疹、色素性乾皮症,JlAKpbo,
皮膚系,疾患・病態,腫瘍性疾患：※腫瘍の項目を参照,JlAKpbs,
皮膚系,疾患・病態,凍傷・電撃傷を別カテゴリーで設けてください。,JlAKpbw,
運動器（筋骨格）系,疾患・病態,四肢・脊椎外傷,JlAKpc8,D-04-04-01-01
運動器（筋骨格）系,疾患・病態,関節の脱臼、肘内障、腱・靱帯・半月板損傷,JlAKpdA,D-04-04-01-02
運動器（筋骨格）系,疾患・病態,関節拘縮、Dupuytren拘縮,JlAKpdE,
運動器（筋骨格）系,疾患・病態,骨折,JlAKpdI,D-04-04-01-03
運動器（筋骨格）系,疾患・病態,筋損傷・挫滅症候群・コンパートメント症候群,JlAKpdM,D-04-04-01-04
運動器（筋骨格）系,疾患・病態,代謝性骨疾患（骨粗鬆症・くる病・骨軟化症）,JlAKpdQ,D-04-04-01-05
運動器（筋骨格）系,疾患・病態,関節炎、腱鞘炎、滑液包炎、腱付着部炎,JlAKpdU,D-04-04-01-06
運動器（筋骨格）系,疾患・病態,関節症（変形性関節症・外反母趾・外反膝・内反膝・反張膝・神経病性関節症）,JlAKpdY,D-04-04-01-07
運動器（筋骨格）系,疾患・病態,絞扼性末梢神経障害（胸郭出口症候群・手根管症候群・肘部管症候群等）,JlAKpdc,D-04-04-01-08
運動器（筋骨格）系,疾患・病態,脊椎症・脊髄症・神経根症（脊柱靭帯骨化症を含む）,JlAKpdg,D-04-04-01-09
運動器（筋骨格）系,疾患・病態,脊髄損傷,JlAKpdk,D-04-04-01-10
運動器（筋骨格）系,疾患・病態,脊椎椎間板ヘルニア,JlAKpdo,D-04-04-01-11
運動器（筋骨格）系,疾患・病態,脊柱管狭窄症,JlAKpds,D-04-04-01-12
運動器（筋骨格）系,疾患・病態,脊椎分離・すべり症,JlAKpd0,D-04-04-01-13
運動器（筋骨格）系,疾患・病態,運動器慢性疼痛（腰背部痛・頸部痛・肩こり・肩関節周囲炎）,JlAKpd4,D-04-04-01-14
運動器（筋骨格）系,疾患・病態,感染性疾患（化膿性関節炎・骨髄炎）,JlAKpd8,D-04-04-02-01
運動器（筋骨格）系,疾患・病態,椎間板炎・化膿性脊椎炎・脊椎カリエス,JlAKpeA,D-04-04-02-02
運動器（筋骨格）系,疾患・病態,先天性疾患（斜頸・側弯症・先天性股関節脱臼・内反足・骨形成不全症）,JlAKpeE,
運動器（筋骨格）系,疾患・病態,骨壊死・骨端症・軟骨の障害（特発性大腿骨頭壊死症・Perthes病・Osgood-Schlatter病・離断性骨軟骨炎・膝蓋軟骨軟化症）,JlAKpeI,
運動器（筋骨格）系,疾患・病態,腫瘍性疾患　※腫瘍の項目を参照,JlAKpeM,"D-04-04-03-01,　D-04-04-03-02,　D-04-04-03-03"
循環器系,疾患・病態,心不全：心不全（左心・右心・急性・慢性）,JlAKpgU,"D-05-04-01-01,D-05-04-01-02,D-05-04-01-03,,D-05-04-01-05"
循環器系,疾患・病態,虚血性心疾患：狭心症(労作性・冠攣縮性）、急性冠症候群（不安定狭心症・急性心筋梗塞）,JlAKpgY,"D-05-04-02-01,D-05-04-02-02,D-05-04-02-03,D-05-04-02-04,D-05-04-02-05,D-05-04-02-06"
循環器系,疾患・病態,不整脈：徐脈性不整脈（洞不全症候群・房室ブロック）、上室性頻脈性不整脈（心房細動・心房粗動・発作性上室性頻拍症）、心室性頻脈性不整脈（心室頻拍・多源性心室頻拍（torsades de pointes)）、心室細動、期外収縮（上室性・心室性）、WPW症候群、Brugada症候群,JlAKpgg,"D-05-04-03-01,D-05-04-03-02,D-05-04-03-03,D-05-04-03-04, D-05-04-03-06"
循環器系,疾患・病態,弁膜症：僧帽弁疾患（狭窄・閉鎖不全）、大動脈弁疾患（狭窄・閉鎖不全）、三尖弁閉鎖不全,JlAKpgk,D-05-04-04-01
循環器系,疾患・病態,心筋・心膜疾患：特発性心筋症（肥大型・拡張型・拘束型）、二次性心筋疾患、急性心筋炎、感染性心内膜炎、急性心膜炎、収縮性心膜炎、心タンポナーデ,JlAKpgo,"D-05-04-05-02,D-05-04-05-03,D-05-04-05-04,D-05-04-05-05,,D-05-04-05-06"
循環器系,疾患・病態,先天性心疾患：心房中隔欠損症、心室中隔欠損症、動脈管開存、Fallot 四徴症,JlAKpgs,D-05-04-06-01
循環器系,疾患・病態,動脈疾患：動脈硬化症、急性大動脈解離、大動脈瘤（胸部・腹部）、閉塞性動脈硬化症、Buerger病、高安動脈炎(大動脈炎症候群),JlAKpgw,"D-05-04-07-01,D-05-04-07-02,D-05-04-07-03,D-05-04-07-04,D-05-04-07-05"
循環器系,疾患・病態,静脈・リンパ管疾患：深部静脈血栓症、血栓性静脈炎、上大静脈症候群、下肢静脈瘤、リンパ浮腫,JlAKpg0,"D-05-04-08-01,D-05-04-08-02,D-05-04-08-03,D-05-04-08-04"
循環器系,疾患・病態,高血圧症：高血圧症（本態性・二次性）、高血圧緊急症,JlAKpg4,"D-05-04-09-01,D-05-04-09-02,D-05-04-09-04"
循環器系,疾患・病態,低血圧症：起立性低血圧、神経失調性失神,JlAKpg8,D-05-04-10-02
循環器系,疾患・病態,腫瘍性疾患：　※腫瘍の項目を参照,JlAKphA,D-05-04-11-01
呼吸器系,疾患・病態,呼吸不全：低酸素血症と高二酸化炭素血症,JlAKpis,"D-06-04-01-01, D-06-04-01-02"
呼吸器系,疾患・病態,呼吸器感染症：急性上気道感染症（かぜ症候群）、扁桃炎・急性喉頭蓋炎、気管支炎、細気管支炎、肺炎（定型・非定型）、肺結核症、非結核性（非定型）抗酸菌症、肺真菌症、嚥下性肺疾患、肺化膿症・膿胸、クループ症候群,JlAKpiw,"D-06-04-02-01, D-06-04-02-02, D-06-04-02-03, D-06-04-02-04, D-06-04-02-05, D-06-04-02-06, D-06-04-02-07"
呼吸器系,疾患・病態,閉塞性換気障害・拘束性換気障害：慢性閉塞性肺疾患(chronic obstructive pulmonary disease <COPD>)、気腫性嚢胞（ブレブ・ブラ）、気管支喘息（咳喘息を含む）、間質性肺炎（特発性・膠原病及び血管炎関連性）、びまん性汎細気管支炎、➅放射線肺炎、じん肺症（珪肺・石綿肺）,JlAKpi0,"D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07"
呼吸器系,疾患・病態,肺循環障害：肺性心、急性呼吸促(窮)迫症候群(acute respiratory distress syndrome <ARDS>)、肺血栓塞栓症、肺高血圧症（原発性・二次性）、肺動静脈瘻,JlAKpi4,"D-06-04-04-01, D-06-04-04-02, D-06-04-04-03, D-06-04-04-04,"
呼吸器系,疾患・病態,免疫学的機序による肺疾患：過敏性肺炎、サルコイドーシス、好酸球性肺炎、薬剤性肺炎、アレルギー性気管支肺アスペルギルス症,JlAKpi8,"D-06-04-05-01, D-06-04-05-02, D-06-04-05-03, D-06-04-05-04,"
呼吸器系,疾患・病態,異常呼吸：過換気症候群、睡眠時無呼吸症候群、肺胞低換気症候群,JlAKpjA,"D-06-04-06-01, D-06-04-06-02, D-06-04-06-03"
呼吸器系,疾患・病態,その他の機序による肺疾患：気管支拡張症、無気肺、新生児呼吸促迫症候群、肺リンパ脈管筋腫症、肺胞タンパク症、➅癌性リンパ管症,JlAKpjE,"D-06-04-07-01, D-06-04-07-02, D-06-04-07-03, D-06-04-07-04, D-06-04-07-05"
呼吸器系,疾患・病態,胸膜・縦隔疾患・横隔膜：胸膜炎、気胸（自然・緊張性・外傷性）、縦隔気腫、血胸、乳び胸、➅縦隔炎、胸郭変形（漏斗胸）、横隔神経麻痺、横隔膜ヘルニア,JlAKpjI,"D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,"
呼吸器系,疾患・病態,腫瘍性疾患：　※腫瘍の項目を参照,JlAKpjM,
消化器系,疾患・病態,食道疾患：食道・胃静脈瘤、胃食道逆流症(gastroesophageal reflux disease <GERD>)、逆流性食道炎、Mallory-Weiss 症候群、食道アカラシア,JlAKplY,"D-07-04-01-01,D-07-04-01-02, D-07-04-01-03"
消化器系,疾患・病態,胃・十二指腸疾患：消化性潰瘍（胃潰瘍・十二指腸潰瘍)、Helicobacter pylori 感染症、胃ポリープ、急性胃粘膜病変、急性胃腸炎、慢性胃炎、胃切除後症候群、機能性消化管障害（機能性ディスペプシア(functional dyspepsia<FD>)）、肥厚性幽門狭窄症、胃アニサキス症,JlAKplc,"D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08"
消化器系,疾患・病態,小腸・大腸疾患：急性虫垂炎、腸閉塞、炎症性腸疾患（潰瘍性大腸炎・Crohn 病）、痔核・痔瘻、機能性消化管障害（過敏性腸症候群）、腸管憩室症（大腸憩室炎・大腸憩室出血）、薬物性腸炎、消化管ポリポーシス、先天性疾患(鎖肛・Hirschsprung 病)、腸重積症、便秘症、感染性腸炎、乳児下痢症、虚血性大腸炎、急性出血性直腸潰瘍、上腸間膜動脈閉塞症,JlAKplg,"D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17"
消化器系,疾患・病態,胆道疾患：胆石症、胆嚢炎、胆管炎、胆嚢ポリープ、先天性胆道拡張症、膵・胆管合流異常症,JlAKplk,"D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04"
消化器系,疾患・病態,肝疾患：肝炎（A 型・B 型・C 型・D 型・E 型）、肝炎（急性・慢性・劇症型）、肝硬変および合併症(門脈圧亢進症・肝性脳症・肝癌)、アルコール性肝障害、薬物性肝障害、肝膿瘍、原発性胆汁性肝硬変、原発性硬化性胆管炎、自己免疫性肝炎、脂肪肝,JlAKplo,"D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11"
消化器系,疾患・病態,膵臓疾患：急性膵炎（アルコール性・胆石性・特発性）、慢性膵炎（アルコール性・特発性）、自己免疫性膵炎,JlAKpls,"D-07-04-06-01,D-07-04-06-02,D-07-04-06-03"
消化器系,疾患・病態,腹膜・腹壁・横隔膜疾患：腹膜炎、ヘルニア（滑脱・嵌頓・絞扼）、鼠径部ヘルニア,JlAKplw,"D-07-04-07-01,D-07-04-07-02,D-07-04-07-03"
消化器系,疾患・病態,腫瘍性疾患：　※腫瘍の項目を参照,JlAKpl0,"D-07-04-08-01,D-07-04-08-02,D-07-04-08-03,D-07-04-08-04,D-07-04-08-05,D-07-04-08-06,D-07-04-08-07,D-07-04-08-08,D-07-04-08-09,D-07-04-08-10,D-07-04-08-11,D-07-04-08-12"
腎・尿路系（体液・電解質バランスを含む）,疾患・病態,"腎機能の障害：急性腎障害<AKI>, 慢性腎臓病<CKD>, 慢性腎不全",JlAKpnI,"D-08-04-01-01,D-08-04-01-02, D-08-04-01-03, D-08-04-01-04, D-08-04-01-05,"
腎・尿路系（体液・電解質バランスを含む）,疾患・病態,"電解質異常：高・低Na 血症, 高・低K 血症, 高・低Ca 血症, 高・低P 血症, 高・低Mg 血症",JlAKpnM,"D-08-03-01-01,D-08-03-01-02,D-08-03-01-03,D-08-03-01-04"
腎・尿路系（体液・電解質バランスを含む）,疾患・病態,酸・塩基平衡障害：アシドーシス（代謝性・呼吸性）、アルカローシス（代謝性・呼吸性）,JlAKpnQ,"D-08-04-09-01, D-08-04-09-02"
腎・尿路系（体液・電解質バランスを含む）,疾患・病態,"原発性糸球体疾患：急性糸球体腎炎, IgA腎症, 膜性腎症, 巣状分節性糸球体硬化症, 微小変化群, 膜性増殖性糸球体腎炎",JlAKpnU,"D-08-04-02-01, D-08-04-02-02, D-08-04-02-03"
腎・尿路系（体液・電解質バランスを含む）,疾患・病態,"高血圧および腎血管障害：腎硬化症, 腎血管性高血圧症",JlAKpnY,"D-08-04-03-01, D-08-04-03-02"
腎・尿路系（体液・電解質バランスを含む）,疾患・病態,"尿細管・間質性疾患：尿細管性アシドーシス, 尿細管間質性腎炎（急性・慢性）, 腎盂腎炎（急性・慢性）",JlAKpnc,"D-08-04-04-01,  D-08-04-05-01, D-08-04-05-02"
腎・尿路系（体液・電解質バランスを含む）,疾患・病態,"全身性疾患による腎障害：糖尿病腎障害、IgA血管炎(紫斑病性腎炎）, アミロイド腎症, 膠原病類縁疾患(ループス腎炎・血管炎症候群), 抗糸球体基底膜病(Goodpasture症候群)",JlAKpng,"D-08-04-06-01, D-08-04-06-02, D-08-04-06-03, D-08-04-06-04,. D-08-04-06-05"
腎・尿路系（体液・電解質バランスを含む）,疾患・病態,先天異常と外傷：多発性嚢胞腎、膀胱尿管逆流、腎外傷,JlAKpnk,"D-08-04-07-01, D-08-04-07-02"
腎・尿路系（体液・電解質バランスを含む）,疾患・病態,"尿路疾患：尿路結石, 尿路の炎症（膀胱炎・前立腺炎・尿道炎）, 神経因性膀胱",JlAKpno,"D-08-04-08-01, D-08-04-08-02, D-08-04-08-03"
腎・尿路系（体液・電解質バランスを含む）,疾患・病態,腫瘍性疾患： ※腫瘍の項目を参照,JlAKpns,"D-08-04-09-01, D-08-04-09-02"
生殖機能,疾患・病態,男性生殖器疾患：男性不妊症、前立腺肥大症、前立腺炎、停留精巣、陰嚢内腫瘤、精巣捻転症,JlAKppo,"D-09-04-01-01,D-09-04-01-02,D-09-04-01-03"
生殖機能,疾患・病態,女性生殖器疾患：内外生殖器の先天異常、卵巣機能障害、月経異常（月経前症候群・機能性月経困難症、視床下部性無月経）、更年期障害、不妊症、子宮筋腫・子宮腺筋症、子宮内膜症、外陰・腟と骨盤内感染症,JlAKpps,"D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06"
生殖機能,疾患・病態,腫瘍性疾患（男性）：　※腫瘍の項目を参照,JlAKppw,"D-09-04-03-01,D-09-04-03-02"
生殖機能,疾患・病態,腫瘍性疾患（女性）：　※腫瘍の項目を参照,JlAKpp0,"D-09-04-03-03,D-09-04-03-04,D-09-04-03-05"
妊娠と分娩,疾患・病態,異常妊娠：妊娠悪阻、異所性妊娠、流産・切迫流産、ハイリスク妊娠、妊娠高血圧症候群、多胎妊娠、前期破水、切迫早産、胎児機能不全,JlAKpq4,D-10-04-na-01
妊娠と分娩,疾患・病態,異常分娩：早産、微弱陣痛、遷延分娩、回旋異常、前置胎盤、癒着胎盤、常位胎盤早期剥離、分娩外傷,JlAKpq8,D-10-04-na-02
妊娠と分娩,疾患・病態,異常産褥：子宮復古不全、産褥熱、乳腺炎,JlAKprA,D-10-04-na-03
妊娠と分娩,疾患・病態,産科出血：弛緩出血、羊水塞栓症、播種性血管内凝固<DIC>,JlAKprE,D-10-04-na-04
妊娠と分娩,疾患・病態,合併症妊娠：貧血、耐糖能異常、甲状腺疾患、免疫性血小板減少性紫斑病<ITP>、感染症（HBV・HCV・HIV・HTLV-Ⅰ・パルボウイルスB19・B群連鎖球菌、TORCH症候群）,JlAKprI,D-10-04-na-05
小児,疾患・病態,血液系：小児白血病・悪性リンパ腫、ビタミンK欠乏症,Jli6JoM,D-01-04-04-06
小児,疾患・病態,神経系：熱性けいれん、脳性麻痺、水頭症,Jli6JoU,"D-02-04-09-01,D-02-04-09-02"
小児,疾患・病態,皮膚系：伝染性膿痂疹ブドウ球菌性熱傷様皮膚症候群、伝染性軟属腫、麻疹、風疹、水痘、伝染性紅斑、手足口病,Jli6JoY,"D-03-04-07-01, D-03-04-07-05"
小児,疾患・病態,循環器系：心房中隔欠損症、心室中隔欠損症、動脈管開存、Fallot 四徴症,Jli6Jog,D-05-04-06-01
小児,疾患・病態,呼吸器系：クループ症候群、細気管支炎、小児気管支喘息,Jli6Joo,"D-06-04-02-02, D-06-04-02-06、D-06-04-03-03"
小児,疾患・病態,消化器系：肥厚性幽門狭窄症、鎖肛、Hirschsprung病、腸重積症、便秘症、乳児下痢症、胆道閉鎖症、鼠径ヘルニア,Jli6Jos,"D-07-04-02-08 , D-07-04-03-09, D-07-04-03-10, D-07-04-03-11, D-07-04-07-03"
小児,疾患・病態,腎臓：溶血性尿毒症症候群（HUS）、小児ネフローゼ症候群、紫斑病性腎炎、先天性腎尿路奇形、膀胱尿管逆流,Jli6Jo0,"D-01-04-02-05, D-08-04-06-05 , D-08-04-07-01 "
小児,疾患・病態,内分泌系・代謝：成長ホルモン分泌不全型低身長、先天性副腎皮質過形成、アセトン血性嘔吐症,Jli6Jo4,"D-12-04-01-05, D-12-04-04-04"
小児,疾患・病態,精神系：神経発達症群（自閉スペクトラム症（ASD）、注意・欠如多動症（ADHD）、限局性学習症、チック症）、小児心身症,Jli6JpA,"E-07-03-na-08, E-07-03-na-05"
小児,疾患・病態,腫瘍：網膜芽細胞腫、神経芽腫、腎芽腫、胚芽腫、奇形腫,Jli6JpE,"D-13-04-02-01, D-12-04-10-03, E-03-05-na-14"
小児,疾患・病態,免疫・アレルギー：IgA血管炎、川崎病,Jli6JpM,"D-01-04-02-06, E-04-03-05-03"
小児,疾患・病態,染色体異常：Down症,Jli6JpU,新設
小児,疾患・病態,新生児：新生児仮死、新生児呼吸促迫症候群、新生児黄疸（高ビリルビン血症）、早産低出生体重児、胎便吸引症候群、新生児一過性多呼吸,Jli6JpY,"E-07-01-na-05, D-06-04-07-03, E-07-01-na-07, E-07-01-na-09, E-07-01-na-10, E-07-01-na-08"
小児,疾患・病態,救急：乳幼児突然死症候群（SIDS）、被虐待児症候群,Jli6Jpg,"E-07-02-na-04, E-07-03-na-06"
乳房,疾患・病態,良性乳腺疾患（乳腺炎・乳腺症）,JlAKpr0,D-11-04-01-01
乳房,疾患・病態,腫瘍性疾患　※腫瘍の項目を参照,JlAKpr4,
内分泌・栄養・代謝系,疾患・病態,間脳・下垂体疾患：先端巨大症、Cushing病、高プロラクチン血症、下垂体前葉機能低下症、視床下部下垂体炎、中枢性尿崩症、抗利尿ホルモン不適合分泌症候群<SIADH>、下垂体腫瘍,JlAKptI,"D-12-04-01-01,D-12-04-01-02, D-12-04-01-03, D-12-04-01-04, D-12-04-01-06, D-12-04-01-07"
内分泌・栄養・代謝系,疾患・病態,甲状腺疾患：甲状腺機能亢進症、甲状腺機能低下症、甲状腺炎（慢性・無痛性・亜急性）,JlAKptM,"D-12-04-02-01, D-12-04-02-02, D-12-04-02-03"
内分泌・栄養・代謝系,疾患・病態,副甲状腺疾患：副甲状腺機能亢進症、副甲状腺機能低下症、悪性腫瘍に伴う高カルリウム血症,JlAKptQ,"D-12-04-03-01,D-12-04-03-02,D-12-04-03-03,D-12-04-03-04"
内分泌・栄養・代謝系,疾患・病態,副腎皮質・髄質疾患：Cushing 症候群、アルドステロン過剰症、原発性アルドステロン症、副腎不全(急性・慢性<Addison 病>),JlAKptU,"D-12-04-04-01, D-12-04-04-02, D-12-04-04-03"
内分泌・栄養・代謝系,疾患・病態,糖代謝異常：1型糖尿病、2型糖尿病、糖尿病の急性期合併症（糖尿病ケトアシドーシス・高血糖高浸透圧症候群・乳酸アシドーシス）、糖尿病の慢性合併症（網膜症・腎症・神経障害、足病変）、低血糖症,JlAKptY,"D-12-04-05-01, D-12-04-05-02, D-12-04-05-03, D-12-04-05-04, D-12-04-05-05"
内分泌・栄養・代謝系,疾患・病態,脂質代謝異常：脂質異常症、肥満症,JlAKptc,"D-12-04-06-01,D-12-04-06-02"
内分泌・栄養・代謝系,疾患・病態,ビタミン・核酸・その他の代謝異常：ビタミン欠乏症、高尿酸血症・痛風、全身性アミロイドーシス,JlAKptg,"D-12-04-07-01,D-12-04-07-02,D-12-04-08-01,D-12-04-09-01,D-12-04-09-02,D-12-04-09-03"
内分泌・栄養・代謝系,疾患・病態,小児疾患：成長ホルモン分泌不全型低身長、先天性副腎皮質過形成,JlAKptk,"D-12-04-01-05, D-12-04-04-04"
内分泌・栄養・代謝系,疾患・病態,腫瘍性疾患：　※腫瘍の項目を参照,JlAKpto,"D-12-04-10-01,D-12-04-10-02,D-12-04-10-03"
眼・視覚系,疾患・病態,屈折異常（近視・遠視・乱視）と調節障害,JlAKpu8,D-13-04-01-01
眼・視覚系,疾患・病態,結膜炎・角膜炎・眼瞼炎,JlAKpvA,D-13-04-01-02
眼・視覚系,疾患・病態,麦粒腫・霰粒腫,JlAKpvE,
眼・視覚系,疾患・病態,白内障,JlAKpvI,D-13-04-01-03
眼・視覚系,疾患・病態,緑内障,JlAKpvM,D-13-04-01-04
眼・視覚系,疾患・病態,裂孔原性網膜剥離,JlAKpvQ,D-13-04-01-05
眼・視覚系,疾患・病態,加齢黄斑変性・網膜色素変性,JlAKpvU,
眼・視覚系,疾患・病態,糖尿病・高血圧による眼底変化（糖尿病網膜症など）,JlAKpvY,D-13-04-01-06
