"番号","章番号","章","大項目番号","大項目","中項目番号","中項目","小項目番号","小項目","再掲","備考","Ａ","Ｂ","Ｃ","削除","KW計","H17","H21","H25","H30","患者調査による頻度"
"61","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｇ","新生児の感染症","①","敗血症、髄膜炎","","B群連鎖球菌","3","0","3","0","4","","","2","2","0"
"62","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｈ","その他の新生児疾患","①","低体温｛症｝","","","0","1","5","0","0","","","","","0"
"63","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｈ","その他の新生児疾患","②","新生児クレチン症","","","1","2","3","0","1","","","","1","0"
"64","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｈ","その他の新生児疾患","③","未熟児貧血","","","0","1","5","0","0","","","","","0"
"65","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｈ","その他の新生児疾患","④","ビタミンK欠乏症","764, 776","メレナ","4","0","2","0","8","5","","2","1","0"
"66","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｈ","その他の新生児疾患","⑤","頭蓋内出血","","","0","3","3","0","3","1","1","","1","0"
"67","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｈ","その他の新生児疾患","⑥","帽状腱膜下出血","","","0","3","3","0","2","","","","2","0"
"68","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｈ","その他の新生児疾患","⑦","頭血腫","","","0","3","3","0","2","1","1","","","0"
"69","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｈ","その他の新生児疾患","⑧","未熟｛児｝網膜症","280","","1","1","4","0","1","","","","1","1"
"70","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｈ","その他の新生児疾患","⑨","分娩外傷","","","1","0","5","0","2","","2","","","0"
"71","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｈ","その他の新生児疾患","⑩","壊死性腸炎","","","0","1","5","0","1","","","1","","0"
"72","Ⅰ","周産期・小児","３","胎児・新生児の異常","Ｈ","その他の新生児疾患","⑪","髄膜瘤","988を参照","","0","1","5","0","0","","","","","0"
"72.5","Ⅰ","周産期・小児","４","性分化染色体異常（他","Ａ","染色体・遺伝子異常","KW","染色体異常","","","0","0","0","0","15","2","6","4","3","0"
"73","Ⅰ","周産期・小児","４","性分化染色体異常
（他）","Ａ","染色体・遺伝子異常","①","Down症候群","","","3","2","1","0","13","1","5","5","2","13"
"74","Ⅰ","周産期・小児","４","性分化染色体異常
（他）","Ａ","染色体・遺伝子異常","②","Turner症候群","","","1","4","1","0","7","1","2","3","1","1"
"75","Ⅰ","周産期・小児","４","性分化染色体異常
（他）","Ａ","染色体・遺伝子異常","③","Klinefelter症候群","","","1","4","1","0","0","","","","","0"
"76","Ⅰ","周産期・小児","４","性分化染色体異常
（他）","Ａ","染色体・遺伝子異常","④","ネコ鳴き<5p->症候群、 trisomy(l3番、l8番）","","","0","1","4","1","7","","2","2","3","0"
"77","Ⅰ","周産期・小児","４","性分化染色体異常
（他）","Ｂ","性分化・性器の異常","①","腟欠損症、Mayer-Rokitansky- Küster-Hauser<MRKH>症候群","","","0","1","3","2","1","","","1","","0"
"78","Ⅰ","周産期・小児","４","性分化染色体異常
（他）","Ｂ","性分化・性器の異常","②","性分化疾患<真性・仮性半陰陽
>","","","0","1","5","0","0","","","","","0"
"79","Ⅰ","周産期・小児","４","性分化染色体異常
（他）","Ｃ","内分泌の異常","①","アンドロゲン不応症<精巣性女性化症候群>","","","0","1","5","0","1","1","","","","0"
"80","Ⅰ","周産期・小児","４","性分化染色体異常
（他）","Ｃ","内分泌の異常","②","先天性副腎皮質過形成","1299","","0","2","4","0","0","","","","","0"
"81","Ⅰ","周産期・小児","４","性分化染色体異常
（他）","Ｃ","内分泌の異常","③","先天性男性ホルモン生成障害","","","0","1","4","1","0","","","","","0"
"82","Ⅰ","周産期・小児","４","性分化染色体異常
（他）","Ｄ","成長・発達の障害","中","成長・発達の障害","","","3","2","1","0","0","","","","","0"
"82.5","Ⅱ","精神","１","器質性精神障害（他）","Ａ","認知症","KW","認知機能障害、認知症","","","0","0","0","0","25","7","5","10","3","0"
"83","Ⅱ","精神","１","器質性精神障害（他）","Ａ","認知症","①","Alzheimer型認知症","1014","","6","0","0","0","16","2","2","10","2","561"
"84","Ⅱ","精神","１","器質性精神障害（他）","Ａ","認知症","②","脳血管性認知症","983","","6","0","0","0","1","1","","","","32"
"85","Ⅱ","精神","１","器質性精神障害（他）","Ａ","認知症","③","Lewy小体型認知症","1015","","5","1","0","0","11","","3","5","3","109"
"86","Ⅱ","精神","１","器質性精神障害（他）","Ａ","認知症","④","前頭側頭型認知症","1016","Pick病","4","1","0","0","9","2","1","5","1",""
"87","Ⅱ","精神","１","器質性精神障害（他）","Ｂ","器質性精神病","中","器質性精神病","","","3","2","1","0","0","","","","","10"
"88","Ⅱ","精神","１","器質性精神障害（他）","Ｃ","症状性精神病","中","症状性精神病","","","3","2","1","0","0","","","","","0"
"89","Ⅱ","精神","１","器質性精神障害（他）","Ｄ","せん妄","中","せん妄","","","4","0","1","0","23","4","4","11","4","2"
"90","Ⅱ","精神","１","器質性精神障害（他）","Ｅ","精神作用物質関連精神障害","①","アルコール依存症","1478","","6","0","0","0","18","4","4","5","5","46"
"91","Ⅱ","精神","１","器質性精神障害（他）","Ｅ","精神作用物質関連精神障害","②","精神病性障害（アルコール精
神病、覚醒剤精神病、大麻精神病）","","急性中毒、乱用、依存、離脱症状","0","4","1","0","0","","","","","24"
"91.5","Ⅱ","精神","２","気分障害、統合失調症","Ａ","気分<感情>障害","KW","気分障害","","","0","0","0","0","7","3","2","1","1","0"
"92","Ⅱ","精神","２","気分障害、統合失調症
（他）","Ａ","気分<感情>障害","①","うつ病","1506","","5","1","0","0","43","11","9","15","8","963"
"93","Ⅱ","精神","２","気分障害、統合失調症
（他）","Ａ","気分<感情>障害","②","双極性障害<躁うつ病>","","","2","3","0","0","10","1","4","4","1","222"
"93.5","Ⅱ","精神","","","","","KW","統合失調症、思考障害、思路障害、支配観念、自我障害","","","0","0","0","0","66","12","20","19","15","0"
"94","Ⅱ","精神","２","気分障害、統合失調症
（他）","Ｂ","統合失調症","①","妄想型統合失調症","","","1","3","1","1","0","","","","","7"
"95","Ⅱ","精神","２","気分障害、統合失調症
（他）","Ｂ","統合失調症","②","破瓜型統合失調症","","","1","4","1","0","0","","","","","2"
"96","Ⅱ","精神","２","気分障害、統合失調症
（他）","Ｂ","統合失調症","③","緊張型統合失調症","","","1","4","1","0","0","","","","","1"
"97","Ⅱ","精神","２","気分障害、統合失調症
（他）","Ｃ","妄想性障害","中","妄想性障害","","","1","3","1","0","5","1","3","1","","20"
"98","Ⅱ","精神","２","気分障害、統合失調症
（他）","Ｄ","急性一過性精神病性障害<非定型精神病>","中","急性一過性精神病性障害<非定型精神病>","","","0","5","0","0","2","","","2","","2"
"99","Ⅱ","精神","２","気分障害、統合失調症
（他）","Ｅ","統合失調感情障害","中","統合失調感情障害","","","0","5","0","0","0","","","","","27"
"99.5","Ⅱ","精神","３","神経症、ストレス障害","Ａ","不安障害","KW","不安障害","","","0","0","0","0","12","4","4","2","2","0"
"100","Ⅱ","精神","３","神経症、ストレス障害
（他）","Ａ","不安障害","①","パニック障害","","","6","0","0","0","10","3","3","3","1","83"
"101","Ⅱ","精神","３","神経症、ストレス障害
（他）","Ａ","不安障害","②","全般性不安障害","","","4","2","0","0","5","1","3","1","","115"
"102","Ⅱ","精神","３","神経症、ストレス障害
（他）","Ａ","不安障害","③","社交<社会>不安障害","","","4","1","1","0","8","","4","2","2","41"
"103","Ⅱ","精神","３","神経症、ストレス障害
（他）","Ｂ","強迫性障害","中","強迫性障害","","","1","5","0","0","7","2","2","1","2","41"
"104","Ⅱ","精神","３","神経症、ストレス障害
（他）","Ｃ","重度ストレス反応および適応障害","①","急性ストレス障害","","","1","4","1","0","4","3","1","","","0"
"105","Ⅱ","精神","３","神経症、ストレス障害
（他）","Ｃ","重度ストレス反応および適応障害","②","心的外傷後ストレス障害
<PTSD>","","","3","3","0","0","6","2","3","1","","7"
"106","Ⅱ","精神","３","神経症、ストレス障害
（他）","Ｃ","重度ストレス反応および適応障害","③","適応障害","1504","","3","3","0","0","4","","","3","1","101"
"107","Ⅱ","精神","３","神経症、ストレス障害
（他）","Ｄ","解離性<転換性>障害","中","解離性<転換性>障害","","","0","4","2","0","5","1","1","2","1","8"
"108","Ⅱ","精神","３","神経症、ストレス障害
（他）","Ｅ","身体表現性障害","①","身体化障害","","","1","4","1","0","0","","","","","49"
"109","Ⅱ","精神","３","神経症、ストレス障害
（他）","Ｅ","身体表現性障害","②","心気症","","","1","4","1","0","0","","","","","4"
"110","Ⅱ","精神","３","神経症、ストレス障害
（他）","Ｅ","身体表現性障害","③","身体表現性自律神経機能不全","","","0","1","1","4","0","","","","","16"
"111","Ⅱ","精神","３","神経症、ストレス障害
（他）","Ｅ","身体表現性障害","④","持続性身体表現性疼痛障害","","線維筋痛症","0","3","3","0","0","","","","","3"
"112","Ⅱ","精神","４","生理的障害、身体的要因に関連した障害","Ａ","摂食障害","①","神経性食思<欲>不振症<拒食症
>","","","2","3","1","0","16","4","5","2","5","13"
"113","Ⅱ","精神","４","生理的障害、身体的要因に関連した障害","Ａ","摂食障害","②","神経性過食症<大食症>","","","1","4","1","0","1","","1","","","1"
"113.5","Ⅱ","精神","４","生理的障害、身体的要","Ｂ","睡眠障害","KW","睡眠障害","","","0","0","0","0","13","2","5","4","2","0"
"114","Ⅱ","精神","４","生理的障害、身体的要因に関連した障害","Ｂ","睡眠障害","①","不眠症","","","4","2","0","0","9","2","3","3","1","332"
"115","Ⅱ","精神","４","生理的障害、身体的要因に関連した障害","Ｂ","睡眠障害","②","過眠症（ナルコレプシー、睡眠時無呼吸症候群）","","","1","4","1","0","4","","1","2","1","過眠症１，ナルコレプシー2"
"116","Ⅱ","精神","４","生理的障害、身体的要因に関連した障害","Ｂ","睡眠障害","③","概日リズム障害","","","0","0","5","1","0","","","","","0"
"117","Ⅱ","精神","４","生理的障害、身体的要因に関連した障害","Ｂ","睡眠障害","④","夢中遊行症","","","0","0","3","3","2","","1","1","","1"
"118","Ⅱ","精神","４","生理的障害、身体的要因に関連した障害","Ｂ","睡眠障害","⑤","むずむず脚症候群","1068","","2","1","3","0","5","","2","1","2","0"
"119","Ⅱ","精神","４","生理的障害、身体的要因に関連した障害","Ｂ","睡眠障害","⑥","周期性四肢運動障害","","","0","0","4","2","0","","","","","0"
"120","Ⅱ","精神","４","生理的障害、身体的要因に関連した障害","Ｂ","睡眠障害","⑦","レム<REM>睡眠行動障害","","","1","2","3","0","4","","2","1","1","0"
"121","Ⅱ","精神","４","生理的障害、身体的要因に関連した障害","Ｃ","性機能不全","中","性機能不全","","","0","3","3","0","1","","","1","","6"
"122","Ⅱ","精神","４","生理的障害、身体的要因に関連した障害","Ｄ","心身症","中","心身症","1505","","4","2","0","0","0","","","","","0"
"123","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ａ","知的障害<精神遅滞>","中","知的障害<精神遅滞>","","","2","2","2","0","4","1","1","","2","65"
"124","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｂ","特異的発達障害","①","学習障害","","","2","3","1","0","1","","","1","","17"
"125","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｃ","広汎性発達障害","①","自閉症","","","2","3","1","0","8","2","2","4","","22"
"126","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｃ","広汎性発達障害","②","Asperger症候群","","","2","3","1","0","4","2","1","1","","90"
"127","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｄ","多動性障害","①","注意欠陥多動障害<ADHD>","","","2","3","1","0","9","3","","5","1","68"
"128","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｅ","素行障害","中","素行障害","","","0","0","3","3","0","","","","","0"
"129","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｆ","選択緘黙","中","選択緘黙","","","0","0","2","4","0","","","","","2"
"130","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｇ","不登校","中","不登校","","","0","2","4","0","0","","","","","0"
"131","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｈ","非行","中","非行","","","0","0","2","4","0","","","","","0"
"132","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｉ","チック障害","①","Tourette症候群","","","0","2","4","0","5","1","2","1","1","2"
"133","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｊ","吃音｛症｝","中","吃音｛症｝","","","0","2","3","1","1","","1","","","1"
"134","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｋ","被虐待児症候群","中","被虐待児症候群","","","3","2","1","0","23","4","9","2","8","0"
"135","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｌ","パーソナリティ障害","①","境界性パーソナリティ障害","","","2","2","2","0","0","","","","","9"
"136","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｍ","習慣および衝動の障害","①","病的賭博、病的放火、病的窃盗","","","0","1","5","0","0","","","","","病的賭博1"
"137","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｍ","習慣および衝動の障害","②","抜毛症","","","0","2","3","0","1","","","1","","0"
"138","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｎ","性同一性障害","中","性同一性障害","","","1","3","2","0","1","","","1","","1"
"139","Ⅱ","精神","5","小児・青年期、成人の人格障害（他）","Ｏ","性嗜好障害","中","性嗜好障害","","","0","2","4","0","0","","","","","0"
"140","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ａ","湿疹、皮膚炎","①","アトピー性皮膚炎","1327","Kaposi水痘様発疹症","5","1","0","0","15","4","4","5","2","513"
"141","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ａ","湿疹、皮膚炎","②","接触皮膚炎","","","4","2","0","0","4","2","","2","","81"
"142","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ａ","湿疹、皮膚炎","③","脂漏性皮膚炎","","","4","2","0","0","0","","","","","66"
"143","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ａ","湿疹、皮膚炎","④","貨幣状湿疹","","","2","3","1","0","0","","","","","15"
"144","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ａ","湿疹、皮膚炎","⑤","自家感作性皮膚炎","","","0","5","1","0","0","","","","","7"
"145","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ａ","湿疹、皮膚炎","⑥","うっ滞性皮膚炎","","","2","3","1","0","0","","","","","0"
"146","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ａ","湿疹、皮膚炎","⑦","皮脂欠乏性湿疹","","","4","1","1","0","0","","","","","262"
"147","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｂ","蕁麻疹","①","血管性浮腫","1329","Quinke浮腫","4","1","1","0","5","2","1","1","1","248"
"148","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｃ","痒疹、紅皮症","中","痒疹、紅皮症","","色素性痒疹","1","4","1","0","0","","","","","痒疹41"
"149","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｄ","皮膚そう痒症","中","皮膚そう痒症","","","2","2","1","0","1","","","","1","21"
"149.5","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｅ","薬疹、中毒疹","KW","薬疹","","","0","0","0","0","6","3","1","1","1","0"
"150","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｅ","薬疹、中毒疹","①","固定薬疹","","","2","3","0","0","6","1","3","1","1","1"
"151","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｅ","薬疹、中毒疹","②","Stevens-Johnson症候群","","","4","2","0","0","2","1","1","","","7"
"152","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｅ","薬疹、中毒疹","③","中毒性表皮壊死症<toxic
epidermal necrolysis>","","","4","1","1","0","7","1","2","3","1",""
"153","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｅ","薬疹、中毒疹","④","薬剤性過敏症症候群<drug-
induced hypersensitivity syndrome>","","","2","3","0","0","3","","1","1","1",""
"153.5","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｆ","紅斑症","KW","紅斑症","","","0","0","0","0","5","2","","2","1","0"
"154","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｆ","紅斑症","①","多形滲出性紅斑","","","0","4","2","0","0","","","","","0"
"155","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｆ","紅斑症","②","結節性紅斑","","","0","3","2","0","5","2","2","1","","2"
"156","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｆ","紅斑症","③","硬結性紅斑","","","0","0","5","0","0","","","","","0"
"157","Ⅲ","皮膚・頭頸部","１","炎症性皮膚疾患","Ｆ","紅斑症","④","環状紅斑","","","0","0","5","0","0","","","","","1"
