No,データ中の記述,文書中の記述,文書中の注釈,日本語,略語,フルスペル,出典,備考,各チームからの修正コメント,最終更新（220321 20:50）
36,移植片対宿主病,移植片対宿主病（GVHD）,Graft versus host disease,移植片対宿主病,GVHD,Graft versus host disease,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
37,ハーディ・ワインベルグの法則,ハーディ・ワインベルグの法則,Hardy-Weinberg formula,ハーディ・ワインベルグの法則,,Hardy-Weinberg formula,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
38,ヘルパーT細胞,ヘルパーT細胞（Th cell）,Helper T cell,ヘルパーT細胞,Th cell,Helper T cell,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
39,溶血性尿毒症症候群,溶血性尿毒症症候群（HUS）,Hemolytic uremic syndrome,溶血性尿毒症症候群,HUS,Hemolytic uremic syndrome,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
40,B型肝炎ウイルス,B型肝炎ウイルス（HBV）,Hepatitis B virus,B型肝炎ウイルス,HBV,Hepatitis B virus,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
41,C型肝炎ウイルス,C型肝炎ウイルス（HCV）,Hepatitis C virus,C型肝炎ウイルス,HCV,Hepatitis C virus,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
42,ヒト絨毛性ゴナドトロピン,ヒト絨毛性ゴナドトロピン（hCG）,Human chorionic gonadotropin,ヒト絨毛性ゴナドトロピン,hCG,Human chorionic gonadotropin,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし,,
43,ヒト免疫不全ウイルス,ヒト免疫不全ウイルス（HIV）,Human immunodeficiency virus,ヒト免疫不全ウイルス,HIV,Human immunodeficiency virus,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
44,ヒトT細胞白血病ウイルス,ヒトT細胞白血病ウイルス（HTLV-1）,Human T-lymphotropic virus type 1,ヒトT細胞白血病ウイルス,HTLV-1,Human T-lymphotropic virus type 1,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
45,子宮卵管造影,子宮卵管造影（HSG）,Hysterosalpingography,子宮卵管造影,HSG,Hysterosalpingography,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
46,免疫性血小板減少性症,免疫性血小板減少性症（ITP）,Immune thrombocytopenia,免疫性血小板減少性症,ITP,Immune thrombocytopenia,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,注意）日本医学会医学用語辞典とコアカリの表記が異なる（免疫性血小板減少性紫斑病）,,
47,体外受精胚移植,体外受精胚移植（IVFET）,In vitro fertilization embryo transfer,体外受精胚移植,IVFET,In vitro fertilization embryo transfer,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,注意）日本医学会医学用語辞典とコアカリの表記が異なる（ハイフン）,,
48,感染制御チーム,感染制御チーム（ICT）,Infection control team,感染制御チーム,ICT,Infection control team,厚労省　https://www.mhlw.go.jp/web/t_doc?dataId=00tc0640&dataType=1&page,注意）厚労省HPとコアカリの表記が異なる,,
49,情報通信技術,情報通信技術（ICT）,Information and communication technology,情報通信技術,ICT,Information and communication technology,総務省　https://www.soumu.go.jp/menu_seisaku/ictseisaku/,,,
50,国際生活機能分類,国際生活機能分類（ICF）,"International classification of functioning, disability and health",国際生活機能分類,ICF,"International classification of functioning, disability and health",日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし,,
51,疾病及び関連保健問題の国際統計分類,疾病及び関連保健問題の国際統計分類（ICD）,International statistical classification of diseases and related health problems,疾病及び関連保健問題の国際統計分類,ICD,International statistical classification of diseases and related health problems,厚生労働省　https://www.mhlw.go.jp/toukei/sippei/,,,
52,IoT,IoT,Internet of things,,IoT,Internet of things,総務省　https://www.soumu.go.jp/johotsusintokei/whitepaper/ja/r02/html/nd114120.html,,,
53,インターベンショナルラジオロジー,インターベンショナルラジオロジー（IVR）,Interventional radiology,インターベンショナルラジオロジー,IVR,Interventional radiology,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
54,若年性特発性関節炎,若年性特発性関節炎（JIA）,Juvenile idiopathic arthritis,若年性特発性関節炎,JIA,Juvenile idiopathic arthritis,難病情報センター　若年性特発性関節炎（指定難病１０７） https://www.nanbyou.or.jp/entry/3946,　,,
55,LGBTQ,LGBTQ,"Lesbian, gay, bisexual, transgender, questioning",,LGBTQ,"Lesbian, gay, bisexual, transgender, questioning",＊文部科学省、厚生労働省では、LGBTと記載しています。,辞典記載なし,,
56,黄体形成ホルモン,黄体形成ホルモン（LH）,Luteinizing hormone,黄体形成ホルモン,LH,Luteinizing hormone,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし,,
57,磁気共鳴画像,磁気共鳴画像（MRI）,Magnetic resonance imaging,磁気共鳴画像,MRI,Magnetic resonance imaging,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
58,主要組織適合遺伝子複合体,主要組織適合遺伝子複合体（MHC）,major histocompatibility complex,主要組織適合遺伝子複合体,MHC,major histocompatibility complex,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,略語表記なし,,
59,メチシリン耐性黄色ブドウ球菌,メチシリン耐性黄色ブドウ球菌（MRSA）,Methicillin‐resistant Staphylococcus aureus,メチシリン耐性黄色ブドウ球菌,MRSA,Methicillin‐resistant Staphylococcus aureus,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
60,精神状態短時間検査,精神状態短時間検査（MMSE）,Mini-mental state examination,精神状態短時間検査,MMSE,Mini-mental state examination,日本神経学会　認知症疾患診療ガイドライン2017　https://neurology-jp.org/guidelinem/nintisyo_2017.html,,,
61,意義不明の単クローン性γグロブリン血症,意義不明の単クローン性γグロブリン血症（MGUS）,Monoclonal gammopathy of undetermined significance,意義不明の単クローン性γグロブリン血症,MGUS,Monoclonal gammopathy of undetermined significance,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
62,M&M,M&M,Mortality & morbidity,,M&M,Mortality & morbidity,JSEPTIC  http://www.jseptic.com/journal/mandm.html,,,
63,栄養サポートチーム,栄養サポートチーム（NST）,Nutrition support team,栄養サポートチーム,NST,Nutrition support team,日本臨床栄養代謝学会HP　https://www.jspen.or.jp/nst/,,,
64,オンコロジーエマージェンシー,オンコロジーエマージェンシー,Oncology emergency,オンコロジーエマージェンシー,,Oncology emergency,厚生労働省,,,
65,PECO,PECO,"Patient, population, problem, exposure, comparison, outcome",,PECO,"Patient, population, problem, exposure, comparison, outcome",日本理学療法学会連合  http://jspt.japanpt.or.jp/ebpt_glossary/pico.html,,,
66,PICO,PICO,"Patient, population, problem, intervention, comparison, outcome",,PICO,"Patient, population, problem, intervention, comparison, outcome",日本理学療法学会連合  http://jspt.japanpt.or.jp/ebpt_glossary/pico.html,,,
67,ポジトロン断層撮影法,ポジトロン断層撮影法（PET）,Positron emission tomography,ポジトロン断層撮影法,PET,Positron emission tomography,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
68,問題志向型医療記録,問題志向型医療記録（POMR）,Problem-oriented medical record,問題志向型医療記録,POMR,Problem-oriented medical record,,医師国家試験出題基準　平成30年版に記載あり,,
69,PIVKA-Ⅱ,PIVKA-Ⅱ,Protein induced by vitamin K absence or antagonist Ⅱ,,PIVKA-Ⅱ,Protein induced by vitamin K absence or antagonist Ⅱ,日本血栓止血学会,,,
70,PUVA療法,ソラレン紫外線療法（PUVA therapy）,Psoralen with ultraviolet a therapy,ソラレン紫外線療法,PUVA therapy,Psoralen with ultraviolet a therapy,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
71,受信者操作特性,受信者操作特性（ROC）,Receiver operating characteristic,受信者操作特性,ROC,Receiver operating characteristic,日本理学療法学会連合  http://jspt.japanpt.or.jp/ebpt_glossary/roc.html,,,
72,制御性T細胞,制御性T細胞（Treg）,Regulatory T cell ,制御性T細胞,Treg,Regulatory T cell ,日本皮膚科学会ガイドライン　重症多形滲出性紅斑　スティーヴンス・ジョンソン症候群・中毒性表皮壊死症診療ガイドライン　https://www.dermatol.or.jp/uploads/uploads/files/EM%20major%281%29.pdf,,,
73,リボ核酸,リボ核酸（RNA）,Ribonucleic acid,リボ核酸,RNA,Ribonucleic acid,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
74,敗血症,敗血症,Sepsis,敗血症,,Sepsis,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
75,ソーシャル・ネットワーキング・サービス,ソーシャル・ネットワーキング・サービス（SNS）,Social networking service,ソーシャル・ネットワーキング・サービス,SNS,Social networking service,総務省,,,
76,標準予防策,標準予防策,Standard precautions,標準予防策,,Standard precautions,厚生労働省HP　https://www.mhlw.go.jp/content/000501120.pdf,,,
77,状態特性不安検査,状態特性不安検査（STAI）,State-trait anxiety inventory,状態特性不安検査,STAI,State-trait anxiety inventory,,医師国家試験出題基準　平成30年版に記載あり,,
78,主観的所見・客観的所見・評価・計画,主観的所見・客観的所見・評価・計画（SOAP）,"Subjective, objective, assessment, plan",主観的所見・客観的所見・評価・計画,SOAP,"Subjective, objective, assessment, plan",,医師国家試験出題基準　平成30年版に記載あり,,
79,乳児突然死症候群,乳児突然死症候群（SIDS）,Sudden infant death syndrome ,乳児突然死症候群,SIDS,Sudden infant death syndrome ,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
80,持続可能な開発目標,持続可能な開発目標（SDGs）,Sustainable development goals,持続可能な開発目標,SDGs,Sustainable development goals,外務省HP　https://www.mofa.go.jp/mofaj/gaiko/oda/sdgs/,,,
81,抗利尿ホルモン不適切分泌症候群,抗利尿ホルモン不適切分泌症候群（SIADH）,Syndrome of inappropriate ADH secretion,抗利尿ホルモン不適切分泌症候群,SIADH,Syndrome of inappropriate ADH secretion,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
82,全身性エリテマトーデス,全身性エリテマトーデス（SLE）,Systemic lupus erythematosus,全身性エリテマトーデス,SLE,Systemic lupus erythematosus,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
83,チック障害,チック障害,Tic disorder,チック障害,,Tic disorder,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
84,トール様受容体,トール様受容体（TOL）,Toll-like receptor,トール様受容体,TOL,Toll-like receptor,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
85,倒錯型心室頻拍,倒錯型心室頻拍,Torsades de pointes,倒錯型心室頻拍,,Torsades de pointes,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
86,中毒性表皮壊死症,中毒性表皮壊死症（TEN）,Toxic epidermal necrolysis,中毒性表皮壊死症,TEN,Toxic epidermal necrolysis,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
87,周産期領域における先天性感染症,周産期領域における先天性感染症（TORCH）,"Toxoplasma gondii, others, treponema pallidum, rubella virus, cytomegalovirus, and herpes simplex virus",周産期領域における先天性感染症,TORCH,"Toxoplasma gondii, others, treponema pallidum, rubella virus, cytomegalovirus, and herpes simplex virus",産婦人科診療ガイドライン ー 産科編2020 https://www.jsog.or.jp/activity/pdf/gl_sanka_2020.pdf,,,
88,ユニバーサル・ヘルス・カバレッジ,ユニバーサル・ヘルス・カバレッジ（UHC）,Universal health coverage,ユニバーサル・ヘルス・カバレッジ,UHC,Universal health coverage,"厚生労働省HP  https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000158223_00002.html#:~:text=%E3%83%A6%E3%83%8B%E3%83%90%E3%83%BC%E3%82%B5%E3%83%AB%E3%83%BB%E3%83%98%E3%83%AB%E3%82%B9%E3%83%BB%E3%82%AB%E3%83%90%E3%83%AC%E3%83%83%E3%82%B8%EF%BC%88Universal%20Health%20Coverage(UHC),%E3%82%89%E3%82%8C%E3%82%8B%E7%8A%B6%E6%85%8B%E3%80%8D%E3%82%92%E6%8C%87%E3%81%97%E3%81%BE%E3%81%99%E3%80%82",,,
89,WPW症候群,ウォルフ・パーキンソン・ホワイト症候群（WPW syndrome）,Wolff-Parkinson-White syndorome,ウォルフ・パーキンソン・ホワイト症候群,WPW syndrome,Wolff-Parkinson-White syndorome,日本医学会医学用語辞典WEB版 https://jams.med.or.jp/dic/mdic.html,,,
