第1層,第2層,第3層,第4層,H28ID
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,腫瘍,我が国及び世界における各腫瘍の頻度などについて説明できる,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,腫瘍,腫瘍性疾患発症の遺伝的素因・基礎疾患・感染症・環境生活習慣などのリスク因子や、腫瘍の予防・健診について説明できる,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,腫瘍,発熱・食欲低下・体重減少・貧血・リンパ節腫脹・サルコペニアを含むがん患者の症候について説明できる,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,腫瘍,オンコロジック・エマージェンシー（脊髄圧迫、腫瘍崩壊、上大静脈症候群、代謝障害、治療の有害事象など）について説明できる,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,腫瘍,診療ガイドライン・集学的治療を説明できる,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,他のリウマチ性疾患（強直性脊椎炎・反応性関節炎・乾癬性関節炎・掌蹠膿疱症性関節炎・結晶誘発性関節炎・変形性関節症・リウマチ性多発筋痛症・線維筋痛症・IgG4関連疾患・再発性多発軟骨炎・リウマチ熱）の病態生理、症候、診断、治療とリハビリテーションを説明でき、節外症状を説明できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,二次性免疫不全症（悪性腫瘍・医原性・自己免疫疾患による）の病態、診断と治療を概説できる。,
専門知識に基づいた問題解決能力,全身に及ぶ生理的変化、病態、診断、治療,免疫・アレルギー,自己炎症性疾患の病態、診断、治療を説明できる。,
情報・科学技術を活かす能力,情報・科学技術に向き合うための倫理観とルール,情報・科学技術に向き合うための準備,情報・科学技術を医療に活用することの重要性と社会的意義を認識する。,
情報・科学技術を活かす能力,情報・科学技術に向き合うための倫理観とルール,情報・科学技術に向き合うための準備,医療における情報・科学技術に関連する規制（法律・ガイドラインを含む）を説明できる。,
情報・科学技術を活かす能力,情報・科学技術に向き合うための倫理観とルール,情報・科学技術に向き合うための準備,デジタルデバイドによる医療格差や個人情報漏洩など、情報・科学技術を医療に活用するにあたり起こりうる倫理的問題を議論できる。,
情報・科学技術を活かす能力,情報・科学技術に向き合うための倫理観とルール,情報・科学技術利用にあたっての倫理観とルール,ソーシャルメディア（インターネット、SNSなど）などの利用における医療者として相応しい情報発信のあり方を理解できる。,
情報・科学技術を活かす能力,医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術を活用した医療,コンピューター、タブレット端末、モバイル端末によるインターネットやモバイルアプリの活用手法に関する知識と技能を有し、学習及び医療実践に活用できる。,
情報・科学技術を活かす能力,医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術を活用した医療,情報・科学技術を用いて収集した情報およびデータを適切に分析・総括し、問題解決を図る。,
情報・科学技術を活かす能力,医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術の先端知識,情報・科学技術を用いた遠隔医療、医療に関連する人工知能の概念を理解し、その概念的知識を学習や医療への適応することについて情報・科学技術の専門家と議論できる。,
情報・科学技術を活かす能力,医療とそれを取り巻く社会に必要な情報・科学技術の原理,情報・科学技術の先端知識,新たに開発される情報・科学技術に順応し、それらを自身の学び及び医療に活用する習慣を身につける。,
情報・科学技術を活かす能力,診療現場における情報・科学技術の活用,情報・科学技術を活用したコミュニケーションスキル,遠隔コミュニケーション（電子メール、テレビ会議システム、SNS）において、適切なコミュニケーションができる,
情報・科学技術を活かす能力,診療現場における情報・科学技術の活用,情報・科学技術を活用した学習スキル,自己学習や協同学習の場に適切なICT（e-ラーニング、モバイル技術など）を活用できる,
情報・科学技術を活かす能力,診療現場における情報・科学技術の活用,情報・科学技術を活用した学習スキル,既存の医療関連デジタル技術（医療情報システム、モバイルアプリ、ウェアラブルデバイス、人工知能、遠隔医療技術など）の理解を基盤とし、新たに登場する情報・科学技術について探索的に学ぶ。,
患者ケアのための診療技能,患者情報の統合、分析と評価、診療計画,カルテ記載,過去の診療経過をまとめてカルテに記載できる,
患者ケアのための診療技能,患者情報の統合、分析と評価、診療計画,教育計画,患者説明のための文書を作成できる,
患者ケアのための診療技能,患者情報の統合、分析と評価、診療計画,教育計画,各種同意書を用いた説明を行うことができる,
患者ケアのための診療技能,治療を含む対応の実施,診療計画カンファレンス,多職種カンファレンスに参加し発言することができる。,
患者ケアのための診療技能,診療経過の振り返りと改善,振り返りカンファレンス,M&Mカンファレンスに参加し発言することができる,
患者ケアのための診療技能,診療経過の振り返りと改善,振り返りカンファレンス,CPCカンファレンスに参加し発言することができる,
コミュニケーション能力,患者や家族のニーズの把握と配慮,患者や家族の視点から、心理・社会的背景に配慮した診療を行うことができる,不確実な状況や医学的に説明困難な症状に配慮した対応ができる。,
コミュニケーション能力,患者や家族のニーズの把握と配慮,患者や家族の視点から、心理・社会的背景に配慮した診療を行うことができる,遠隔診療におけるコミュニケーションと対面コミュニケーションの違いについて概説できる。,
多職種連携能力,連携の基盤となるアプローチ,患者・利用者・家族・コミュニティ中心,患者・利用者・家族の価値観や関心事を、多職種(多学部)に伝えられる。,
多職種連携能力,連携の基盤となるアプローチ,患者・利用者・家族・コミュニティ中心,患者・利用者・家族を中心とした治療やケアの目標を多職種(多学部)と話し合うことができる。,
多職種連携能力,連携の基盤となるアプローチ,患者・利用者・家族・コミュニティ中心,患者・利用者・家族に伝えた内容について、治療やケアに関わる多職種(多学部)と共有できる。,
多職種連携能力,連携の基盤となるアプローチ,職種間コミュニケーション,自職種（自学部）が把握している情報を、多職種（多学部）に伝えられる。,
多職種連携能力,連携の基盤となるアプローチ,職種間コミュニケーション,多職種（多学部）の役割や意見を尊重した返答または問いかけができる。（非言語コミュニケーション含む）,
多職種連携能力,連携の基盤となるアプローチ,職種間コミュニケーション,自職種（自学部）の見解を、他職種（他学部）にも理解できる言葉で説明できる。,
多職種連携能力,連携の基盤となるアプローチ,医師間の紹介と相談,適切な診断・検査・治療を目指すだけでなく、回避可能な合併症を防ぐために、適切な施設/専門科/医師への紹介あるいは相談ができる。,
多職種連携能力,連携の基盤となるアプローチ,医師間の紹介と相談,紹介と相談のプロセスにおいて、患者・家族に予想しうる状況を共有できる。,
多職種連携能力,連携の基盤となるアプローチ,医師間の紹介と相談,医師間での患者のケアと責任が継続できるよう、医師間での考えや期待を共有し、医師間の責任を明確にできる。,
多職種連携能力,連携に必要とされるアプローチ,職種役割の貢献,自職種（自学部）がもつ一般的な知識や価値観を、他職種（他学部）に伝えられる。,
多職種連携能力,連携に必要とされるアプローチ,職種役割の貢献,患者・利用者に対して、多職種（多学部）の中で自職種（自学部）の役割を果たせる。,
多職種連携能力,連携に必要とされるアプローチ,職種役割の貢献,多職種（多学部）から求められる自職種（自学部）の役割を担える。,
多職種連携能力,連携に必要とされるアプローチ,関係性への働きかけ,多職種（多学部）と対等な関係を構築できる。,
多職種連携能力,連携に必要とされるアプローチ,関係性への働きかけ,多職種（多学部）と一緒に成長する志を醸成できる。,
多職種連携能力,連携に必要とされるアプローチ,関係性への働きかけ,多職種（多学部）との対人葛藤が起きないようにできる。,
多職種連携能力,連携に必要とされるアプローチ,自職種の省察,自職種が持ちやすい価値観を説明できる。,
多職種連携能力,連携に必要とされるアプローチ,自職種の省察,他職種（他学部）に影響しうる自職種（自学部）の行動を分析できる。,
多職種連携能力,連携に必要とされるアプローチ,他職種の理解,他職種（他学部）の価値観を説明できる。,
多職種連携能力,連携に必要とされるアプローチ,他職種の理解,他職種（他学部）が働く職場環境・学習環境について説明できる。,
社会における医療の役割の理解,社会保障,公衆衛生,健康及び公衆衛生（地域共生社会含む）の概念を説明できる。,
社会における医療の役割の理解,社会保障,公衆衛生,地域診断、PDCAサイクルなど科学的根拠に基づく公衆衛生活動に参加する。,
社会における医療の役割の理解,社会保障,社会保険、公的扶助、社会福祉,生存権などの健康に関する基本的人権と社会保障（社会保険、社会福祉、公的扶助）を説明できる。,
社会における医療の役割の理解,社会保障,社会保険、公的扶助、社会福祉,国民皆保険としての医療保険、介護保険、年金保険を含む社会保険を説明できる。,
社会における医療の役割の理解,社会保障,地域保健,特定健康診査・特定保健指導、高齢者の医療の確保に関する法律（高齢者医療確保法）等、成人及び高齢者保健施策（介護予防含む）を説明できる。,
社会における医療の役割の理解,社会保障,産業保健・環境保健,水道、建築物における衛生的環境の確保に関する法律（建築物衛生法）、住宅環境等、生活環境衛生施策を説明できる。,
社会における医療の役割の理解,社会保障,健康危機管理,健康危機の概念と種類、それらへの対応を説明できる,
社会における医療の役割の理解,社会保障,健康危機管理,健康危機時のリスクコミュニケーションを説明できる。,
社会における医療の役割の理解,疫学・医学統計,保健統計,e-Stat（政府統計の窓口）を利用できる。,
社会における医療の役割の理解,疫学・医学統計,疫学,疫学の役割を公衆衛生と臨床の視点で説明できる。,
社会における医療の役割の理解,疫学・医学統計,疫学,急性感染症と慢性疾患の疫学的アプローチの違いを説明できる。,
社会における医療の役割の理解,疫学・医学統計,疫学,不確実性を含む、限られた情報を評価し、人間の生命や健康を守る意思決定につなげていくには何が必要か考えることができる。,
社会における医療の役割の理解,疫学・医学統計,データ解析と統計手法,尺度（間隔、比、順序、名義）を説明できる。,
社会における医療の役割の理解,社会の構造や変化から捉える医療,社会格差と医療,社会的弱者の立場にある患者の代弁者となることができる,
社会における医療の役割の理解,社会の構造や変化から捉える医療,社会格差と医療,社会格差を解消するために社会に対して行動できる,
社会における医療の役割の理解,社会の構造や変化から捉える医療,気候変動と医療,気候変動と医療との関係性を理解できる,
社会における医療の役割の理解,社会の構造や変化から捉える医療,気候変動と医療,患者が抱える健康に関する課題と気候変動との関係を想像できる,
社会における医療の役割の理解,社会の構造や変化から捉える医療,気候変動と医療,地球環境が抱える諸課題を認識し、その解決のために行動できる,
社会における医療の役割の理解,国内外の視点から捉える医療,グルーバルヘルスの役割や医療体制,国際的に援助が必要とされる医療・健康課題の歴史・社会的背景を知る。,
