第2層,第3層,第4層,UID,H28対応項目,メモ,H28の記述,査読への返答,A,B,C,D,E,F,G,H,I
基礎医学,個体の構成と機能,ヌクレオチドの合成・異化・再利用経路を説明できる。,JkxnuKk,C-02-05-na-13,,,,,,,,,,,,
基礎医学,個体の構成と機能,酸化ストレス（フリーラジカル、活性酸素）を説明できる。,JkxnuKo,C-02-05-na-14,編集あり,,,,,,,,,,,
基礎医学,個体の構成と機能,ビタミン、微量元素の種類と作用を説明できる。,JkxnuKs,C-02-05-na-15,,,,,,,,,,,,
基礎医学,個体の構成と機能,栄養素の相互変換とエネルギー代謝（エネルギーの定義、食品中のエネルギー値、エネルギー消費量、推定エネルギー必要量）を説明できる。,JkxnuKw,C-02-05-na-16,編集あり,,,,,,,,,,,
基礎医学,個体の構成と機能,空腹（飢餓）時、食後（過食時）と運動時における代謝を説明できる。,JkxnuK0,,新設,,,,,,,,,,,
基礎医学,個体の構成と機能,複合糖質、複合脂質について概説できる。,JkxnuK4,,新設,,,,,,,すべての医師が知っておく必要がある知識とは言えないのでは？,,,新設された理由がありますでしょうか,
基礎医学,個体の反応,原核生物としての細菌の構造と機能の違いについて真核生物と比較して説明できる。,JkxnuK8,,新設,,,,,,,すべての医師が知っておく必要がある知識とは言えないのでは？,,,6に含まれませんでしょうか,
基礎医学,個体の反応,細菌の感染経路を分類し、細菌が疾病を引き起こす機序を説明できる。,JkxnuLA,"C-03-01-04-02,C-03-01-04-03",,,,,,,,,,,,
基礎医学,個体の反応,細菌の産生するタンパク質性毒素、非タンパク質性毒素の作用機序を説明できる。,JkxnuLE,,新設,,,,,,,すべての医師が知っておく必要がある知識とは言えないのでは？,,,新設された理由がありますでしょうか,
基礎医学,個体の反応,主なGram陽性球菌、Gram陽性桿菌、Gram陰性球菌、Gram陰性桿菌の細菌学的特徴、リスク因子、感染経路と病態を説明し、それが引き起こす疾患を列挙できる。,JkxnuLI,"C-03-01-04-04,C-03-01-04-06",,,,,,,,,,,,
基礎医学,個体の反応,抗酸菌の細菌学的特徴、リスク因子、感染経路と病態を説明し、それが引き起こす疾患を列挙できる。,JkxnuLM,C-03-01-04-09,,,,,,,,,,,,
基礎医学,個体の反応,らせん状細菌、マイコプラズマ、リケッチア、クラミジアの微生物学的特徴とそれが引き起こす疾患を列挙できる。,JkxnuLQ,C-03-01-04-11,,,,,,,,,,,,
基礎医学,個体の反応,生体各部の細菌叢（マイクロバイオーム）の構成菌、細菌叢の機能について説明できる。,JkxnuLU,,新設,,,,,,,すべての医師が知っておく必要がある知識とは言えないのでは？,,,,
基礎医学,個体の反応,ウイルス粒子の構造と性状によりウイルスを分類できる。,JkxnuLY,C-03-01-01-02,,,,,,,,,,,,
基礎医学,個体の反応,ウイルス感染の種特異性、組織特異性と吸着、侵入、複製、成熟と放出の各過程、ウイルス感染細胞に起こる変化を説明できる。,JkxnuLc,"C-03-01-01-04,C-03-01-01-05,C-03-01-01-06,C-03-01-01-07",,,,,,,,,,,,
基礎医学,個体の反応,"主なDNAウイルス（2本鎖DNA, 1本鎖DNA、不完全1本鎖DNAウイルス）の特徴、リスク因子、感染経路と病態を説明し、これらのウイルスが引き起こす疾患名を列挙できる。",JkxnuLg,C-03-01-03-01,編集あり,,,,,,,,,,,
基礎医学,個体の反応,"主なRNAウイルス（2本鎖RNA, 1本鎖(+)RNA, 1本鎖(-)RNAウイルス）の特徴、リスク因子、感染経路と病態を説明し、これらのウイルスが引き起こす疾患名を列挙できる。",JkxnuLk,C-03-01-03-02,,,,,,,,,,,,
基礎医学,個体の反応,逆転写酵素を持つRNAウイルスの特徴、リスク因子、感染経路と病態を説明し、これらのウイルスが引き起こす疾患名を列挙できる。,JkxnuLo,,新設,,"該当
 C-03-01-03-03",,,,,,,,64に含まれませんでしょうか,
基礎医学,個体の反応,真菌（接合菌、子嚢菌、担子菌、不完全菌）の微生物学的特徴、リスク因子、感染経路と病態を説明し、それが引き起こす疾患を列挙できる。,JkxnuLs,C-03-01-04-10,,,,,,,,,,,,
基礎医学,個体の反応,原虫類（寄生虫）の分類及び形態学的特徴、生活史、リスク因子、感染経路と病態、感染疫学的意義、寄生虫感染宿主の生体防御の特徴を説明できる。,JkxnuLw,"C-03-01-05-01,C-03-01-05-02,C-03-01-05-03","C-03-01-05-05は感染症に移動を検討,C-03-01-05-04,C-03-01-05-05は感染症に移動を検討",,,,,H28C-3-1-5-4/5 「各臓器・器官の主な寄生虫症、およびその予防・診断・治療の概要を説明できる」の要素がない,,,,,,
基礎医学,個体の反応,微生物の特性に応じた治療薬の作用機序について説明できる。,JkxnuL0,,新設,,Eへ？,,,,,,,,,
基礎医学,個体の反応,微生物感染症に対するワクチンの原理、種類とそれに対する問題点を説明できる。,JkxnuL4,,新設,,Eへ？,,,,,,,,,
基礎医学,個体の反応,人獣共通感染症の原因となる微生物について、その生活史、リスク因子、感染経路と病態、感染疫学的意義を説明できる。,JkxnuL8,,新設・↓ここから先は、E2領域に含むべき内容なのですが、今のところ入っていないのでとりあえず入れておきます。,,Eへ？,,,,,,,,,
基礎医学,個体の反応,昆虫媒介性感染症の原因となる微生物について、その生活史、リスク因子、感染経路と病態、感染疫学的意義を説明できる。,JkxnuMA,,新設,,Eへ？,,,,,,,,,
基礎医学,個体の反応,自然免疫と獲得免疫の抗原認識や作用の違いを、特異性、多様性、寛容、記憶の観点から説明できる。,JkxnuME,C-03-02-01-01,,,,,,,,,,,,
基礎医学,個体の反応,免疫反応に関わる組織と細胞を説明できる。,JkxnuMI,C-03-02-01-02,,,,,,,,,,,,
基礎医学,個体の反応,補体および自然免疫細胞が病原体により活性化し、炎症をおこす仕組みを説明できる。,JkxnuMQ,,新設,,,,,,,,,,,
基礎医学,個体の反応,主要組織適合遺伝子複合体(major histocompatibility complex <MHC>)クラスIとクラスIIの基本構造と機能、抗原提示によるT細胞活性化の仕組みを説明できる。,JkxnuMU,C-03-02-02-01,,,,,,,,,,,,
基礎医学,個体の反応,免疫グロブリンとT細胞抗原レセプターの構造と反応様式、免疫グロブリンとT細胞抗原レセプター遺伝子の構造と遺伝子再構成に基づき、多様性獲得の機構を説明できる。,JkxnuMY,"C-03-02-02-02,C-03-02-02-03",,,,,,,,,,,,
基礎医学,個体の反応,ヘルパーT細胞(Th1 cell、Th2 cell、Th17 cell)、細胞傷害性T細胞(cytotoxic T lymphocyte <CTL>)、制御性T細胞(regulatory T cell <Treg>)それぞれが担当する生体防御反応を説明できる。,JkxnuMc,C-03-02-03-03,,,,,,,,,,,,
基礎医学,個体の反応,B細胞の活性化による抗体産生の機構、および抗体の役割を説明できる。,JkxnuMg,,新設,,,,,,,,,,,
基礎医学,個体の反応,自然免疫系を構成する主な細胞とそれらの活性化機構（TLR受容体など）を説明できる。,JkxnuMk,,新設,,,,,,,,,,,
基礎医学,個体の反応,抗原提示細胞の種類と役割、抗原提示機構について説明できる。,JkxnuMo,,新設,,"該当
 C-03-02-01-02
 73に統一？",,,,,,,,,
基礎医学,個体の反応,ウイルス、細菌、真菌と寄生虫に対する免疫応答の特徴を説明できる。,JkxnuMs,C-03-02-04-01,,,,,,,,,,,,
基礎医学,個体の反応,原発性免疫不全症と後天性免疫不全症候群<AIDS>を説明できる。,JkxnuMw,C-03-02-04-02,修正済み・ワードファイルでは「説明できる」になっています。(KY),,Eへ？,,,,,,,,疾患病態がでてきたことに違和感があります。「病因と病態」ではないでしょうか,
基礎医学,個体の反応,免疫寛容の維持機構とその破綻による自己免疫疾患の発症を説明できる。,JkxnuM0,"C-03-02-04-03,C-03-02-02-04",修正済み・ワードファイルでは「説明できる」になっています。(KY),,,,,,,,,,疾患病態がでてきたことに違和感があります。「病因と病態」ではないでしょうか,
基礎医学,個体の反応,アレルギー発症の機序を説明できる。,JkxnuM4,C-03-02-04-04,修正済み・ワードファイルでは「説明できる」になっています。(KY),,説明できる,,,,,,,,疾患病態がでてきたことに違和感があります。「病因と病態」ではないでしょうか,
基礎医学,個体の反応,癌免疫に関わる細胞性機序を説明できる。,JkxnuM8,C-03-02-04-05,修正済み・ワードファイルでは「説明できる」になっています。(KY),,説明できる,,,,,,,,,
基礎医学,個体の反応,生体（あるいは生体群）の薬物・毒物反応性について、用量反応曲線を描き説明できる。,JkxnuNA,,新設,,"該当
 C-03-03-01-03",,,,,,,,88にふくまれないでしょうか,
基礎医学,個体の反応,薬物の受容体結合と薬理作用との関連性及び作動薬・拮抗薬を説明できる。,JkxnuNE,C-03-03-01-02,,,,,,,,,,,,
基礎医学,個体の反応,薬物の投与経路と、その吸収、分布、代謝、排泄機構を説明できる。,JkxnuNI,C-03-03-02-01,,,,,,,,,,,,
基礎医学,個体の反応,薬物の有害作用、薬物間相互作用を説明できる。,JkxnuNM,,新設,,,,,,,,,,,
基礎医学,個体の反応,分子標的薬、バイオ医薬を説明できる。,JkxnuNQ,,新設,,,,,,,,,,,
基礎医学,個体の反応,薬物開発のプロセスと、臨床試験における薬物の評価をを説明できる。,JkxnuNU,,新設,,,,,,,,,,,
基礎医学,病因と病態,ゲノムの多様性に基づく個体の多様性を説明できる。,JkxnuNY,C-04-01-na-01,,,,,,"ここで学生に説明できることが求められる「個体の多様性」が具体的には93, 94, 95の各論の内容しかないなら、総論的な92は削除してもよいのでは？",,,,,,
基礎医学,病因と病態,単一遺伝子疾患、染色体異常による疾患、ミトコンドリア遺伝子の変異による疾患を挙げ、遺伝様式を含め説明できる。,JkxnuNc,"C-04-01-na-02,C-04-01-na-03,C-04-01-na-04",,,,,,,,,,,,
基礎医学,病因と病態,多因子疾患における遺伝要因と環境要因の関係を説明できる。,JkxnuNg,"C-04-01-na-05,C-04-01-na-06",,,,,,,,,,,,
基礎医学,病因と病態,薬剤の有効性や安全性とゲノムの多様性との関係を説明できる。,JkxnuNk,C-04-01-na-07,修正済み・ワードファイルでは「説明できる」になっています。(KY),,,,,,,,,,,
基礎医学,病因と病態,ネクローシスとアポトーシスの違いを含め、細胞傷害・変性と細胞死の多様性、病因と意義を説明できる。,JkxnuNo,"C-04-02-na-01,C-04-02-na-03",,,,,,,,,,,,
基礎医学,病因と病態,細胞傷害・変性と細胞死の細胞と組織の形態的変化の特徴を説明できる。,JkxnuNs,C-04-02-na-02,,,,,,,,,,,,
基礎医学,病因と病態,糖代謝異常の病態を説明できる。,JkxnuNw,C-04-03-na-01,,,,,,,,,,,,
基礎医学,病因と病態,タンパク質・アミノ酸代謝異常の病態を説明できる。,JkxnuN0,C-04-03-na-02,,,,,,,,,,,,
基礎医学,病因と病態,脂質代謝異常の病態を説明できる。,JkxnuN4,C-04-03-na-03,,,,,,,,,,,,
基礎医学,病因と病態,核酸・ヌクレオチド代謝異常の病態を説明できる。,JkxnuN8,C-04-03-na-04,,,,,,,,,,,,
基礎医学,病因と病態,ビタミン、微量元素の代謝異常の病態を説明できる。,JkxnuOA,C-04-03-na-05,,,,,,,,,,,,
基礎医学,病因と病態,メタボリックシンドロームの病態を説明できる。,JkxnuOE,C-04-03-na-06,,,,,,,,,,,,
基礎医学,病因と病態,血行障害（阻血、低酸素血、充血、うっ血、出血）の違いとそれぞれの病因と病態、梗塞（血栓、塞栓）の種類と病態を説明できる。,JkxnuOI,"C-04-04-na-01,C-04-04-na-02",,,,,,,,,,,,
基礎医学,病因と病態,ショック（アナフィラキシー、感染性（敗血症性）、神経原性、循環血液量減少性ショック（出血性、体液喪失）、心原性ショック（心筋性、機械性、不整脈）、閉塞性ショック（心タンポナーデ、肺塞栓症、緊張性気胸））を説明できる。,JkxnuOM,C-04-04-na-03,E-5で取り扱うことも検討できるのではと思います。(野村理),,Fにまとめる？,,,312と重複,,,,,,
基礎医学,病因と病態,血圧異常（高血圧、低血圧）を説明できる。,JkxnuOQ,C-04-04-na-04,,,,,,血圧異常の何を説明できることを求めるのか？高血圧（高血圧緊急症を含む）、低血圧の病態や治療については145で扱われているので、削除か、あえてこれを残すなら「血圧維持の機構を説明できる」とするか。,,問が漠然としているので削除,,,,
基礎医学,病因と病態,臓器不全（多臓器不全、サイトカインストーム、播種性血管内凝固症候群）を説明できる。,JkxnuOU,C-04-04-na-05,,,,,,,播種性血管内凝固症候群は播種性血管内凝固〈DIC〉で統一する,,,,,
基礎医学,病因と病態,炎症の定義を説明できる。,JkxnuOY,C-04-05-na-01,,,,,,109とまとめて、「炎症の定義と分類、〜」にしては？,,単独項目としては不要,,,108と109はまとめてはいかがでしょうか,
基礎医学,病因と病態,炎症の分類、組織形態学的変化と経時的変化（局所的変化と全身的変化）を説明できる。,JkxnuOc,C-04-05-na-02,,,,,,108にまとめる？,,,,,,
基礎医学,病因と病態,炎症組織の治癒過程を説明できる。,JkxnuOg,C-04-05-na-04,修正済み・ワードファイルでは「説明できる」になっています。(KY),,,,,,,,,,,
基礎医学,病因と病態,炎症とメタボリックシンドローム、動脈硬化、腫瘍、老化への関わりについて説明できる。,JkxnuOk,,新設,,コアとして追加すべきか疑問,,,,,,,,,
基礎医学,病因と病態,感染症による炎症性変化を説明できる。,JkxnuOo,C-04-05-na-03,,,,,,,,109に統合。感染症だけ取り上げる必要性が不明,,,感染症だけ取り上げることに違和感ががります,
基礎医学,病因と病態,自律性の増殖と、良性腫瘍と悪性腫瘍の違いを説明できる。,JkxnuOs,C-04-06-na-01,,,,,,,,,,,,
基礎医学,病因と病態,癌の原因や遺伝子変化を説明できる。,JkxnuOw,C-04-06-na-02,,,,,,,癌とがんの使い分け：個別のものは胃癌と記載、総論的に使用する場合は。がん検診などはかな表記する,,,,上皮性の物が癌、それ以外の悪性腫瘍もふくめるとがん、だと思っていました,
基礎医学,病因と病態,腫瘍の分類、分化度、グレード、ステージを説明できる。,JkxnuO0,C-04-06-na-03,修正済み・ワードファイルでは「説明できる」になっています。(KY),,知識レベルを深化,,,,,,,,252と重なります,
基礎医学,病因と病態,用語（異形成、上皮内癌、進行癌、早期癌、異型性、多形性等）を説明できる。,JkxnuO4,C-04-06-na-04,「個別の癌は漢字で、それ以外はかなで記載。例）大腸癌、がん検診」とご意見を頂いております。（鋪野）,,癌とがんの区別,,,,,,,,癌の種類によって異なる気がしますが総論的に教える必要があるでしょうか,
基礎医学,病因と病態,癌の病理診断と治療の関わりを説明できる。,JkxnuO8,C-04-06-na-05,修正済み・ワードファイルでは「説明できる」になっています。(KY),,知識レベルを深化,,,,,,,,251と重なる気がします,
基礎医学,病因と病態,癌の転移を説明できる。,JkxnuPA,C-04-06-na-06,,,,,,転移の何を説明できることが必要なのか？「癌の転移の機構を説明できる」,,,,,,
基礎医学,病因と病態,癌の免疫系による排除機構を説明できる。,JkxnuPE,,新設・癌免疫、ゲノム診断は入れるべきと思います。(Michiyuki),,,,,,,,,,,
基礎医学,病因と病態,癌のゲノム診断を説明できる。,JkxnuPI,,新設,,臨床的にはE（249）に記載あり,,,,,,,,249と重ならないでしょうか,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,血液・造血器・リンパ系の構造と機能について基本的事項を説明できる。,JkxnuPM,"D-01-01-na-01,D-01-01-na-02,D-01-01-na-03,D-01-01-na-04,D-01-01-na-05,D-01-01-na-06,D-01-01-na-07,D-01-01-na-08",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,血液・造血器・リンパ系でみられる症状・症候について説明できる。,JkxnuPQ,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06, ,D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06, ,D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06, ,D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06, ,D-01-03-na-04, D-01-03-na-05,,D-01-03-na-04, D-01-03-na-05,,D-01-03-na-04, D-01-03-na-05,",,,,,,症状・症候について「何を」説明できるかがないとカリキュラムに反映しにくい。「〜症状・症候について、病態と鑑別診断の方法を説明できる」ということであれば、技能で扱われるものをのぞいた「貧血」「出血傾向」だけでよいのでは。,,「ついて」を削除,,,,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,血液・造血器・リンパ系で行う検査方法について基本的事項を説明できる。,JkxnuPU,"D-01-02-na-01,なし,D-01-02-na-02,なし,D-01-02-na-02,なし",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,血液・造血器・リンパ系疾患に特異的な治療法について基本的事項を説明できる。,JkxnuPY,"なし,なし",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,血液・造血器・リンパ系,血液・造血器・リンパ系の疾患・病態について病因、疫学、症候、主な検査・診断、治療法を説明できる。,JkxnuPc,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05,D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07,なし,D-01-04-04-01, D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09,なし",,,,,,,,,,,,
人体各器官の正常構造と機能、病態、診断、治療,神経系,神経系の構造と機能について基本的事項を説明できる。,JkxnuPk,"D-02-01-01-01,D-02-01-01-02,D-02-01-01-03,D-02-01-01-04,D-02-01-01-05,D-02-01-02-01,D-02-01-02-02,D-02-01-02-03,D-02-01-03-01, D-02-01-03-03,D-02-01-03-02,D-02-01-04-01,D-02-01-04-02,D-02-01-04-03,D-02-01-05-01,D-02-01-05-02,D-02-01-05-03,D-02-01-06-01,D-02-01-06-02,D-02-01-07-01,D-02-01-07-02,D-02-01-07-03",,,,,,,,,,,,
