,第2層,第3層,第4層,H28対応項目,メモ
32,患者の情報収集,病歴,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加できる。,F-03-05-08-04,
33,患者の情報収集,病歴,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加する。,G-04-01-03-04,
34,患者の情報収集,病歴,模擬患者の協力を得て、臨床技能（コミュニケーションスキルを含む）や医療者に求められる態度を身に付ける。,G-04-04-na-02,
35,患者の情報収集,病歴,適切な身だしなみ、言葉遣い及び態度で患者に接することができる。,F-03-02-na-01,
36,患者の情報収集,病歴,医療面接における基本的コミュニケーション技法を用いることができる。,F-03-02-na-02,
37,患者の情報収集,病歴,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,F-03-02-na-03,
38,患者の情報収集,病歴,患者の立場を尊重し、信頼を得ることができる。,F-03-05-01-01,
39,患者の情報収集,病歴,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加できる。,F-03-05-08-04,
40,患者の情報収集,病歴,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加する。,G-04-01-03-04,
41,患者の情報収集,病歴,模擬患者の協力を得て、臨床技能（コミュニケーションスキルを含む）や医療者に求められる態度を身に付ける。,G-04-04-na-02,
42,患者の情報収集,身体所見,基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,F-02-09-02-02,
43,患者の情報収集,身体所見,障害を国際生活機能分類の心身機能・身体構造、活動、参加に分けて説明できる。,F-02-14-na-04,
44,患者の情報収集,身体所見,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,F-03-02-na-04,
45,患者の情報収集,身体所見,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,F-03-05-01-06,
46,患者の情報収集,身体所見,身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。,F-03-05-02-01,
47,患者の情報収集,身体所見,上腕で触診、聴診法により血圧を測定できる。,F-03-05-02-02,
48,患者の情報収集,身体所見,両側の橈骨動脈で脈拍を診察できる。,F-03-05-02-03,
49,患者の情報収集,身体所見,呼吸数を測定し、呼吸の異常の有無を確認できる。,F-03-05-02-04,
50,患者の情報収集,身体所見,腋窩で体温を測定できる。,F-03-05-02-05,
51,患者の情報収集,身体所見,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,F-03-05-02-06,
52,患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,F-03-05-02-07,
53,患者の情報収集,身体所見,頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。,F-03-05-03-01,
54,患者の情報収集,身体所見,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。,F-03-05-03-02,
55,患者の情報収集,身体所見,耳（耳介、聴力）の診察ができる。,F-03-05-03-03,
56,患者の情報収集,身体所見,耳鏡で外耳道、鼓膜を観察できる。,F-03-05-03-04,
57,患者の情報収集,身体所見,音叉を用いて聴力試験を実施できる。,F-03-05-03-05,
58,患者の情報収集,身体所見,口唇、口腔、咽頭、扁桃の診察ができる。,F-03-05-03-06,
59,患者の情報収集,身体所見,鼻腔、副鼻腔の診察ができる。,F-03-05-03-07,
60,患者の情報収集,身体所見,鼻鏡を用いて前鼻腔を観察できる。,F-03-05-03-08,
61,患者の情報収集,身体所見,甲状腺、頸部血管、気管、唾液腺の診察ができる。,F-03-05-03-09,
62,患者の情報収集,身体所見,頭頸部リンパ節の診察ができる。,F-03-05-03-10,
63,患者の情報収集,身体所見,胸部の視診、触診、打診ができる。,F-03-05-04-01,
64,患者の情報収集,身体所見,呼吸音と副雑音の聴診ができる。,F-03-05-04-02,
65,患者の情報収集,身体所見,心音と心雑音の聴診ができる。,F-03-05-04-03,
66,患者の情報収集,身体所見,背部の叩打痛を確認できる。,F-03-05-04-04,
67,患者の情報収集,身体所見,乳房の診察を実施できる（シミュレータでも可とする）。,F-03-05-04-05,
68,患者の情報収集,身体所見,腹部の視診、聴診ができる。,F-03-05-05-01,
69,患者の情報収集,身体所見,区分に応じて腹部の打診、触診ができる。,F-03-05-05-02,
70,患者の情報収集,身体所見,圧痛、腹膜刺激徴候、筋性防御の有無を判断できる。,F-03-05-05-03,
71,患者の情報収集,身体所見,腹水の有無を判断できる。,F-03-05-05-04,
72,患者の情報収集,身体所見,腸雑音、血管雑音の聴診ができる。,F-03-05-05-05,
73,患者の情報収集,身体所見,直腸（前立腺を含む）指診を実施できる（シミュレータでも可とする）。,F-03-05-05-06,
74,患者の情報収集,身体所見,意識レベルを判定できる。,F-03-05-06-01,
75,患者の情報収集,身体所見,脳神経系の診察ができる（眼底検査を含む）。,F-03-05-06-02,
76,患者の情報収集,身体所見,腱反射の診察ができる。,F-03-05-06-03,
77,患者の情報収集,身体所見,小脳機能・運動系の診察ができる。,F-03-05-06-04,
78,患者の情報収集,身体所見,感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。,F-03-05-06-05,
79,患者の情報収集,身体所見,髄膜刺激所見（項部硬直、Kernig徴候）を確認できる。,F-03-05-06-06,
80,患者の情報収集,身体所見,四肢と脊柱（弯曲、疼痛）の診察ができる。,F-03-05-07-01,
81,患者の情報収集,身体所見,関節（可動域、腫脹、疼痛、変形）の診察ができる。,F-03-05-07-02,
82,患者の情報収集,身体所見,筋骨格系の診察（徒手筋力テスト）ができる。,F-03-05-07-03,
83,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加できる。,F-03-05-08-05,身体所見と検査結果の2要素ありそう（小松）
84,患者の情報収集,身体所見,基本的な小児科診察ができる。,F-03-05-08-06,身体所見でよさそう（小松）　※CATO新学評に項目新設予定
85,患者の情報収集,身体所見,経皮的酸素飽和度を測定できる。,F-03-06-02-05,初期対応への分類とどちらが良いか？（小松）
86,患者の情報収集,身体所見,基本的な内科的診察技能について学ぶ。,G-04-01-01-05,
87,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加する。,G-04-01-03-05,
88,患者の情報収集,身体所見,基本的な小児科診察技能について学ぶ。,G-04-01-03-06,
89,患者の情報収集,身体所見,基本的な婦人科診察技能について学ぶ。,G-04-01-04-06,
90,患者の情報収集,身体所見,基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,F-02-09-02-02,
91,患者の情報収集,身体所見,障害を国際生活機能分類の心身機能・身体構造、活動、参加に分けて説明できる。,F-02-14-na-04,
92,患者の情報収集,身体所見,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,F-03-02-na-04,
93,患者の情報収集,身体所見,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,F-03-05-01-06,
94,患者の情報収集,身体所見,身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。,F-03-05-02-01,
95,患者の情報収集,身体所見,上腕で触診、聴診法により血圧を測定できる。,F-03-05-02-02,
96,患者の情報収集,身体所見,両側の橈骨動脈で脈拍を診察できる。,F-03-05-02-03,
97,患者の情報収集,身体所見,呼吸数を測定し、呼吸の異常の有無を確認できる。,F-03-05-02-04,
98,患者の情報収集,身体所見,腋窩で体温を測定できる。,F-03-05-02-05,
99,患者の情報収集,身体所見,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,F-03-05-02-06,
100,患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,F-03-05-02-07,
101,患者の情報収集,身体所見,頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。,F-03-05-03-01,
102,患者の情報収集,身体所見,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。,F-03-05-03-02,
103,患者の情報収集,身体所見,耳（耳介、聴力）の診察ができる。,F-03-05-03-03,
104,患者の情報収集,身体所見,耳鏡で外耳道、鼓膜を観察できる。,F-03-05-03-04,
105,患者の情報収集,身体所見,音叉を用いて聴力試験を実施できる。,F-03-05-03-05,
106,患者の情報収集,身体所見,口唇、口腔、咽頭、扁桃の診察ができる。,F-03-05-03-06,
107,患者の情報収集,身体所見,鼻腔、副鼻腔の診察ができる。,F-03-05-03-07,
108,患者の情報収集,身体所見,鼻鏡を用いて前鼻腔を観察できる。,F-03-05-03-08,
109,患者の情報収集,身体所見,甲状腺、頸部血管、気管、唾液腺の診察ができる。,F-03-05-03-09,
110,患者の情報収集,身体所見,頭頸部リンパ節の診察ができる。,F-03-05-03-10,
111,患者の情報収集,身体所見,胸部の視診、触診、打診ができる。,F-03-05-04-01,
112,患者の情報収集,身体所見,呼吸音と副雑音の聴診ができる。,F-03-05-04-02,
113,患者の情報収集,身体所見,心音と心雑音の聴診ができる。,F-03-05-04-03,
114,患者の情報収集,身体所見,背部の叩打痛を確認できる。,F-03-05-04-04,
115,患者の情報収集,身体所見,乳房の診察を実施できる（シミュレータでも可とする）。,F-03-05-04-05,
116,患者の情報収集,身体所見,腹部の視診、聴診ができる。,F-03-05-05-01,
117,患者の情報収集,身体所見,区分に応じて腹部の打診、触診ができる。,F-03-05-05-02,
118,患者の情報収集,身体所見,圧痛、腹膜刺激徴候、筋性防御の有無を判断できる。,F-03-05-05-03,
119,患者の情報収集,身体所見,腹水の有無を判断できる。,F-03-05-05-04,
120,患者の情報収集,身体所見,腸雑音、血管雑音の聴診ができる。,F-03-05-05-05,
121,患者の情報収集,身体所見,直腸（前立腺を含む）指診を実施できる（シミュレータでも可とする）。,F-03-05-05-06,
122,患者の情報収集,身体所見,意識レベルを判定できる。,F-03-05-06-01,
123,患者の情報収集,身体所見,脳神経系の診察ができる（眼底検査を含む）。,F-03-05-06-02,
124,患者の情報収集,身体所見,腱反射の診察ができる。,F-03-05-06-03,
125,患者の情報収集,身体所見,小脳機能・運動系の診察ができる。,F-03-05-06-04,
126,患者の情報収集,身体所見,感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。,F-03-05-06-05,
127,患者の情報収集,身体所見,髄膜刺激所見（項部硬直、Kernig徴候）を確認できる。,F-03-05-06-06,
128,患者の情報収集,身体所見,四肢と脊柱（弯曲、疼痛）の診察ができる。,F-03-05-07-01,
129,患者の情報収集,身体所見,関節（可動域、腫脹、疼痛、変形）の診察ができる。,F-03-05-07-02,
130,患者の情報収集,身体所見,筋骨格系の診察（徒手筋力テスト）ができる。,F-03-05-07-03,
131,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加できる。,F-03-05-08-05,身体所見と検査結果の2要素ありそう（小松）
132,患者の情報収集,身体所見,基本的な小児科診察ができる。,F-03-05-08-06,身体所見でよさそう（小松）　※CATO新学評に項目新設予定
133,患者の情報収集,身体所見,経皮的酸素飽和度を測定できる。,F-03-06-02-05,初期対応への分類とどちらが良いか？（小松）
134,患者の情報収集,身体所見,基本的な内科的診察技能について学ぶ。,G-04-01-01-05,
135,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加する。,G-04-01-03-05,
136,患者の情報収集,身体所見,基本的な小児科診察技能について学ぶ。,G-04-01-03-06,
137,患者の情報収集,身体所見,基本的な婦人科診察技能について学ぶ。,G-04-01-04-06,
138,患者の情報収集,身体所見,基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,F-02-09-02-02,
139,患者の情報収集,身体所見,障害を国際生活機能分類の心身機能・身体構造、活動、参加に分けて説明できる。,F-02-14-na-04,
140,患者の情報収集,身体所見,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,F-03-02-na-04,
141,患者の情報収集,身体所見,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,F-03-05-01-06,
142,患者の情報収集,身体所見,身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。,F-03-05-02-01,
143,患者の情報収集,身体所見,上腕で触診、聴診法により血圧を測定できる。,F-03-05-02-02,
144,患者の情報収集,身体所見,両側の橈骨動脈で脈拍を診察できる。,F-03-05-02-03,
145,患者の情報収集,身体所見,呼吸数を測定し、呼吸の異常の有無を確認できる。,F-03-05-02-04,
146,患者の情報収集,身体所見,腋窩で体温を測定できる。,F-03-05-02-05,
147,患者の情報収集,身体所見,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,F-03-05-02-06,
148,患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,F-03-05-02-07,
149,患者の情報収集,身体所見,頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。,F-03-05-03-01,
150,患者の情報収集,身体所見,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。,F-03-05-03-02,
151,患者の情報収集,身体所見,耳（耳介、聴力）の診察ができる。,F-03-05-03-03,
152,患者の情報収集,身体所見,耳鏡で外耳道、鼓膜を観察できる。,F-03-05-03-04,
153,患者の情報収集,身体所見,音叉を用いて聴力試験を実施できる。,F-03-05-03-05,
154,患者の情報収集,身体所見,口唇、口腔、咽頭、扁桃の診察ができる。,F-03-05-03-06,
155,患者の情報収集,身体所見,鼻腔、副鼻腔の診察ができる。,F-03-05-03-07,
156,患者の情報収集,身体所見,鼻鏡を用いて前鼻腔を観察できる。,F-03-05-03-08,
157,患者の情報収集,身体所見,甲状腺、頸部血管、気管、唾液腺の診察ができる。,F-03-05-03-09,
158,患者の情報収集,身体所見,頭頸部リンパ節の診察ができる。,F-03-05-03-10,
159,患者の情報収集,身体所見,胸部の視診、触診、打診ができる。,F-03-05-04-01,
160,患者の情報収集,身体所見,呼吸音と副雑音の聴診ができる。,F-03-05-04-02,
161,患者の情報収集,身体所見,心音と心雑音の聴診ができる。,F-03-05-04-03,
162,患者の情報収集,身体所見,背部の叩打痛を確認できる。,F-03-05-04-04,
163,患者の情報収集,身体所見,乳房の診察を実施できる（シミュレータでも可とする）。,F-03-05-04-05,
164,患者の情報収集,身体所見,腹部の視診、聴診ができる。,F-03-05-05-01,
165,患者の情報収集,身体所見,区分に応じて腹部の打診、触診ができる。,F-03-05-05-02,
166,患者の情報収集,身体所見,圧痛、腹膜刺激徴候、筋性防御の有無を判断できる。,F-03-05-05-03,
167,患者の情報収集,身体所見,腹水の有無を判断できる。,F-03-05-05-04,
168,患者の情報収集,身体所見,腸雑音、血管雑音の聴診ができる。,F-03-05-05-05,
169,患者の情報収集,身体所見,直腸（前立腺を含む）指診を実施できる（シミュレータでも可とする）。,F-03-05-05-06,
170,患者の情報収集,身体所見,意識レベルを判定できる。,F-03-05-06-01,
171,患者の情報収集,身体所見,脳神経系の診察ができる（眼底検査を含む）。,F-03-05-06-02,
172,患者の情報収集,身体所見,腱反射の診察ができる。,F-03-05-06-03,
173,患者の情報収集,身体所見,小脳機能・運動系の診察ができる。,F-03-05-06-04,
174,患者の情報収集,身体所見,感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。,F-03-05-06-05,
175,患者の情報収集,身体所見,髄膜刺激所見（項部硬直、Kernig徴候）を確認できる。,F-03-05-06-06,
176,患者の情報収集,身体所見,四肢と脊柱（弯曲、疼痛）の診察ができる。,F-03-05-07-01,
177,患者の情報収集,身体所見,関節（可動域、腫脹、疼痛、変形）の診察ができる。,F-03-05-07-02,
178,患者の情報収集,身体所見,筋骨格系の診察（徒手筋力テスト）ができる。,F-03-05-07-03,
179,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加できる。,F-03-05-08-05,身体所見と検査結果の2要素ありそう（小松）
180,患者の情報収集,身体所見,基本的な小児科診察ができる。,F-03-05-08-06,身体所見でよさそう（小松）　※CATO新学評に項目新設予定
181,患者の情報収集,身体所見,経皮的酸素飽和度を測定できる。,F-03-06-02-05,初期対応への分類とどちらが良いか？（小松）
182,患者の情報収集,身体所見,基本的な内科的診察技能について学ぶ。,G-04-01-01-05,
183,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加する。,G-04-01-03-05,
184,患者の情報収集,身体所見,基本的な小児科診察技能について学ぶ。,G-04-01-03-06,
185,患者の情報収集,身体所見,基本的な婦人科診察技能について学ぶ。,G-04-01-04-06,
186,患者の情報収集,身体所見,基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,F-02-09-02-02,
187,患者の情報収集,身体所見,障害を国際生活機能分類の心身機能・身体構造、活動、参加に分けて説明できる。,F-02-14-na-04,
188,患者の情報収集,身体所見,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,F-03-02-na-04,
189,患者の情報収集,身体所見,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,F-03-05-01-06,
190,患者の情報収集,身体所見,身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。,F-03-05-02-01,
191,患者の情報収集,身体所見,上腕で触診、聴診法により血圧を測定できる。,F-03-05-02-02,
192,患者の情報収集,身体所見,両側の橈骨動脈で脈拍を診察できる。,F-03-05-02-03,
193,患者の情報収集,身体所見,呼吸数を測定し、呼吸の異常の有無を確認できる。,F-03-05-02-04,
194,患者の情報収集,身体所見,腋窩で体温を測定できる。,F-03-05-02-05,
195,患者の情報収集,身体所見,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,F-03-05-02-06,
196,患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,F-03-05-02-07,
197,患者の情報収集,身体所見,頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。,F-03-05-03-01,
198,患者の情報収集,身体所見,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。,F-03-05-03-02,
199,患者の情報収集,身体所見,耳（耳介、聴力）の診察ができる。,F-03-05-03-03,
200,患者の情報収集,身体所見,耳鏡で外耳道、鼓膜を観察できる。,F-03-05-03-04,
201,患者の情報収集,身体所見,音叉を用いて聴力試験を実施できる。,F-03-05-03-05,
202,患者の情報収集,身体所見,口唇、口腔、咽頭、扁桃の診察ができる。,F-03-05-03-06,
203,患者の情報収集,身体所見,鼻腔、副鼻腔の診察ができる。,F-03-05-03-07,
204,患者の情報収集,身体所見,鼻鏡を用いて前鼻腔を観察できる。,F-03-05-03-08,
205,患者の情報収集,身体所見,甲状腺、頸部血管、気管、唾液腺の診察ができる。,F-03-05-03-09,
206,患者の情報収集,身体所見,頭頸部リンパ節の診察ができる。,F-03-05-03-10,
207,患者の情報収集,身体所見,胸部の視診、触診、打診ができる。,F-03-05-04-01,
208,患者の情報収集,身体所見,呼吸音と副雑音の聴診ができる。,F-03-05-04-02,
209,患者の情報収集,身体所見,心音と心雑音の聴診ができる。,F-03-05-04-03,
210,患者の情報収集,身体所見,背部の叩打痛を確認できる。,F-03-05-04-04,
211,患者の情報収集,身体所見,乳房の診察を実施できる（シミュレータでも可とする）。,F-03-05-04-05,
212,患者の情報収集,身体所見,腹部の視診、聴診ができる。,F-03-05-05-01,
213,患者の情報収集,身体所見,区分に応じて腹部の打診、触診ができる。,F-03-05-05-02,
214,患者の情報収集,身体所見,圧痛、腹膜刺激徴候、筋性防御の有無を判断できる。,F-03-05-05-03,
215,患者の情報収集,身体所見,腹水の有無を判断できる。,F-03-05-05-04,
216,患者の情報収集,身体所見,腸雑音、血管雑音の聴診ができる。,F-03-05-05-05,
217,患者の情報収集,身体所見,直腸（前立腺を含む）指診を実施できる（シミュレータでも可とする）。,F-03-05-05-06,
218,患者の情報収集,身体所見,意識レベルを判定できる。,F-03-05-06-01,
219,患者の情報収集,身体所見,脳神経系の診察ができる（眼底検査を含む）。,F-03-05-06-02,
220,患者の情報収集,身体所見,腱反射の診察ができる。,F-03-05-06-03,
221,患者の情報収集,身体所見,小脳機能・運動系の診察ができる。,F-03-05-06-04,
222,患者の情報収集,身体所見,感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。,F-03-05-06-05,
223,患者の情報収集,身体所見,髄膜刺激所見（項部硬直、Kernig徴候）を確認できる。,F-03-05-06-06,
224,患者の情報収集,身体所見,四肢と脊柱（弯曲、疼痛）の診察ができる。,F-03-05-07-01,
225,患者の情報収集,身体所見,関節（可動域、腫脹、疼痛、変形）の診察ができる。,F-03-05-07-02,
226,患者の情報収集,身体所見,筋骨格系の診察（徒手筋力テスト）ができる。,F-03-05-07-03,
227,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加できる。,F-03-05-08-05,身体所見と検査結果の2要素ありそう（小松）
228,患者の情報収集,身体所見,基本的な小児科診察ができる。,F-03-05-08-06,身体所見でよさそう（小松）　※CATO新学評に項目新設予定
229,患者の情報収集,身体所見,経皮的酸素飽和度を測定できる。,F-03-06-02-05,初期対応への分類とどちらが良いか？（小松）
230,患者の情報収集,身体所見,基本的な内科的診察技能について学ぶ。,G-04-01-01-05,
231,患者の情報収集,身体所見,小児の成長・発達の評価に可能な範囲で参加する。,G-04-01-03-05,
232,患者の情報収集,身体所見,基本的な小児科診察技能について学ぶ。,G-04-01-03-06,
233,患者の情報収集,身体所見,基本的な婦人科診察技能について学ぶ。,G-04-01-04-06,
234,患者の情報収集,身体所見,基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,F-02-09-02-02,
235,患者の情報収集,身体所見,障害を国際生活機能分類の心身機能・身体構造、活動、参加に分けて説明できる。,F-02-14-na-04,
236,患者の情報収集,身体所見,診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。,F-03-02-na-04,
237,患者の情報収集,身体所見,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,F-03-05-01-06,
238,患者の情報収集,身体所見,身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。,F-03-05-02-01,
239,患者の情報収集,身体所見,上腕で触診、聴診法により血圧を測定できる。,F-03-05-02-02,
240,患者の情報収集,身体所見,両側の橈骨動脈で脈拍を診察できる。,F-03-05-02-03,
241,患者の情報収集,身体所見,呼吸数を測定し、呼吸の異常の有無を確認できる。,F-03-05-02-04,
242,患者の情報収集,身体所見,腋窩で体温を測定できる。,F-03-05-02-05,
243,患者の情報収集,身体所見,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,F-03-05-02-06,
244,患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,F-03-05-02-07,
245,患者の情報収集,身体所見,頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。,F-03-05-03-01,
246,患者の情報収集,身体所見,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。,F-03-05-03-02,
247,患者の情報収集,身体所見,耳（耳介、聴力）の診察ができる。,F-03-05-03-03,
248,患者の情報収集,身体所見,耳鏡で外耳道、鼓膜を観察できる。,F-03-05-03-04,
249,患者の情報収集,身体所見,音叉を用いて聴力試験を実施できる。,F-03-05-03-05,
250,患者の情報収集,身体所見,口唇、口腔、咽頭、扁桃の診察ができる。,F-03-05-03-06,
251,患者の情報収集,身体所見,鼻腔、副鼻腔の診察ができる。,F-03-05-03-07,
252,患者の情報収集,身体所見,鼻鏡を用いて前鼻腔を観察できる。,F-03-05-03-08,
253,患者の情報収集,身体所見,甲状腺、頸部血管、気管、唾液腺の診察ができる。,F-03-05-03-09,
