"臓器","分類","項目名","blank","H28対応項目","削除項目","追加項目","メモ"
"D2神経系(nomura)","）疾患・病態","頭部外傷：脳挫傷、脳震盪、びまん性軸索損傷、急性硬膜外血腫、急性硬膜下血腫、頭蓋骨骨折","","","","",""
"D2神経系(nomura)","）疾患・病態","小児領域：脳性麻痺、水頭症、熱性けいれん","","","","",""
"D2神経系(nomura)","）疾患・病態","腫瘍性疾患：　※腫瘍の項目を参照","","","","",""
"D3皮膚系","構造と機能","皮膚の組織構造","","","","",""
"D3皮膚系","構造と機能","皮膚の細胞動態と角化の機構","","","","",""
"D3皮膚系","構造と機能","皮膚の免疫防御能","","","","",""
"D3皮膚系","症状・症候","発疹","","","","",""
"D3皮膚系","検査方法","皮膚検査法（硝子圧法、皮膚描記法(Darier 徴候)、Nikolsky 現象、Tzanck 試験、光線テスト）","","","","",""
"D3皮膚系","検査方法","皮膚アレルギー検査法（プリックテスト、皮内テスト、パッチテスト）","","","","",""
"D3皮膚系","検査方法","微生物検査法（検体採取法、苛性カリ<KOH>直接検鏡法）","","","","",""
"D3皮膚系","検査方法","ダーモスコピー","","","","",""
"D3皮膚系","特異的治療法","※現時点でなし","","","","",""
"D3皮膚系","疾患・病態","湿疹・皮膚炎：接触皮膚炎、アトピー性皮膚炎、脂漏性皮膚炎、貨幣状湿疹、皮脂欠乏性湿疹、自家感作性皮膚炎","","","","",""
"D3皮膚系","疾患・病態","蕁麻疹、紅斑症、紅皮症と皮膚掻痒症：蕁麻疹、多形滲出性紅斑、環状紅斑、紅皮症、皮膚そう痒症","","","","",""
"D3皮膚系","疾患・病態","紫斑・血流障害と血管炎：皮膚血流障害、血管炎","","","","",""
"D3皮膚系","疾患・病態","薬疹・薬物障害：薬疹、薬物障害（薬疹を起こしやすい主な薬物の列挙）","","","","",""
"D3皮膚系","疾患・病態","水疱症と膿疱：自己免疫性水疱症、膿疱　（水疱症鑑別のための検査法）","","","","",""
"D3皮膚系","疾患・病態","乾癬と角化症：尋常性乾癬、扁平苔癬、Gibert 薔薇色粃糠疹","","","","",""
"D3皮膚系","疾患・病態","皮膚感染症：伝染性膿痂疹、せつ、癰、毛嚢炎、丹毒、ブドウ球菌性熱傷様皮膚症候群）、皮膚真菌症<表在性、深在性>、皮膚結核病、梅毒、皮膚ウィルス感染症（単純ヘルペス、帯状疱疹、伝染性軟属腫、麻疹、風疹、水痘）、後天性免疫不全症候群<AIDS>に伴う皮膚症状（梅毒、難治性ヘルペス、伝染性軟属腫、カポジ肉腫など）","","","","",""
"D3皮膚系","疾患・病態","腫瘍性疾患：※腫瘍の項目を参照","","","","",""
"D4運動器系","構造と機能","骨・軟骨・関節・靱帯の構成と機能","","","","",""
"D4運動器系","構造と機能","頭頸部の構成","","","","",""
"D4運動器系","構造と機能","脊柱の構成と機能","","","","",""
"D4運動器系","構造と機能","四肢の骨格、主要筋群の運動と神経支配","","","","",""
"D4運動器系","構造と機能","骨盤の構成と性差","","","","",""
"D4運動器系","構造と機能","骨の成長と骨形成・吸収の機序","","","","",""
"D4運動器系","構造と機能","姿勢と体幹の運動にかかわる筋群","","","","",""
"D4運動器系","構造と機能","抗重力筋","","","","",""
"D4運動器系","症状・症候","運動麻痺・筋力低下、関節痛・関節腫脹、腰背部痛","","","","※歩行障害、感覚障害を追加下さい（宮地先生報告書より）",""
"D4運動器系","検査方法","筋骨格系の病態に即した徒手検査（四肢・脊柱の可動域検査、神経学的検査等）","","","","",""
"D4運動器系","検査方法","筋骨格系画像診断（エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、超音波検査、骨塩定量）","","","","",""
"D4運動器系","）特異的治療法","運動器疾患のリハビリテーション","","","","",""
"D4運動器系","疾患・病態","四肢・脊椎外傷","","","","",""
"D4運動器系","疾患・病態","関節の脱臼、靱帯損傷","","","","",""
"D4運動器系","疾患・病態","骨折","","","","",""
"D4運動器系","疾患・病態","コンパートメント症候群","","","","",""
"D4運動器系","疾患・病態","骨粗鬆症","","","","",""
"D4運動器系","疾患・病態","関節炎、腱鞘炎","","","","",""
"D4運動器系","疾患・病態","変形性関節症","","","","",""
"D4運動器系","疾患・病態","絞扼性末梢神経障害（手根管症候群、肘部管症候群等）","","","","",""
"D4運動器系","疾患・病態","頸椎症性脊髄症（脊柱靭帯骨化症を含む）・頸椎症性神経根症","","","","",""
"D4運動器系","疾患・病態","脊髄損傷","","","","",""
"D4運動器系","疾患・病態","腰椎椎間板ヘルニア","","","","",""
"D4運動器系","疾患・病態","腰部脊柱管狭窄症","","","","",""
"D4運動器系","疾患・病態","腰椎分離・すべり症","","","","",""
"D4運動器系","疾患・病態","運動器慢性疼痛（腰背部痛、頸部痛、肩こり）","","","","",""
"D4運動器系","疾患・病態","感染性疾患：化膿性関節炎、椎間板炎、化膿性脊椎炎、脊椎カリエス","","","","",""
"D4運動器系","疾患・病態","腫瘍性疾患：※腫瘍の項目を参照","","","","",""
"D5循環器","構造と構造","心臓の構造と分布する血管・神経、冠動脈の特長とその分布域","","","","",""
"D5循環器","構造と構造","心筋細胞の微細構造と機能","","","","",""
"D5循環器","構造と構造","心筋細胞の電気現象と心臓の興奮（刺激）伝導系","","","","",""
"D5循環器","構造と構造","興奮収縮連関","","","","",""
"D5循環器","構造と構造","体循環、肺循環と胎児・胎盤循環","","","","",""
"D5循環器","構造と構造","大動脈と主な分枝（頭頸部、上肢、胸部、腹部、下肢）を図示し、分布域","","","","",""
"D5循環器","構造と構造","主な静脈、門脈系と上・下大静脈系","","","","",""
"D5循環器","構造と構造","毛細血管における物質・水分交換","","","","",""
"D5循環器","構造と構造","胸管を経由するリンパの流れ","","","","",""
"D5循環器","構造と構造","心周期にともなう血行動態","","","","",""
"D5循環器","構造と構造","心機能曲線と心拍出量の調節機序","","","","",""
"D5循環器","構造と構造","主な臓器（脳、心臓、肺、腎臓）の循環調節","","","","",""
"D5循環器","構造と構造","血圧調節の機序","","","","",""
"D5循環器","構造と構造","体位や運動に伴う循環反応とその機序","","","","",""
"D5循環器","症状・症候","体重増加、意識障害・失神、浮腫、咳・痰、呼吸困難、胸痛、動悸、胸水、腰背部痛、","","","①発熱、②全身倦怠感、③食思(欲)不振、④体重減少、⑦けいれん、⑧めまい、⑮嚥下困難・障害、⑯腹痛、⑰悪心・嘔吐、⑱頭痛","",""
"D5循環器","症状・症候（）","ショック、心肺停止","","","","",""
"D5循環器","検査方法","胸部単純エックス線撮影写真、心電図","","","","",""
"D5循環器","検査方法","心臓超音波検査","","","","",""
"D5循環器","検査方法","運動負荷心電図、ホルタ―心電図","","","","",""
"D5循環器","検査方法","心臓シンチグラフィ－","","","","",""
"D5循環器","検査方法","冠動脈造影、冠動脈コンピュータ断層撮影<CT>及び心臓磁気共鳴画像法<MRI>","","","","",""
"D5循環器","検査方法","心カテーテル検査（心内圧、心機能、シャント率の測定）","","","","",""
"D5循環器","特異的治療法","虚血性心疾患に対する血行再建術：経皮的冠動脈形成術、ステント留置術、冠動脈バイパス術","","","④他疾患（脳血管疾患、心疾患、腎疾患、糖尿病）を合併する場合の血圧管理","",""
"D5循環器","特異的治療法","不整脈に対する非薬物療法（カテーテルアブレーション、電気的除細動、ペースメーカー植え込み、植え込み型除細動器）、","","","","",""
"D5循環器","特異的治療法","各種降圧薬の作用機序による分類、適応、禁忌、副作用、","","","","",""
"D5循環器","疾患・病態","心不全：心不全（左心・右心、急性・慢性）","","","","",""
"D5循環器","疾患・病態","虚血性心疾患：狭心症(労作性、冠攣縮性）、急性冠症候群（不安定狭心症、急性心筋梗塞）","","","非ST上昇型心筋梗塞およびST上昇型、Q波心筋梗塞、非Q波心筋梗塞、陳旧性心筋梗塞","","表記方法をかなり整理した"
"D5循環器","疾患・病態","不整脈：徐脈性不整脈（洞不全症候群、房室ブロック）、上室性頻脈性不整脈（心房細動、心房粗動、発作性上室性頻拍症）、心室性頻脈性不整脈（心室頻拍、多源性心室頻拍（torsades de pointes)）、心室細動、期外収縮（上室性、心室性）","","","洞性頻脈、致死性不整脈","","表記方法をかなり整理した"
"D5循環器","疾患・病態","弁膜症：僧帽弁疾患、大動脈弁疾患","","","","",""
"D5循環器","疾患・病態","心筋・心膜疾患：特発性心筋症（肥大型、拡張型、拘束型）、二次性心筋疾患、急性心筋炎、感染性心内膜炎、急性心膜炎、収縮性心膜炎、心タンポナーデ","","","","",""
"D5循環器","疾患・病態","先天性心疾患：心房中隔欠損症、心室中隔欠損症、動脈管開存、Fallot 四徴症","","","","",""
"D5循環器","疾患・病態","動脈疾患：動脈硬化症、急性大動脈解離、大動脈瘤（破裂）、閉塞性動脈硬化症、Buerger病、高安動脈炎(大動脈炎症候群) ","","","","",""
"D5循環器","疾患・病態","静脈・リンパ管疾患：深部静脈血栓症(deep vein thrombosis <DVT>)、血栓性静脈炎、上大静脈症候群、下肢静脈瘤、リンパ浮腫","","","","",""
"D5循環器","疾患・病態","高血圧症：高血圧症（本態性、二次性）、高血圧緊急症","","","","",""
"D5循環器","疾患・病態","低血圧症：起立性低血圧、神経失調性失神","","","","",""
"D5循環器","疾患・病態","腫瘍性疾患：※腫瘍の項目を参照","","","","",""
"D6呼吸器系","構造と機能","気道の構造、肺葉・肺区域と肺門の構造","","","","",""
"D6呼吸器系","構造と機能","肺循環と体循環の違い","","","","",""
"D6呼吸器系","構造と機能","縦隔と胸膜腔の構造","","","","",""
"D6呼吸器系","構造と機能","呼吸筋と呼吸運動の機序","","","","",""
"D6呼吸器系","構造と機能","肺気量分画、換気、死腔（換気力学（胸腔内圧、肺コンプライアンス、抵抗、クロージングボリューム(closing volume)））","","","","",""
"D6呼吸器系","構造と機能","肺胞におけるガス交換と血流の関係","","","","",""
"D6呼吸器系","構造と機能","肺の換気と血流（換気血流比）が動脈血ガスにおよぼす影響（肺胞気-動脈血酸素分圧較差(alveolar-arterial oxygen difference <A-aDO2>)）","","","","",""
"D6呼吸器系","構造と機能","呼吸中枢を介する呼吸調節の機序を説明できる。","","","","",""
"D6呼吸器系","構造と機能","血液による酸素 と二酸化炭素 の運搬の仕組み","","","","",""
"D6呼吸器系","構造と機能","気道と肺の防御機構（免疫学的・非免疫学的）と代謝機能","","","","",""
"D6呼吸器系","症状・症候","胸水、胸痛・胸部圧迫感、呼吸困難・息切れ、咳・痰、血痰・喀血","","","","",""
"D6呼吸器系","症状・症候","喘鳴","","","","",""
"D6呼吸器系","検査方法","単純エックス線撮影、コンピュータ断層撮影<CT>、磁気共鳴画像法<MRI>、及び核医学検査（ポジトロン断層法(positron emission tomography <PET>)検査を含む）等の画像検査","","","","",""
"D6呼吸器系","検査方法","気管支内視鏡検査","","","","",""
"D6呼吸器系","検査方法","喀痰検査（喀痰細胞診、喀痰培養）","","","","",""
"D6呼吸器系","検査方法","胸膜生検","","","","",""
"D6呼吸器系","特異的治療法","呼吸器リハビリテーション","","","","",""
"D6呼吸器系","疾患・病態","呼吸不全：低酸素血症と高二酸化炭素血症","","","","",""
"D6呼吸器系","疾患・病態","呼吸器感染症：急性上気道感染症（かぜ症候群）、扁桃炎、気管支炎・細気管支炎、肺炎（定型肺炎、非定型肺炎）、肺結核症、肺真菌症、非結核性（非定型）抗酸菌症、誤嚥性肺炎、クループ症候群、急性喉頭蓋炎、肺化膿症・膿胸","","","","",""
"D6呼吸器系","疾患・病態","閉塞性換気障害・拘束性換気障害：慢性閉塞性肺疾患(chronic obstructive pulmonary disease <COPD>)、気管支喘息（小児喘息を含む）、間質性肺炎（特発性、膠原病及び血管炎関連性）、びまん性汎細気管支炎、放射線肺炎、じん肺症（珪肺(silicosis)、石綿肺(asbestosis)）","","","","",""
"D6呼吸器系","疾患・病態","肺循環障害：肺性心、急性呼吸促(窮)迫症候群(acute respiratory distress syndrome <ARDS>)、肺血栓塞栓症、肺高血圧症","","","","",""
"D6呼吸器系","疾患・病態","免疫学的機序による肺疾患：過敏性肺炎、サルコイドーシス、好酸球性肺炎、薬剤性肺炎","","","","",""
"D6呼吸器系","疾患・病態","異常呼吸：過換気症候群、睡眠時無呼吸症候群、肺胞低換気症候群","","","","",""
"D6呼吸器系","疾患・病態","気管支拡張症：気管支拡張症、無気肺、新生児呼吸促迫症候群、肺リンパ脈管筋腫症、肺胞タンパク症","","","","",""
"D6呼吸器系","疾患・病態","胸膜・縦隔疾患：胸膜炎、気胸（自然気胸、緊張性気胸、外傷性気胸）、縦隔気腫","","","","",""
"D6呼吸器系","疾患・病態","腫瘍性疾患：※腫瘍の項目を参照","","","","",""
"D7消化器系","構造と機能","各消化器官の位置、形態と関係する血管","","","","",""
"D7消化器系","構造と機能","腹膜と臓器の関係","","","","",""
"D7消化器系","構造と機能","食道・胃・小腸・大腸の基本構造と部位による違い","","","","",""
"D7消化器系","構造と機能","消化管運動の仕組み","","","","",""
"D7消化器系","構造と機能","消化器官に対する自律神経の作用","","","","",""
"D7消化器系","構造と機能","肝の構造と機能","","","","",""
"D7消化器系","構造と機能","胃液の作用と分泌機序","","","","",""
"D7消化器系","構造と機能","胆汁の作用と胆嚢収縮の調節機序","","","","",""
"D7消化器系","構造と機能","膵外分泌系の構造と膵液の作用","","","","",""
"D7消化器系","構造と機能","小腸における消化・吸収の仕組み","","","","",""
"D7消化器系","構造と機能","大腸における糞便形成と排便の仕組み","","","","",""
"D7消化器系","構造と機能","主な消化管ホルモンの作用","","","","",""
"D7消化器系","構造と機能","歯、舌、唾液腺の構造と機能","","","","",""
"D7消化器系","構造と機能","咀しゃくと嚥下の機構","","","","",""
"D7消化器系","構造と機能","消化管の正常細菌叢（腸内細菌叢）の役割","","","","",""
"D7消化器系","症状・症候（）","黄疸、腹痛、悪心・嘔吐、食思<欲>不振、便秘・下痢・血便、吐血・下血、腹部膨隆・腫瘤","","","","",""
"D7消化器系","症状・症候（）","肝腫大、胸やけ","","","","②胸やけ",""
"D7消化器系","検査方法","肝炎ウイルス検査","","","","",""
"D7消化器系","検査方法","腫瘍マーカー（α-fetoprotein <AFP>、 carcinoembryonic antigen <CEA>、carbohydrateantigen <CA> 19-9、protein induced by vitamin K absence or antagonists <PIVKA>-Ⅱ）","","","","",""
"D7消化器系","検査方法","画像検査","","","","",""
"D7消化器系","検査方法","内視鏡検査","","","","",""
"D7消化器系","検査方法","生検、細胞診","","","","",""
"D7消化器系","特異的治療法","※現時点で該当項目なし","","","","",""
"D7消化器系","疾患・病態","食道疾患：食道・胃静脈瘤、胃食道逆流症(gastroesophageal reflux disease <GERD>)、逆流性食道炎、Mallory-Weiss 症候群","","","","",""
"D7消化器系","疾患・病態","胃・十二指腸疾患：胃潰瘍、十二指腸潰瘍(消化性潰瘍)、Helicobacter pylori 感染症、胃ポリープ、急性胃粘膜病変、急性胃腸炎、慢性胃炎、胃切除後症候群、機能性消化管障害（機能性ディスペプシア(functional dyspepsia<FD>)）、肥厚性幽門狭窄症","","","","",""
"D7消化器系","疾患・病態","小腸・大腸疾患：急性虫垂炎、腸閉塞（イレウス）、炎症性腸疾患（潰瘍性大腸炎・Crohn 病）、痔核・痔瘻、機能性消化管障害（過敏性腸症候群）、腸管憩室症（大腸憩室炎、大腸憩室出血）、薬物性腸炎、消化管ポリポーシス、先天性疾患(鎖肛、Hirschsprung 病)、腸重積症、便秘症、乳児下痢症、感染性腸炎、虚血性大腸炎、急性出血性直腸潰瘍、上腸間膜動脈閉塞症、消化管神経内分泌腫瘍(Neuroendocrine tumor <NET>)","","","","消化管神経内分泌腫瘍(Neuroendocrine tumor <NET>)",""
"D7消化器系","疾患・病態","胆道疾患：胆石症、胆嚢炎、胆管炎、胆嚢ポリープ、先天性胆道拡張症、膵・胆管合流異常症","","","","",""
"D7消化器系","疾患・病態","肝疾患：A 型・B 型・C 型・D 型・E 型肝炎、急性肝炎、劇症肝炎、慢性肝炎、肝硬変および合併症(門脈圧亢進症、肝性脳症、肝癌)、アルコール性肝障害、薬物性肝障害、肝膿瘍、原発性胆汁性胆管炎(原発性胆汁性肝硬変)、原発性硬化性胆管炎、自己免疫性肝炎","","","","",""
"D7消化器系","疾患・病態","膵臓疾患：急性膵炎（アルコール性、胆石性、特発性）、慢性膵炎（アルコール性、特発性）、自己免疫性膵炎","","","","",""
"D7消化器系","疾患・病態","腹膜・腹壁・横隔膜疾患：腹膜炎、ヘルニア（滑脱、嵌頓、絞扼）、鼠径部ヘルニア","","","","",""
"D7消化器系","疾患・病態","腫瘍性疾患：※腫瘍の項目を参照","","","","",""
"D8腎尿路系","構造と機能","体液の量と組成・浸透圧（小児と成人の違いを含めて）","","","","",""
"D8腎尿路系","構造と機能","腎・尿路系の位置・形態と血管分布・神経支配","","","","",""
"D8腎尿路系","構造と機能","腎の機能の全体像やネフロン各部の構造と機能","","","","",""
"D8腎尿路系","構造と機能","腎糸球体における濾過の機序","","","","",""
"D8腎尿路系","構造と機能","尿細管各部における再吸収・分泌機構と尿の濃縮機序","","","","",""
"D8腎尿路系","構造と機能","水電解質、酸・塩基平衡の調節機構","","","","",""
"D8腎尿路系","構造と機能","腎で産生される又は腎に作用するホルモン・血管作動性物質（エリスロポエチン、ビタミンD、レニン、アンギオテンシンII、アルドステロン）の作用","","","","",""
"D8腎尿路系","構造と機能","蓄排尿の機序","","","","",""
"D8腎尿路系","）症状・症候","脱水、浮腫、血尿、タンパク尿、尿量・排尿の異常","","","","",""
"D8腎尿路系","症状・症候（）","臨床症候の分類（急性腎炎症候群、慢性腎炎症候群、ネフローゼ症候群、急速進行性腎炎症候群、反復性または持続性血尿症候群）","","","","",""
"D8腎尿路系","検査方法","糸球体濾過量（実測、推算）を含む腎機能検査法","","","","",""
"D8腎尿路系","検査方法","腎・尿路系の画像診断","","","","",""
"D8腎尿路系","検査方法","腎生検の適応と禁忌","","","","",""
"D8腎尿路系","検査方法","尿流動態検査","","","","",""
"D8腎尿路系","特異的治療法","腎代替療法（血液透析・腹膜透析・腎移植）","","","","",""
"D8腎尿路系","疾患・病態","腎機能の障害：急性腎障害<AKI>、慢性腎臓病<CKD>、慢性腎不全","","","","","腎不全の項を改変"
"D8腎尿路系","疾患・病態","電解質異常：高・低Na 血症、高・低K 血症、高・低Ca 血症、高・低P 血症、高・低Cl 血症、高・低Mg 血症","","","","",""
"D8腎尿路系","疾患・病態","酸・塩基平衡障害：アシドーシス（代謝性・呼吸性）、アルカローシス（代謝性・呼吸性）","","","","",""
"D8腎尿路系","疾患・病態","原発性糸球体疾患：IgA腎症、膜性腎症、巣状分節性糸球体硬化症、微小変化群、膜性増殖性糸球体腎炎 ","","","","膜性腎症、巣状分節性糸球体硬化症、微小変化群、膜性増殖性糸球体腎炎 ",""
"D8腎尿路系","疾患・病態","高血圧および腎血管障害：腎硬化症、腎血管性高血圧症","","","","",""
"D8腎尿路系","疾患・病態","尿細管・間質性疾患：尿細管性アシドーシス、Fanconi 症候群尿細管間質性腎炎（急性・慢性）、腎盂腎炎（急性・慢性）","","","","",""
"D8腎尿路系","疾患・病態","全身性疾患による腎障害：糖尿病腎障害、IgA血管炎(紫斑病性腎炎）、アミロイド腎症、膠原病類縁疾患(ループス腎炎、血管炎症候群)、抗糸球体基底膜病(Goodpasture症候群)","","","","","表記を改変"
"D8腎尿路系","疾患・病態","先天異常と外傷：多発性嚢胞腎、膀胱尿管逆流、腎外傷","","","","",""
"D8腎尿路系","疾患・病態","尿路疾患：尿路結石、尿路の炎症（膀胱炎・前立腺炎・尿道炎）、神経因性膀胱","","","","",""
"D8腎尿路系","疾患・病態","腫瘍性疾患： ※腫瘍の項目を参照","","","","",""
"D9生殖機能","構造と機能","生殖腺の発生と性分化の過程","","","","",""
"D9生殖機能","構造と機能","男性生殖器の発育の過程","","","","",""
"D9生殖機能","構造と機能","男性生殖器の形態と機能","","","","",""
"D9生殖機能","構造と機能","精巣の組織構造と精子形成の過程","","","","",""
"D9生殖機能","構造と機能","陰茎の組織構造と勃起・射精の機序","","","","",""
"D9生殖機能","構造と機能","女性生殖器の発育の過程","","","","",""
"D9生殖機能","構造と機能","女性生殖器の形態と機能","","","","",""
"D9生殖機能","構造と機能","性周期発現と排卵の機序","","","","",""
"D9生殖機能","構造と機能","閉経の過程と疾病リスクの変化","","","","",""
