id2,id3,text3,disc3
E-07,E-07-04,思春期,
E-08,E-08-01,老化と高齢者の特徴,
E-09,E-09-01,生物的死と社会的死,
F-01,F-01-01,発熱,
F-01,F-01-02,全身倦怠感,
F-01,F-01-03,食思(欲)不振,
F-01,F-01-04,体重減少・体重増加,
F-01,F-01-05,ショック,
F-01,F-01-06,心停止,
F-01,F-01-07,意識障害・失神,
F-01,F-01-08,けいれん,
F-01,F-01-09,めまい,
F-01,F-01-10,脱水,
F-01,F-01-11,浮腫,
F-01,F-01-12,発疹,
F-01,F-01-13,咳・痰,
F-01,F-01-14,血痰・喀血,
F-01,F-01-15,呼吸困難,
F-01,F-01-16,胸痛,
F-01,F-01-17,動悸,
F-01,F-01-18,胸水,
F-01,F-01-19,嚥下困難・障害,
F-01,F-01-20,腹痛,
F-01,F-01-21,悪心・嘔吐,
F-01,F-01-22,吐血・下血,
F-01,F-01-23,便秘・下痢,
F-01,F-01-24,黄疸,
F-01,F-01-25,腹部膨隆（腹水を含む）・腫瘤,
F-01,F-01-26,貧血,
F-01,F-01-27,リンパ節腫脹,
F-01,F-01-28,尿量・排尿の異常,
F-01,F-01-29,血尿・蛋白タンパク尿,
F-01,F-01-30,月経異常,
F-01,F-01-31,不安・抑うつ,
F-01,F-01-32,もの忘れ,
F-01,F-01-33,頭痛,
F-01,F-01-34,運動麻痺・筋力低下,
F-01,F-01-35,腰背部痛,
F-01,F-01-36,関節痛・関節腫脹,
F-01,F-01-37,外傷・熱傷,
F-02,F-02-01,臨床推論,
F-02,F-02-02,根拠に基づいた医療<EBM>,
F-02,F-02-03,臨床検査,
F-02,F-02-04,病理診断,
F-02,F-02-05,放射線等を用いる診断と治療,
F-02,F-02-06,内視鏡を用いる診断と治療,
F-02,F-02-07,超音波を用いる診断と治療,
F-02,F-02-08,薬物治療の基本原理,
F-02,F-02-09,外科的治療と周術期管理,
F-02,F-02-10,麻酔,
F-02,F-02-11,食事・栄養療法と輸液療法,
F-02,F-02-12,医療機器と人工臓器,
F-02,F-02-13,輸血と移植,
F-02,F-02-14,リハビリテーション,
F-02,F-02-15,在宅医療と介護,
F-02,F-02-16,緩和ケア,
F-03,F-03-01,問題志向型システムと臨床推論,
F-03,F-03-02,医療面接,
F-03,F-03-03,診療録（カルテ）,
F-03,F-03-04,臨床判断,
F-03,F-03-05,身体診察,
F-03,F-03-06,基本的臨床手技,
G-01,G-01-01,臨床実習,
G-02,G-02-01,発熱,
G-02,G-02-02,全身倦怠感,
G-02,G-02-03,食思(欲)不振,
G-02,G-02-04,体重増加・体重減少,
G-02,G-02-05,ショック,
G-02,G-02-06,心停止,
G-02,G-02-07,意識障害・失神,
G-02,G-02-08,けいれん,
G-02,G-02-09,めまい,
G-02,G-02-10,脱水,
G-02,G-02-11,浮腫,
G-02,G-02-12,発疹,
G-02,G-02-13,咳・痰,
G-02,G-02-14,血痰・喀血,
G-02,G-02-15,呼吸困難,
G-02,G-02-16,胸痛,
G-02,G-02-17,動悸,
G-02,G-02-18,胸水,
G-02,G-02-19,嚥下困難・障害,
G-02,G-02-20,腹痛,
G-02,G-02-21,悪心・嘔吐,
G-02,G-02-22,吐血・下血,
G-02,G-02-23,便秘・下痢,
G-02,G-02-24,黄疸,
G-02,G-02-25,腹部膨隆（腹水を含む）・腫瘤,
G-02,G-02-26,貧血,
G-02,G-02-27,リンパ節腫脹,
G-02,G-02-28,尿量・排尿の異常,
G-02,G-02-29,血尿・タンパク尿,
G-02,G-02-30,月経異常,
G-02,G-02-31,不安・抑うつ,
G-02,G-02-32,もの忘れ,
G-02,G-02-33,頭痛,
G-02,G-02-34,運動麻痺・筋力低下,
G-02,G-02-35,腰背部痛,
G-02,G-02-36,関節痛・関節腫脹,
G-02,G-02-37,外傷・熱傷,
G-03,G-03-01,一般手技,
G-03,G-03-02,検査手技,
G-03,G-03-03,外科手技,
G-03,G-03-04,救命処置,
G-04,G-04-01,必ず経験すべき診療科,
G-04,G-04-02,上記以外の診療科,
G-04,G-04-02,上記以外の診療科:,
G-04,G-04-03,地域医療実習,
G-04,G-04-04,シミュレーション教育,
