臓器,分類,カテゴリ,サブカテゴリ,疾患,重要,UID,H28対応項目,H28表記,医学教育課修正案(20220419),医学教育課からのコメント(20220419),修正案(20220318),作業用(20220417),疾患(20220417),作業予定(20220417),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),医学教育課修正案(20220317),医学教育課からのコメント(20220317),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス
血液・造血器・リンパ系,疾患・病態,貧血,巨赤芽球性貧血,葉酸欠乏性貧血,,JlvnlYQ,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,葉酸欠乏性貧血,葉酸欠乏性貧血,,,,,,●,,,,,A,A,,,,,
血液・造血器・リンパ系,疾患・病態,貧血,遺伝性貧血,サラセミア,,JlvnlYY,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,サラセミア,サラセミア,,,,,,,,,,,B,C,,,,,
血液・造血器・リンパ系,疾患・病態,貧血,遺伝性貧血,遺伝性球状赤血球症,,JlvnlYc,"D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","貧血を分類し、鑑別に有用な検査を列挙できる。,鉄欠乏性貧血、二次性貧血の病因、病態、診断と治療を説明できる。,再生不良性貧血・夜間発作性血色素尿症(paroxysmal nocturnal hemoglobinuria <PNH>)の病因、病態、診断、治療と予後を説明できる。,溶血性貧血の病因、病態、診断と治療を説明できる。,巨赤芽球性貧血の病因、病態、診断と治療を説明できる。",,,,遺伝性球状赤血球症,遺伝性球状赤血球症,,,,,,●,,,,,B,C,,,,,
血液・造血器・リンパ系,疾患・病態,出血傾向,二次性血小板減少症,脾機能亢進症,,JlvnlYw,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","出血傾向の病因、病態、症候と診断を説明できる。,免疫性血小板減少性紫斑病(immune thrombocytopenic purpura <ITP>)の病態、症候、診断と治療を説明できる。,血友病の病態、症候、診断、治療と遺伝形式を説明できる。,播種性血管内凝固(disseminated intravascular coagulation <DIC>)の基礎疾患、病態、診断と治療を説明できる。,溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)の基礎疾患、病態、診断と治療を説明できる。,IgA血管炎(Schönlein-Henoch紫斑病)を概説できる。,血栓性血小板減少性紫斑病(thrombotic thrombocytopenic purpura <TTP>)を概説できる。",,,,脾機能亢進症,脾機能亢進症,,,,,,●,,,,,C,C,,,,,
血液・造血器・リンパ系,疾患・病態,出血傾向,なし,免疫性血小板減少症 <ITP>,,JlvnlYs,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","出血傾向の病因、病態、症候と診断を説明できる。,免疫性血小板減少性紫斑病(immune thrombocytopenic purpura <ITP>)の病態、症候、診断と治療を説明できる。,血友病の病態、症候、診断、治療と遺伝形式を説明できる。,播種性血管内凝固(disseminated intravascular coagulation <DIC>)の基礎疾患、病態、診断と治療を説明できる。,溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)の基礎疾患、病態、診断と治療を説明できる。,IgA血管炎(Schönlein-Henoch紫斑病)を概説できる。,血栓性血小板減少性紫斑病(thrombotic thrombocytopenic purpura <TTP>)を概説できる。",,,,免疫性血小板減少症 <ITP>,免疫性血小板減少症 <ITP>,,免疫性血小板減少性紫斑病から用語修正（岡崎／小松）,,重複あり,,,,,,,B,C,,,,,
血液・造血器・リンパ系,疾患・病態,出血傾向,なし,血友病,,JlvnlY8,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","出血傾向の病因、病態、症候と診断を説明できる。,免疫性血小板減少性紫斑病(immune thrombocytopenic purpura <ITP>)の病態、症候、診断と治療を説明できる。,血友病の病態、症候、診断、治療と遺伝形式を説明できる。,播種性血管内凝固(disseminated intravascular coagulation <DIC>)の基礎疾患、病態、診断と治療を説明できる。,溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)の基礎疾患、病態、診断と治療を説明できる。,IgA血管炎(Schönlein-Henoch紫斑病)を概説できる。,血栓性血小板減少性紫斑病(thrombotic thrombocytopenic purpura <TTP>)を概説できる。",,,,血友病,血友病,,,,,,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,出血傾向,なし,播種性血管内凝固 <DIC>,●,JlvnlZE,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","出血傾向の病因、病態、症候と診断を説明できる。,免疫性血小板減少性紫斑病(immune thrombocytopenic purpura <ITP>)の病態、症候、診断と治療を説明できる。,血友病の病態、症候、診断、治療と遺伝形式を説明できる。,播種性血管内凝固(disseminated intravascular coagulation <DIC>)の基礎疾患、病態、診断と治療を説明できる。,溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)の基礎疾患、病態、診断と治療を説明できる。,IgA血管炎(Schönlein-Henoch紫斑病)を概説できる。,血栓性血小板減少性紫斑病(thrombotic thrombocytopenic purpura <TTP>)を概説できる。",,,,播種性血管内凝固 <DIC>,播種性血管内凝固 <DIC>,重要,,●,重複あり,,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,出血傾向,なし,溶血性尿毒症症候群 <HUS>,,JlvnlZI,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","出血傾向の病因、病態、症候と診断を説明できる。,免疫性血小板減少性紫斑病(immune thrombocytopenic purpura <ITP>)の病態、症候、診断と治療を説明できる。,血友病の病態、症候、診断、治療と遺伝形式を説明できる。,播種性血管内凝固(disseminated intravascular coagulation <DIC>)の基礎疾患、病態、診断と治療を説明できる。,溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)の基礎疾患、病態、診断と治療を説明できる。,IgA血管炎(Schönlein-Henoch紫斑病)を概説できる。,血栓性血小板減少性紫斑病(thrombotic thrombocytopenic purpura <TTP>)を概説できる。",,,,溶血性尿毒症症候群 <HUS>,溶血性尿毒症症候群 <HUS>,重複削除,,,重複あり,●,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,出血傾向,なし,血栓性血小板減少性紫斑病 <TTP>,,JlvnlZQ,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","出血傾向の病因、病態、症候と診断を説明できる。,免疫性血小板減少性紫斑病(immune thrombocytopenic purpura <ITP>)の病態、症候、診断と治療を説明できる。,血友病の病態、症候、診断、治療と遺伝形式を説明できる。,播種性血管内凝固(disseminated intravascular coagulation <DIC>)の基礎疾患、病態、診断と治療を説明できる。,溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)の基礎疾患、病態、診断と治療を説明できる。,IgA血管炎(Schönlein-Henoch紫斑病)を概説できる。,血栓性血小板減少性紫斑病(thrombotic thrombocytopenic purpura <TTP>)を概説できる。",,,,血栓性血小板減少性紫斑病 <TTP>,血栓性血小板減少性紫斑病 <TTP>,,,,重複あり,,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,出血傾向,なし,ビタミンK欠乏症,,JlvnlZY,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","出血傾向の病因、病態、症候と診断を説明できる。,免疫性血小板減少性紫斑病(immune thrombocytopenic purpura <ITP>)の病態、症候、診断と治療を説明できる。,血友病の病態、症候、診断、治療と遺伝形式を説明できる。,播種性血管内凝固(disseminated intravascular coagulation <DIC>)の基礎疾患、病態、診断と治療を説明できる。,溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)の基礎疾患、病態、診断と治療を説明できる。,IgA血管炎(Schönlein-Henoch紫斑病)を概説できる。,血栓性血小板減少性紫斑病(thrombotic thrombocytopenic purpura <TTP>)を概説できる。",,,,ビタミンK欠乏症,ビタミンK欠乏症,,,,重複あり,,●,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,出血傾向,なし,von Willebrand病,,JlvnlZc,"D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","出血傾向の病因、病態、症候と診断を説明できる。,免疫性血小板減少性紫斑病(immune thrombocytopenic purpura <ITP>)の病態、症候、診断と治療を説明できる。,血友病の病態、症候、診断、治療と遺伝形式を説明できる。,播種性血管内凝固(disseminated intravascular coagulation <DIC>)の基礎疾患、病態、診断と治療を説明できる。,溶血性尿毒症症候群(hemolytic-uremic syndrome <HUS>)の基礎疾患、病態、診断と治療を説明できる。,IgA血管炎(Schönlein-Henoch紫斑病)を概説できる。,血栓性血小板減少性紫斑病(thrombotic thrombocytopenic purpura <TTP>)を概説できる。",,,,von Willebrand病,von Willebrand病,,,,,,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,血栓傾向,先天性,プロテインC・プロテインS・アンチトロンビン欠乏症,,JlvnlZk,,,,,,プロテインC・プロテインS・アンチトロンビン欠乏症,プロテインC・プロテインS・アンチトロンビン欠乏症,,サブカテゴリに先天性を追加（岡崎／小松）,,,,,,,,,,,,,分割すべきか?,,
血液・造血器・リンパ系,疾患・病態,血栓傾向,なし,抗リン脂質抗体症候群,,JlvnlZo,,,,,,抗リン脂質抗体症候群,抗リン脂質抗体症候群,,,,,,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,血栓傾向,なし,血栓性血小板減少性紫斑病 <TTP>,,JlvnlZs,,,,,,TTP,TTP,,,,重複あり,,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,血栓傾向,なし,溶血性尿毒症症候群 <HUS>,,JlvnlZw,,,,,,HUS,HUS,,,,重複あり,,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,血栓傾向,なし,播種性血管内凝固 <DIC>,,JlvnlZ0,,,,,,DIC,DIC,,,,重複あり,,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患,なし,急性骨髄性白血病,●,JlvnlZ8,"D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","急性白血病の病態、症候、病理所見、治療と予後を説明できる。,急性白血病のFrench-American-British <FAB>分類、WHO分類を概説できる。,慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。,骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。,成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。,小児白血病と成人白血病の違いを説明できる。,真性赤血球増加症・本態性血小板血症、骨髄線維症の病因、病態、診断と治療を説明できる。,悪性リンパ腫の分類を概説し、病態、症候、病理所見、治療と予後を説明できる。,多発性骨髄腫の病態、症候、診断、治療と予後を説明できる。",,,,急性骨髄性白血病,急性骨髄性白血病,重要,,●,,,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患,なし,急性リンパ性白血病,●,JlvnlaE,"D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","急性白血病の病態、症候、病理所見、治療と予後を説明できる。,急性白血病のFrench-American-British <FAB>分類、WHO分類を概説できる。,慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。,骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。,成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。,小児白血病と成人白血病の違いを説明できる。,真性赤血球増加症・本態性血小板血症、骨髄線維症の病因、病態、診断と治療を説明できる。,悪性リンパ腫の分類を概説し、病態、症候、病理所見、治療と予後を説明できる。,多発性骨髄腫の病態、症候、診断、治療と予後を説明できる。",,,,急性リンパ性白血病,急性リンパ性白血病,重要,,●,,,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患,なし,慢性リンパ性白血病,●,Jlvnlag,"D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","急性白血病の病態、症候、病理所見、治療と予後を説明できる。,急性白血病のFrench-American-British <FAB>分類、WHO分類を概説できる。,慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。,骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。,成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。,小児白血病と成人白血病の違いを説明できる。,真性赤血球増加症・本態性血小板血症、骨髄線維症の病因、病態、診断と治療を説明できる。,悪性リンパ腫の分類を概説し、病態、症候、病理所見、治療と予後を説明できる。,多発性骨髄腫の病態、症候、診断、治療と予後を説明できる。",,,,慢性リンパ性白血病,慢性リンパ性白血病,重要,,●,,,●,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患,なし,成人T 細胞白血病,●,Jlvnlas,"D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","急性白血病の病態、症候、病理所見、治療と予後を説明できる。,急性白血病のFrench-American-British <FAB>分類、WHO分類を概説できる。,慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。,骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。,成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。,小児白血病と成人白血病の違いを説明できる。,真性赤血球増加症・本態性血小板血症、骨髄線維症の病因、病態、診断と治療を説明できる。,悪性リンパ腫の分類を概説し、病態、症候、病理所見、治療と予後を説明できる。,多発性骨髄腫の病態、症候、診断、治療と予後を説明できる。",,,,成人T 細胞白血病,成人T 細胞白血病,重要,,●（追記）,,,●,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患,なし,多発性骨髄腫,,JlvnlbY,"D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","急性白血病の病態、症候、病理所見、治療と予後を説明できる。,急性白血病のFrench-American-British <FAB>分類、WHO分類を概説できる。,慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。,骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。,成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。,小児白血病と成人白血病の違いを説明できる。,真性赤血球増加症・本態性血小板血症、骨髄線維症の病因、病態、診断と治療を説明できる。,悪性リンパ腫の分類を概説し、病態、症候、病理所見、治療と予後を説明できる。,多発性骨髄腫の病態、症候、診断、治療と予後を説明できる。",,,,多発性骨髄腫,多発性骨髄腫,,,●,重複あり,●,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患,なし,マクログロブリン血症,,Jlvnlbg,"D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","急性白血病の病態、症候、病理所見、治療と予後を説明できる。,急性白血病のFrench-American-British <FAB>分類、WHO分類を概説できる。,慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。,骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。,成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。,小児白血病と成人白血病の違いを説明できる。,真性赤血球増加症・本態性血小板血症、骨髄線維症の病因、病態、診断と治療を説明できる。,悪性リンパ腫の分類を概説し、病態、症候、病理所見、治療と予後を説明できる。,多発性骨髄腫の病態、症候、診断、治療と予後を説明できる。",,,,マクログロブリン血症,マクログロブリン血症,,,,,,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患,なし,意義不明の単クローン性免疫グロブリン症〈MGUS〉,,Jlvnlbk,"D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","急性白血病の病態、症候、病理所見、治療と予後を説明できる。,急性白血病のFrench-American-British <FAB>分類、WHO分類を概説できる。,慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。,骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。,成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。,小児白血病と成人白血病の違いを説明できる。,真性赤血球増加症・本態性血小板血症、骨髄線維症の病因、病態、診断と治療を説明できる。,悪性リンパ腫の分類を概説し、病態、症候、病理所見、治療と予後を説明できる。,多発性骨髄腫の病態、症候、診断、治療と予後を説明できる。",,,,意義不明の単クローン性免疫グロブリン症〈MGUS〉　※腫瘍の項目にも掲載,意義不明の単クローン性免疫グロブリン症〈MGUS〉　※腫瘍の項目にも掲載,,,,,,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患,骨髄増殖性疾患,慢性骨髄性白血病,,JlvnlaI,"D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","急性白血病の病態、症候、病理所見、治療と予後を説明できる。,急性白血病のFrench-American-British <FAB>分類、WHO分類を概説できる。,慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。,骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。,成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。,小児白血病と成人白血病の違いを説明できる。,真性赤血球増加症・本態性血小板血症、骨髄線維症の病因、病態、診断と治療を説明できる。,悪性リンパ腫の分類を概説し、病態、症候、病理所見、治療と予後を説明できる。,多発性骨髄腫の病態、症候、診断、治療と予後を説明できる。",,,,慢性骨髄性白血病,慢性骨髄性白血病,,,●,重複あり,●,,,,,,,,,,,,
血液・造血器・リンパ系,疾患・病態,腫瘍性疾患,骨髄増殖性疾患,真性赤血球増加症,,JlvnlaQ,"D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","急性白血病の病態、症候、病理所見、治療と予後を説明できる。,急性白血病のFrench-American-British <FAB>分類、WHO分類を概説できる。,慢性骨髄性白血病の病態、症候、病理所見、治療と予後を説明できる。,骨髄異形成症候群(myelodysplastic syndromes <MDS>)の臨床像と病理所見を説明できる。,成人T細胞白血病の病因、疫学、臨床所見、病理所見を説明できる。,小児白血病と成人白血病の違いを説明できる。,真性赤血球増加症・本態性血小板血症、骨髄線維症の病因、病態、診断と治療を説明できる。,悪性リンパ腫の分類を概説し、病態、症候、病理所見、治療と予後を説明できる。,多発性骨髄腫の病態、症候、診断、治療と予後を説明できる。",,,,真性赤血球増加症,真性赤血球増加症,,,,重複あり,●,,,,,,,,,,,,
