第2層,第3層,第4層,UID,H28対応項目,メモ,H28の記述,査読への返答,A,B,C,D,E,F,G,H,I
研究の実施,問い,自身の関心を問いにすることができる,Jkxpmi8,A-08-01-na-04,,,「問い」という表現がチームでは重視されました,リサーチクェスチョン、クリニカルクェスチョンを立てることができる,,「研究可能な問い（リサーチクエスチョン）の形にすることができる」researchableな、という要素は入れなくて良いか？,,,,,＜リサーチクエスチョン＞といれてもいいですね,
研究の実施,研究計画,研究計画の素案を作ることができる,JkxpmjA,B-01-03-na-03,,,,これは卒業時の目標に必要でしょうかH28の記述と相同だとすると、研究デザインを概説できるでいいと思いますし、「研究計画の素案を作る」からH28年版の項目を思い起こすことは難しそうです,,12と絡めて「リサーチクエスチョンに応じて適切な研究計画の素案を作ることができる」,,,１２と統合させて良いと思います・,,研究方法を概説できるまでかなぁと思いましたが、研究者育成をコアカリに求めるならあってもいいかもしれません（方略だと思いますが）,レベルを一段階下げて、研究計画に記載する項目を説明できる、にするのはいかがでしょうか。
研究の実施,研究手法,基礎医学の実習（解剖学、生化学、生理学、薬理学、病理学、微生物学、免疫学等）ならびに社会医学のフィールドワークを体験する。,JkxpmjE,A-08-01-na-02,,,到達目標にし、社会医学を独立させました。,"体験目標ではなく、到達目標の記載にできますか？
その場合、科学的探究の項目ではなく、方略（臨床実習前）に記載してはどうでしょうか",これは方略へ,私はこれは方略だと考える立場なので、「基礎医学の実習（...）ならびに社会医学のフィールドワークを通し、各研究手法の基本（実験手技、データ収集や分析方法など）を習得する」を提案します。,,,,,これも方略かなと思います。臨床以外、というくくりでしょうか。,
研究の実施,研究手法,医学研究の基本的な研究手法（実験手技など）を体験する,JkxpmjI,A-08-01-na-02,,,研究者養成なのである程度の体験目標は止むを得ないと思います。,これも体験目標ですが、体験するでなく概説できる、または使用することができると動詞を変えてここに残すのがよいと思います。,,14に統合し、削除,,,１４と統合可能そうです。,,,
研究の実施,研究結果,研究データを適切に管理することができる,JkxpmjM,,新設,,記録を加えました。,データ管理は学生の必須ではないと思いますので、適切な管理について述べることができる・・・程度では？,,,,,,,,
研究の発信,研究発表,自身の行った研究内容を論文や報告書・学会発表などの形にまとめる,JkxpmjQ,A-02-02-na-03,,,１７，１８合体させました,全学生への目標としてよいでしょうか迷いますが、ほぼ全大学で基礎配属がされているという実情から見るといいかなと思いました,,「自身の行った研究内容を、指導医とともに、報告書、学会発表、論文などの形にまとめ、発信できる」,,,など、と記載されておりますが、全員が学会発表レベルとなると、旧帝大の人員でもきついのでは？学内発表会はJACMEでも推奨されますので、　　学会発表、学内発表などの・・・　　と、学内発表の追記がいいのでは？と思いました。,,17と18はまとめて「自身の行った研究内容を論文や報告書・学会発表などの形にまとめるてプレゼンテーションできる」でどうでしょうか。,
研究の発信,研究発表,発表の場に応じて読者・聴衆にわかりやすく研究内容を説明できる,JkxpmjU,,新設,,１７，１８合体させました,上記項目とひとつにまとめる,,,,効果的なプレゼンテーションについては研究以外に症例発表でも重要なので、総論的なところで統合できないか？,１７と統合できそうです,,,
研究の発信,研究発表,他の研究者の発表に対して質問や意見を述べることができる,JkxpmjY,B-01-03-na-05,,,,,,,,,,,,
研究倫理,適切な研究遂行,捏造、改ざん、盗用などを含め研究不正の類型を説明することが出来、研究不正を行わない,Jkxpmjc,B-03-01-na-01,,,,第４層がありませんので、記載をおねがいします,,,,,,,,
研究倫理,対象者の保護,人を対象とした研究に関するルールの概要を説明できる,Jkxpmjg,"A-08-01-na-01, B-03-01-na-01,B-03-01-na-03,B-03-01-na-03, A-08-01-na-01",,,実践を加えました,"細かな項目記載も必要でしょうか、それなら別表？
情報（情報倫理）など他チームと重なる部分の整合を",,,,,,,,
研究倫理,対象者の保護,利益相反や動物実験、遺伝子組み換え実験に関するルールの概要を説明できる,Jkxpmjk,B-03-01-na-01,,,,ルールの概要を説明できる → ルールを概説できる,,,,,,,,
