"臓器","分類","カテゴリ","サブカテゴリ","疾患","重要","Unnamed: 6","UID","H28対応項目","修正案(20220318)","作業用(20220417)","疾患(20220417)","作業予定(20220417)","コメント(20220318)","重要(20220318)","重複(計算列)","重複のため削除する項目に●(20220408)","重要度分類(スリム化チーム作業用)(20220330)","座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)","座長・副座長コメント(20220411)","医学教育課修正案(20220317)","医学教育課からのコメント(20220317)","診断","治療","教育","予防","作成時(20220316コメント)","修正案(20220316)","パフォーマンス"
"血液・造血器・リンパ系","疾患・病態","貧血","巨赤芽球性貧血","ビタミンB12欠乏性貧血","●","","JlvnlYM","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","ビタミンB12欠乏性貧血","ビタミンB12欠乏性貧血","重要","","●（追記）","","","","","","","","A","A","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","巨赤芽球性貧血","葉酸欠乏性貧血","","","JlvnlYQ","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","葉酸欠乏性貧血","葉酸欠乏性貧血","","","","","","●","","","","","A","A","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","遺伝性貧血","サラセミア","","","JlvnlYY","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","サラセミア","サラセミア","","","","","","","","","","","B","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","遺伝性貧血","遺伝性球状赤血球症","","","JlvnlYc","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","遺伝性球状赤血球症","遺伝性球状赤血球症","","","","","","●","","","","","B","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","貧血","遺伝性貧血","","","","JlvnlYk","D-01-04-01-01, D-01-04-01-02, D-01-04-01-03, D-01-04-01-04, D-01-04-01-05","","","鎌状赤血球症","削除","削除候補（岡崎／小松）","","重複あり","","","","","","","C","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","なし","免疫性血小板減少症 <ITP>","","","JlvnlYs","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","免疫性血小板減少症 <ITP>","免疫性血小板減少症 <ITP>","","免疫性血小板減少性紫斑病から用語修正（岡崎／小松）","","重複あり","","","","","","","B","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","二次性血小板減少症","脾機能亢進症","","","JlvnlYw","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","脾機能亢進症","脾機能亢進症","","","","","","●","","","","","C","C","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","二次性血小板減少症","","","","JlvnlY4","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","","薬剤性","削除","割愛候補：低頻度。上記同様に、すべての徴候で薬剤性を考えるのはマスト。EDTAを指すのであれば偽性血小板減少症との表記を検討。生坂","","重複あり","","●","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","なし","血友病","","","JlvnlY8","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","血友病","血友病","","","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","なし","播種性血管内凝固 <DIC>","●","","JlvnlZE","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","播種性血管内凝固 <DIC>","播種性血管内凝固 <DIC>","重要","","●","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","なし","溶血性尿毒症症候群 <HUS>","","","JlvnlZI","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","溶血性尿毒症症候群 <HUS>","溶血性尿毒症症候群 <HUS>","重複削除","","","重複あり","●","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","なし","血栓性血小板減少性紫斑病 <TTP>","","","JlvnlZQ","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","血栓性血小板減少性紫斑病 <TTP>","血栓性血小板減少性紫斑病 <TTP>","","","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","なし","ビタミンK欠乏症","","","JlvnlZY","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","ビタミンK欠乏症","ビタミンK欠乏症","","","","重複あり","","●","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","出血傾向","なし","von Willebrand病","","","JlvnlZc","D-01-04-02-01, D-01-04-02-02, D-01-04-02-03, D-01-04-02-04, D-01-04-02-05, D-01-04-02-06, D-01-04-02-07","","von Willebrand病","von Willebrand病","","","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","血栓傾向","先天性","プロテインC・プロテインS・アンチトロンビン欠乏症","","","JlvnlZk","","","プロテインC・プロテインS・アンチトロンビン欠乏症","プロテインC・プロテインS・アンチトロンビン欠乏症","","サブカテゴリに先天性を追加（岡崎／小松）","","","","","","","","","","","","","分割すべきか?","",""
"血液・造血器・リンパ系","疾患・病態","血栓傾向","なし","抗リン脂質抗体症候群","","","JlvnlZo","","","抗リン脂質抗体症候群","抗リン脂質抗体症候群","","","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","血栓傾向","なし","TTP","","","JlvnlZs","","","TTP","TTP","","","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","血栓傾向","なし","HUS","","","JlvnlZw","","","HUS","HUS","","","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","血栓傾向","なし","DIC","","","JlvnlZ0","","","DIC","DIC","","","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","なし","急性骨髄性白血病","●","","JlvnlZ8","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","急性骨髄性白血病","急性骨髄性白血病","重要","","●","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","なし","急性リンパ性白血病","●","","JlvnlaE","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","急性リンパ性白血病","急性リンパ性白血病","重要","","●","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","骨髄増殖性疾患","慢性骨髄性白血病","","","JlvnlaI","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","慢性骨髄性白血病","慢性骨髄性白血病","","","●","重複あり","●","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","骨髄増殖性疾患","真性赤血球増加症","","","JlvnlaQ","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","真性赤血球増加症","真性赤血球増加症","","","","重複あり","●","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","骨髄増殖性疾患","本態性血小板血症","","","JlvnlaU","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","本態性血小板血症","本態性血小板血症","","","","重複あり","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","骨髄増殖性疾患","原発性骨髄線維症","","","Jlvnlac","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","原発性骨髄線維症","原発性骨髄線維症","","","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","なし","慢性リンパ性白血病","●","","Jlvnlag","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","慢性リンパ性白血病","慢性リンパ性白血病","重要","","●","","","●","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","なし","","","","Jlvnlao","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","","リンパ増殖性疾患","削除","割愛候補：漠然としている。生坂/岡崎","","重複あり","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","なし","成人T 細胞白血病","●","","Jlvnlas","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","成人T 細胞白血病","成人T 細胞白血病","重要","","●（追記）","","","●","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","悪性リンパ腫","Hodgkinリンパ腫","","","Jlvnla0","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","Hodgkinリンパ腫","Hodgkinリンパ腫","","","（削除）","","","●","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","悪性リンパ腫","濾胞性リンパ腫","","","Jlvnla4","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","濾胞性リンパ腫","濾胞性リンパ腫","","","（削除）","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","悪性リンパ腫","びまん性大細胞型B細胞リンパ腫","","","JlvnlbA","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","びまん性大細胞型B細胞リンパ腫","びまん性大細胞型B細胞リンパ腫","","","（削除）","","","●","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","悪性リンパ腫","末梢T細胞性リンパ腫","","","JlvnlbI","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","末梢T細胞性リンパ腫","末梢T細胞性リンパ腫","","","（削除）","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","悪性リンパ腫","Burkittリンパ腫","","","JlvnlbM","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","Burkittリンパ腫","Burkittリンパ腫","","","（削除）","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","悪性リンパ腫","MALTリンパ腫","","","JlvnlbU","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","MALTリンパ腫","MALTリンパ腫","","","（削除）","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","なし","多発性骨髄腫","","","JlvnlbY","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","多発性骨髄腫","多発性骨髄腫","","","●","重複あり","●","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","なし","マクログロブリン血症","","","Jlvnlbg","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","マクログロブリン血症","マクログロブリン血症","","","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","腫瘍性疾患","なし","意義不明の単クローン性免疫グロブリン症〈MGUS〉　※腫瘍の項目にも掲載","","","Jlvnlbk","D-01-04-04-01,　D-01-04-04-02, D-01-04-04-03, D-01-04-04-04, D-01-04-04-05, D-01-04-04-06, D-01-04-04-07, D-01-04-04-08, D-01-04-04-09","","意義不明の単クローン性免疫グロブリン症〈MGUS〉　※腫瘍の項目にも掲載","意義不明の単クローン性免疫グロブリン症〈MGUS〉　※腫瘍の項目にも掲載","","","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","その他の重要な造血系疾患","なし","無顆粒球症","","","Jlvnlbs","","","無顆粒球症","無顆粒球症","","","","","","●","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","その他の重要な造血系疾患","なし","血球貪食症候群","","","Jlvnlbw","","","血球貪食症候群","血球貪食症候群","","（血球貪食性リンパ組織球症）を削除（岡崎／小松）","","","","","","","","","","","","","","",""
"血液・造血器・リンパ系","疾患・病態","その他の重要な造血系疾患","なし","移植片対宿主病 <GVHD>","","","Jlvnlb4","","","移植片対宿主病 <GVHD>","移植片対宿主病 <GVHD>","","","","","","","","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","なし","脳出血","●","","JlvnlcA","D-02-04-01-01","","脳出血","脳出血","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","なし","くも膜下出血","●","","JlvnlcE","D-02-04-01-01","","くも膜下出血","くも膜下出血","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","なし","","","","JlvnlcM","D-02-04-01-01","","","頭蓋内血腫","削除","割愛候補：脳出血、硬膜下血腫、硬膜外血腫のいずれかにほぼ収束可能。生坂","（削除）","重複あり","","","","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","なし","脳梗塞","●","","JlvnlcQ","D-02-04-01-01","","脳梗塞","脳梗塞","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","なし","一過性脳虚血発作","●","","JlvnlcY","D-02-04-01-01","","一過性脳虚血発作","一過性脳虚血発作","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","なし","脳動脈瘤","","","Jlvnlcg","D-02-04-01-01","","脳動脈瘤","脳動脈瘤","","","","","","●","","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","なし","脳動静脈奇形","","","Jlvnlck","D-02-04-01-01","","脳動静脈奇形","脳動静脈奇形","","","","","","●","","","","","","","","","","",""
"神経系","疾患・病態","脳血管障害","なし","もやもや病","","","Jlvnlcs","D-02-04-01-01","","もやもや病","もやもや病","","","","","","●","","","","","","","","","","",""
"神経系","疾患・病態","感染性・炎症性疾患・脱髄性疾患","なし","脳炎・髄膜炎","●","","Jlvnlcw","D-02-04-03-01,D-02-04-03-02","","脳炎・髄膜炎","脳炎・髄膜炎","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","感染性・炎症性疾患・脱髄性疾患","なし","脳症","","","Jlvnlc4","D-02-04-03-01,D-02-04-03-02","","脳症","脳症","","","（削除）","","","","","","","","","","","","","",""
"神経系","疾患・病態","感染性・炎症性疾患・脱髄性疾患","なし","脳膿瘍","","","Jlvnlc8","D-02-04-03-01,D-02-04-03-02","","脳膿瘍","脳膿瘍","","","","","","●","","","","","","","","","","",""
"神経系","疾患・病態","感染性・炎症性疾患・脱髄性疾患","なし","多発性硬化症","●","","JlvnldE","D-02-04-03-01,D-02-04-03-02","","多発性硬化症","多発性硬化症","重要,保留","視神経脊髄炎は？（岡崎）","●（追記）","","","","","","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患","認知症","Alzheimer型","●","","JlvnldM","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","Alzheimer型","Alzheimer型","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患","認知症","Lewy小体型","","","JlvnldQ","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","Lewy小体型","Lewy小体型","","","（削除）","","","","","","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患","認知症","脳血管性","","","JlvnldY","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","脳血管性","脳血管性","","","（削除）","","","","","","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患","なし","Parkinson病","●","","Jlvnldc","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","Parkinson病","Parkinson病","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患","なし","筋萎縮性側索硬化症","","","Jlvnldk","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","筋萎縮性側索硬化症","筋萎縮性側索硬化症","","","","","","","","","","","","","","","","",""
"神経系","疾患・病態","認知症と変性疾患","なし","多系統萎縮症","","","Jlvnldo","D-02-04-02-01,D-02-04-02-02,D-02-04-02-03,D-02-04-02-04,D-02-04-02-05","","多系統萎縮症","多系統萎縮症","","","","","","","","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","ニューロパチー","栄養障害","","","Jlvnldw","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","栄養障害","栄養障害","","","","","","●","","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","ニューロパチー","中毒","","","Jlvnld0","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","中毒","中毒","重複削除","","","重複あり","●","●","","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","ニューロパチー","遺伝性","","","Jlvnld8","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","遺伝性","遺伝性","","","","","","●","","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","なし","Guillain-Barré症候群","","","JlvnleA","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","Guillain-Barré症候群","Guillain-Barré症候群","","","","","","●","","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","なし","顔面神経麻痺（Bell麻痺、Ramsay Hunt症候群を含む）","","","JlvnleE","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","顔面神経麻痺（Bell麻痺、Ramsay Hunt症候群を含む）","顔面神経麻痺（Bell麻痺、Ramsay Hunt症候群を含む）","","括弧内にRamsay Hunt症候群を追加（岡崎／小松）","","","","●","","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","なし","反回神経麻痺","","","JlvnleI","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","反回神経麻痺","反回神経麻痺","","","","","","●","","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","なし","主な神経痛（三叉・坐骨神経痛）","","","JlvnleQ","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","主な神経痛（三叉・坐骨神経痛）","主な神経痛（三叉・坐骨神経痛）","","","","","","●","","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","なし","重症筋無力症","●","","JlvnleU","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","重症筋無力症","重症筋無力症","重要","","●（追記）","","","","","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","なし","進行性筋ジストロフィー","","","Jlvnlec","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","進行性筋ジストロフィー","進行性筋ジストロフィー","","","","","","","","","","","","","","","","",""
"神経系","疾患・病態","末梢神経・神経 筋接合部・筋疾患","なし","周期性四肢麻痺","","","Jlvnleg","D-02-04-05-01,D-02-04-05-02,D-02-04-05-03,D-02-04-05-04,D-02-04-06-01,D-02-04-06-02,D-02-04-06-03","","周期性四肢麻痺","周期性四肢麻痺","","","","","","","","","","","","","","","","",""
"神経系","疾患・病態","発作性・機能性・自律神経系疾患","なし","全般てんかん","●","","Jlvnleo","D-02-04-07-01,D-02-04-08-01","","全般てんかん","全般てんかん","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","発作性・機能性・自律神経系疾患","なし","局在関連てんかん","●","","Jlvnles","D-02-04-07-01,D-02-04-08-01","","局在関連てんかん","局在関連てんかん","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","発作性・機能性・自律神経系疾患","慢性頭痛","片頭痛","●","","Jlvnle0","D-02-04-07-01,D-02-04-08-01","","片頭痛","片頭痛","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","発作性・機能性・自律神経系疾患","慢性頭痛","緊張型頭痛","●","","Jlvnle8","D-02-04-07-01,D-02-04-08-01","","緊張型頭痛","緊張型頭痛","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","なし","脳挫傷","","","JlvnlfA","D-02-04-04-02,D-02-04-04-03","","脳挫傷","脳挫傷","","","（削除）","","","●","","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","なし","脳震盪","","","JlvnlfI","D-02-04-04-02,D-02-04-04-03","","脳震盪","脳震盪","","","","","","●","","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","なし","びまん性軸索損傷","","","JlvnlfM","D-02-04-04-02,D-02-04-04-03","","びまん性軸索損傷","びまん性軸索損傷","","","","","","","","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","なし","急性硬膜外血腫","●","","JlvnlfU","D-02-04-04-02,D-02-04-04-03","","急性硬膜外血腫","急性硬膜外血腫","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","なし","硬膜下血腫（急性・慢性）","●","","JlvnlfY","D-02-04-04-02,D-02-04-04-03","","硬膜下血腫（急性・慢性）","硬膜下血腫（急性・慢性）","重要","","●","","","","","","","","","","","","","",""
"神経系","疾患・病態","頭部外傷","なし","頭蓋骨骨折","","","Jlvnlfg","D-02-04-04-02,D-02-04-04-03","","頭蓋骨骨折","頭蓋骨骨折","","","","","","●","","","","","","","","","","",""
