"主要症候","検討すべき鑑別疾患","UID","H28対応項目","H28表記","医学教育課修正案(20220419)","医学教育課からのコメント(20220419)","座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)","座長・副座長コメント(20220411)","医学教育課修正案(20220317)","医学教育課からのコメント(20220317)","チームからの修正提案(20220317)","チームからのコメント(20220317)","錦織","メモ","査読への返答","A","B","C","D","E","F","G","H","I"
"発疹","ウイルス性発疹症（麻疹）,ウイルス性発疹症（風疹）,ウイルス性発疹症（水痘）,ウイルス性発疹症（ヘルペス）,蕁麻疹,薬疹,皮膚炎（アトピー性皮膚炎）,湿疹,結節性紅斑,伝染性紅斑,帯状疱疹","JlAK6mM","F-01-12-na-01,F-01-12-na-02,F-01-12-na-03,G-02-12-na-01,G-02-12-na-02,G-02-12-na-03,G-02-12-na-04,G-02-12-na-05,G-02-12-na-06,G-02-12-na-07","発疹の原因と病態生理を説明できる。,発疹をきたす疾患(群)を列挙し、診断の要点を説明できる。,発疹がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：ウイルス性発疹症（麻疹）,感染症：ウイルス性発疹症（風疹）,感染症：ウイルス性発疹症（水痘）,感染症：ウイルス性発疹症（ヘルペス）,アレルギー、自己免疫：蕁麻疹,アレルギー、自己免疫：薬疹,アレルギー、自己免疫：全身性エリテマトーデス<SLE>","","","","","","","","","","","","","","","","","","","",""
"咳・痰","上気道炎,副鼻腔炎,気管支炎,肺炎,肺結核,肺癌,間質性肺疾患,薬剤性,気管支喘息,アレルギー性鼻炎,胃食道逆流症<GERD>,感冒＜かぜ症候群＞,百日咳","JlAK6mQ","F-01-13-na-01,F-01-13-na-02,F-01-13-na-03,G-02-13-na-01,G-02-13-na-02,G-02-13-na-03,G-02-13-na-04,G-02-13-na-05,G-02-13-na-06,G-02-13-na-07","咳・痰の原因と病態生理を説明できる。,咳・痰をきたす疾患(群)を列挙し、診断の要点を説明できる。,咳・痰がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：気管支炎,感染症：肺炎,感染症：副鼻腔炎,腫瘍：肺癌,特発性：間質性肺疾患,自己免疫：気管支喘息,消化器：胃食道逆流症<GERD>","","","","","","","","","","","","","","","","","","","",""
"血痰・喀血","肺結核,肺癌,気管支拡張症","JlAK6mU","F-01-14-na-01,F-01-14-na-02,F-01-14-na-03,G-02-14-na-01,G-02-14-na-02,G-02-14-na-03,G-02-14-na-04,G-02-14-na-05,G-02-14-na-06","血痰・喀血の原因と病態生理を説明できる。,血痰・喀血をきたす疾患(群)を列挙し、診断の要点を説明できる。,血痰・喀血がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,呼吸器：肺結核,呼吸器：肺癌,心血管系：僧帽弁膜症,心血管系：心不全,出血傾向：白血病,出血傾向：播種性血管内凝固<DIC>","","","","","","","","","","","","","","","","","","","",""
"呼吸困難","肺塞栓症,急性呼吸促(窮)迫症候群<ARDS>,気管支喘息,慢性閉塞性肺疾患<COPD>,肺炎,間質性肺疾患,肺結核,緊張性気胸,自然気胸,心不全,アナフィラキシー,急性喉頭蓋炎,窒息","JlAK6mY","F-01-15-na-01,F-01-15-na-02,F-01-15-na-03,G-02-15-na-01,G-02-15-na-02,G-02-15-na-03,G-02-15-na-04,G-02-15-na-05,G-02-15-na-06,G-02-15-na-07,G-02-15-na-08","呼吸困難の原因と病態生理を説明できる。,呼吸困難をきたす疾患(群)を列挙し、診断の要点を説明できる。,呼吸困難がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,呼吸器：肺塞栓症,呼吸器：急性呼吸促(窮)迫症候群<ARDS>,呼吸器：気管支喘息,呼吸器：慢性閉塞性肺疾患<COPD>,呼吸器：緊張性気胸,循環器：心不全,心因性：パニック障害,心因性：過換気症候群","","","","","","","","","","","","","","","","","","","",""
"胸痛","肺塞栓症,気胸,急性冠症候群,急性大動脈解離,大動脈瘤破裂,パニック障害,帯状疱疹,胸膜炎,急性心膜炎","JlAK6mc","F-01-16-na-01,F-01-16-na-02,F-01-16-na-03,G-02-16-na-01,G-02-16-na-02,G-02-16-na-03,G-02-16-na-04,G-02-16-na-05","胸痛の原因と病態生理を説明できる。,胸痛をきたす疾患(群)を列挙し、診断の要点を説明できる。,胸痛がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,呼吸器：肺塞栓症,呼吸器：気胸,循環器：急性冠症候群,消化器：胃食道逆流症<GERD>,心因性：パニック障害","","","","","","","","","","","","","","","","","","","",""
"動悸","不整脈,甲状腺機能亢進症,鉄欠乏性貧血,二次性貧血,パニック障害,不安障害","JlAK6mg","F-01-17-na-01,F-01-17-na-02,F-01-17-na-03,G-02-17-na-01,G-02-17-na-02,G-02-17-na-03","動悸の原因と病態生理を説明できる。,動悸をきたす疾患(群)を列挙し、診断の要点を説明できる。,動悸がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,循環器：不整脈,二次性：甲状腺機能亢進症,心因性：パニック障害","","","","","","","","","","","","","","","","","","","",""
"嚥下困難","脳出血,脳梗塞,扁桃炎,食道癌","JlAK6mk","F-01-19-na-01,F-01-19-na-02,F-01-19-na-03,G-02-19-na-01,G-02-19-na-02,G-02-19-na-03,G-02-19-na-04,G-02-19-na-05,G-02-19-na-06,G-02-19-na-07","嚥下困難・障害の原因と病態生理を説明できる。,嚥下困難・障害をきたす疾患(群)を列挙し、診断の要点を説明できる。,嚥下困難・障害がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,神経：脳出血,神経：脳梗塞,呼吸器：扁桃炎,呼吸器：肺癌,消化器：胃食道逆流症<GERD>,消化器：食道癌,心因性：身体症状症","","","","","","","","","","","","","","","","","","","",""
"腹痛","消化性潰瘍,機能性ディスペプシア<FD>,急性胃腸炎,急性虫垂炎,便秘症,汎発性腹膜炎,過敏性腸症候群,腸閉塞,腸重積症,鼠径ヘルニア,胆嚢炎,胆石症,急性膵炎,急性冠症候群,急性大動脈解離,流・早産,卵巣嚢腫（捻転）,卵巣癌（捻転）,子宮内膜症,尿路結石,憩室炎,虚血性大腸炎,腸間膜動脈塞栓症,異所性妊娠,糖尿病性ケトアシドーシス","JlAK6mo","F-01-20-na-01,F-01-20-na-02,F-01-20-na-03,G-02-20-na-01,G-02-20-na-02,G-02-20-na-03,G-02-20-na-04,G-02-20-na-05,G-02-20-na-06,G-02-20-na-07,G-02-20-na-08,G-02-20-na-09,G-02-20-na-10,G-02-20-na-11,G-02-20-na-12,G-02-20-na-13","腹痛の原因と病態生理を説明できる。,腹痛をきたす疾患(群)を列挙し、診断の要点を説明できる。,腹痛がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,消化器：機能性ディスペプシア<FD>,消化器：過敏性腸症候群,消化器：炎症性腸疾患,消化器：消化性潰瘍,消化器：急性虫垂炎,消化器：胆石症,消化器：急性膵炎,消化器：腸閉塞,消化器：鼠径ヘルニア,泌尿・生殖器：尿路結石,泌尿・生殖器：流・早産,循環器：急性冠症候群,心因性：身体症状症","","","","","","","","","","","","","","","","","","","",""
"悪心・嘔吐","急性胃腸炎,急性虫垂炎,腸閉塞,食中毒,脳出血,片頭痛,くも膜下出血,頭蓋内血腫,髄膜炎,急性心筋梗塞,妊娠,糖尿病性ケトアシドーシス,カルシウム代謝異常","JlAK6ms","F-01-21-na-01,F-01-21-na-02,F-01-21-na-03,G-02-21-na-01,G-02-21-na-02,G-02-21-na-03,G-02-21-na-04,G-02-21-na-05,G-02-21-na-06,G-02-21-na-07,G-02-21-na-08,G-02-21-na-09","悪心・嘔吐の原因と病態生理を説明できる。,悪心・嘔吐をきたす疾患(群)を列挙し、診断の要点を説明できる。,悪心・嘔吐がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,消化管：機能性ディスペプシア<FD>,消化管：腸閉塞,消化管：食中毒,循環器：急性心筋梗塞,神経：片頭痛,神経：脳出血,神経：くも膜下出血,神経：頭蓋内血腫,精神：うつ病","","","","","","","","","","","","","","","","","","","",""
"吐血","食道静脈瘤,胃,消化性潰瘍,胃癌,Mallory-Weiss症候群","JlAK6mw","F-01-22-na-01,F-01-22-na-02,F-01-22-na-03,G-02-22-na-01,G-02-22-na-02,G-02-22-na-03,G-02-22-na-04,G-02-22-na-05,G-02-22-na-06,G-02-22-na-07,G-02-22-na-08","吐血・下血の原因と病態生理を説明できる。,吐血・下血をきたす疾患(群)を列挙し、診断の要点を説明できる。,吐血・下血がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（吐血）食道：食道静脈瘤,（吐血）食道：食道癌,（吐血）胃：消化性潰瘍,（吐血）胃：胃癌,（下血）上部消化管：食道静脈瘤,（下血）上部消化管：消化性潰瘍,（下血）下部消化管：炎症性腸疾患,（下血）下部消化管：大腸癌","","","","","","","","","","","","","","","","","","","",""
"下血","消化性潰瘍,炎症性腸疾患,大腸癌,痔核,裂肛,虚血性大腸炎,憩室出血","JlAK6m0","F-01-22-na-01,F-01-22-na-02,F-01-22-na-03,G-02-22-na-01,G-02-22-na-02,G-02-22-na-03,G-02-22-na-04,G-02-22-na-05,G-02-22-na-06,G-02-22-na-07,G-02-22-na-08","吐血・下血の原因と病態生理を説明できる。,吐血・下血をきたす疾患(群)を列挙し、診断の要点を説明できる。,吐血・下血がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（吐血）食道：食道静脈瘤,（吐血）食道：食道癌,（吐血）胃：消化性潰瘍,（吐血）胃：胃癌,（下血）上部消化管：食道静脈瘤,（下血）上部消化管：消化性潰瘍,（下血）下部消化管：炎症性腸疾患,（下血）下部消化管：大腸癌","","","","","","","","","","","","","","","","","","","",""
"便秘","便秘症,過敏性腸症候群,甲状腺機能低下症,薬剤性,Parkinson病,腸閉塞,大腸癌","JlAK6m4","F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09","便秘・下痢の原因と病態生理を説明できる。,便秘・下痢をきたす疾患(群)を列挙し、診断の要点を説明できる。,便秘・下痢がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（便秘）機能性：過敏性腸症候群,（便秘）機能性：甲状腺機能低下症,（便秘）器質性：腸閉塞,（便秘）器質性：大腸癌,（下痢）炎症性：急性胃腸炎,（下痢）炎症性：炎症性腸疾患,（下痢）腸管運動異常：過敏性腸症候群,（下痢）腸管運動異常：甲状腺機能亢進症,（下痢）浸透圧性：慢性膵炎","","","","","","","","","","","","","","","","","","","",""
"下痢","急性胃腸炎,炎症性腸疾患,過敏性腸症候群,甲状腺機能亢進症,薬剤性","JlAK6m8","F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09","便秘・下痢の原因と病態生理を説明できる。,便秘・下痢をきたす疾患(群)を列挙し、診断の要点を説明できる。,便秘・下痢がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（便秘）機能性：過敏性腸症候群,（便秘）機能性：甲状腺機能低下症,（便秘）器質性：腸閉塞,（便秘）器質性：大腸癌,（下痢）炎症性：急性胃腸炎,（下痢）炎症性：炎症性腸疾患,（下痢）腸管運動異常：過敏性腸症候群,（下痢）腸管運動異常：甲状腺機能亢進症,（下痢）浸透圧性：慢性膵炎","","","","","","","","","","","","","","","","","","","",""
"黄疸","急性肝炎,慢性肝炎,肝硬変,肝癌,胆管炎,膵癌,薬剤性,溶血性貧血,薬剤性,胆管癌,生理的黄疸","JlAK6nA","F-01-24-na-01,F-01-24-na-02,F-01-24-na-03,G-02-24-na-01,G-02-24-na-02,G-02-24-na-03,G-02-24-na-04,G-02-24-na-05,G-02-24-na-06","黄疸の原因と病態生理を説明できる。,黄疸をきたす疾患(群)を列挙し、診断の要点を説明できる。,黄疸がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,抱合型：急性肝炎,抱合型：慢性肝炎,抱合型：肝硬変,抱合型：胆管炎,抱合型：膵癌,非抱合型：溶血性貧血","","","","","","","","","","","","","","","","","","","",""
"腹部膨隆・腫瘤","腸閉塞,鼠径ヘルニア,肝硬変,妊娠","JlAK6nE","F-01-25-na-01,F-01-25-na-02,F-01-25-na-03,G-02-25-na-01,G-02-25-na-02,G-02-25-na-03,G-02-25-na-04,G-02-25-na-05,G-02-25-na-06,G-02-25-na-07","腹部膨隆（腹水を含む）・腫瘤の原因と病態生理を説明できる。,腹部膨隆（腹水を含む）・腫瘤をきたす疾患(群)を列挙し、診断の要点を説明できる。,腹部膨隆（腹水を含む）・腫瘤がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,消化管：腸閉塞,消化管：大腸癌,腹水：肝硬変,腹水：ネフローゼ症候群,腹水：心不全,腫瘤：肝癌,腫瘤：卵巣嚢腫","","","","","","","","","","","","","","","","","","","",""
"リンパ節腫脹","扁桃炎,ウイルス性発疹症（風疹）,結核,悪性リンパ腫,その他の悪性腫瘍全般,伝染性単核｛球｝症","JlAK6nI","F-01-27-na-01,F-01-27-na-02,F-01-27-na-03,G-02-27-na-01,G-02-27-na-02,G-02-27-na-03,G-02-27-na-04,G-02-27-na-05,G-02-27-na-06","リンパ節腫脹の原因と病態生理を説明できる。,リンパ節腫脹をきたす疾患(群)を列挙し、診断の要点を説明できる。,リンパ節腫脹がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,感染症：ウイルス性発疹症（風疹）,感染症：ウイルス性発疹症（麻疹）,感染症：結核,自己免疫：全身性エリテマトーデス<SLE>,腫瘍：悪性リンパ腫,腫瘍：その他の悪性腫瘍全般","","","","","","","","","","","","","","","","","","","",""
"尿量・排尿の異常","糖尿病,薬剤性,蓄尿障害,尿路感染症,前立腺肥大症,過活動膀胱,神経因性膀胱","JlAK6nM","F-01-28-na-01,F-01-28-na-02,F-01-28-na-03,G-02-28-na-01,G-02-28-na-02,G-02-28-na-03,G-02-28-na-04,G-02-28-na-05,G-02-28-na-06,G-02-28-na-07","尿量・排尿の異常の原因と病態生理を説明できる。,尿量・排尿の異常をきたす疾患(群)を列挙し、診断の要点を説明できる。,尿量・排尿の異常がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,（多尿）：浸透圧利尿：糖尿病,（多尿）：中毒：薬剤性,（頻尿）畜尿障害：尿路感染症,（頻尿）畜尿障害：脊髄損傷,（頻尿）排出困難（排出障害）：前立腺肥大症,（頻尿）排出困難（排出障害）：尿路感染症,（頻尿）排出困難（排出障害）：前立腺癌","","","","","","","","","","","","","","","","","","","",""
"血尿","糸球体腎炎症候群,腎細胞癌,尿路結石,尿路感染症,膀胱癌","JlAK6nQ","F-01-29-na-01,F-01-29-na-02,F-01-29-na-03,G-02-29-na-01,G-02-29-na-02,G-02-29-na-03,G-02-29-na-04,G-02-29-na-05,G-02-29-na-06,G-02-29-na-07","血尿・タンパク尿の原因と病態生理を説明できる。,血尿・タンパク尿をきたす疾患(群)を列挙し、診断の要点を説明できる。,血尿・タンパク尿がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,腎臓：糸球体腎炎症候群,腎臓：ネフローゼ症候群,腎臓：糖尿病腎症,腎臓：腎細胞癌,尿管、膀胱：尿路結石,尿管、膀胱：尿路感染症,尿管、膀胱：膀胱癌","","","","","","","","","","","","","","","","","","","",""
"月経異常","妊娠,薬剤性,月経困難症,子宮内膜症,子宮体癌,更年期障害","JlAK6nU","F-01-30-na-01,F-01-30-na-02,F-01-30-na-03,G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05","月経異常の原因と病態生理を説明できる。,月経異常をきたす疾患(群)を列挙し、診断の要点を説明できる。,月経異常がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,無月経：妊娠,月経困難：月経困難症,月経困難：子宮内膜症,不正性器出血：子宮頸癌,不正性器出血：子宮体癌","","","","","","","","","","","","","","","","","","","",""
"不安・抑うつ","うつ病,双極性障害,不安障害,甲状腺機能亢進症,悪性腫瘍全般,認知症,Parkinson病,甲状腺機能低下症,悪性腫瘍全般,薬剤性,適応障害","JlAK6nY","F-01-31-na-01,F-01-31-na-02,F-01-31-na-03,G-02-31-na-01,G-02-31-na-02,G-02-31-na-03,G-02-31-na-04,G-02-31-na-05,G-02-31-na-06,G-02-31-na-07,G-02-31-na-08,G-02-31-na-09","不安・抑うつの原因と病態生理を説明できる。,不安・抑うつをきたす疾患(群)を列挙し、診断の要点を説明できる。,不安・抑うつがある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,一次性：うつ病,一次性：双極性障害,一次性：不安障害,二次性（不安障害）：甲状腺機能亢進症,二次性（不安障害）：悪性腫瘍全般,二次性（うつ病）：甲状腺機能低下症,二次性（うつ病）：認知症,二次性（うつ病）：Parkinson病,二次性（うつ病）：悪性腫瘍全般","","","","","","","","","","","","","","","","","","","",""
"認知障害","脳梗塞,認知症,Parkinson 病,うつ病,甲状腺機能低下症,薬剤性,正常圧水頭症,慢性硬膜下血腫","JlAK6nc","F-01-32-na-01,F-01-32-na-02,F-01-32-na-03,G-02-32-na-01,G-02-32-na-02,G-02-32-na-03,G-02-32-na-04","もの忘れの原因と病態生理を説明できる。,もの忘れをきたす疾患(群)を列挙し、診断の要点を説明できる。,もの忘れがある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,血管：脳梗塞,変性：認知症,変性：Parkinson病,精神：うつ病","","","","","","","","","","","","","","","","","","","",""
"頭痛","緊張型頭痛,片頭痛,薬剤性,髄膜炎,脳出血,くも膜下出血,緑内障,急性副鼻腔炎,群発頭痛,巨細胞性動脈炎＜側頭動脈炎＞","JlAK6ng","F-01-33-na-01,F-01-33-na-02,F-01-33-na-03,G-02-33-na-01,G-02-33-na-02,G-02-33-na-03,G-02-33-na-04,G-02-33-na-05,G-02-33-na-06,G-02-33-na-07","頭痛の原因と病態生理を説明できる。,頭痛をきたす疾患(群)を列挙し、診断の要点を説明できる。,頭痛がある患者の治療の要点を説明し、専門的治療が必要な状態を概説できる。,機能性：緊張型頭痛,機能性：片頭痛,症候性：髄膜炎,症候性：脳出血,症候性：くも膜下出血,症候性：緑内障,症候性：急性副鼻腔炎","","","","","","","","","","","","","","","","","","","",""
