,基本症候,H28対応項目,メモ
10,発疹,"F-01-12-na-01,F-01-12-na-02,F-01-12-na-03,G-02-12-na-01,G-02-12-na-02,G-02-12-na-03,G-02-12-na-04,G-02-12-na-05,G-02-12-na-06,G-02-12-na-07",
11,咳・痰,"F-01-13-na-01,F-01-13-na-02,F-01-13-na-03,G-02-13-na-01,G-02-13-na-02,G-02-13-na-03,G-02-13-na-04,G-02-13-na-05,G-02-13-na-06,G-02-13-na-07",
12,血痰・喀血,"F-01-14-na-01,F-01-14-na-02,F-01-14-na-03,G-02-14-na-01,G-02-14-na-02,G-02-14-na-03,G-02-14-na-04,G-02-14-na-05,G-02-14-na-06",
13,呼吸困難,"F-01-15-na-01,F-01-15-na-02,F-01-15-na-03,G-02-15-na-01,G-02-15-na-02,G-02-15-na-03,G-02-15-na-04,G-02-15-na-05,G-02-15-na-06,G-02-15-na-07,G-02-15-na-08",
14,胸痛,"F-01-16-na-01,F-01-16-na-02,F-01-16-na-03,G-02-16-na-01,G-02-16-na-02,G-02-16-na-03,G-02-16-na-04,G-02-16-na-05",
15,動悸,"F-01-17-na-01,F-01-17-na-02,F-01-17-na-03,G-02-17-na-01,G-02-17-na-02,G-02-17-na-03",
16,嚥下困難,"F-01-19-na-01,F-01-19-na-02,F-01-19-na-03,G-02-19-na-01,G-02-19-na-02,G-02-19-na-03,G-02-19-na-04,G-02-19-na-05,G-02-19-na-06,G-02-19-na-07",
17,腹痛,"F-01-20-na-01,F-01-20-na-02,F-01-20-na-03,G-02-20-na-01,G-02-20-na-02,G-02-20-na-03,G-02-20-na-04,G-02-20-na-05,G-02-20-na-06,G-02-20-na-07,G-02-20-na-08,G-02-20-na-09,G-02-20-na-10,G-02-20-na-11,G-02-20-na-12,G-02-20-na-13",
18,悪心・嘔吐,"F-01-21-na-01,F-01-21-na-02,F-01-21-na-03,G-02-21-na-01,G-02-21-na-02,G-02-21-na-03,G-02-21-na-04,G-02-21-na-05,G-02-21-na-06,G-02-21-na-07,G-02-21-na-08,G-02-21-na-09",
19,吐血,"F-01-22-na-01,F-01-22-na-02,F-01-22-na-03,G-02-22-na-01,G-02-22-na-02,G-02-22-na-03,G-02-22-na-04,G-02-22-na-05,G-02-22-na-06,G-02-22-na-07,G-02-22-na-08",
20,下血,"F-01-22-na-01,F-01-22-na-02,F-01-22-na-03,G-02-22-na-01,G-02-22-na-02,G-02-22-na-03,G-02-22-na-04,G-02-22-na-05,G-02-22-na-06,G-02-22-na-07,G-02-22-na-08",
21,便秘,"F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09",
22,下痢,"F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09",
23,黄疸,"F-01-24-na-01,F-01-24-na-02,F-01-24-na-03,G-02-24-na-01,G-02-24-na-02,G-02-24-na-03,G-02-24-na-04,G-02-24-na-05,G-02-24-na-06",
24,腹部膨隆・腫瘤,"F-01-25-na-01,F-01-25-na-02,F-01-25-na-03,G-02-25-na-01,G-02-25-na-02,G-02-25-na-03,G-02-25-na-04,G-02-25-na-05,G-02-25-na-06,G-02-25-na-07",
25,リンパ節腫脹,"F-01-27-na-01,F-01-27-na-02,F-01-27-na-03,G-02-27-na-01,G-02-27-na-02,G-02-27-na-03,G-02-27-na-04,G-02-27-na-05,G-02-27-na-06",
26,尿量・排尿の異常,"F-01-28-na-01,F-01-28-na-02,F-01-28-na-03,G-02-28-na-01,G-02-28-na-02,G-02-28-na-03,G-02-28-na-04,G-02-28-na-05,G-02-28-na-06,G-02-28-na-07",
27,血尿,"F-01-29-na-01,F-01-29-na-02,F-01-29-na-03,G-02-29-na-01,G-02-29-na-02,G-02-29-na-03,G-02-29-na-04,G-02-29-na-05,G-02-29-na-06,G-02-29-na-07",
28,月経異常,"F-01-30-na-01,F-01-30-na-02,F-01-30-na-03,G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05",
29,不安・抑うつ,"F-01-31-na-01,F-01-31-na-02,F-01-31-na-03,G-02-31-na-01,G-02-31-na-02,G-02-31-na-03,G-02-31-na-04,G-02-31-na-05,G-02-31-na-06,G-02-31-na-07,G-02-31-na-08,G-02-31-na-09",
30,認知障害,"F-01-32-na-01,F-01-32-na-02,F-01-32-na-03,G-02-32-na-01,G-02-32-na-02,G-02-32-na-03,G-02-32-na-04",
31,頭痛,"F-01-33-na-01,F-01-33-na-02,F-01-33-na-03,G-02-33-na-01,G-02-33-na-02,G-02-33-na-03,G-02-33-na-04,G-02-33-na-05,G-02-33-na-06,G-02-33-na-07",
32,運動麻痺・筋力低下,"F-01-34-na-01,F-01-34-na-02,F-01-34-na-03,G-02-34-na-01,G-02-34-na-02,G-02-34-na-03,G-02-34-na-04,G-02-34-na-05,G-02-34-na-06,G-02-34-na-07,G-02-34-na-08,G-02-34-na-09,G-02-34-na-10",
33,歩行障害,,新設
34,感覚障害,,新設
35,腰背部痛,"F-01-35-na-01,F-01-35-na-02,F-01-35-na-03,G-02-35-na-01,G-02-35-na-02,G-02-35-na-03,G-02-35-na-04,G-02-35-na-05,G-02-35-na-06,G-02-35-na-07,G-02-35-na-08,G-02-35-na-09,G-02-35-na-10",
36,関節痛・関節腫脹,"F-01-36-na-01,F-01-36-na-02,F-01-36-na-03,G-02-36-na-01,G-02-36-na-02,G-02-36-na-03",
